model_name,context_window_operation,context_window_size,similarity_measure,score,time,time_per
bert-large-cased-whole-word-masking,sum,20,cosine,0.4570092159872121,2.922406207999302,0.008595312376468534
bert-large-uncased-whole-word-masking,sum,20,cosine,0.4531307099601132,2.939864709001995,0.008646660908829398
bert-base-multilingual-cased,sum,20,cosine,0.44846400964363964,2.4760218750016065,0.00728241727941649
bert-base-cased,sum,20,cosine,0.4441893024495861,1.7569439580001927,0.005167482229412331
bert-base-multilingual-uncased,sum,20,cosine,0.4427716566907789,2.594936792000226,0.007632167035294782
bert-base-uncased,sum,20,cosine,0.4318882971188637,1.977910375000647,0.005817383455884256
EMBEDDIA/crosloengual-bert,sum,20,cosine,0.4308554172427863,2.0634688749996712,0.006069026102940209
bert-large-cased,sum,20,cosine,0.42250620128295147,2.4648462499972084,0.0072495477941094365
bert-large-uncased,sum,20,cosine,0.4202999566029161,2.7556979159999173,0.008104993870587992
bert-large-uncased-whole-word-masking,sum,2,cosine,0.41564382725111493,2.8511296670003503,0.0083856754911775
bert-base-multilingual-uncased,sum,10,cosine,0.4129312256391846,2.7565565000004426,0.00810751911764836
bert-base-uncased,sum,5,cosine,0.408577779975837,1.9709808749976219,0.005797002573522417
bert-base-cased,sum,10,cosine,0.4072413192423123,1.7422521250009595,0.005124270955885175
bert-large-cased-whole-word-masking,sum,10,cosine,0.4065596534943037,2.923438999998325,0.008598349999995073
bert-large-uncased-whole-word-masking,sum,10,cosine,0.4056386094465547,2.9304818749988044,0.008619064338231777
bert-base-multilingual-cased,sum,10,cosine,0.4056125548582624,2.4446170830015035,0.007190050244122069
bert-large-uncased-whole-word-masking,sum,1,cosine,0.3901330307997184,2.8352178749992163,0.008338876102938871
bert-base-cased,sum,5,cosine,0.3897471174106686,1.7015608750007232,0.005004590808825656
bert-base-uncased,sum,10,cosine,0.3896506907523396,2.5099678750011662,0.007382258455885783
bert-base-uncased,sum,2,cosine,0.3853191877531179,1.9866568749966973,0.005843108455872639
bert-base-multilingual-uncased,sum,2,cosine,0.3807685202299844,2.847811791998538,0.008375917035289818
bert-base-cased,sum,2,cosine,0.3750987966509094,1.696813624999777,0.004990628308822873
EMBEDDIA/crosloengual-bert,sum,10,cosine,0.37419061019913413,2.0243245830024534,0.005953895832360157
bert-large-cased-whole-word-masking,sum,2,cosine,0.3735067347784804,2.8877548330019636,0.008493396567652835
bert-large-cased-whole-word-masking,sum,5,cosine,0.3712376643525881,2.9736653750005644,0.0087460746323546
bert-large-cased,sum,10,cosine,0.37015325259782705,2.4867392079977435,0.007313938847052187
bert-large-uncased,sum,10,cosine,0.36836681903099655,2.7368166250016657,0.008049460661769606
bert-base-multilingual-cased,sum,2,cosine,0.3662679496728031,2.4677734169999894,0.007258157108823498
EMBEDDIA/crosloengual-bert,sum,50,cosine,0.3660244642224115,2.0831840419996297,0.006127011888234205
bert-large-uncased-whole-word-masking,sum,5,cosine,0.3635823460555353,2.903382500000589,0.00853936029411938
EMBEDDIA/crosloengual-bert,sum,5,cosine,0.36147734924426334,2.0415386249987932,0.0060045253676435095
bert-large-cased-whole-word-masking,sum,1,cosine,0.36129517976909,2.9333596249998664,0.008627528308823136
bert-base-multilingual-cased,sum,5,cosine,0.3550862756179757,2.5150114580028458,0.007397092523537782
bert-large-uncased,sum,5,cosine,0.3538755735416823,2.714463917000103,0.007983717402941478
bert-base-multilingual-cased,sum,50,cosine,0.35382632700905725,2.4787411659999634,0.0072904151941175395
bert-base-multilingual-uncased,sum,1,cosine,0.35292073556735026,2.5873614590018406,0.00760988664412306
bert-base-multilingual-cased,sum,1,cosine,0.35201182929668695,2.5737064160020964,0.007569724752947342
bert-base-cased,sum,1,cosine,0.3513965891604607,1.6963133749995905,0.004989156985292913
bert-base-cased,sum,50,cosine,0.35100446434125576,1.7820198749977862,0.005241234926464077
bert-base-multilingual-uncased,sum,5,cosine,0.34847731101229074,2.602651416000299,0.007654857105883232
