model_name,context_window_operation,context_window_size,similarity_measure,score,time,time_per
bert-base-multilingual-cased,sum,2,cosine,0.5637673948492904,30.902777707997302,0.27840340277475045
bert-base-multilingual-cased,sum,5,cosine,0.5357584645204597,32.10518062499614,0.2892358614864517
EMBEDDIA/crosloengual-bert,sum,2,cosine,0.5224708001340627,30.804461790998175,0.27751767379277636
bert-base-multilingual-cased,sum,1,cosine,0.5140638372048618,34.27138995900168,0.308751260891907
EMBEDDIA/crosloengual-bert,sum,1,cosine,0.5123000881648713,29.028218832994753,0.2615154849819347
EMBEDDIA/crosloengual-bert,sum,5,cosine,0.5069563112860087,29.297152915998595,0.2639383145585459
bert-base-multilingual-cased,sum,10,cosine,0.48608077251434656,33.40379179199954,0.300935061189185
bert-base-multilingual-uncased,sum,10,cosine,0.4252792368919771,33.22723070900247,0.29934442080182405
bert-base-multilingual-cased,sum,20,cosine,0.40917784114376277,31.575285165999958,0.28446202852252217
EMBEDDIA/crosloengual-bert,sum,10,cosine,0.3938980462046764,30.92471341700002,0.27860102177477497
bert-base-multilingual-uncased,sum,5,cosine,0.3733503595426739,31.828445084000123,0.2867427485045056
bert-base-multilingual-cased,none,0,cosine,0.37116820177399346,32.44772650000232,0.29232186036038127
bert-base-multilingual-uncased,sum,20,cosine,0.328847406120924,31.86380929200095,0.2870613449729815
bert-base-multilingual-uncased,sum,2,cosine,0.3282378489292246,33.631444708000345,0.30298598836036345
EMBEDDIA/crosloengual-bert,none,0,cosine,0.2900525695624675,26.20924762499635,0.2361193479729401
bert-base-multilingual-uncased,sum,1,cosine,0.27448103894225784,33.14714479199756,0.29862292605403207
bert-base-multilingual-uncased,none,0,cosine,0.26306206386817244,30.175214957998833,0.27184878340539487
EMBEDDIA/crosloengual-bert,sum,20,cosine,0.25892125947968114,30.48264320900489,0.27461840728833237
bert-base-multilingual-cased,sum,50,cosine,0.08935555405794049,33.59746112499852,0.3026798299549416
bert-base-multilingual-uncased,sum,50,cosine,0.02785816007612929,28.826166749997356,0.2596951959459221
gerulata/slovakbert,none,0,cosine,0.0,0.0,0.0
gerulata/slovakbert,sum,1,cosine,0.0,0.0,0.0
gerulata/slovakbert,sum,2,cosine,0.0,0.0,0.0
gerulata/slovakbert,sum,5,cosine,0.0,0.0,0.0
gerulata/slovakbert,sum,10,cosine,0.0,0.0,0.0
gerulata/slovakbert,sum,20,cosine,0.0,0.0,0.0
gerulata/slovakbert,sum,50,cosine,0.0,0.0,0.0
gerulata/slovakbert,sum,100,cosine,0.0,0.0,0.0
EMBEDDIA/crosloengual-bert,sum,50,cosine,-0.0010288702283323126,29.976484416998574,0.27005841817115833
EMBEDDIA/crosloengual-bert,sum,100,cosine,-0.04542089968895424,30.62028833400109,0.27585845345946924
bert-base-multilingual-cased,sum,100,cosine,-0.07264765396624528,32.75957962499524,0.2951313479729301
bert-base-multilingual-uncased,sum,100,cosine,-0.08511569246662432,31.38224212500063,0.2827229020270327
