score,time,context_window_size,context_window_operation,similarity_measure,model_name
0.5637674154047391,28.394648375000543,2,mean,cosine,bert-base-multilingual-cased
0.5637673948492904,31.684150958000828,2,sum,cosine,bert-base-multilingual-cased
0.5357584645204597,30.50293750000128,5,sum,cosine,bert-base-multilingual-cased
0.5357584368698862,32.0585408750012,5,mean,cosine,bert-base-multilingual-cased
0.5224708001340627,29.91662891699889,2,sum,cosine,EMBEDDIA/crosloengual-bert
0.5224707471466847,26.81742525000118,2,mean,cosine,EMBEDDIA/crosloengual-bert
0.5140638488428486,28.046435665999525,1,mean,cosine,bert-base-multilingual-cased
0.5140638372048618,29.286358290999488,1,sum,cosine,bert-base-multilingual-cased
0.5123000881648713,30.80641204099993,1,sum,cosine,EMBEDDIA/crosloengual-bert
0.5123000334445602,27.53969454199978,1,mean,cosine,EMBEDDIA/crosloengual-bert
0.5069563440997156,28.59511025000029,5,mean,cosine,EMBEDDIA/crosloengual-bert
0.5069563112860087,30.133763833000557,5,sum,cosine,EMBEDDIA/crosloengual-bert
0.4860808328293351,30.11541895799928,10,mean,cosine,bert-base-multilingual-cased
0.48608077251434656,28.41356808400087,10,sum,cosine,bert-base-multilingual-cased
0.4252792368919771,29.842783292000604,10,sum,cosine,bert-base-multilingual-uncased
0.425279136256705,28.28168787499999,10,mean,cosine,bert-base-multilingual-uncased
0.40917784114376277,29.74115808300121,20,sum,cosine,bert-base-multilingual-cased
0.4091777721148303,30.57145629200022,20,mean,cosine,bert-base-multilingual-cased
0.3984563599443167,30.242045083999983,1,prod,cosine,bert-base-multilingual-cased
0.3938980462046764,28.336441583000124,10,sum,cosine,EMBEDDIA/crosloengual-bert
0.393898032713343,26.324478750000708,10,mean,cosine,EMBEDDIA/crosloengual-bert
0.3733504126674181,29.28653425000084,5,mean,cosine,bert-base-multilingual-uncased
0.3733503595426739,30.61663154099915,5,sum,cosine,bert-base-multilingual-uncased
0.37116820177399346,25.23081079199983,0,none,cosine,bert-base-multilingual-cased
0.32884743418518325,29.632390875000056,20,mean,cosine,bert-base-multilingual-uncased
0.328847406120924,29.908356583000568,20,sum,cosine,bert-base-multilingual-uncased
0.3282378670745585,29.450194209000983,2,mean,cosine,bert-base-multilingual-uncased
0.3282378489292246,29.222413292000056,2,sum,cosine,bert-base-multilingual-uncased
0.3094134854207107,29.570632334000038,1,prod,cosine,bert-base-multilingual-uncased
0.2900525695624675,26.382053416999042,0,none,cosine,EMBEDDIA/crosloengual-bert
0.27448103894225784,27.89955779200136,1,sum,cosine,bert-base-multilingual-uncased
0.2744810308505927,30.471855207999397,1,mean,cosine,bert-base-multilingual-uncased
0.26306206386817244,29.066003249999994,0,none,cosine,bert-base-multilingual-uncased
0.25892125947968114,29.21027787499952,20,sum,cosine,EMBEDDIA/crosloengual-bert
0.2589212552022895,28.140199207999103,20,mean,cosine,EMBEDDIA/crosloengual-bert
0.23125633151216762,31.634317374999227,2,prod,cosine,bert-base-multilingual-cased
0.2247932987151866,30.531142166999416,2,prod,cosine,bert-base-multilingual-uncased
0.2158070679479609,29.134779624999283,5,prod,cosine,bert-base-multilingual-uncased
0.21413689074806586,29.937472540999806,5,prod,cosine,EMBEDDIA/crosloengual-bert
0.19916023468108313,29.673615166999298,2,prod,cosine,EMBEDDIA/crosloengual-bert
0.16853537540579633,28.696631500000876,5,prod,cosine,bert-base-multilingual-cased
0.1391119600152373,27.957736917000148,1,prod,cosine,EMBEDDIA/crosloengual-bert
0.08935590899008627,30.93145795899909,50,mean,cosine,bert-base-multilingual-cased
0.08935555405794049,28.39160766599889,50,sum,cosine,bert-base-multilingual-cased
0.02785816007612929,31.870004166999934,50,sum,cosine,bert-base-multilingual-uncased
0.027858082725066957,29.495769541999834,50,mean,cosine,bert-base-multilingual-uncased
0.0,0.0,0,none,cosine,gerulata/slovakbert
0.0,0.0,1,mean,cosine,gerulata/slovakbert
0.0,0.0,2,mean,cosine,gerulata/slovakbert
0.0,0.0,5,mean,cosine,gerulata/slovakbert
0.0,0.0,10,mean,cosine,gerulata/slovakbert
0.0,0.0,20,mean,cosine,gerulata/slovakbert
0.0,0.0,50,mean,cosine,gerulata/slovakbert
0.0,0.0,1,prod,cosine,gerulata/slovakbert
0.0,0.0,2,prod,cosine,gerulata/slovakbert
0.0,0.0,5,prod,cosine,gerulata/slovakbert
0.0,0.0,1,sum,cosine,gerulata/slovakbert
0.0,0.0,2,sum,cosine,gerulata/slovakbert
0.0,0.0,5,sum,cosine,gerulata/slovakbert
0.0,0.0,10,sum,cosine,gerulata/slovakbert
0.0,0.0,20,sum,cosine,gerulata/slovakbert
0.0,0.0,50,sum,cosine,gerulata/slovakbert
-0.0010288702283323126,31.232707874998596,50,sum,cosine,EMBEDDIA/crosloengual-bert
-0.0010289921141706238,28.828583083999547,50,mean,cosine,EMBEDDIA/crosloengual-bert
