score,time,context_window_size,context_window_operation,similarity_measure,model_name
,8.422729416000948,10,prod,cosine,bert-base-cased
,8.594674917003431,50,prod,cosine,bert-base-cased
0.511216213430344,7.582235333000426,2,sum,cosine,bert-base-multilingual-cased
0.5112160819080778,8.040925041001174,2,mean,cosine,bert-base-multilingual-cased
0.4616590196690178,7.198685874998773,1,sum,cosine,bert-base-multilingual-cased
0.46165895902432696,8.001806832999137,1,mean,cosine,bert-base-multilingual-cased
0.4424039365703838,8.413876500002516,5,sum,cosine,bert-base-multilingual-cased
0.44240386444880464,7.477263959000993,5,mean,cosine,bert-base-multilingual-cased
0.4212697802200165,8.279636375002156,10,mean,cosine,bert-base-multilingual-cased
0.42126976022035145,8.823416250001173,10,sum,cosine,bert-base-multilingual-cased
0.34238204065036537,8.74272325000129,0,none,cosine,bert-base-multilingual-cased
0.33853821358261404,21.39998183300122,50,mean,cosine,bert-large-cased-whole-word-masking
0.329343123906518,22.203962832998513,5,prod,cosine,bert-large-cased-whole-word-masking
0.3253045352304671,7.99067958300293,50,mean,cosine,bert-base-multilingual-cased
0.32530296453612895,8.052344166000694,50,sum,cosine,bert-base-multilingual-cased
0.3241779100565185,8.818947499999922,1,mean,cosine,bert-base-cased
0.32417785955024236,8.726239583000279,1,sum,cosine,bert-base-cased
0.3222453747672145,7.104963166999369,20,sum,cosine,bert-base-multilingual-cased
0.32224528797602303,7.225030917001277,20,mean,cosine,bert-base-multilingual-cased
0.31837152706698646,8.90194212500137,2,mean,cosine,bert-base-cased
0.3183714601598785,8.187609458000225,2,sum,cosine,bert-base-cased
0.3178368252903059,7.494337666998035,1,prod,cosine,bert-base-multilingual-cased
0.29538786404334894,8.136282957999356,5,sum,cosine,bert-base-cased
0.29538751655535456,8.98121995800102,5,mean,cosine,bert-base-cased
0.29053907910865084,8.351370292002684,5,prod,cosine,bert-base-cased
0.27641209507010944,9.161188957998093,50,mean,cosine,bert-base-cased
0.2764118932736582,9.041069875001995,50,sum,cosine,bert-base-cased
0.27147547700249497,21.998074958999496,1,prod,cosine,bert-large-cased-whole-word-masking
0.2621589836593399,8.38739516699934,20,sum,cosine,bert-base-cased
0.2621586117715218,8.940893167000468,20,mean,cosine,bert-base-cased
0.26072505703496873,21.820406625000032,20,sum,cosine,bert-large-cased
0.24376261023489965,21.404071749999275,2,sum,cosine,bert-large-cased
0.21360904354776633,9.420186499999545,1,prod,cosine,bert-base-cased
0.18923520146001094,8.257039707998047,10,sum,cosine,bert-base-cased
0.1892346164827401,8.598601416000747,10,mean,cosine,bert-base-cased
0.16926946660497533,7.913023582997994,10,prod,cosine,bert-base-multilingual-cased
0.1124429698699464,7.9376135830025305,5,prod,cosine,bert-base-multilingual-cased
0.07634812080094266,7.532269874998747,20,prod,cosine,bert-base-multilingual-cased
0.037247881124613524,7.454675749999296,2,prod,cosine,bert-base-multilingual-cased
0.028310401458536583,9.293803665997984,20,prod,cosine,bert-base-cased
-0.020024857592243928,8.904567542002042,0,none,cosine,bert-base-cased
-0.05556542376549012,8.459915250001359,2,prod,cosine,bert-base-cased
-0.2500752128837396,7.865720709000016,50,prod,cosine,bert-base-multilingual-cased
,22.41291083300166,20,prod,cosine,bert-large-cased-whole-word-masking
,22.135278166999342,50,prod,cosine,bert-large-cased-whole-word-masking
0.3385333761997674,21.417362083000626,50,sum,cosine,bert-large-cased-whole-word-masking
