score,time,context_window_size,context_window_operation,similarity_measure,model_name
,38.75898800000141,50,prod,cosine,bert-base-cased
0.5637674154047391,29.423893332997977,2,mean,cosine,bert-base-multilingual-cased
0.5637673948492904,30.44870958399406,2,sum,cosine,bert-base-multilingual-cased
0.5357584645204597,28.886484583999845,5,sum,cosine,bert-base-multilingual-cased
0.5357584368698862,28.155856833000144,5,mean,cosine,bert-base-multilingual-cased
0.5140638488428486,31.976193041999068,1,mean,cosine,bert-base-multilingual-cased
0.5140638372048618,30.136867417000758,1,sum,cosine,bert-base-multilingual-cased
0.4860808328293351,31.396914083998126,10,mean,cosine,bert-base-multilingual-cased
0.48608077251434656,29.506334749996313,10,sum,cosine,bert-base-multilingual-cased
0.40917784114376277,29.49908766700537,20,sum,cosine,bert-base-multilingual-cased
0.4091777721148303,32.61601783300284,20,mean,cosine,bert-base-multilingual-cased
0.3984563599443167,30.571920959002455,1,prod,cosine,bert-base-multilingual-cased
0.37116820177399346,30.091378374992928,0,none,cosine,bert-base-multilingual-cased
0.23125633151216762,32.28140183399955,2,prod,cosine,bert-base-multilingual-cased
0.22871423281835435,37.25309270800062,5,prod,cosine,bert-base-cased
0.19409369401505194,92.5563182909973,0,none,cosine,bert-large-cased-whole-word-masking
0.17711890524465723,98.29495570799918,1,prod,cosine,bert-large-cased
0.17589057453623136,104.47352525000315,10,sum,cosine,bert-large-cased
0.17589045096398837,99.58905237499857,10,mean,cosine,bert-large-cased
0.17341722796230807,95.45512208299624,10,prod,cosine,bert-large-cased-whole-word-masking
0.16853537540579633,30.239907041999686,5,prod,cosine,bert-base-multilingual-cased
0.1459238896354731,90.01229816699924,1,sum,cosine,bert-large-cased
0.14592388113949462,93.55058000000281,1,mean,cosine,bert-large-cased
0.14046543696725533,93.03888929199456,2,sum,cosine,bert-large-cased
0.14046541648731803,89.92192370900011,2,mean,cosine,bert-large-cased
0.13950395630611512,91.39138791699952,10,mean,cosine,bert-large-cased-whole-word-masking
0.13472888432488683,89.4825364579956,0,none,cosine,bert-large-cased
0.13404637153250332,99.03247812500194,20,mean,cosine,bert-large-cased
0.13404608566896137,98.22514299999602,20,sum,cosine,bert-large-cased
0.11438196755178731,95.5780456249995,5,mean,cosine,bert-large-cased
0.11438188510682212,89.81525166700158,5,sum,cosine,bert-large-cased
0.11266893945271916,92.04212345799897,20,mean,cosine,bert-large-cased-whole-word-masking
,95.39372683400143,20,prod,cosine,bert-large-cased-whole-word-masking
,90.12788166700193,50,prod,cosine,bert-large-cased-whole-word-masking
0.13950378213896653,110.83141800000158,10,sum,cosine,bert-large-cased-whole-word-masking
0.11266806311674593,109.11485220900067,20,sum,cosine,bert-large-cased-whole-word-masking
0.11252741876612016,91.15018508299545,5,prod,cosine,bert-large-cased-whole-word-masking
0.10883493098606534,93.5848773329999,2,mean,cosine,bert-large-cased-whole-word-masking
0.10883464498867679,107.252696208001,2,sum,cosine,bert-large-cased-whole-word-masking
0.10738508951201353,36.92138854099903,10,mean,cosine,bert-base-cased
0.10738499799929668,38.809159082993574,10,sum,cosine,bert-base-cased
0.1054030411966066,37.23644724999758,0,none,cosine,bert-base-cased
0.09900029685412393,94.31573108299926,1,mean,cosine,bert-large-cased-whole-word-masking
0.0990002871014719,98.37292004199844,1,sum,cosine,bert-large-cased-whole-word-masking
0.09486742994557451,95.29730437500257,50,prod,cosine,bert-large-cased
0.08935590899008627,29.002784459000395,50,mean,cosine,bert-base-multilingual-cased
0.08935555405794049,28.231538667001587,50,sum,cosine,bert-base-multilingual-cased
0.08857286994752156,109.03080516699993,5,sum,cosine,bert-large-cased-whole-word-masking
0.08857213930259622,96.3271034999998,5,mean,cosine,bert-large-cased-whole-word-masking
0.08033255058999744,29.995445707994804,20,prod,cosine,bert-base-multilingual-cased
0.0762158317344993,36.90855633300089,20,sum,cosine,bert-base-cased
0.0762156225311954,36.90374612499727,20,mean,cosine,bert-base-cased
0.07503863860762683,36.79355349999969,2,mean,cosine,bert-base-cased
0.07503853513979186,35.5664485419984,2,sum,cosine,bert-base-cased
0.07012700586455767,35.63836112499848,5,sum,cosine,bert-base-cased
0.07012691878685973,40.72983899999963,5,mean,cosine,bert-base-cased
0.06902367256698172,40.60771366699919,1,mean,cosine,bert-base-cased
0.06902365806282362,38.02950266699918,1,sum,cosine,bert-base-cased
0.06817189286542658,99.48104162500385,2,prod,cosine,bert-large-cased
0.06436730413605973,93.18275716700009,2,prod,cosine,bert-large-cased-whole-word-masking
0.06245582592043186,35.890595083001244,1,prod,cosine,bert-base-cased
0.0575963107634323,90.11042729199835,1,prod,cosine,bert-large-cased-whole-word-masking
0.052303940623849576,28.5457352500016,50,prod,cosine,bert-base-multilingual-cased
0.048058645799008204,30.51850845899753,10,prod,cosine,bert-base-multilingual-cased
0.04650631635204483,100.15377833299863,20,prod,cosine,bert-large-cased
0.03254255274773599,38.537031416999525,2,prod,cosine,bert-base-cased
0.016159154780938212,40.18894454099791,10,prod,cosine,bert-base-cased
-0.005524040747806325,36.84668954100198,20,prod,cosine,bert-base-cased
-0.010642765071625426,103.85437137500412,50,sum,cosine,bert-large-cased
-0.010643078440952802,93.33467391700106,50,mean,cosine,bert-large-cased
-0.010855044702698047,96.50692104100017,5,prod,cosine,bert-large-cased
-0.016633852540536065,94.24694350000209,50,mean,cosine,bert-large-cased-whole-word-masking
-0.016633860500917752,112.06266383400362,50,sum,cosine,bert-large-cased-whole-word-masking
-0.05035305542535351,98.01838587500242,10,prod,cosine,bert-large-cased
-0.05660458747689323,39.66406404200097,50,mean,cosine,bert-base-cased
-0.05660558269899285,35.657812292003655,50,sum,cosine,bert-base-cased
