model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,en,0,concat,cosine,0.5262751443287728,71.08659170901228
contextual,bert-base-multilingual-cased,en,1,concat,cosine,0.5729400953507151,75.65277933298785
contextual,bert-base-multilingual-cased,en,2,concat,cosine,0.5625865629584308,74.37407354101015
contextual,bert-base-multilingual-cased,en,3,concat,cosine,0.5320282950850833,73.92929416699917
contextual,bert-base-multilingual-cased,en,4,concat,cosine,0.5065213441524683,73.80407145900244
contextual,bert-base-multilingual-cased,en,5,concat,cosine,0.4843733939814725,76.02315416598867
contextual,bert-base-multilingual-cased,en,6,concat,cosine,0.4643580736846178,79.6149232089956
contextual,bert-base-multilingual-cased,en,7,concat,cosine,0.45033596811085863,72.24299920799967
contextual,bert-base-multilingual-cased,en,8,concat,cosine,0.42956216699024874,75.09148091600218
contextual,bert-base-multilingual-cased,en,9,concat,cosine,0.41973915111779103,74.24823145799746
contextual,bert-base-multilingual-cased,en,10,concat,cosine,0.408807689123875,77.83519437500217
contextual,bert-base-multilingual-uncased,en,0,concat,cosine,0.446697083345199,78.23642754201137
contextual,bert-base-multilingual-uncased,en,1,concat,cosine,0.5570930008968854,77.69360612500168
contextual,bert-base-multilingual-uncased,en,2,concat,cosine,0.5453246951577903,77.60564695899666
contextual,bert-base-multilingual-uncased,en,3,concat,cosine,0.5146472951524886,81.01309299998684
contextual,bert-base-multilingual-uncased,en,4,concat,cosine,0.5013717329479357,78.3780092500092
contextual,bert-base-multilingual-uncased,en,5,concat,cosine,0.48835694298578103,89.01227141699928
contextual,bert-base-multilingual-uncased,en,6,concat,cosine,0.47704812011622266,86.54682454100111
contextual,bert-base-multilingual-uncased,en,7,concat,cosine,0.46516949420398634,75.58464358300262
contextual,bert-base-multilingual-uncased,en,8,concat,cosine,0.45244623509951254,79.56321995799954
contextual,bert-base-multilingual-uncased,en,9,concat,cosine,0.43659255469039593,77.82157062500482
contextual,bert-base-multilingual-uncased,en,10,concat,cosine,0.4056312710833696,80.92119120800635
contextual,EMBEDDIA/crosloengual-bert,en,0,concat,cosine,0.39398697276611183,78.96527658299601
contextual,EMBEDDIA/crosloengual-bert,en,1,concat,cosine,0.5622908543450791,82.08913691699854
contextual,EMBEDDIA/crosloengual-bert,en,2,concat,cosine,0.5536308248443194,87.65850587500609
contextual,EMBEDDIA/crosloengual-bert,en,3,concat,cosine,0.5335646323016189,78.95789587500622
contextual,EMBEDDIA/crosloengual-bert,en,4,concat,cosine,0.5134000009100581,86.2189460840018
contextual,EMBEDDIA/crosloengual-bert,en,5,concat,cosine,0.5060418063415505,88.23998166699312
contextual,EMBEDDIA/crosloengual-bert,en,6,concat,cosine,0.49417271433643184,84.82310804199369
contextual,EMBEDDIA/crosloengual-bert,en,7,concat,cosine,0.4603503120818102,83.63756524999917
contextual,EMBEDDIA/crosloengual-bert,en,8,concat,cosine,0.4365892503445995,84.29498695899383
contextual,EMBEDDIA/crosloengual-bert,en,9,concat,cosine,0.4071804044860239,83.54204624998965
contextual,EMBEDDIA/crosloengual-bert,en,10,concat,cosine,0.40715693088632354,81.76238149999699
contextual,bert-base-cased,en,0,concat,cosine,0.4327769945220148,74.94324283300375
contextual,bert-base-cased,en,1,concat,cosine,0.5298743948983078,78.52689883300627
contextual,bert-base-cased,en,2,concat,cosine,0.4937461053142731,78.06238208300783
contextual,bert-base-cased,en,3,concat,cosine,0.47079063133004273,83.6663884169975
contextual,bert-base-cased,en,4,concat,cosine,0.4652752656780078,78.92655275001016
contextual,bert-base-cased,en,5,concat,cosine,0.45711825473733336,80.21978825000406
contextual,bert-base-cased,en,6,concat,cosine,0.4379788467310266,79.76215995800158
contextual,bert-base-cased,en,7,concat,cosine,0.4183828921151189,80.51601383399975
contextual,bert-base-cased,en,8,concat,cosine,0.41419757806526336,76.72799125000893
contextual,bert-base-cased,en,9,concat,cosine,0.39485352636442794,77.00752574999933
contextual,bert-base-cased,en,10,concat,cosine,0.3971629496989162,81.0300228749984
contextual,bert-base-uncased,en,0,concat,cosine,0.48837956490035495,81.67220962500141
contextual,bert-base-uncased,en,1,concat,cosine,0.617100532337395,92.87525104099768
contextual,bert-base-uncased,en,2,concat,cosine,0.5941718518493487,90.80467458299245
contextual,bert-base-uncased,en,3,concat,cosine,0.5671402145839306,85.77369254200312
contextual,bert-base-uncased,en,4,concat,cosine,0.5502821611438381,83.46242283299216
contextual,bert-base-uncased,en,5,concat,cosine,0.5321732080205437,79.8315453749965
contextual,bert-base-uncased,en,6,concat,cosine,0.511710549474481,79.78195858400431
contextual,bert-base-uncased,en,7,concat,cosine,0.48200953648357303,78.98436924999987
contextual,bert-base-uncased,en,8,concat,cosine,0.4669823702196245,78.49613233299169
contextual,bert-base-uncased,en,9,concat,cosine,0.4562678757188823,86.72229166699981
contextual,bert-base-uncased,en,10,concat,cosine,0.4498289047967443,82.82984762500564
contextual,bert-large-cased,en,0,concat,cosine,0.4143331937184591,208.7100114999921
contextual,bert-large-cased,en,1,concat,cosine,0.5489894070667611,216.40261854199343
contextual,bert-large-cased,en,2,concat,cosine,0.5199053831403881,229.6993771250127
contextual,bert-large-cased,en,3,concat,cosine,0.502130617826827,219.1849030000012
contextual,bert-large-cased,en,4,concat,cosine,0.47809207334507686,215.69214533398917
contextual,bert-large-cased,en,5,concat,cosine,0.4646339311212472,219.4943884999957
contextual,bert-large-cased,en,6,concat,cosine,0.4384071824577438,212.0203110829898
contextual,bert-large-cased,en,7,concat,cosine,0.39832245013825984,212.2880776670063
contextual,bert-large-cased,en,8,concat,cosine,0.3816627451151777,231.6212272499979
contextual,bert-large-cased,en,9,concat,cosine,0.36036882983683616,219.62292870800593
contextual,bert-large-cased,en,10,concat,cosine,0.3642451372811055,214.53329512500204
contextual,bert-large-uncased,en,0,concat,cosine,0.3531235051243766,214.895253374998
contextual,bert-large-uncased,en,1,concat,cosine,0.49775121762614405,215.74944837500516
contextual,bert-large-uncased,en,2,concat,cosine,0.4626142305555956,211.60368395899422
contextual,bert-large-uncased,en,3,concat,cosine,0.4503204323972516,199.19425124999543
contextual,bert-large-uncased,en,4,concat,cosine,0.459041836805288,200.94875774999673
contextual,bert-large-uncased,en,5,concat,cosine,0.4528447689762535,205.49262404200272
contextual,bert-large-uncased,en,6,concat,cosine,0.4056611677631051,210.86216241700458
contextual,bert-large-uncased,en,7,concat,cosine,0.3591205721985753,204.99290908400144
contextual,bert-large-uncased,en,8,concat,cosine,0.340266238837017,201.46014399999694
contextual,bert-large-uncased,en,9,concat,cosine,0.34810490370225,214.38618499999575
contextual,bert-large-uncased,en,10,concat,cosine,0.34060468934049815,201.9585888330039
contextual,bert-large-cased-whole-word-masking,en,0,concat,cosine,0.36288780127421294,202.92999054200482
contextual,bert-large-cased-whole-word-masking,en,1,concat,cosine,0.49549132213630087,207.5284905419976
contextual,bert-large-cased-whole-word-masking,en,2,concat,cosine,0.4619222590105705,216.85270175000187
contextual,bert-large-cased-whole-word-masking,en,3,concat,cosine,0.4339225674642402,208.45417195900518
contextual,bert-large-cased-whole-word-masking,en,4,concat,cosine,0.424876327383675,208.4585681669996
contextual,bert-large-cased-whole-word-masking,en,5,concat,cosine,0.41456055087040644,213.9235700420104
contextual,bert-large-cased-whole-word-masking,en,6,concat,cosine,0.39810451050687967,206.37605737500417
contextual,bert-large-cased-whole-word-masking,en,7,concat,cosine,0.36940795932113557,205.6080400840001
contextual,bert-large-cased-whole-word-masking,en,8,concat,cosine,0.3548190002235888,207.38245766601176
contextual,bert-large-cased-whole-word-masking,en,9,concat,cosine,0.33168140740729213,219.68035379100183
contextual,bert-large-cased-whole-word-masking,en,10,concat,cosine,0.3353417376462533,209.60099624999566
contextual,bert-large-uncased-whole-word-masking,en,0,concat,cosine,0.44533132428410416,205.6573684999894
contextual,bert-large-uncased-whole-word-masking,en,1,concat,cosine,0.5631826169779168,213.37681899999734
contextual,bert-large-uncased-whole-word-masking,en,2,concat,cosine,0.5307855749111622,214.14989258399874
contextual,bert-large-uncased-whole-word-masking,en,3,concat,cosine,0.5025342068715816,218.43735387500783
contextual,bert-large-uncased-whole-word-masking,en,4,concat,cosine,0.4855936490295454,212.75914891700086
contextual,bert-large-uncased-whole-word-masking,en,5,concat,cosine,0.4697012736884474,212.1353647079959
contextual,bert-large-uncased-whole-word-masking,en,6,concat,cosine,0.44466369779905845,212.47431054199114
contextual,bert-large-uncased-whole-word-masking,en,7,concat,cosine,0.4218788251750085,211.81082774998504
contextual,bert-large-uncased-whole-word-masking,en,8,concat,cosine,0.400016024793876,203.6147211669886
contextual,bert-large-uncased-whole-word-masking,en,9,concat,cosine,0.38713658754604474,209.25620708300266
contextual,bert-large-uncased-whole-word-masking,en,10,concat,cosine,0.37894434722183945,219.9421597920009
