model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,fi,0,sum,cosine,0.34238204065036537,6.367282582999906
contextual,bert-base-multilingual-cased,fi,1,sum,cosine,0.4616590196690178,6.9333695000023
contextual,bert-base-multilingual-cased,fi,2,sum,cosine,0.511216213430344,7.138653833000717
contextual,bert-base-multilingual-cased,fi,3,sum,cosine,0.5189787367867859,7.753326166999614
contextual,bert-base-multilingual-cased,fi,4,sum,cosine,0.4809397764446013,7.597056083002826
contextual,bert-base-multilingual-cased,fi,5,sum,cosine,0.4424039365703838,6.982933291001245
contextual,bert-base-multilingual-cased,fi,6,sum,cosine,0.44953128515403584,7.828573124999821
contextual,bert-base-multilingual-cased,fi,7,sum,cosine,0.4511411498044684,8.036354625000968
contextual,bert-base-multilingual-cased,fi,8,sum,cosine,0.44546012345907937,7.888328625002032
contextual,bert-base-multilingual-cased,fi,9,sum,cosine,0.43912049635831707,7.940170958001545
contextual,bert-base-multilingual-cased,fi,10,sum,cosine,0.42126976022035145,7.817310750000615
contextual,bert-base-multilingual-uncased,fi,0,sum,cosine,0.05966472198210149,7.705732500002341
contextual,bert-base-multilingual-uncased,fi,1,sum,cosine,0.2970038560941074,7.85241895800209
contextual,bert-base-multilingual-uncased,fi,2,sum,cosine,0.4234071763398266,7.891627459001029
contextual,bert-base-multilingual-uncased,fi,3,sum,cosine,0.3778483924162537,7.88468291600293
contextual,bert-base-multilingual-uncased,fi,4,sum,cosine,0.328845862319324,7.821573375000298
contextual,bert-base-multilingual-uncased,fi,5,sum,cosine,0.25055779506583065,7.647216000001208
contextual,bert-base-multilingual-uncased,fi,6,sum,cosine,0.2693739061548337,7.641578583999944
contextual,bert-base-multilingual-uncased,fi,7,sum,cosine,0.270130429502182,8.013236792001408
contextual,bert-base-multilingual-uncased,fi,8,sum,cosine,0.2604164755603283,7.540859916996851
contextual,bert-base-multilingual-uncased,fi,9,sum,cosine,0.24502080565276607,7.935645207999187
contextual,bert-base-multilingual-uncased,fi,10,sum,cosine,0.2295967448097851,7.818143209002301
contextual,EMBEDDIA/crosloengual-bert,fi,0,sum,cosine,0.12858793059379037,8.553349999998318
contextual,EMBEDDIA/crosloengual-bert,fi,1,sum,cosine,0.07886404250960732,8.946232958998735
contextual,EMBEDDIA/crosloengual-bert,fi,2,sum,cosine,0.1260358463489727,9.209728792000533
contextual,EMBEDDIA/crosloengual-bert,fi,3,sum,cosine,0.15669534068012336,8.94169087499904
