model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,fi,0,sum,cosine,0.3423820406503653,0.2653034409583294
contextual,bert-base-multilingual-cased,fi,1,sum,cosine,0.4616590196690178,0.2888903958334292
contextual,bert-base-multilingual-cased,fi,2,sum,cosine,0.511216213430344,0.2974439097083632
contextual,bert-base-multilingual-cased,fi,3,sum,cosine,0.5189787367867859,0.3230552569583172
contextual,bert-base-multilingual-cased,fi,4,sum,cosine,0.4809397764446013,0.3165440034584511
contextual,bert-base-multilingual-cased,fi,5,sum,cosine,0.4424039365703838,0.29095555379171856
contextual,bert-base-multilingual-cased,fi,6,sum,cosine,0.4495312851540358,0.32619054687499255
contextual,bert-base-multilingual-cased,fi,7,sum,cosine,0.4511411498044684,0.33484810937504034
contextual,bert-base-multilingual-cased,fi,8,sum,cosine,0.4454601234590793,0.32868035937508466
contextual,bert-base-multilingual-cased,fi,9,sum,cosine,0.439120496358317,0.3308404565833977
contextual,bert-base-multilingual-cased,fi,10,sum,cosine,0.4212697602203514,0.32572128125002564
contextual,bert-base-multilingual-uncased,fi,0,sum,cosine,0.0596647219821014,0.32107218750009753
contextual,bert-base-multilingual-uncased,fi,1,sum,cosine,0.2970038560941074,0.3271841232500871
contextual,bert-base-multilingual-uncased,fi,2,sum,cosine,0.4234071763398266,0.3288178107917095
contextual,bert-base-multilingual-uncased,fi,3,sum,cosine,0.3778483924162537,0.32852845483345544
contextual,bert-base-multilingual-uncased,fi,4,sum,cosine,0.328845862319324,0.3258988906250124
contextual,bert-base-multilingual-uncased,fi,5,sum,cosine,0.2505577950658306,0.3186340000000503
contextual,bert-base-multilingual-uncased,fi,6,sum,cosine,0.2693739061548337,0.31839910766666435
contextual,bert-base-multilingual-uncased,fi,7,sum,cosine,0.270130429502182,0.333884866333392
contextual,bert-base-multilingual-uncased,fi,8,sum,cosine,0.2604164755603283,0.3142024965415355
contextual,bert-base-multilingual-uncased,fi,9,sum,cosine,0.245020805652766,0.3306518836666328
contextual,bert-base-multilingual-uncased,fi,10,sum,cosine,0.2295967448097851,0.3257559670417625
contextual,EMBEDDIA/crosloengual-bert,fi,0,sum,cosine,0.1285879305937903,0.35638958333326326
contextual,EMBEDDIA/crosloengual-bert,fi,1,sum,cosine,0.0788640425096073,0.3727597066249473
contextual,EMBEDDIA/crosloengual-bert,fi,2,sum,cosine,0.1260358463489727,0.3837386996666889
contextual,EMBEDDIA/crosloengual-bert,fi,3,sum,cosine,0.1566953406801233,0.37257045312496
contextual,EMBEDDIA/crosloengual-bert,fi,4,sum,cosine,0.2019659947886873,0.3743699357499584
contextual,EMBEDDIA/crosloengual-bert,fi,5,sum,cosine,0.2674511476771153,0.37248474133320997
contextual,EMBEDDIA/crosloengual-bert,fi,6,sum,cosine,0.2674130510338331,0.3774047638750442
contextual,EMBEDDIA/crosloengual-bert,fi,7,sum,cosine,0.2868857906281794,0.3887054739583012
contextual,EMBEDDIA/crosloengual-bert,fi,8,sum,cosine,0.3077558262668363,0.3534218107499025
contextual,EMBEDDIA/crosloengual-bert,fi,9,sum,cosine,0.3362876071590051,0.3732943680417217
contextual,EMBEDDIA/crosloengual-bert,fi,10,sum,cosine,0.3663452485408953,0.38055531599987563
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,0,sum,cosine,0.0613923881311132,0.2508465294999951
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,1,sum,cosine,0.6151939492282483,0.28435379341666095
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,2,sum,cosine,0.5310465481171347,0.28926863020842575
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,3,sum,cosine,0.4710503565199071,0.2604498975833849
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,4,sum,cosine,0.4438557550269977,0.2832043177083203
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,5,sum,cosine,0.4212108317615644,0.2713930625000103
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,6,sum,cosine,0.4063548331070251,0.283342980916738
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,7,sum,cosine,0.3579358619459214,0.27660900520822906
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,8,sum,cosine,0.3074917292616673,0.27590734024988706
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,9,sum,cosine,0.2995332730474642,0.2855996110832469
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,10,sum,cosine,0.3121776166096346,0.27734417708325054
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,0,sum,cosine,-0.1028225462893535,0.26719725000005684
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,1,sum,cosine,0.4825398567179867,0.2752102604167703
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,2,sum,cosine,0.4522743457554914,0.2826817621250181
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,3,sum,cosine,0.360082965120988,0.2846038107500135
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,4,sum,cosine,0.3581457824856519,0.27876644270827455
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,5,sum,cosine,0.2998653655996204,0.2606575329999335
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,6,sum,cosine,0.3049863190252637,0.28015209200005603
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,7,sum,cosine,0.2868609198550503,0.27268534199993155
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,8,sum,cosine,0.2739614166301808,0.27539170833339693
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,9,sum,cosine,0.2893012999648112,0.27485236458339085
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,10,sum,cosine,0.2822502320064242,0.2806272204999611
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,0,sum,cosine,0.4056990277896749,0.6143932291667321
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,1,sum,cosine,0.6790942533365688,0.6356284218750262
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,2,sum,cosine,0.5511127514786348,0.6333303784582919
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,3,sum,cosine,0.4324846784354355,0.6042460069165827
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,4,sum,cosine,0.337090699543016,0.6442845850832176
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,5,sum,cosine,0.2964932436782893,0.6173951527500018
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,6,sum,cosine,0.3047059593253283,0.6224349617917445
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,7,sum,cosine,0.2795295815740219,0.5947451701251035
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,8,sum,cosine,0.2523089813797428,0.6175276423332434
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,9,sum,cosine,0.2088833787280624,0.596519675374869
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,10,sum,cosine,0.2153427526830609,0.5963424114582571
