model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,hr,0,sum,cosine,0.4454510618665306,26.01865345799888
contextual,bert-base-multilingual-cased,hr,1,sum,cosine,0.5683938590194316,25.695651375001034
contextual,bert-base-multilingual-cased,hr,2,sum,cosine,0.594189506472811,29.384674791999714
contextual,bert-base-multilingual-cased,hr,3,sum,cosine,0.5966095604302409,30.485598250001203
contextual,bert-base-multilingual-cased,hr,4,sum,cosine,0.6101587848503115,30.433306584000093
contextual,bert-base-multilingual-cased,hr,5,sum,cosine,0.6140850298099814,28.502982542002428
contextual,bert-base-multilingual-cased,hr,6,sum,cosine,0.6098879173152705,30.579548625002644
contextual,bert-base-multilingual-cased,hr,7,sum,cosine,0.6010082793624621,31.182921584000724
contextual,bert-base-multilingual-cased,hr,8,sum,cosine,0.5907587187710043,31.733363957999245
contextual,bert-base-multilingual-cased,hr,9,sum,cosine,0.5766640985568979,31.02735445899816
contextual,bert-base-multilingual-cased,hr,10,sum,cosine,0.5659826698067205,31.11844720800218
contextual,bert-base-multilingual-uncased,hr,0,sum,cosine,0.38501164444494695,27.416791833999014
contextual,bert-base-multilingual-uncased,hr,1,sum,cosine,0.4393149601082529,30.732412959001522
contextual,bert-base-multilingual-uncased,hr,2,sum,cosine,0.4755259233947776,29.138237791001302
contextual,bert-base-multilingual-uncased,hr,3,sum,cosine,0.4990884807760064,31.243848417001573
contextual,bert-base-multilingual-uncased,hr,4,sum,cosine,0.5768219988420715,30.929912125000556
contextual,bert-base-multilingual-uncased,hr,5,sum,cosine,0.596758014623111,31.063964832999773
contextual,bert-base-multilingual-uncased,hr,6,sum,cosine,0.6027020606227902,31.00836320899907
contextual,bert-base-multilingual-uncased,hr,7,sum,cosine,0.595573432536275,30.656850916999247
contextual,bert-base-multilingual-uncased,hr,8,sum,cosine,0.5845200454666849,32.84481004199915
contextual,bert-base-multilingual-uncased,hr,9,sum,cosine,0.5712365924820229,35.145854166999925
contextual,bert-base-multilingual-uncased,hr,10,sum,cosine,0.5646235022640786,33.20674366699677
contextual,EMBEDDIA/crosloengual-bert,hr,0,sum,cosine,0.4110127846787539,26.864058957999077
contextual,EMBEDDIA/crosloengual-bert,hr,1,sum,cosine,0.6513681547057277,31.33738812500087
contextual,EMBEDDIA/crosloengual-bert,hr,2,sum,cosine,0.6856553122894548,30.492718833000254
contextual,EMBEDDIA/crosloengual-bert,hr,3,sum,cosine,0.7077810350394933,31.822883250002633
contextual,EMBEDDIA/crosloengual-bert,hr,4,sum,cosine,0.6977765300416529,31.59986837500037
contextual,EMBEDDIA/crosloengual-bert,hr,5,sum,cosine,0.692632696822082,31.16640141699827
contextual,EMBEDDIA/crosloengual-bert,hr,6,sum,cosine,0.6881319977750282,31.754509500002314
contextual,EMBEDDIA/crosloengual-bert,hr,7,sum,cosine,0.6691050327058039,31.597610541000904
contextual,EMBEDDIA/crosloengual-bert,hr,8,sum,cosine,0.6402817233234757,31.471508541999356
contextual,EMBEDDIA/crosloengual-bert,hr,9,sum,cosine,0.6124277926064521,29.564547749996564
contextual,EMBEDDIA/crosloengual-bert,hr,10,sum,cosine,0.5906069397825068,29.255030332999013
contextual,classla/bcms-bertic,hr,0,sum,cosine,0.2158598103391587,28.089245874998596
contextual,classla/bcms-bertic,hr,1,sum,cosine,0.29371223893929566,31.002432000001136
contextual,classla/bcms-bertic,hr,2,sum,cosine,0.21590989044508335,31.119584416999714
contextual,classla/bcms-bertic,hr,3,sum,cosine,0.20562661371177504,31.64331999999922
contextual,classla/bcms-bertic,hr,4,sum,cosine,0.26616824368298886,31.878074708001805
contextual,classla/bcms-bertic,hr,5,sum,cosine,0.30093895587114183,34.5192091659992
contextual,classla/bcms-bertic,hr,6,sum,cosine,0.3597436787731536,32.68017304199748
contextual,classla/bcms-bertic,hr,7,sum,cosine,0.3814680009396543,33.58884562499952
contextual,classla/bcms-bertic,hr,8,sum,cosine,0.37221150169660966,31.24968670800081
contextual,classla/bcms-bertic,hr,9,sum,cosine,0.396945922444069,32.142240249999304
contextual,classla/bcms-bertic,hr,10,sum,cosine,0.4230767521540644,29.133475540998916
