model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,sl,0,sum,cosine,0.3711682017739934,0.23761241441441286
contextual,bert-base-multilingual-cased,sl,1,sum,cosine,0.5140638372048618,0.24065253078377874
contextual,bert-base-multilingual-cased,sl,2,sum,cosine,0.5637673948492904,0.25644861373871825
contextual,bert-base-multilingual-cased,sl,3,sum,cosine,0.5724967838097683,0.2800947255945921
contextual,bert-base-multilingual-cased,sl,4,sum,cosine,0.5652016128487825,0.29716251238740465
contextual,bert-base-multilingual-cased,sl,5,sum,cosine,0.5357584645204597,0.29533486599098685
contextual,bert-base-multilingual-cased,sl,6,sum,cosine,0.5272117598647789,0.28535914152251296
contextual,bert-base-multilingual-cased,sl,7,sum,cosine,0.5096079879986011,0.29827463212613775
contextual,bert-base-multilingual-cased,sl,8,sum,cosine,0.5035925048247241,0.29738451200902494
contextual,bert-base-multilingual-cased,sl,9,sum,cosine,0.4968557548290906,0.3043987961711602
contextual,bert-base-multilingual-cased,sl,10,sum,cosine,0.4860807725143465,0.30383249511712845
contextual,bert-base-multilingual-uncased,sl,0,sum,cosine,0.2630620638681724,0.3609558678648567
contextual,bert-base-multilingual-uncased,sl,1,sum,cosine,0.2744810389422578,0.2986464868558582
contextual,bert-base-multilingual-uncased,sl,2,sum,cosine,0.3282378489292246,0.27652598610812507
contextual,bert-base-multilingual-uncased,sl,3,sum,cosine,0.3418974658833764,0.3014292154684799
contextual,bert-base-multilingual-uncased,sl,4,sum,cosine,0.3638694803194471,0.3604007481261031
contextual,bert-base-multilingual-uncased,sl,5,sum,cosine,0.3733503595426739,0.2823693490990827
contextual,bert-base-multilingual-uncased,sl,6,sum,cosine,0.3868219911994821,0.29530441103604577
contextual,bert-base-multilingual-uncased,sl,7,sum,cosine,0.4064203628878902,0.29728282394592553
contextual,bert-base-multilingual-uncased,sl,8,sum,cosine,0.4372600684198977,0.38826542192793306
contextual,bert-base-multilingual-uncased,sl,9,sum,cosine,0.4391407924643934,0.31906837312612674
contextual,bert-base-multilingual-uncased,sl,10,sum,cosine,0.4252792368919771,0.3916406850630747
contextual,EMBEDDIA/crosloengual-bert,sl,0,sum,cosine,0.2900525695624675,0.37639471509009215
contextual,EMBEDDIA/crosloengual-bert,sl,1,sum,cosine,0.5123000881648713,0.2625602263513363
contextual,EMBEDDIA/crosloengual-bert,sl,2,sum,cosine,0.5224708001340627,0.2630620315315494
contextual,EMBEDDIA/crosloengual-bert,sl,3,sum,cosine,0.5422716442590821,0.2765129564594735
contextual,EMBEDDIA/crosloengual-bert,sl,4,sum,cosine,0.5315205234976147,0.25405489377475415
contextual,EMBEDDIA/crosloengual-bert,sl,5,sum,cosine,0.5069563112860087,0.2705793768829018
contextual,EMBEDDIA/crosloengual-bert,sl,6,sum,cosine,0.4634933181935894,0.2540422533783967
contextual,EMBEDDIA/crosloengual-bert,sl,7,sum,cosine,0.442117803337227,0.2678342507567429
contextual,EMBEDDIA/crosloengual-bert,sl,8,sum,cosine,0.4238837763526695,0.2719994151621568
contextual,EMBEDDIA/crosloengual-bert,sl,9,sum,cosine,0.4033217011176989,0.2599269440720778
contextual,EMBEDDIA/crosloengual-bert,sl,10,sum,cosine,0.3938980462046764,0.2679661385135094
