model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,en,0,sum,cosine,0.5177662876196036,0.1936623933823552
pooled,bert-base-multilingual-cased,en,1,sum,cosine,0.5648179293886602,0.20146513321176504
pooled,bert-base-multilingual-cased,en,2,sum,cosine,0.5628426276891111,0.22697893320882406
pooled,bert-base-multilingual-cased,en,3,sum,cosine,0.5591045737608804,0.2311613463235303
pooled,bert-base-multilingual-cased,en,4,sum,cosine,0.5376020191846748,0.21201097304117544
pooled,bert-base-multilingual-cased,en,5,sum,cosine,0.5049282096564194,0.2351787495117659
pooled,bert-base-multilingual-cased,en,6,sum,cosine,0.4852902327396433,0.2186319169117643
pooled,bert-base-multilingual-cased,en,7,sum,cosine,0.472897123228434,0.23940971384705764
pooled,bert-base-multilingual-cased,en,8,sum,cosine,0.4653389787110236,0.2233411219352895
pooled,bert-base-multilingual-cased,en,9,sum,cosine,0.4633228567043224,0.2481870318617653
pooled,bert-base-multilingual-cased,en,10,sum,cosine,0.4592841603370153,0.24177247794117754
pooled,bert-base-multilingual-uncased,en,0,sum,cosine,0.4813746584380692,0.23220588357940763
pooled,bert-base-multilingual-uncased,en,1,sum,cosine,0.6285338352787521,0.24532700710588495
pooled,bert-base-multilingual-uncased,en,2,sum,cosine,0.6111028456162715,0.23234411666764357
pooled,bert-base-multilingual-uncased,en,3,sum,cosine,0.6064217872427387,0.22613285000000308
pooled,bert-base-multilingual-uncased,en,4,sum,cosine,0.5827415317449413,0.22747298602941074
pooled,bert-base-multilingual-uncased,en,5,sum,cosine,0.5418948841831994,0.2286749814941151
pooled,bert-base-multilingual-uncased,en,6,sum,cosine,0.5171680706087834,0.23901627548823265
pooled,bert-base-multilingual-uncased,en,7,sum,cosine,0.5022941610741682,0.23392905600293862
pooled,bert-base-multilingual-uncased,en,8,sum,cosine,0.4924145718797961,0.25347427303823306
pooled,bert-base-multilingual-uncased,en,9,sum,cosine,0.484152819736106,0.24577224767058664
pooled,bert-base-multilingual-uncased,en,10,sum,cosine,0.4807465845706821,0.23967492377353075
pooled,EMBEDDIA/crosloengual-bert,en,0,sum,cosine,0.4457469572328856,0.24731656090882417
pooled,EMBEDDIA/crosloengual-bert,en,1,sum,cosine,0.6170888404168503,0.2700355433823514
pooled,EMBEDDIA/crosloengual-bert,en,2,sum,cosine,0.6045717976050561,0.2561764116441148
pooled,EMBEDDIA/crosloengual-bert,en,3,sum,cosine,0.598413538302735,0.23249975269706255
pooled,EMBEDDIA/crosloengual-bert,en,4,sum,cosine,0.5698312924446047,0.2661817158088204
pooled,EMBEDDIA/crosloengual-bert,en,5,sum,cosine,0.5375090329648785,0.25667169619999936
pooled,EMBEDDIA/crosloengual-bert,en,6,sum,cosine,0.5136305205073584,0.2529499219352949
pooled,EMBEDDIA/crosloengual-bert,en,7,sum,cosine,0.4968270115582688,0.25990098737646644
pooled,EMBEDDIA/crosloengual-bert,en,8,sum,cosine,0.4842798676081862,0.26324403860294027
pooled,EMBEDDIA/crosloengual-bert,en,9,sum,cosine,0.4767324510022449,0.2658571232852945
pooled,EMBEDDIA/crosloengual-bert,en,10,sum,cosine,0.4748468268321737,0.2542185245088256
pooled,bert-base-cased,en,0,sum,cosine,0.425197535988154,0.23434627377646927
pooled,bert-base-cased,en,1,sum,cosine,0.6291358744783218,0.22987013578234944
pooled,bert-base-cased,en,2,sum,cosine,0.6143027465344603,0.2679095460794141
pooled,bert-base-cased,en,3,sum,cosine,0.6019150198280416,0.24989033933823734
pooled,bert-base-cased,en,4,sum,cosine,0.5751083750826406,0.2390607430147076
pooled,bert-base-cased,en,5,sum,cosine,0.5399372810983873,0.2271933849264689
pooled,bert-base-cased,en,6,sum,cosine,0.5104154391984193,0.22088397242647154
pooled,bert-base-cased,en,7,sum,cosine,0.5009158202212087,0.20375766605293927
pooled,bert-base-cased,en,8,sum,cosine,0.4937579493249366,0.24629156213235653
pooled,bert-base-cased,en,9,sum,cosine,0.4864311102770381,0.2484423957117649
pooled,bert-base-cased,en,10,sum,cosine,0.4829156280662665,0.2398604600500007
pooled,bert-base-uncased,en,0,sum,cosine,0.4882162667081196,0.2402578586999987
pooled,bert-base-uncased,en,1,sum,cosine,0.6534424730952605,0.24503010796470334
pooled,bert-base-uncased,en,2,sum,cosine,0.6418333828195403,0.24464954093235278
pooled,bert-base-uncased,en,3,sum,cosine,0.631288648648786,0.24320188308823645
pooled,bert-base-uncased,en,4,sum,cosine,0.6061439806731662,0.2556280014705889
pooled,bert-base-uncased,en,5,sum,cosine,0.5665859274140811,0.24399742573529212
pooled,bert-base-uncased,en,6,sum,cosine,0.5376471713761165,0.24496665686470698
pooled,bert-base-uncased,en,7,sum,cosine,0.5227104965244318,0.2548621819852943
pooled,bert-base-uncased,en,8,sum,cosine,0.5146574318818729,0.24640678541764455
pooled,bert-base-uncased,en,9,sum,cosine,0.5099467912070493,0.24697812414117246
pooled,bert-base-uncased,en,10,sum,cosine,0.5068120690200716,0.2443370039205868
pooled,bert-large-cased,en,0,sum,cosine,0.391450502742569,0.5564855605411781
pooled,bert-large-cased,en,1,sum,cosine,0.6236452558730743,0.5944418306382377
pooled,bert-large-cased,en,2,sum,cosine,0.6200572045970314,0.5824046261029413
pooled,bert-large-cased,en,3,sum,cosine,0.620093201321473,0.5958362757352915
pooled,bert-large-cased,en,4,sum,cosine,0.5999280587025047,0.574940466667645
pooled,bert-large-cased,en,5,sum,cosine,0.5414537530020092,0.5709366503676446
pooled,bert-large-cased,en,6,sum,cosine,0.5065019598278386,0.5927415966911801
pooled,bert-large-cased,en,7,sum,cosine,0.4994706627292009,0.5901663596823495
pooled,bert-large-cased,en,8,sum,cosine,0.4896075220644161,0.6107062443617638
pooled,bert-large-cased,en,9,sum,cosine,0.4876117735155316,0.6053309633588203
pooled,bert-large-cased,en,10,sum,cosine,0.488279568183813,0.6038045713235346
pooled,bert-large-uncased,en,0,sum,cosine,0.2909773712400503,0.5760299632352945
pooled,bert-large-uncased,en,1,sum,cosine,0.6193212493241635,0.5937917191176412
pooled,bert-large-uncased,en,2,sum,cosine,0.6035154203214578,0.572505423405881
pooled,bert-large-uncased,en,3,sum,cosine,0.6235283883014564,0.592645687623532
pooled,bert-large-uncased,en,4,sum,cosine,0.6099772050487677,0.5876414349264665
pooled,bert-large-uncased,en,5,sum,cosine,0.5629376714770754,0.5952753230382394
pooled,bert-large-uncased,en,6,sum,cosine,0.5344804126369626,0.5993395648264755
pooled,bert-large-uncased,en,7,sum,cosine,0.5300090169990447,0.575257386152942
pooled,bert-large-uncased,en,8,sum,cosine,0.5124526717255152,0.5864059743853003
pooled,bert-large-uncased,en,9,sum,cosine,0.5131681215074526,0.5859349811294071
pooled,bert-large-uncased,en,10,sum,cosine,0.5074127805192129,0.5876837838235267
pooled,bert-large-cased-whole-word-masking,en,0,sum,cosine,0.2750522068788807,0.5476785087029438
pooled,bert-large-cased-whole-word-masking,en,1,sum,cosine,0.5615881706917966,0.5825597160529415
pooled,bert-large-cased-whole-word-masking,en,2,sum,cosine,0.5650752607003666,0.571665750611764
pooled,bert-large-cased-whole-word-masking,en,3,sum,cosine,0.568118655826306,0.5986950040441169
pooled,bert-large-cased-whole-word-masking,en,4,sum,cosine,0.5598071490658774,0.5774822324764661
pooled,bert-large-cased-whole-word-masking,en,5,sum,cosine,0.5333992202647134,0.5883208024500003
pooled,bert-large-cased-whole-word-masking,en,6,sum,cosine,0.5051646323276014,0.6013229962029394
pooled,bert-large-cased-whole-word-masking,en,7,sum,cosine,0.502368732936169,0.5714059324764735
pooled,bert-large-cased-whole-word-masking,en,8,sum,cosine,0.4918760758108375,0.5928379649529447
pooled,bert-large-cased-whole-word-masking,en,9,sum,cosine,0.4861935572375371,0.5968446215676415
pooled,bert-large-cased-whole-word-masking,en,10,sum,cosine,0.4812896260516695,0.6121268736529386
pooled,bert-large-uncased-whole-word-masking,en,0,sum,cosine,0.3798149499183606,0.5938874401970572
pooled,bert-large-uncased-whole-word-masking,en,1,sum,cosine,0.5742588726181171,0.6081896479176494
pooled,bert-large-uncased-whole-word-masking,en,2,sum,cosine,0.5454147112836202,0.5579488584558824
pooled,bert-large-uncased-whole-word-masking,en,3,sum,cosine,0.5373999520793584,0.6051181745088209
pooled,bert-large-uncased-whole-word-masking,en,4,sum,cosine,0.5183762972702587,0.5987269187500073
pooled,bert-large-uncased-whole-word-masking,en,5,sum,cosine,0.4853196133579746,0.5877625473029398
pooled,bert-large-uncased-whole-word-masking,en,6,sum,cosine,0.4589397804692846,0.5874056959558883
pooled,bert-large-uncased-whole-word-masking,en,7,sum,cosine,0.4545321219240632,0.6137897128676474
pooled,bert-large-uncased-whole-word-masking,en,8,sum,cosine,0.4469169902844883,0.58325346433824
