model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,en,0,concat,cosine,0.1609980229066436,0.009803409679443575
static,bert-base-multilingual-cased,en,1,concat,cosine,0.3734368504702455,0.008060063235290512
static,bert-base-multilingual-cased,en,2,concat,cosine,0.3640144476080962,0.007989925491197295
static,bert-base-multilingual-cased,en,3,concat,cosine,0.3582456580739734,0.007854973161781399
static,bert-base-multilingual-cased,en,4,concat,cosine,0.335554023041456,0.007723200244115159
static,bert-base-multilingual-cased,en,5,concat,cosine,0.3313208551599882,0.007735018382364241
static,bert-base-multilingual-cased,en,6,concat,cosine,0.2933360970681294,0.007921361764687497
static,bert-base-multilingual-cased,en,7,concat,cosine,0.2953894891530948,0.007988900367661913
static,bert-base-multilingual-cased,en,8,concat,cosine,0.2713283138407792,0.007864750611770433
static,bert-base-multilingual-cased,en,9,concat,cosine,0.2698257803011481,0.007909284682340085
static,bert-base-multilingual-cased,en,10,concat,cosine,0.234298344804685,0.007873126102940125
static,bert-base-multilingual-cased,en,11,concat,cosine,0.218002626903873,0.008390353920592187
static,bert-base-multilingual-cased,en,12,concat,cosine,0.1727459618136723,0.008240178429396646
static,bert-base-multilingual-cased,en,13,concat,cosine,0.1594445121724246,0.008022718258828665
static,bert-base-multilingual-cased,en,14,concat,cosine,0.1702526024865984,0.007871062376473085
static,bert-base-multilingual-cased,en,15,concat,cosine,0.1626415255031895,0.008030090808846152
static,bert-base-multilingual-cased,en,16,concat,cosine,0.163357062339299,0.008077886644134518
static,bert-base-multilingual-cased,en,17,concat,cosine,0.1650960206027074,0.008199142155910309
static,bert-base-multilingual-cased,en,18,concat,cosine,0.1398446783059626,0.008260982108827995
static,bert-base-multilingual-cased,en,19,concat,cosine,0.1408876853038373,0.008291259926473312
static,bert-base-multilingual-cased,en,20,concat,cosine,0.1165898580097637,0.008036690073512385
static,bert-base-multilingual-cased,en,21,concat,cosine,0.1124761952717675,0.008038943750023678
static,bert-base-multilingual-cased,en,22,concat,cosine,0.0984179973088608,0.007874345344102682
static,bert-base-multilingual-cased,en,23,concat,cosine,0.0995857107493151,0.007903959070587436
static,bert-base-multilingual-cased,en,24,concat,cosine,0.0947775900977141,0.00791960845586693
static,bert-base-multilingual-cased,en,25,concat,cosine,0.0894177109321854,0.008189398285278858
static,bert-base-multilingual-cased,en,26,concat,cosine,0.0913035662154021,0.00814370551469277
static,bert-base-multilingual-cased,en,27,concat,cosine,0.1235598132180779,0.0081734870087958
static,bert-base-multilingual-cased,en,28,concat,cosine,0.105349956952595,0.008143110294109005
static,bert-base-multilingual-cased,en,29,concat,cosine,0.0760971759382973,0.008158387867682476
static,bert-base-multilingual-cased,en,30,concat,cosine,0.075777917273283,0.008108357720587211
static,bert-base-multilingual-cased,en,31,concat,cosine,0.0924114347893668,0.008116252082340104
static,bert-base-multilingual-cased,en,32,concat,cosine,0.1299709857508094,0.007989848285326253
static,bert-base-multilingual-cased,en,33,concat,cosine,0.1408721047740586,0.007908174144112682
static,bert-base-multilingual-cased,en,34,concat,cosine,0.1598005279224302,0.007987572670604362
static,bert-base-multilingual-cased,en,35,concat,cosine,0.1752868588409151,0.008074609802946832
