model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,en,0,sum,cosine,0.16099802290664367,3.379440041999942
static,bert-base-multilingual-cased,en,1,sum,cosine,0.35201182929668695,2.4427517500000704
static,bert-base-multilingual-cased,en,2,sum,cosine,0.3662679496728031,2.395729582999934
static,bert-base-multilingual-cased,en,3,sum,cosine,0.36165096111082184,2.398159584000041
static,bert-base-multilingual-cased,en,4,sum,cosine,0.3512813725043541,2.4641919169999937
static,bert-base-multilingual-cased,en,5,sum,cosine,0.3550862756179757,2.3921170830000165
static,bert-base-multilingual-cased,en,6,sum,cosine,0.3468508827021508,2.387953916000015
static,bert-base-multilingual-cased,en,7,sum,cosine,0.3644282738374507,2.417690249999964
static,bert-base-multilingual-cased,en,8,sum,cosine,0.3909738309366749,2.4730667910000648
static,bert-base-multilingual-cased,en,9,sum,cosine,0.3869856099940059,2.4274244169999974
static,bert-base-multilingual-cased,en,10,sum,cosine,0.4056125548582624,2.405771125000001
static,bert-base-multilingual-cased,en,11,sum,cosine,0.4239938562557932,2.5234457499999507
static,bert-base-multilingual-cased,en,12,sum,cosine,0.42468059436991756,2.465444875000003
static,bert-base-multilingual-cased,en,13,sum,cosine,0.4385685727611366,2.449022709000019
static,bert-base-multilingual-cased,en,14,sum,cosine,0.4438072011712011,2.491944500000045
static,bert-base-multilingual-cased,en,15,sum,cosine,0.44467889977550623,2.5215337910000244
static,bert-base-multilingual-cased,en,16,sum,cosine,0.45363874888821043,2.467608667000036
static,bert-base-multilingual-cased,en,17,sum,cosine,0.45137095040498887,2.412319875000094
static,bert-base-multilingual-cased,en,18,sum,cosine,0.45491825965214316,2.410604625000019
static,bert-base-multilingual-cased,en,19,sum,cosine,0.45343334059907936,2.42655016599997
static,bert-base-multilingual-cased,en,20,sum,cosine,0.44846400964363964,2.5479935840000962
static,bert-base-multilingual-cased,en,21,sum,cosine,0.44897601402354315,2.43714137500001
static,bert-base-multilingual-cased,en,22,sum,cosine,0.4472583776410344,2.4788647919999676
static,bert-base-multilingual-cased,en,23,sum,cosine,0.442620193589106,2.4343982909999795
static,bert-base-multilingual-cased,en,24,sum,cosine,0.43996912973903557,2.4749105840000993
static,bert-base-multilingual-cased,en,25,sum,cosine,0.44076209942153566,2.470955666000009
static,bert-base-multilingual-cased,en,26,sum,cosine,0.4406500217845285,2.4824350830000412
static,bert-base-multilingual-cased,en,27,sum,cosine,0.44327727277706597,2.458795790999943
static,bert-base-multilingual-cased,en,28,sum,cosine,0.4394130251618378,2.6001031249999187
static,bert-base-multilingual-cased,en,29,sum,cosine,0.43208970321021956,2.533577625000021
static,bert-base-multilingual-cased,en,30,sum,cosine,0.43155763735826147,2.4577245829999583
static,bert-base-multilingual-cased,en,31,sum,cosine,0.43301235096557344,2.4930632080000805
static,bert-base-multilingual-cased,en,32,sum,cosine,0.4276787001896887,2.4891198750000285
static,bert-base-multilingual-cased,en,33,sum,cosine,0.4230672364634669,2.4676779579999675
static,bert-base-multilingual-cased,en,34,sum,cosine,0.4174669317111699,2.548206583000024
static,bert-base-multilingual-cased,en,35,sum,cosine,0.4102002877441544,2.5125915419999956
static,bert-base-multilingual-cased,en,36,sum,cosine,0.40676145123736207,2.4260121250000566
static,bert-base-multilingual-cased,en,37,sum,cosine,0.4028353477011861,2.4912533749999284
static,bert-base-multilingual-cased,en,38,sum,cosine,0.4059385589011614,2.450749916999939
static,bert-base-multilingual-cased,en,39,sum,cosine,0.40604387412478327,2.5566070840000066
static,bert-base-multilingual-cased,en,40,sum,cosine,0.40551571539656905,2.5116336669999555
static,bert-base-multilingual-cased,en,41,sum,cosine,0.3950913976691066,2.5415844579999884
static,bert-base-multilingual-cased,en,42,sum,cosine,0.38694561698500896,2.507305499999916
static,bert-base-multilingual-cased,en,43,sum,cosine,0.3828205284920033,2.665305124999918
static,bert-base-multilingual-cased,en,44,sum,cosine,0.3789663819075346,2.5065283750000162
static,bert-base-multilingual-cased,en,45,sum,cosine,0.376486499384196,2.4591160410000157
static,bert-base-multilingual-cased,en,46,sum,cosine,0.3745649905486814,2.49122562499997
static,bert-base-multilingual-cased,en,47,sum,cosine,0.36959140193102746,2.5127703330000486
static,bert-base-multilingual-cased,en,48,sum,cosine,0.36814687100332466,2.542701916999931
static,bert-base-multilingual-cased,en,49,sum,cosine,0.35683774903889875,2.5348747919999823
static,bert-base-multilingual-cased,en,50,sum,cosine,0.35382632700905725,2.463860375000081
static,bert-base-multilingual-uncased,en,0,sum,cosine,0.16179043080939637,3.2479986250000366
static,bert-base-multilingual-uncased,en,1,sum,cosine,0.35292073556735026,2.6191709170000195
static,bert-base-multilingual-uncased,en,2,sum,cosine,0.3807685202299844,2.5720885000000635
static,bert-base-multilingual-uncased,en,3,sum,cosine,0.3897653383648455,2.6389597500000264
static,bert-base-multilingual-uncased,en,4,sum,cosine,0.362530011083933,2.5744781250000415
static,bert-base-multilingual-uncased,en,5,sum,cosine,0.34847731101229074,2.5841590420000102
static,bert-base-multilingual-uncased,en,6,sum,cosine,0.3584070636926602,2.5953150830000595
static,bert-base-multilingual-uncased,en,7,sum,cosine,0.37514417166828706,2.5381803750000245
static,bert-base-multilingual-uncased,en,8,sum,cosine,0.4032508468294236,2.5725981660000343
static,bert-base-multilingual-uncased,en,9,sum,cosine,0.39993222120307803,2.63419266599999
static,bert-base-multilingual-uncased,en,10,sum,cosine,0.4129312256391846,2.629503542000066
static,bert-base-multilingual-uncased,en,11,sum,cosine,0.42186273488828996,2.56645125
static,bert-base-multilingual-uncased,en,12,sum,cosine,0.43189103149964114,2.5705365830000346
static,bert-base-multilingual-uncased,en,13,sum,cosine,0.43838800691321966,2.5581864170000017
static,bert-base-multilingual-uncased,en,14,sum,cosine,0.44496233654915196,2.6287488330000315
static,bert-base-multilingual-uncased,en,15,sum,cosine,0.4489111722318686,2.583569415999932
static,bert-base-multilingual-uncased,en,16,sum,cosine,0.45018554570186653,2.6048776669999825
static,bert-base-multilingual-uncased,en,17,sum,cosine,0.45415363607601167,2.585791874999927
static,bert-base-multilingual-uncased,en,18,sum,cosine,0.4507513512264796,2.603138209000008
static,bert-base-multilingual-uncased,en,19,sum,cosine,0.45484378936557324,3.0555572500001063
static,bert-base-multilingual-uncased,en,20,sum,cosine,0.4427716566907789,2.6191351250000707
static,bert-base-multilingual-uncased,en,21,sum,cosine,0.44376102111489946,2.646954457999982
static,bert-base-multilingual-uncased,en,22,sum,cosine,0.44431832268044913,2.5977733749999743
static,bert-base-multilingual-uncased,en,23,sum,cosine,0.43975041388641956,2.6483692499999734
static,bert-base-multilingual-uncased,en,24,sum,cosine,0.4350674287058047,2.648251584000036
static,bert-base-multilingual-uncased,en,25,sum,cosine,0.4414787716741445,2.6140992090000736
static,bert-base-multilingual-uncased,en,26,sum,cosine,0.437549128322973,2.624921666999967
static,bert-base-multilingual-uncased,en,27,sum,cosine,0.4358592725806456,2.727813582999943
static,bert-base-multilingual-uncased,en,28,sum,cosine,0.43160070715670407,2.67831954199994
static,bert-base-multilingual-uncased,en,29,sum,cosine,0.4291574191448916,2.694983707999995
static,bert-base-multilingual-uncased,en,30,sum,cosine,0.43067116367919,2.675215875000049
static,bert-base-multilingual-uncased,en,31,sum,cosine,0.4284802367512559,2.797652625000069
static,bert-base-multilingual-uncased,en,32,sum,cosine,0.4237055591287371,2.692576417000055
static,bert-base-multilingual-uncased,en,33,sum,cosine,0.41605308052497514,2.6708854999999403
static,bert-base-multilingual-uncased,en,34,sum,cosine,0.4134155629832572,2.7455782079999835
static,bert-base-multilingual-uncased,en,35,sum,cosine,0.40795652316333,2.6612775000000966
static,bert-base-multilingual-uncased,en,36,sum,cosine,0.4004569149745789,2.745240792000004
static,bert-base-multilingual-uncased,en,37,sum,cosine,0.39687983214361733,2.7037635840000576
static,bert-base-multilingual-uncased,en,38,sum,cosine,0.3982079313390008,2.928898624999988
static,bert-base-multilingual-uncased,en,39,sum,cosine,0.39821568503735794,2.6808685419999847
static,bert-base-multilingual-uncased,en,40,sum,cosine,0.3931600039830816,2.6320810419999816
static,bert-base-multilingual-uncased,en,41,sum,cosine,0.3857280356358208,2.752114416999916
static,bert-base-multilingual-uncased,en,42,sum,cosine,0.3798929997895448,2.639233499999932
static,bert-base-multilingual-uncased,en,43,sum,cosine,0.37527029396102296,2.6750346659999877
static,bert-base-multilingual-uncased,en,44,sum,cosine,0.3756519331804845,2.6387647499999503
static,bert-base-multilingual-uncased,en,45,sum,cosine,0.3748000147684638,2.6847392090000994
static,bert-base-multilingual-uncased,en,46,sum,cosine,0.3692479209661017,2.7448568329999716
static,bert-base-multilingual-uncased,en,47,sum,cosine,0.3598810099038614,2.7291166249999605
static,bert-base-multilingual-uncased,en,48,sum,cosine,0.3540767121102155,2.695016459000044
static,bert-base-multilingual-uncased,en,49,sum,cosine,0.3495720761191089,2.6662461250000433
static,bert-base-multilingual-uncased,en,50,sum,cosine,0.3483723481491581,2.6909527079999407
static,EMBEDDIA/crosloengual-bert,en,0,sum,cosine,0.10194528728608376,2.204343999999992
static,EMBEDDIA/crosloengual-bert,en,1,sum,cosine,0.2959702765189616,2.052729582999973
static,EMBEDDIA/crosloengual-bert,en,2,sum,cosine,0.34043694604260466,2.0772094579999703
static,EMBEDDIA/crosloengual-bert,en,3,sum,cosine,0.3665489867746339,2.0736587910000708
static,EMBEDDIA/crosloengual-bert,en,4,sum,cosine,0.36251859313602275,2.0662556669999503
static,EMBEDDIA/crosloengual-bert,en,5,sum,cosine,0.36147734924426334,2.068758667000111
static,EMBEDDIA/crosloengual-bert,en,6,sum,cosine,0.3773057403914918,2.0580291660000967
static,EMBEDDIA/crosloengual-bert,en,7,sum,cosine,0.38900645225583386,2.077661374999934
static,EMBEDDIA/crosloengual-bert,en,8,sum,cosine,0.3901125923318485,2.0749124169999504
static,EMBEDDIA/crosloengual-bert,en,9,sum,cosine,0.36696451257023166,2.1151062500000535
static,EMBEDDIA/crosloengual-bert,en,10,sum,cosine,0.37419061019913413,2.119993415999943
static,EMBEDDIA/crosloengual-bert,en,11,sum,cosine,0.39744447167079244,2.1246130829999856
static,EMBEDDIA/crosloengual-bert,en,12,sum,cosine,0.3917157716521309,2.0874597910001285
static,EMBEDDIA/crosloengual-bert,en,13,sum,cosine,0.4029532177626248,2.0588633330000903
static,EMBEDDIA/crosloengual-bert,en,14,sum,cosine,0.4139055416273434,2.086645082999894
static,EMBEDDIA/crosloengual-bert,en,15,sum,cosine,0.4318639243606339,2.0591682910001055
static,EMBEDDIA/crosloengual-bert,en,16,sum,cosine,0.4380206376794009,2.132920624999997
static,EMBEDDIA/crosloengual-bert,en,17,sum,cosine,0.43871108136421144,2.159749124999962
static,EMBEDDIA/crosloengual-bert,en,18,sum,cosine,0.4326394669864566,2.147233749999941
static,EMBEDDIA/crosloengual-bert,en,19,sum,cosine,0.43759902230452163,2.1087447090001206
static,EMBEDDIA/crosloengual-bert,en,20,sum,cosine,0.4308554172427863,2.1131647079998856
static,EMBEDDIA/crosloengual-bert,en,21,sum,cosine,0.4308220379725044,2.1122318749999067
static,EMBEDDIA/crosloengual-bert,en,22,sum,cosine,0.431194334611802,2.441041499999983
static,EMBEDDIA/crosloengual-bert,en,23,sum,cosine,0.4221155589562102,2.1658720000000358
static,EMBEDDIA/crosloengual-bert,en,24,sum,cosine,0.4234556897240672,2.142647249999982
