model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,en,0,sum,cosine,0.1609980229066436,0.009939529535293947
static,bert-base-multilingual-cased,en,1,sum,cosine,0.3520118292966869,0.007184563970588443
static,bert-base-multilingual-cased,en,2,sum,cosine,0.3662679496728031,0.00704626347941157
static,bert-base-multilingual-cased,en,3,sum,cosine,0.3616509611108218,0.007053410541176591
static,bert-base-multilingual-cased,en,4,sum,cosine,0.3512813725043541,0.007247623285294099
static,bert-base-multilingual-cased,en,5,sum,cosine,0.3550862756179757,0.0070356384794118135
static,bert-base-multilingual-cased,en,6,sum,cosine,0.3468508827021508,0.00702339387058828
static,bert-base-multilingual-cased,en,7,sum,cosine,0.3644282738374507,0.007110853676470483
static,bert-base-multilingual-cased,en,8,sum,cosine,0.3909738309366749,0.007273725855882544
static,bert-base-multilingual-cased,en,9,sum,cosine,0.3869856099940059,0.007139483579411758
static,bert-base-multilingual-cased,en,10,sum,cosine,0.4056125548582624,0.0070757974264705915
static,bert-base-multilingual-cased,en,11,sum,cosine,0.4239938562557932,0.007421899264705737
static,bert-base-multilingual-cased,en,12,sum,cosine,0.4246805943699175,0.007251308455882361
static,bert-base-multilingual-cased,en,13,sum,cosine,0.4385685727611366,0.007203007967647114
static,bert-base-multilingual-cased,en,14,sum,cosine,0.4438072011712011,0.007329248529411897
static,bert-base-multilingual-cased,en,15,sum,cosine,0.4446788997755062,0.007416275855882425
static,bert-base-multilingual-cased,en,16,sum,cosine,0.4536387488882104,0.007257672550000106
static,bert-base-multilingual-cased,en,17,sum,cosine,0.4513709504049888,0.007095058455882629
static,bert-base-multilingual-cased,en,18,sum,cosine,0.4549182596521431,0.007090013602941233
static,bert-base-multilingual-cased,en,19,sum,cosine,0.4534333405990793,0.007136912252941088
static,bert-base-multilingual-cased,en,20,sum,cosine,0.4484640096436396,0.00749409877647087
static,bert-base-multilingual-cased,en,21,sum,cosine,0.4489760140235431,0.007168062867647089
static,bert-base-multilingual-cased,en,22,sum,cosine,0.4472583776410344,0.007290778799999904
static,bert-base-multilingual-cased,en,23,sum,cosine,0.442620193589106,0.007159994973529351
static,bert-base-multilingual-cased,en,24,sum,cosine,0.4399691297390355,0.007279148776470881
static,bert-base-multilingual-cased,en,25,sum,cosine,0.4407620994215356,0.007267516664705908
static,bert-base-multilingual-cased,en,26,sum,cosine,0.4406500217845285,0.007301279655882474
static,bert-base-multilingual-cased,en,27,sum,cosine,0.4432772727770659,0.007231752326470421
static,bert-base-multilingual-cased,en,28,sum,cosine,0.4394130251618378,0.007647362132352702
static,bert-base-multilingual-cased,en,29,sum,cosine,0.4320897032102195,0.007451698897058885
static,bert-base-multilingual-cased,en,30,sum,cosine,0.4315576373582614,0.00722860171470576
static,bert-base-multilingual-cased,en,31,sum,cosine,0.4330123509655734,0.0073325388470590605
static,bert-base-multilingual-cased,en,32,sum,cosine,0.4276787001896887,0.007320940808823613
static,bert-base-multilingual-cased,en,33,sum,cosine,0.4230672364634669,0.007257876347058728
static,bert-base-multilingual-cased,en,34,sum,cosine,0.4174669317111699,0.007494725244117717
static,bert-base-multilingual-cased,en,35,sum,cosine,0.4102002877441544,0.0073899751235293985
static,bert-base-multilingual-cased,en,36,sum,cosine,0.406761451237362,0.007135329779411931
static,bert-base-multilingual-cased,en,37,sum,cosine,0.4028353477011861,0.007327215808823319
static,bert-base-multilingual-cased,en,38,sum,cosine,0.4059385589011614,0.007208087991176291
static,bert-base-multilingual-cased,en,39,sum,cosine,0.4060438741247832,0.00751943260000002
static,bert-base-multilingual-cased,en,40,sum,cosine,0.405515715396569,0.0073871578441175164
static,bert-base-multilingual-cased,en,41,sum,cosine,0.3950913976691066,0.007475248405882319
static,bert-base-multilingual-cased,en,42,sum,cosine,0.3869456169850089,0.007374427941176223
static,bert-base-multilingual-cased,en,43,sum,cosine,0.3828205284920033,0.007839132720587994
static,bert-base-multilingual-cased,en,44,sum,cosine,0.3789663819075346,0.007372142279411811
static,bert-base-multilingual-cased,en,45,sum,cosine,0.376486499384196,0.00723269423823534
static,bert-base-multilingual-cased,en,46,sum,cosine,0.3745649905486814,0.007327134191176383
static,bert-base-multilingual-cased,en,47,sum,cosine,0.3695914019310274,0.007390500979411908
static,bert-base-multilingual-cased,en,48,sum,cosine,0.3681468710033246,0.007478535049999797
static,bert-base-multilingual-cased,en,49,sum,cosine,0.3568377490388987,0.007455514094117595
static,bert-base-multilingual-cased,en,50,sum,cosine,0.3538263270090572,0.007246648161764945
static,bert-base-multilingual-uncased,en,0,sum,cosine,0.1617904308093963,0.00955293713235305
static,bert-base-multilingual-uncased,en,1,sum,cosine,0.3529207355673502,0.007703443873529469
static,bert-base-multilingual-uncased,en,2,sum,cosine,0.3807685202299844,0.007564966176470775
static,bert-base-multilingual-uncased,en,3,sum,cosine,0.3897653383648455,0.007761646323529489
static,bert-base-multilingual-uncased,en,4,sum,cosine,0.362530011083933,0.00757199448529424
static,bert-base-multilingual-uncased,en,5,sum,cosine,0.3484773110122907,0.007600467770588266
static,bert-base-multilingual-uncased,en,6,sum,cosine,0.3584070636926602,0.007633279655882528
static,bert-base-multilingual-uncased,en,7,sum,cosine,0.375144171668287,0.007465236397058895
static,bert-base-multilingual-uncased,en,8,sum,cosine,0.4032508468294236,0.0075664651941177484
static,bert-base-multilingual-uncased,en,9,sum,cosine,0.399932221203078,0.007747625488235264
static,bert-base-multilingual-uncased,en,10,sum,cosine,0.4129312256391846,0.007733833947059017
static,bert-base-multilingual-uncased,en,11,sum,cosine,0.4218627348882899,0.0075483860294117645
static,bert-base-multilingual-uncased,en,12,sum,cosine,0.4318910314996411,0.007560401714705983
static,bert-base-multilingual-uncased,en,13,sum,cosine,0.4383880069132196,0.007524077697058829
static,bert-base-multilingual-uncased,en,14,sum,cosine,0.4449623365491519,0.007731614214705975
static,bert-base-multilingual-uncased,en,15,sum,cosine,0.4489111722318686,0.007598733576470389
static,bert-base-multilingual-uncased,en,16,sum,cosine,0.4501855457018665,0.007661404902941125
static,bert-base-multilingual-uncased,en,17,sum,cosine,0.4541536360760116,0.007605270220588021
static,bert-base-multilingual-uncased,en,18,sum,cosine,0.4507513512264796,0.007656288850000023
static,bert-base-multilingual-uncased,en,19,sum,cosine,0.4548437893655732,0.008986933088235607
static,bert-base-multilingual-uncased,en,20,sum,cosine,0.4427716566907789,0.007703338602941385
static,bert-base-multilingual-uncased,en,21,sum,cosine,0.4437610211148994,0.007785160170588183
