model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,hr,0,sum,cosine,0.1975767873700494,0.021391835187492752
static,bert-base-multilingual-cased,hr,1,sum,cosine,0.2204249923318755,0.016153071053565782
static,bert-base-multilingual-cased,hr,2,sum,cosine,0.1838390757062429,0.01582969754464005
static,bert-base-multilingual-cased,hr,3,sum,cosine,0.1824129038298616,0.015860428571426968
static,bert-base-multilingual-cased,hr,4,sum,cosine,0.1539175107243507,0.015946892857146264
static,bert-base-multilingual-cased,hr,5,sum,cosine,0.2441489529732669,0.015833185642853614
static,bert-base-multilingual-cased,hr,6,sum,cosine,0.3014420417684662,0.01937401933928738
static,bert-base-multilingual-cased,hr,7,sum,cosine,0.3449083502643315,0.016017205732144442
static,bert-base-multilingual-cased,hr,8,sum,cosine,0.3652982388817812,0.01607955432142814
static,bert-base-multilingual-cased,hr,9,sum,cosine,0.3591253273243007,0.01599638206249665
static,bert-base-multilingual-cased,hr,10,sum,cosine,0.3871046205956696,0.015834099330358446
static,bert-base-multilingual-cased,hr,11,sum,cosine,0.3989833023510497,0.016000355651783593
static,bert-base-multilingual-cased,hr,12,sum,cosine,0.3983333844742927,0.016001727303570794
static,bert-base-multilingual-cased,hr,13,sum,cosine,0.4119882324693293,0.018793178205360812
static,bert-base-multilingual-cased,hr,14,sum,cosine,0.4082410503924121,0.016439469866075536
static,bert-base-multilingual-cased,hr,15,sum,cosine,0.4174768638563362,0.01676614955357536
static,bert-base-multilingual-cased,hr,16,sum,cosine,0.4141444736777465,0.01640211718750249
static,bert-base-multilingual-cased,hr,17,sum,cosine,0.4318965110270134,0.01644269606249996
static,bert-base-multilingual-cased,hr,18,sum,cosine,0.4381433110135675,0.01623164881250107
static,bert-base-multilingual-cased,hr,19,sum,cosine,0.4613882369415865,0.016589070312501723
static,bert-base-multilingual-cased,hr,20,sum,cosine,0.4767933649335321,0.016506739589284992
static,bert-base-multilingual-cased,hr,21,sum,cosine,0.4696987502428401,0.01635034225893151
static,bert-base-multilingual-cased,hr,22,sum,cosine,0.482494534282641,0.016477446794640725
static,bert-base-multilingual-cased,hr,23,sum,cosine,0.4939290200412692,0.01635321763393449
static,bert-base-multilingual-cased,hr,24,sum,cosine,0.5050271972203638,0.01632328385713728
static,bert-base-multilingual-cased,hr,25,sum,cosine,0.5115509109953098,0.016449549107140422
static,bert-base-multilingual-cased,hr,26,sum,cosine,0.5207001862553258,0.016509498508932147
static,bert-base-multilingual-cased,hr,27,sum,cosine,0.5237140295121642,0.016453443446429055
static,bert-base-multilingual-cased,hr,28,sum,cosine,0.5233917808919876,0.016644196062502812
static,bert-base-multilingual-cased,hr,29,sum,cosine,0.5236958822992195,0.016827953125000152
static,bert-base-multilingual-cased,hr,30,sum,cosine,0.5290011164727525,0.01630070237499532
static,bert-base-multilingual-cased,hr,31,sum,cosine,0.527765017921754,0.016503018223212557
static,bert-base-multilingual-cased,hr,32,sum,cosine,0.5351392283520078,0.016563114955350296
static,bert-base-multilingual-cased,hr,33,sum,cosine,0.530845569006483,0.016454373142859628
static,bert-base-multilingual-cased,hr,34,sum,cosine,0.5273814284465612,0.016203286455363144
static,bert-base-multilingual-cased,hr,35,sum,cosine,0.526322576168219,0.01656951636606761
static,bert-base-multilingual-cased,hr,36,sum,cosine,0.5274430511562727,0.01617421167856849
static,bert-base-multilingual-cased,hr,37,sum,cosine,0.5216062214565633,0.016590749633922187
static,bert-base-multilingual-cased,hr,38,sum,cosine,0.5279906392129124,0.01665788801785441
static,bert-base-multilingual-cased,hr,39,sum,cosine,0.5262049155043148,0.01653262388392867
static,bert-base-multilingual-cased,hr,40,sum,cosine,0.5181127276480054,0.01679879873214369
static,bert-base-multilingual-cased,hr,41,sum,cosine,0.5114077322880909,0.016599430428576464
static,bert-base-multilingual-cased,hr,42,sum,cosine,0.5120410766476563,0.016475277535716617
static,bert-base-multilingual-cased,hr,43,sum,cosine,0.5145494844062677,0.01684483444643092
static,bert-base-multilingual-cased,hr,44,sum,cosine,0.507485132876743,0.016548901419647724
