model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,sl,0,sum,cosine,0.2181514144556083,0.019285048801795532
static,bert-base-multilingual-cased,sl,1,sum,cosine,0.1490636453851316,0.017117943315317283
static,bert-base-multilingual-cased,sl,2,sum,cosine,0.2078703505592315,0.016828772891892947
static,bert-base-multilingual-cased,sl,3,sum,cosine,0.2499698123584766,0.01684148873873464
static,bert-base-multilingual-cased,sl,4,sum,cosine,0.236190441480278,0.017830118243239726
static,bert-base-multilingual-cased,sl,5,sum,cosine,0.2718835667436685,0.017301402396402116
static,bert-base-multilingual-cased,sl,6,sum,cosine,0.2436142194873221,0.016334722603607733
static,bert-base-multilingual-cased,sl,7,sum,cosine,0.2593184442886793,0.01678544707207235
static,bert-base-multilingual-cased,sl,8,sum,cosine,0.3164447597507593,0.022765506756759597
static,bert-base-multilingual-cased,sl,9,sum,cosine,0.3015413449964699,0.018781108855856054
static,bert-base-multilingual-cased,sl,10,sum,cosine,0.2985908167181942,0.01723339301802421
static,bert-base-multilingual-cased,sl,11,sum,cosine,0.3023626408538384,0.01690820157657547
static,bert-base-multilingual-cased,sl,12,sum,cosine,0.292856022743365,0.018162257135135168
static,bert-base-multilingual-cased,sl,13,sum,cosine,0.2676202076318101,0.017050391891889623
static,bert-base-multilingual-cased,sl,14,sum,cosine,0.2745217327381162,0.016560740243237903
static,bert-base-multilingual-cased,sl,15,sum,cosine,0.2584719623514397,0.016606519891890485
static,bert-base-multilingual-cased,sl,16,sum,cosine,0.250202999632657,0.016846526279272158
static,bert-base-multilingual-cased,sl,17,sum,cosine,0.2547306795369775,0.01645162875675843
static,bert-base-multilingual-cased,sl,18,sum,cosine,0.2709985723613155,0.017653682801800324
static,bert-base-multilingual-cased,sl,19,sum,cosine,0.2774745352889144,0.01750335923423352
static,bert-base-multilingual-cased,sl,20,sum,cosine,0.267440227627741,0.016441305180181574
static,bert-base-multilingual-cased,sl,21,sum,cosine,0.2619923313734389,0.01678290540540557
static,bert-base-multilingual-cased,sl,22,sum,cosine,0.2567385453274711,0.016621469594594585
static,bert-base-multilingual-cased,sl,23,sum,cosine,0.2499200695861148,0.017738972594588225
static,bert-base-multilingual-cased,sl,24,sum,cosine,0.2457206268123609,0.016524947072071996
static,bert-base-multilingual-cased,sl,25,sum,cosine,0.245467590976709,0.016672472594592848
static,bert-base-multilingual-cased,sl,26,sum,cosine,0.2500760822266435,0.016467123126121065
static,bert-base-multilingual-cased,sl,27,sum,cosine,0.2379432011842417,0.01652119406306254
static,bert-base-multilingual-cased,sl,28,sum,cosine,0.2226105189284001,0.016547842720716324
static,bert-base-multilingual-cased,sl,29,sum,cosine,0.2056784685986524,0.016763408414418163
static,bert-base-multilingual-cased,sl,30,sum,cosine,0.2043540841864212,0.017157373873872915
static,bert-base-multilingual-cased,sl,31,sum,cosine,0.1926848723433873,0.01649431869368978
static,bert-base-multilingual-cased,sl,32,sum,cosine,0.1792891209961782,0.01664666328828766
static,bert-base-multilingual-cased,sl,33,sum,cosine,0.170376731247534,0.017058475225222774
static,bert-base-multilingual-cased,sl,34,sum,cosine,0.1557400625685735,0.01663414452252402
static,bert-base-multilingual-cased,sl,35,sum,cosine,0.1438057607542731,0.01656735209909531
static,bert-base-multilingual-cased,sl,36,sum,cosine,0.1358909126572547,0.01637467004504517
