model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,en,0,sum,cosine,0.5262751443287728,0.18832451764705826
contextual,bert-base-multilingual-cased,en,1,sum,cosine,0.57358553232272,0.19955734264706682
contextual,bert-base-multilingual-cased,en,2,sum,cosine,0.5708872084146817,0.22731889779410908
contextual,bert-base-multilingual-cased,en,3,sum,cosine,0.5671057271914741,0.21405888247353527
contextual,bert-base-multilingual-cased,en,4,sum,cosine,0.5463537563323785,0.22981144828528854
contextual,bert-base-multilingual-cased,en,5,sum,cosine,0.516738177285097,0.24086385539117414
contextual,bert-base-multilingual-cased,en,6,sum,cosine,0.5012120945153337,0.22368979032058525
contextual,bert-base-multilingual-cased,en,7,sum,cosine,0.4912007890614827,0.21291333737648102
contextual,bert-base-multilingual-cased,en,8,sum,cosine,0.4822803007753925,0.21950132340588263
contextual,bert-base-multilingual-cased,en,9,sum,cosine,0.4805023730633451,0.23200842083235115
contextual,bert-base-multilingual-cased,en,10,sum,cosine,0.4793077019627871,0.21774449522058337
contextual,bert-base-multilingual-uncased,en,0,sum,cosine,0.446697083345199,0.21012963382353894
contextual,bert-base-multilingual-uncased,en,1,sum,cosine,0.5502020527982542,0.24927076433822923
contextual,bert-base-multilingual-uncased,en,2,sum,cosine,0.5659214841942803,0.24628713799117094
contextual,bert-base-multilingual-uncased,en,3,sum,cosine,0.5769334597307454,0.23538825698528587
contextual,bert-base-multilingual-uncased,en,4,sum,cosine,0.5637755572748696,0.2306181792911743
contextual,bert-base-multilingual-uncased,en,5,sum,cosine,0.5356588500313527,0.2313318660529309
contextual,bert-base-multilingual-uncased,en,6,sum,cosine,0.5255544680976885,0.24917515760000028
contextual,bert-base-multilingual-uncased,en,7,sum,cosine,0.517764254896859,0.25462456777058834
contextual,bert-base-multilingual-uncased,en,8,sum,cosine,0.5078111097334691,0.2696800854176485
contextual,bert-base-multilingual-uncased,en,9,sum,cosine,0.5041481084196733,0.2656973398294106
contextual,bert-base-multilingual-uncased,en,10,sum,cosine,0.5034519147949861,0.25354276838235607
contextual,EMBEDDIA/crosloengual-bert,en,0,sum,cosine,0.3939869727661118,0.24246805710588568
contextual,EMBEDDIA/crosloengual-bert,en,1,sum,cosine,0.6046004024609157,0.2584942763470548
contextual,EMBEDDIA/crosloengual-bert,en,2,sum,cosine,0.6023424331491857,0.2741454667882435
contextual,EMBEDDIA/crosloengual-bert,en,3,sum,cosine,0.607003268439612,0.25463980539117237
contextual,EMBEDDIA/crosloengual-bert,en,4,sum,cosine,0.5823685849214136,0.27710951862646815
contextual,EMBEDDIA/crosloengual-bert,en,5,sum,cosine,0.5553916799891702,0.3002780185058809
contextual,EMBEDDIA/crosloengual-bert,en,6,sum,cosine,0.5354366830127564,0.26512082463235426
contextual,EMBEDDIA/crosloengual-bert,en,7,sum,cosine,0.5174804714802682,0.27449312169117224
contextual,EMBEDDIA/crosloengual-bert,en,8,sum,cosine,0.5048731436754677,0.25609472058823646
contextual,EMBEDDIA/crosloengual-bert,en,9,sum,cosine,0.4958175357090765,0.26427897242646237
contextual,EMBEDDIA/crosloengual-bert,en,10,sum,cosine,0.4920061922803554,0.25200243872352396
contextual,bert-base-cased,en,0,sum,cosine,0.4327769945220148,0.24995365882352738
contextual,bert-base-cased,en,1,sum,cosine,0.5559957621979599,0.26036237009999136
contextual,bert-base-cased,en,2,sum,cosine,0.551254105764567,0.2740777506146996
contextual,bert-base-cased,en,3,sum,cosine,0.553461795368334,0.2501334748794119
contextual,bert-base-cased,en,4,sum,cosine,0.5423358389992897,0.23812656017058437
contextual,bert-base-cased,en,5,sum,cosine,0.5238791677769622,0.23422339215588128
contextual,bert-base-cased,en,6,sum,cosine,0.5172156749760535,0.25672703235293953
contextual,bert-base-cased,en,7,sum,cosine,0.5157574933105497,0.2585003948529394
contextual,bert-base-cased,en,8,sum,cosine,0.5133434439564578,0.2466340132352878
contextual,bert-base-cased,en,9,sum,cosine,0.5047254753696698,0.2683708235294141
contextual,bert-base-cased,en,10,sum,cosine,0.4976851530847705,0.25136355833529866
contextual,bert-base-uncased,en,0,sum,cosine,0.4883795649003549,0.23705392095589023
contextual,bert-base-uncased,en,1,sum,cosine,0.6601911780637532,0.24441412916470762
contextual,bert-base-uncased,en,2,sum,cosine,0.6499858164401888,0.24748365134705905
contextual,bert-base-uncased,en,3,sum,cosine,0.6465702339508067,0.26031494191175786
contextual,bert-base-uncased,en,4,sum,cosine,0.6240237977516031,0.2579567236529329
contextual,bert-base-uncased,en,5,sum,cosine,0.5791974789685264,0.26243434522059356
contextual,bert-base-uncased,en,6,sum,cosine,0.5572737351356057,0.2523893297794155
contextual,bert-base-uncased,en,7,sum,cosine,0.5431624756495845,0.2625595904411752
contextual,bert-base-uncased,en,8,sum,cosine,0.5317494412091959,0.2578069562499984
contextual,bert-base-uncased,en,9,sum,cosine,0.5247927103806795,0.27080420735294275
contextual,bert-base-uncased,en,10,sum,cosine,0.5192112168763364,0.2669393290441161
contextual,bert-large-cased,en,0,sum,cosine,0.4143331937184591,0.5765059936264793
contextual,bert-large-cased,en,1,sum,cosine,0.5370151672033427,0.6618256723058842
contextual,bert-large-cased,en,2,sum,cosine,0.5329743557795795,0.6562899651970677
contextual,bert-large-cased,en,3,sum,cosine,0.5375869080953652,0.5963662360294192
contextual,bert-large-cased,en,4,sum,cosine,0.5367902636324692,0.6296020110294194
contextual,bert-large-cased,en,5,sum,cosine,0.5044386174722524,0.6299025138470503
contextual,bert-large-cased,en,6,sum,cosine,0.4913821573895325,0.5852444411764737
contextual,bert-large-cased,en,7,sum,cosine,0.4872461912380186,0.6382520512264711
contextual,bert-large-cased,en,8,sum,cosine,0.4787033299900542,0.6381691341911766
contextual,bert-large-cased,en,9,sum,cosine,0.4728034953656779,0.587403692523538
contextual,bert-large-cased,en,10,sum,cosine,0.4747748673478817,0.6365197542882444
contextual,bert-large-uncased,en,0,sum,cosine,0.3531235051243766,0.5840936707117769
contextual,bert-large-uncased,en,1,sum,cosine,0.5207023463519905,0.629637736029412
contextual,bert-large-uncased,en,2,sum,cosine,0.4936475573158747,0.6261440256147205
contextual,bert-large-uncased,en,3,sum,cosine,0.5084286663435897,0.6357461075970444
contextual,bert-large-uncased,en,4,sum,cosine,0.4959603510335646,0.6269115687500101
contextual,bert-large-uncased,en,5,sum,cosine,0.481989385477505,0.6015344700970564
contextual,bert-large-uncased,en,6,sum,cosine,0.4813653376986153,0.6006490969352907
contextual,bert-large-uncased,en,7,sum,cosine,0.4692685272014719,0.5853076799029462
contextual,bert-large-uncased,en,8,sum,cosine,0.4593182653510539,0.5662191764705794
contextual,bert-large-uncased,en,9,sum,cosine,0.4566414127203906,0.5693610306382385
contextual,bert-large-uncased,en,10,sum,cosine,0.4628589088061732,0.6553614792882239
contextual,bert-large-cased-whole-word-masking,en,0,sum,cosine,0.3628878012742129,0.5840307170323608
contextual,bert-large-cased-whole-word-masking,en,1,sum,cosine,0.5494736852193354,0.6027280229147008
contextual,bert-large-cased-whole-word-masking,en,2,sum,cosine,0.556645075556079,0.6122918292882411
contextual,bert-large-cased-whole-word-masking,en,3,sum,cosine,0.5451076799365656,0.5772558180147077
contextual,bert-large-cased-whole-word-masking,en,4,sum,cosine,0.543568293446605,0.6206479879882381
contextual,bert-large-cased-whole-word-masking,en,5,sum,cosine,0.5246495602544422,0.581369327941181
contextual,bert-large-cased-whole-word-masking,en,6,sum,cosine,0.507970723531967,0.6237551908088361
contextual,bert-large-cased-whole-word-masking,en,7,sum,cosine,0.5058402848625448,0.592571135785286
contextual,bert-large-cased-whole-word-masking,en,8,sum,cosine,0.495289918769603,0.5812462670352997
contextual,bert-large-cased-whole-word-masking,en,9,sum,cosine,0.4869679469687541,0.6103719920352887
contextual,bert-large-cased-whole-word-masking,en,10,sum,cosine,0.4807457936044884,0.6108835044117501
contextual,bert-large-uncased-whole-word-masking,en,0,sum,cosine,0.4453313242841041,0.5494959615205838
contextual,bert-large-uncased-whole-word-masking,en,1,sum,cosine,0.5937191095483499,0.6413655774499871
contextual,bert-large-uncased-whole-word-masking,en,2,sum,cosine,0.5812193377196563,0.604820615073528
contextual,bert-large-uncased-whole-word-masking,en,3,sum,cosine,0.573662570606893,0.6308638459559006
contextual,bert-large-uncased-whole-word-masking,en,4,sum,cosine,0.5604015643837025,0.5874461718117613
contextual,bert-large-uncased-whole-word-masking,en,5,sum,cosine,0.5253644102433568,0.6113528077205795
contextual,bert-large-uncased-whole-word-masking,en,6,sum,cosine,0.5031323145793078,0.6181324887264696
contextual,bert-large-uncased-whole-word-masking,en,7,sum,cosine,0.4928270475360844,0.6316910370117564
contextual,bert-large-uncased-whole-word-masking,en,8,sum,cosine,0.4809865987882525,0.6527972488970537
contextual,bert-large-uncased-whole-word-masking,en,9,sum,cosine,0.4730995250959373,0.6201982286764712
contextual,bert-large-uncased-whole-word-masking,en,10,sum,cosine,0.4646685719823418,0.6053385297794139
