model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,en,15,sum,cosine,0.48853223800574086,66.46234775000084
contextual,bert-base-multilingual-cased,en,16,sum,cosine,0.4879970377414028,68.69966575000035
contextual,bert-base-multilingual-cased,en,17,sum,cosine,0.48905785775686916,67.97890629200083
contextual,bert-base-multilingual-cased,en,18,sum,cosine,0.48671561522112294,69.20733087499866
contextual,bert-base-multilingual-cased,en,19,sum,cosine,0.4800587611534324,72.16337408400068
contextual,bert-base-multilingual-cased,en,20,sum,cosine,0.4730627924168016,74.71167437499935
contextual,bert-base-multilingual-uncased,en,15,sum,cosine,0.5066100224757762,75.30278295900098
contextual,bert-base-multilingual-uncased,en,16,sum,cosine,0.5003051944143686,73.73534608299997
contextual,bert-base-multilingual-uncased,en,17,sum,cosine,0.4942637001213398,76.48744637500022
contextual,bert-base-multilingual-uncased,en,18,sum,cosine,0.4883451204187359,71.73649812500116
contextual,bert-base-multilingual-uncased,en,19,sum,cosine,0.4801798472837929,72.75379604199952
contextual,bert-base-multilingual-uncased,en,20,sum,cosine,0.47041949841594155,76.83277295800144
contextual,EMBEDDIA/crosloengual-bert,en,15,sum,cosine,0.49703423633793675,84.45546295900022
contextual,EMBEDDIA/crosloengual-bert,en,16,sum,cosine,0.5005694237243322,80.21139908299847
contextual,EMBEDDIA/crosloengual-bert,en,17,sum,cosine,0.49971839188208933,83.00202445799914
contextual,EMBEDDIA/crosloengual-bert,en,18,sum,cosine,0.49719833710063555,83.98894937499972
contextual,EMBEDDIA/crosloengual-bert,en,19,sum,cosine,0.4928791073004877,86.01197516700086
contextual,EMBEDDIA/crosloengual-bert,en,20,sum,cosine,0.48931643850985695,76.6684448750002
contextual,bert-base-cased,en,15,sum,cosine,0.49416251878491047,80.14598733299863
contextual,bert-base-cased,en,16,sum,cosine,0.4933425381503944,76.24752866699964
contextual,bert-base-cased,en,17,sum,cosine,0.4909869922909995,74.51707254100074
contextual,bert-base-cased,en,18,sum,cosine,0.4857415556408238,88.90495199999896
contextual,bert-base-cased,en,19,sum,cosine,0.4793697730133122,80.63561191699955
contextual,bert-base-cased,en,20,sum,cosine,0.47572719300309685,81.36510287500096
contextual,bert-base-uncased,en,15,sum,cosine,0.5080378215925161,80.26544258399917
contextual,bert-base-uncased,en,16,sum,cosine,0.5031151634837059,79.61701137499949
contextual,bert-base-uncased,en,17,sum,cosine,0.49848979096081103,82.99378412500118
contextual,bert-base-uncased,en,18,sum,cosine,0.49234569723657384,81.6707133330001
contextual,bert-base-uncased,en,19,sum,cosine,0.48427533893120844,81.92254099999991
contextual,bert-base-uncased,en,20,sum,cosine,0.4769844055129533,81.40805216599983
contextual,bert-large-cased,en,15,sum,cosine,0.48275601266349333,185.11504950000017
contextual,bert-large-cased,en,16,sum,cosine,0.48065908063893903,204.83592066700112
contextual,bert-large-cased,en,17,sum,cosine,0.4775555361070116,211.9354007089987
contextual,bert-large-cased,en,18,sum,cosine,0.47701820414194107,206.6971634170004
contextual,bert-large-cased,en,19,sum,cosine,0.47153662961110143,205.8426754159991
contextual,bert-large-cased,en,20,sum,cosine,0.46717855537736785,203.55186754200258
contextual,bert-large-uncased,en,15,sum,cosine,0.45859486249466985,195.5830353750025
contextual,bert-large-uncased,en,16,sum,cosine,0.46193529245232257,200.878932292002
contextual,bert-large-uncased,en,17,sum,cosine,0.4613469295480821,206.09680004200345
contextual,bert-large-uncased,en,18,sum,cosine,0.4541864298067336,200.9753869590022
contextual,bert-large-uncased,en,19,sum,cosine,0.44987928912364405,204.49296829199739
contextual,bert-large-uncased,en,20,sum,cosine,0.44191286324463275,205.25121133299763
contextual,bert-large-cased-whole-word-masking,en,15,sum,cosine,0.483458221632438,203.2481999169977
contextual,bert-large-cased-whole-word-masking,en,16,sum,cosine,0.48095539122697073,202.55092058300215
contextual,bert-large-cased-whole-word-masking,en,17,sum,cosine,0.4806233585730162,229.1660566669998
contextual,bert-large-cased-whole-word-masking,en,18,sum,cosine,0.47711703639619296,290.943788083001
contextual,bert-large-cased-whole-word-masking,en,19,sum,cosine,0.474531998621182,206.51461395799925
contextual,bert-large-cased-whole-word-masking,en,20,sum,cosine,0.46992435933978105,201.49173654200058
contextual,bert-large-uncased-whole-word-masking,en,15,sum,cosine,0.47082978090336924,200.44236945800003
contextual,bert-large-uncased-whole-word-masking,en,16,sum,cosine,0.47132704519608415,204.6183594590002
contextual,bert-large-uncased-whole-word-masking,en,17,sum,cosine,0.47245357711202773,203.58571629200014
contextual,bert-large-uncased-whole-word-masking,en,18,sum,cosine,0.4689115886026177,209.42396845799885
contextual,bert-large-uncased-whole-word-masking,en,19,sum,cosine,0.4613241339653358,200.10423341599744
contextual,bert-large-uncased-whole-word-masking,en,20,sum,cosine,0.4581794792482703,207.40453299999717
