model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,fi,0,concat,cosine,0.3423820406503653,0.34343941837505554
contextual,bert-base-multilingual-cased,fi,1,concat,cosine,0.3689002175325107,0.2965018315832519
contextual,bert-base-multilingual-cased,fi,2,concat,cosine,0.3923293829897465,0.30802207116600283
contextual,bert-base-multilingual-cased,fi,3,concat,cosine,0.4498151634638858,0.3192078229161173
contextual,bert-base-multilingual-cased,fi,4,concat,cosine,0.4276833959221292,0.32185019270764315
contextual,bert-base-multilingual-cased,fi,5,concat,cosine,0.3829858420479208,0.3174523680427228
contextual,bert-base-multilingual-cased,fi,6,concat,cosine,0.4034503153610865,0.33230809375042253
contextual,bert-base-multilingual-cased,fi,7,concat,cosine,0.3778053421051133,0.330394477458564
contextual,bert-base-multilingual-cased,fi,8,concat,cosine,0.3427632401261974,0.32961579341766384
contextual,bert-base-multilingual-cased,fi,9,concat,cosine,0.3409400850588664,0.3296901666665993
contextual,bert-base-multilingual-cased,fi,10,concat,cosine,0.3530749589115298,0.3522453038325087
contextual,bert-base-multilingual-uncased,fi,0,concat,cosine,0.0596647219821014,0.35834244616611005
contextual,bert-base-multilingual-uncased,fi,1,concat,cosine,0.2333624723373421,0.3125254826251573
contextual,bert-base-multilingual-uncased,fi,2,concat,cosine,0.3324294302229547,0.33149480899980216
contextual,bert-base-multilingual-uncased,fi,3,concat,cosine,0.3537517360594113,0.3021365086666871
contextual,bert-base-multilingual-uncased,fi,4,concat,cosine,0.2763607743152763,0.3267633628747717
contextual,bert-base-multilingual-uncased,fi,5,concat,cosine,0.2228168279577447,0.3289319912910287
contextual,bert-base-multilingual-uncased,fi,6,concat,cosine,0.2320635643530542,0.3328508055419661
contextual,bert-base-multilingual-uncased,fi,7,concat,cosine,0.1451304064407452,0.3543815416669531
contextual,bert-base-multilingual-uncased,fi,8,concat,cosine,0.1447840056138895,0.39016332812510274
contextual,bert-base-multilingual-uncased,fi,9,concat,cosine,0.1091956661478954,0.3256480416663787
contextual,bert-base-multilingual-uncased,fi,10,concat,cosine,0.0923275952083806,0.3048515867922106
contextual,EMBEDDIA/crosloengual-bert,fi,0,concat,cosine,0.1285879305937903,0.38107640795836534
contextual,EMBEDDIA/crosloengual-bert,fi,1,concat,cosine,0.1570805059585844,0.403364060792228
contextual,EMBEDDIA/crosloengual-bert,fi,2,concat,cosine,0.2058589995552261,0.41177683854160324
contextual,EMBEDDIA/crosloengual-bert,fi,3,concat,cosine,0.1470002363819783,0.4186340486242746
contextual,EMBEDDIA/crosloengual-bert,fi,4,concat,cosine,0.2619649528693619,0.3530083090421006
contextual,EMBEDDIA/crosloengual-bert,fi,5,concat,cosine,0.3272506390272762,0.3506847587086668
contextual,EMBEDDIA/crosloengual-bert,fi,6,concat,cosine,0.3406068623647844,0.372323940959177
contextual,EMBEDDIA/crosloengual-bert,fi,7,concat,cosine,0.35067619606884,0.3757534930834178
contextual,EMBEDDIA/crosloengual-bert,fi,8,concat,cosine,0.2631642737752366,0.400677140623884
contextual,EMBEDDIA/crosloengual-bert,fi,9,concat,cosine,0.3101323392622245,0.38168411629158067
contextual,EMBEDDIA/crosloengual-bert,fi,10,concat,cosine,0.3177424625464085,0.3917968645837391
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,0,concat,cosine,0.0613923881311132,0.2549642690840604
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,1,concat,cosine,0.4967414447988307,0.27816933679180994
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,2,concat,cosine,0.4562436488947949,0.2572447916669868
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,3,concat,cosine,0.4195112790757768,0.2969627239581314
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,4,concat,cosine,0.4168692315115971,0.30245748958259355
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,5,concat,cosine,0.3706389142758233,0.265106203124257
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,6,concat,cosine,0.1851613184279075,0.27487892012504744
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,7,concat,cosine,0.0788687871448369,0.2797427048329458
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,8,concat,cosine,0.0956309768739854,0.2918010260412605
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,9,concat,cosine,0.0331142673626916,0.28074403470842907
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,10,concat,cosine,0.0479837671770079,0.27900847741693724
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,0,concat,cosine,-0.1028225462893535,0.26794360066681594
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,1,concat,cosine,0.327745528222566,0.2753128628331372
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,2,concat,cosine,0.3628304597656897,0.26821683508266386
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,3,concat,cosine,0.3482357546588464,0.27276311458384345
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,4,concat,cosine,0.2666470982842193,0.27759306595786865
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,5,concat,cosine,0.2244282728392863,0.2887393419999474
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,6,concat,cosine,0.2087128599459859,0.27551937845904223
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,7,concat,cosine,0.1364410831399268,0.2739365399587162
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,8,concat,cosine,0.2045959901647457,0.27353663541725837
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,9,concat,cosine,0.2153574098638839,0.28081810937510454
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,10,concat,cosine,0.1134334016732536,0.27858463716620463
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,0,concat,cosine,0.4056990277896749,0.6239782291668236
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,1,concat,cosine,0.6629902401606163,0.6342058541667939
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,2,concat,cosine,0.4910662295802355,0.6384888472081608
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,3,concat,cosine,0.4782174929125833,0.6724206319170966
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,4,concat,cosine,0.3686954279796346,0.6987360034581798
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,5,concat,cosine,0.3149276566015466,0.7010620121667065
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,6,concat,cosine,0.1337446949813687,0.6582743194582387
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,7,concat,cosine,0.0760964839097548,0.6379782742915268
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,8,concat,cosine,0.1095475137663591,0.7909028263748041
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,9,concat,cosine,-0.0460833250620216,0.6870324427084901
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,10,concat,cosine,-0.0521012536562941,0.7168490312506037
