model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,hr,0,sum,cosine,0.4454510618665306,0.23230940587499
contextual,bert-base-multilingual-cased,hr,1,sum,cosine,0.5683938590194316,0.22942545870536635
contextual,bert-base-multilingual-cased,hr,2,sum,cosine,0.594189506472811,0.2623631677857117
contextual,bert-base-multilingual-cased,hr,3,sum,cosine,0.5966095604302409,0.2721928415178679
contextual,bert-base-multilingual-cased,hr,4,sum,cosine,0.6101587848503115,0.27172595164285795
contextual,bert-base-multilingual-cased,hr,5,sum,cosine,0.6140850298099814,0.2544909155535931
contextual,bert-base-multilingual-cased,hr,6,sum,cosine,0.6098879173152705,0.27303168415180934
contextual,bert-base-multilingual-cased,hr,7,sum,cosine,0.6010082793624621,0.2784189427142922
contextual,bert-base-multilingual-cased,hr,8,sum,cosine,0.5907587187710043,0.2833336067678504
contextual,bert-base-multilingual-cased,hr,9,sum,cosine,0.5766640985568979,0.2770299505267693
contextual,bert-base-multilingual-cased,hr,10,sum,cosine,0.5659826698067205,0.2778432786428766
contextual,bert-base-multilingual-uncased,hr,0,sum,cosine,0.3850116444449469,0.24479278423213408
contextual,bert-base-multilingual-uncased,hr,1,sum,cosine,0.4393149601082529,0.27439654427679927
contextual,bert-base-multilingual-uncased,hr,2,sum,cosine,0.4755259233947776,0.2601628374196545
contextual,bert-base-multilingual-uncased,hr,3,sum,cosine,0.4990884807760064,0.2789629322946569
contextual,bert-base-multilingual-uncased,hr,4,sum,cosine,0.5768219988420715,0.27615992968750497
contextual,bert-base-multilingual-uncased,hr,5,sum,cosine,0.596758014623111,0.2773568288660694
contextual,bert-base-multilingual-uncased,hr,6,sum,cosine,0.6027020606227902,0.27686038579463457
contextual,bert-base-multilingual-uncased,hr,7,sum,cosine,0.595573432536275,0.2737218831874933
contextual,bert-base-multilingual-uncased,hr,8,sum,cosine,0.5845200454666849,0.2932572325178496
contextual,bert-base-multilingual-uncased,hr,9,sum,cosine,0.5712365924820229,0.3138022693482136
contextual,bert-base-multilingual-uncased,hr,10,sum,cosine,0.5646235022640786,0.2964887827410426
contextual,EMBEDDIA/crosloengual-bert,hr,0,sum,cosine,0.4110127846787539,0.2398576692678489
contextual,EMBEDDIA/crosloengual-bert,hr,1,sum,cosine,0.6513681547057277,0.27979810825893636
contextual,EMBEDDIA/crosloengual-bert,hr,2,sum,cosine,0.6856553122894548,0.272256418151788
contextual,EMBEDDIA/crosloengual-bert,hr,3,sum,cosine,0.7077810350394933,0.2841328861607378
contextual,EMBEDDIA/crosloengual-bert,hr,4,sum,cosine,0.6977765300416529,0.28214168191964617
contextual,EMBEDDIA/crosloengual-bert,hr,5,sum,cosine,0.692632696822082,0.27827144122319886
contextual,EMBEDDIA/crosloengual-bert,hr,6,sum,cosine,0.6881319977750282,0.2835224062500206
contextual,EMBEDDIA/crosloengual-bert,hr,7,sum,cosine,0.6691050327058039,0.28212152268750806
contextual,EMBEDDIA/crosloengual-bert,hr,8,sum,cosine,0.6402817233234757,0.28099561198213713
contextual,EMBEDDIA/crosloengual-bert,hr,9,sum,cosine,0.6124277926064521,0.26396917633925504
contextual,EMBEDDIA/crosloengual-bert,hr,10,sum,cosine,0.5906069397825068,0.26120562797320546
contextual,classla/bcms-bertic,hr,0,sum,cosine,0.2158598103391587,0.25079683816963033
contextual,classla/bcms-bertic,hr,1,sum,cosine,0.2937122389392956,0.2768074285714387
contextual,classla/bcms-bertic,hr,2,sum,cosine,0.2159098904450833,0.27785343229464027
contextual,classla/bcms-bertic,hr,3,sum,cosine,0.205626613711775,0.2825296428571359
contextual,classla/bcms-bertic,hr,4,sum,cosine,0.2661682436829888,0.2846256670357304
contextual,classla/bcms-bertic,hr,5,sum,cosine,0.3009389558711418,0.3082072246964214
contextual,classla/bcms-bertic,hr,6,sum,cosine,0.3597436787731536,0.29178725930354893
contextual,classla/bcms-bertic,hr,7,sum,cosine,0.3814680009396543,0.29990040736606716
contextual,classla/bcms-bertic,hr,8,sum,cosine,0.3722115016966096,0.27901505989286435
contextual,classla/bcms-bertic,hr,9,sum,cosine,0.396945922444069,0.28698428794642233
contextual,classla/bcms-bertic,hr,10,sum,cosine,0.4230767521540644,0.26012031733034746
