model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,sl,0,concat,cosine,0.3711682017739934,0.25038094481983986
contextual,bert-base-multilingual-cased,sl,1,concat,cosine,0.4849529741188343,0.2801778573513467
contextual,bert-base-multilingual-cased,sl,2,concat,cosine,0.4884840708346383,0.2637317428737145
contextual,bert-base-multilingual-cased,sl,3,concat,cosine,0.4738657129879176,0.28691553866657477
contextual,bert-base-multilingual-cased,sl,4,concat,cosine,0.4444113908806829,0.2850111621620264
contextual,bert-base-multilingual-cased,sl,5,concat,cosine,0.4354925058158138,0.30506556681074154
contextual,bert-base-multilingual-cased,sl,6,concat,cosine,0.4149477539703076,0.3066298018017184
contextual,bert-base-multilingual-cased,sl,7,concat,cosine,0.3423318801358715,0.30506046359460837
contextual,bert-base-multilingual-cased,sl,8,concat,cosine,0.3262529989023317,0.3063825420450067
contextual,bert-base-multilingual-cased,sl,9,concat,cosine,0.3316764944748221,0.28886899023436363
contextual,bert-base-multilingual-cased,sl,10,concat,cosine,0.3122092502678086,0.26876640090087495
contextual,bert-base-multilingual-uncased,sl,0,concat,cosine,0.2630620638681724,0.27491414601791875
contextual,bert-base-multilingual-uncased,sl,1,concat,cosine,0.3201075170139378,0.2916592117115805
contextual,bert-base-multilingual-uncased,sl,2,concat,cosine,0.3640272027919404,0.2755144545766483
contextual,bert-base-multilingual-uncased,sl,3,concat,cosine,0.3612439365905491,0.30358416253154435
contextual,bert-base-multilingual-uncased,sl,4,concat,cosine,0.3762106691384728,0.28966088063054224
contextual,bert-base-multilingual-uncased,sl,5,concat,cosine,0.368813798727146,0.28907869857665663
contextual,bert-base-multilingual-uncased,sl,6,concat,cosine,0.2780202379304868,0.2822247015764341
contextual,bert-base-multilingual-uncased,sl,7,concat,cosine,0.2799214071708624,0.27766772898187786
contextual,bert-base-multilingual-uncased,sl,8,concat,cosine,0.2965511627825661,0.29419723536052556
contextual,bert-base-multilingual-uncased,sl,9,concat,cosine,0.2720754470007582,0.27312766779282316
contextual,bert-base-multilingual-uncased,sl,10,concat,cosine,0.247056220092892,0.27665755329737524
contextual,EMBEDDIA/crosloengual-bert,sl,0,concat,cosine,0.2900525695624675,0.2388126268741142
contextual,EMBEDDIA/crosloengual-bert,sl,1,concat,cosine,0.4690083123217534,0.2647100307838152
contextual,EMBEDDIA/crosloengual-bert,sl,2,concat,cosine,0.4273065598950301,0.2678599658378647
contextual,EMBEDDIA/crosloengual-bert,sl,3,concat,cosine,0.4355165270753347,0.257981865991144
contextual,EMBEDDIA/crosloengual-bert,sl,4,concat,cosine,0.4040794999847165,0.27611055818930696
contextual,EMBEDDIA/crosloengual-bert,sl,5,concat,cosine,0.3734599508434668,0.2697277747745928
contextual,EMBEDDIA/crosloengual-bert,sl,6,concat,cosine,0.3564244493131783,0.2715081092343049
contextual,EMBEDDIA/crosloengual-bert,sl,7,concat,cosine,0.3705698066407852,0.2597890724504035
contextual,EMBEDDIA/crosloengual-bert,sl,8,concat,cosine,0.3523142050972527,0.24647476163069792
contextual,EMBEDDIA/crosloengual-bert,sl,9,concat,cosine,0.2713806616031267,0.26744602027014613
contextual,EMBEDDIA/crosloengual-bert,sl,10,concat,cosine,0.2566981239831185,0.2836033795044657
