model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,fi,0,sum,cosine,0.2539486653037608,7.367322707999847
pooled,bert-base-multilingual-cased,fi,1,sum,cosine,0.41505043279943465,6.702895125003124
pooled,bert-base-multilingual-cased,fi,2,sum,cosine,0.4662037096711591,6.905567292000342
pooled,bert-base-multilingual-cased,fi,3,sum,cosine,0.4494130279287676,6.787477041001694
pooled,bert-base-multilingual-cased,fi,4,sum,cosine,0.39097803440583945,6.914104082999984
pooled,bert-base-multilingual-cased,fi,5,sum,cosine,0.3484936045479109,7.1279895000006945
pooled,bert-base-multilingual-cased,fi,6,sum,cosine,0.36948638227159925,6.783796708001319
pooled,bert-base-multilingual-cased,fi,7,sum,cosine,0.3775987997341306,6.9661256250001315
pooled,bert-base-multilingual-cased,fi,8,sum,cosine,0.3834410486636729,6.972142708997126
pooled,bert-base-multilingual-cased,fi,9,sum,cosine,0.37257302034718287,6.879414999999426
pooled,bert-base-multilingual-cased,fi,10,sum,cosine,0.3637521597942448,7.2532779589964775
pooled,bert-base-multilingual-uncased,fi,0,sum,cosine,0.01473735300638157,7.519365583000763
pooled,bert-base-multilingual-uncased,fi,1,sum,cosine,0.4938995610432524,7.16230749999886
pooled,bert-base-multilingual-uncased,fi,2,sum,cosine,0.5863064678791051,7.220595459002652
pooled,bert-base-multilingual-uncased,fi,3,sum,cosine,0.5815323942921473,7.275191207998432
pooled,bert-base-multilingual-uncased,fi,4,sum,cosine,0.4984483943526412,7.683063166998181
pooled,bert-base-multilingual-uncased,fi,5,sum,cosine,0.41312274571587604,8.013555292000092
pooled,bert-base-multilingual-uncased,fi,6,sum,cosine,0.4347190116480495,8.070858250001038
pooled,bert-base-multilingual-uncased,fi,7,sum,cosine,0.45145406999271676,7.587700250001944
pooled,bert-base-multilingual-uncased,fi,8,sum,cosine,0.43432268732308155,7.057705375002115
pooled,bert-base-multilingual-uncased,fi,9,sum,cosine,0.4163702964459035,7.935098292000475
pooled,bert-base-multilingual-uncased,fi,10,sum,cosine,0.3988862823774382,7.6029427090034005
pooled,EMBEDDIA/crosloengual-bert,fi,0,sum,cosine,0.10400245055230484,8.545747124997433
pooled,EMBEDDIA/crosloengual-bert,fi,1,sum,cosine,0.1439243552786037,8.640501542002312
pooled,EMBEDDIA/crosloengual-bert,fi,2,sum,cosine,0.14038861081632337,8.285138833001838
pooled,EMBEDDIA/crosloengual-bert,fi,3,sum,cosine,0.14497813532157677,8.608743249998952
pooled,EMBEDDIA/crosloengual-bert,fi,4,sum,cosine,0.18508305444843498,8.782095124999614
pooled,EMBEDDIA/crosloengual-bert,fi,5,sum,cosine,0.23878165570603194,8.42580770800123
pooled,EMBEDDIA/crosloengual-bert,fi,6,sum,cosine,0.2548408340878354,8.357644709001761
pooled,EMBEDDIA/crosloengual-bert,fi,7,sum,cosine,0.2626739086437647,9.303051415998198
pooled,EMBEDDIA/crosloengual-bert,fi,8,sum,cosine,0.29226945038798324,9.824776082998142
pooled,EMBEDDIA/crosloengual-bert,fi,9,sum,cosine,0.31240819544507814,10.490511708998383
pooled,EMBEDDIA/crosloengual-bert,fi,10,sum,cosine,0.34257423174075263,9.068384375001187
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,0,sum,cosine,-0.2275646312403541,6.250136624999868
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,1,sum,cosine,0.6318097565638149,6.9144722079981875
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,2,sum,cosine,0.553802050647146,6.938506917002087
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,3,sum,cosine,0.5061467163234413,6.83475345899933
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,4,sum,cosine,0.4860912594134569,6.669014957999025
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,5,sum,cosine,0.475197695436407,6.53672112500135
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,6,sum,cosine,0.4547719828893544,6.500541624998732
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,7,sum,cosine,0.40600114871289594,6.658706209000229
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,8,sum,cosine,0.35402127339348133,6.5942864999997255
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,9,sum,cosine,0.3411587468122246,6.1718994160000875
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,10,sum,cosine,0.3438620453054375,6.966386457999761
pooled,TurkuNLP/bert-base-finnish-uncased-v1,fi,0,sum,cosine,-0.24948460256324534,6.458210959001008
pooled,TurkuNLP/bert-base-finnish-uncased-v1,fi,1,sum,cosine,0.5615247518188171,5.862918958999217
pooled,TurkuNLP/bert-base-finnish-uncased-v1,fi,2,sum,cosine,0.4782730054471518,6.089818708001985
pooled,TurkuNLP/bert-base-finnish-uncased-v1,fi,3,sum,cosine,0.4241108779142835,6.796950625001045
pooled,TurkuNLP/bert-base-finnish-uncased-v1,fi,4,sum,cosine,0.39784636956933306,6.749539083000855
pooled,TurkuNLP/bert-base-finnish-uncased-v1,fi,5,sum,cosine,0.36637836216525266,5.573409749998973
pooled,TurkuNLP/bert-base-finnish-uncased-v1,fi,6,sum,cosine,0.3651934975539928,6.205437332999281
pooled,TurkuNLP/bert-base-finnish-uncased-v1,fi,7,sum,cosine,0.338068740439321,6.942071000001306
pooled,TurkuNLP/bert-base-finnish-uncased-v1,fi,8,sum,cosine,0.30620213097181737,6.3852102079981705
pooled,TurkuNLP/bert-base-finnish-uncased-v1,fi,9,sum,cosine,0.31510915135269313,6.140152292002313
pooled,TurkuNLP/bert-base-finnish-uncased-v1,fi,10,sum,cosine,0.3113409167099972,6.483688333002647
pooled,TurkuNLP/bert-large-finnish-cased-v1,fi,0,sum,cosine,0.42825038578836305,14.582041541998478
pooled,TurkuNLP/bert-large-finnish-cased-v1,fi,1,sum,cosine,0.6677351093682679,14.742012167000212
pooled,TurkuNLP/bert-large-finnish-cased-v1,fi,2,sum,cosine,0.534572616645738,14.182674457999383
pooled,TurkuNLP/bert-large-finnish-cased-v1,fi,3,sum,cosine,0.4794799010819242,15.069323332998465
pooled,TurkuNLP/bert-large-finnish-cased-v1,fi,4,sum,cosine,0.40562018079893714,14.35402370799784
pooled,TurkuNLP/bert-large-finnish-cased-v1,fi,5,sum,cosine,0.37571602321444497,15.406342875001428
pooled,TurkuNLP/bert-large-finnish-cased-v1,fi,6,sum,cosine,0.3524947366676625,13.823160459000064
pooled,TurkuNLP/bert-large-finnish-cased-v1,fi,7,sum,cosine,0.3135551699498873,15.409063208000589
pooled,TurkuNLP/bert-large-finnish-cased-v1,fi,8,sum,cosine,0.28501955018595293,16.546442625000054
pooled,TurkuNLP/bert-large-finnish-cased-v1,fi,9,sum,cosine,0.25496130036971465,14.019372541999473
pooled,TurkuNLP/bert-large-finnish-cased-v1,fi,10,sum,cosine,0.2667054888269027,14.536531624999043
