model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,fi,0,sum,cosine,0.2539486653037608,0.3069717794999936
pooled,bert-base-multilingual-cased,fi,1,sum,cosine,0.4150504327994346,0.27928729687513015
pooled,bert-base-multilingual-cased,fi,2,sum,cosine,0.4662037096711591,0.28773197050001426
pooled,bert-base-multilingual-cased,fi,3,sum,cosine,0.4494130279287676,0.2828115433750706
pooled,bert-base-multilingual-cased,fi,4,sum,cosine,0.3909780344058394,0.2880876701249993
pooled,bert-base-multilingual-cased,fi,5,sum,cosine,0.3484936045479109,0.29699956250002896
pooled,bert-base-multilingual-cased,fi,6,sum,cosine,0.3694863822715992,0.2826581961667216
pooled,bert-base-multilingual-cased,fi,7,sum,cosine,0.3775987997341306,0.2902552343750055
pooled,bert-base-multilingual-cased,fi,8,sum,cosine,0.3834410486636729,0.2905059462082136
pooled,bert-base-multilingual-cased,fi,9,sum,cosine,0.3725730203471828,0.28664229166664273
pooled,bert-base-multilingual-cased,fi,10,sum,cosine,0.3637521597942448,0.3022199149581865
pooled,bert-base-multilingual-uncased,fi,0,sum,cosine,0.0147373530063815,0.31330689929169847
pooled,bert-base-multilingual-uncased,fi,1,sum,cosine,0.4938995610432524,0.29842947916661916
pooled,bert-base-multilingual-uncased,fi,2,sum,cosine,0.5863064678791051,0.3008581441251105
pooled,bert-base-multilingual-uncased,fi,3,sum,cosine,0.5815323942921473,0.3031329669999347
pooled,bert-base-multilingual-uncased,fi,4,sum,cosine,0.4984483943526412,0.32012763195825755
pooled,bert-base-multilingual-uncased,fi,5,sum,cosine,0.413122745715876,0.3338981371666705
pooled,bert-base-multilingual-uncased,fi,6,sum,cosine,0.4347190116480495,0.33628576041670993
pooled,bert-base-multilingual-uncased,fi,7,sum,cosine,0.4514540699927167,0.31615417708341437
pooled,bert-base-multilingual-uncased,fi,8,sum,cosine,0.4343226873230815,0.2940710572917548
pooled,bert-base-multilingual-uncased,fi,9,sum,cosine,0.4163702964459035,0.3306290955000198
pooled,bert-base-multilingual-uncased,fi,10,sum,cosine,0.3988862823774382,0.3167892795418083
pooled,EMBEDDIA/crosloengual-bert,fi,0,sum,cosine,0.1040024505523048,0.35607279687489307
pooled,EMBEDDIA/crosloengual-bert,fi,1,sum,cosine,0.1439243552786037,0.36002089758342964
pooled,EMBEDDIA/crosloengual-bert,fi,2,sum,cosine,0.1403886108163233,0.34521411804174323
pooled,EMBEDDIA/crosloengual-bert,fi,3,sum,cosine,0.1449781353215767,0.358697635416623
pooled,EMBEDDIA/crosloengual-bert,fi,4,sum,cosine,0.1850830544484349,0.3659206302083173
pooled,EMBEDDIA/crosloengual-bert,fi,5,sum,cosine,0.2387816557060319,0.3510753211667179
pooled,EMBEDDIA/crosloengual-bert,fi,6,sum,cosine,0.2548408340878354,0.3482351962084067
pooled,EMBEDDIA/crosloengual-bert,fi,7,sum,cosine,0.2626739086437647,0.38762714233325823
pooled,EMBEDDIA/crosloengual-bert,fi,8,sum,cosine,0.2922694503879832,0.4093656701249226
pooled,EMBEDDIA/crosloengual-bert,fi,9,sum,cosine,0.3124081954450781,0.4371046545415993
pooled,EMBEDDIA/crosloengual-bert,fi,10,sum,cosine,0.3425742317407526,0.3778493489583828
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,0,sum,cosine,-0.2275646312403541,0.2604223593749945
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,1,sum,cosine,0.6318097565638149,0.28810300866659116
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,2,sum,cosine,0.553802050647146,0.28910445487508696
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,3,sum,cosine,0.5061467163234413,0.2847813941249721
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,4,sum,cosine,0.4860912594134569,0.27787562324995935
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,5,sum,cosine,0.475197695436407,0.27236338020838957
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,6,sum,cosine,0.4547719828893544,0.27085590104161383
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,7,sum,cosine,0.4060011487128959,0.2774460920416762
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,8,sum,cosine,0.3540212733934813,0.27476193749998856
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,9,sum,cosine,0.3411587468122246,0.25716247566667033
pooled,TurkuNLP/bert-base-finnish-cased-v1,fi,10,sum,cosine,0.3438620453054375,0.2902661024166567
pooled,TurkuNLP/bert-base-finnish-uncased-v1,fi,0,sum,cosine,-0.2494846025632453,0.2690921232917087
