model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,hr,0,sum,cosine,0.4529541782291725,0.2524376614553603
pooled,bert-base-multilingual-cased,hr,1,sum,cosine,0.5477731612736396,0.25080424218750913
pooled,bert-base-multilingual-cased,hr,2,sum,cosine,0.5564579439082985,0.2454003441250084
pooled,bert-base-multilingual-cased,hr,3,sum,cosine,0.556343532313569,0.25705359709819015
pooled,bert-base-multilingual-cased,hr,4,sum,cosine,0.5761396552831884,0.25562176301787076
pooled,bert-base-multilingual-cased,hr,5,sum,cosine,0.5803398820831571,0.25898767894640123
pooled,bert-base-multilingual-cased,hr,6,sum,cosine,0.5832799775368679,0.2576463404018016
pooled,bert-base-multilingual-cased,hr,7,sum,cosine,0.578869504329136,0.2806537336249936
pooled,bert-base-multilingual-cased,hr,8,sum,cosine,0.5676715243351996,0.26429898809822455
pooled,bert-base-multilingual-cased,hr,9,sum,cosine,0.5552181959424087,0.2657011688928443
pooled,bert-base-multilingual-cased,hr,10,sum,cosine,0.5483724144106522,0.26663001041070594
pooled,bert-base-multilingual-uncased,hr,0,sum,cosine,0.4700566409195185,0.30636436978569953
pooled,bert-base-multilingual-uncased,hr,1,sum,cosine,0.630816182240858,0.26203984188392887
pooled,bert-base-multilingual-uncased,hr,2,sum,cosine,0.6155691386351065,0.28460408593751446
pooled,bert-base-multilingual-uncased,hr,3,sum,cosine,0.6052085318572703,0.2824326011875006
pooled,bert-base-multilingual-uncased,hr,4,sum,cosine,0.6262474267725225,0.2774472626517763
pooled,bert-base-multilingual-uncased,hr,5,sum,cosine,0.6248066419453875,0.28056569382144
pooled,bert-base-multilingual-uncased,hr,6,sum,cosine,0.6194167283390614,0.29016817596428673
pooled,bert-base-multilingual-uncased,hr,7,sum,cosine,0.6065756185362663,0.28696419791965255
pooled,bert-base-multilingual-uncased,hr,8,sum,cosine,0.5931839562060083,0.29952184077680094
pooled,bert-base-multilingual-uncased,hr,9,sum,cosine,0.5819145267361667,0.28498363987500847
pooled,bert-base-multilingual-uncased,hr,10,sum,cosine,0.5770194245991455,0.26988387424999666
pooled,EMBEDDIA/crosloengual-bert,hr,0,sum,cosine,0.4929673574627533,0.2797403861607109
pooled,EMBEDDIA/crosloengual-bert,hr,1,sum,cosine,0.6966432026847111,0.28113941592859454
pooled,EMBEDDIA/crosloengual-bert,hr,2,sum,cosine,0.7085072882903503,0.2544524869821479
pooled,EMBEDDIA/crosloengual-bert,hr,3,sum,cosine,0.7171015652559589,0.26717541964285374
pooled,EMBEDDIA/crosloengual-bert,hr,4,sum,cosine,0.7045498802068979,0.288181947910711
pooled,EMBEDDIA/crosloengual-bert,hr,5,sum,cosine,0.6908595503184694,0.28483838541965917
pooled,EMBEDDIA/crosloengual-bert,hr,6,sum,cosine,0.6812832471126566,0.2775569940535791
pooled,EMBEDDIA/crosloengual-bert,hr,7,sum,cosine,0.6668642840832527,0.2540980178571317
pooled,EMBEDDIA/crosloengual-bert,hr,8,sum,cosine,0.6406325671528885,0.28321959374998834
pooled,EMBEDDIA/crosloengual-bert,hr,9,sum,cosine,0.6150383657768714,0.2580864393660899
pooled,EMBEDDIA/crosloengual-bert,hr,10,sum,cosine,0.5957787883439611,0.2817672581874961
pooled,classla/bcms-bertic,hr,0,sum,cosine,0.4492353680311618,0.280314162946427
pooled,classla/bcms-bertic,hr,1,sum,cosine,0.6521214026844064,0.27124895908036706
pooled,classla/bcms-bertic,hr,2,sum,cosine,0.6620733652792476,0.28277541704463666
pooled,classla/bcms-bertic,hr,3,sum,cosine,0.6349829585497543,0.2688798921160794
pooled,classla/bcms-bertic,hr,4,sum,cosine,0.616453889763811,0.2700739322946382
pooled,classla/bcms-bertic,hr,5,sum,cosine,0.6061306513285752,0.273146623142858
pooled,classla/bcms-bertic,hr,6,sum,cosine,0.6037400115692368,0.28028702381249915
pooled,classla/bcms-bertic,hr,7,sum,cosine,0.59657995851291,0.24399337685713365
pooled,classla/bcms-bertic,hr,8,sum,cosine,0.5830687454643384,0.2485260639821263
pooled,classla/bcms-bertic,hr,9,sum,cosine,0.5794661777616384,0.27342254761606455
pooled,classla/bcms-bertic,hr,10,sum,cosine,0.5748719750039876,0.2662552407053746
