model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,sl,0,sum,cosine,0.2619060272821008,25.59637937500156
pooled,bert-base-multilingual-cased,sl,1,sum,cosine,0.41236735478707387,26.72436799999923
pooled,bert-base-multilingual-cased,sl,2,sum,cosine,0.44291687271776525,28.215082582999457
pooled,bert-base-multilingual-cased,sl,3,sum,cosine,0.4531769251023249,26.622413334000157
pooled,bert-base-multilingual-cased,sl,4,sum,cosine,0.44298306632194984,30.013139750000846
pooled,bert-base-multilingual-cased,sl,5,sum,cosine,0.42068132196741137,32.69193066700245
pooled,bert-base-multilingual-cased,sl,6,sum,cosine,0.40930232683714274,29.63198687499971
pooled,bert-base-multilingual-cased,sl,7,sum,cosine,0.3961945106187884,32.158653709000646
pooled,bert-base-multilingual-cased,sl,8,sum,cosine,0.39728436109111565,30.478170792001038
pooled,bert-base-multilingual-cased,sl,9,sum,cosine,0.3925688507715748,32.53868116599915
pooled,bert-base-multilingual-cased,sl,10,sum,cosine,0.38171716453195703,30.617661125001177
pooled,bert-base-multilingual-uncased,sl,0,sum,cosine,0.24446648742974175,31.76725933400303
pooled,bert-base-multilingual-uncased,sl,1,sum,cosine,0.347554699616746,29.411199166999722
pooled,bert-base-multilingual-uncased,sl,2,sum,cosine,0.4116969535505559,31.250416250000853
pooled,bert-base-multilingual-uncased,sl,3,sum,cosine,0.4030400049599778,31.24248274999991
pooled,bert-base-multilingual-uncased,sl,4,sum,cosine,0.40058269294079163,33.38271291699857
pooled,bert-base-multilingual-uncased,sl,5,sum,cosine,0.3755484822876003,34.71029941600136
pooled,bert-base-multilingual-uncased,sl,6,sum,cosine,0.35474157992186917,31.243778667001607
pooled,bert-base-multilingual-uncased,sl,7,sum,cosine,0.3428688174414476,32.64702587500142
pooled,bert-base-multilingual-uncased,sl,8,sum,cosine,0.3627184181320464,31.017722666998452
pooled,bert-base-multilingual-uncased,sl,9,sum,cosine,0.36713326915228706,29.803675124996516
pooled,bert-base-multilingual-uncased,sl,10,sum,cosine,0.3579335007207476,30.2232443339999
pooled,EMBEDDIA/crosloengual-bert,sl,0,sum,cosine,0.367675796575474,25.278254207998543
pooled,EMBEDDIA/crosloengual-bert,sl,1,sum,cosine,0.5390511773026284,29.355670583001483
pooled,EMBEDDIA/crosloengual-bert,sl,2,sum,cosine,0.5435431616489267,27.229513709000457
pooled,EMBEDDIA/crosloengual-bert,sl,3,sum,cosine,0.5329985106135665,26.4995364589995
pooled,EMBEDDIA/crosloengual-bert,sl,4,sum,cosine,0.5235829243098624,29.064986083001713
pooled,EMBEDDIA/crosloengual-bert,sl,5,sum,cosine,0.4959955965126146,27.404561791998276
pooled,EMBEDDIA/crosloengual-bert,sl,6,sum,cosine,0.4629524177833726,28.454893999998603
pooled,EMBEDDIA/crosloengual-bert,sl,7,sum,cosine,0.43480350799442813,27.849121958999604
pooled,EMBEDDIA/crosloengual-bert,sl,8,sum,cosine,0.41816703782091524,26.230132459000743
pooled,EMBEDDIA/crosloengual-bert,sl,9,sum,cosine,0.3956883576752219,26.97066783400078
pooled,EMBEDDIA/crosloengual-bert,sl,10,sum,cosine,0.38222910108574504,27.804476458000863
