model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,sl,0,sum,cosine,0.2619060272821008,0.23059801238740146
pooled,bert-base-multilingual-cased,sl,1,sum,cosine,0.4123673547870738,0.24076007207206515
pooled,bert-base-multilingual-cased,sl,2,sum,cosine,0.4429168727177652,0.2541899331801753
pooled,bert-base-multilingual-cased,sl,3,sum,cosine,0.4531769251023249,0.23984156156756897
pooled,bert-base-multilingual-cased,sl,4,sum,cosine,0.4429830663219498,0.27038864639640403
pooled,bert-base-multilingual-cased,sl,5,sum,cosine,0.4206813219674113,0.294521897900923
pooled,bert-base-multilingual-cased,sl,6,sum,cosine,0.4093023268371427,0.2669548367117091
pooled,bert-base-multilingual-cased,sl,7,sum,cosine,0.3961945106187884,0.2897176009819878
pooled,bert-base-multilingual-cased,sl,8,sum,cosine,0.3972843610911156,0.2745781152432526
pooled,bert-base-multilingual-cased,sl,9,sum,cosine,0.3925688507715748,0.2931412717657581
pooled,bert-base-multilingual-cased,sl,10,sum,cosine,0.381717164531957,0.2758347849099205
pooled,bert-base-multilingual-uncased,sl,0,sum,cosine,0.2444664874297417,0.2861915255315588
pooled,bert-base-multilingual-uncased,sl,1,sum,cosine,0.347554699616746,0.26496575826125873
pooled,bert-base-multilingual-uncased,sl,2,sum,cosine,0.4116969535505559,0.2815352815315392
pooled,bert-base-multilingual-uncased,sl,3,sum,cosine,0.4030400049599778,0.28146380855855774
pooled,bert-base-multilingual-uncased,sl,4,sum,cosine,0.4005826929407916,0.30074516141440155
pooled,bert-base-multilingual-uncased,sl,5,sum,cosine,0.3755484822876003,0.31270540014415643
pooled,bert-base-multilingual-uncased,sl,6,sum,cosine,0.3547415799218691,0.281475483486501
pooled,bert-base-multilingual-uncased,sl,7,sum,cosine,0.3428688174414476,0.294117350225238
pooled,bert-base-multilingual-uncased,sl,8,sum,cosine,0.3627184181320464,0.279438942945932
pooled,bert-base-multilingual-uncased,sl,9,sum,cosine,0.367133269152287,0.2685015777026713
pooled,bert-base-multilingual-uncased,sl,10,sum,cosine,0.3579335007207476,0.2722814804864856
pooled,EMBEDDIA/crosloengual-bert,sl,0,sum,cosine,0.367675796575474,0.22773201989187877
pooled,EMBEDDIA/crosloengual-bert,sl,1,sum,cosine,0.5390511773026284,0.2644655007477611
pooled,EMBEDDIA/crosloengual-bert,sl,2,sum,cosine,0.5435431616489267,0.24531093431531945
pooled,EMBEDDIA/crosloengual-bert,sl,3,sum,cosine,0.5329985106135665,0.2387345626936892
pooled,EMBEDDIA/crosloengual-bert,sl,4,sum,cosine,0.5235829243098624,0.2618467214684839
pooled,EMBEDDIA/crosloengual-bert,sl,5,sum,cosine,0.4959955965126146,0.24688794407205655
pooled,EMBEDDIA/crosloengual-bert,sl,6,sum,cosine,0.4629524177833726,0.2563503963963838
pooled,EMBEDDIA/crosloengual-bert,sl,7,sum,cosine,0.4348035079944281,0.2508929906216181
pooled,EMBEDDIA/crosloengual-bert,sl,8,sum,cosine,0.4181670378209152,0.23630749963063732
pooled,EMBEDDIA/crosloengual-bert,sl,9,sum,cosine,0.3956883576752219,0.2429789894955025
pooled,EMBEDDIA/crosloengual-bert,sl,10,sum,cosine,0.382229101085745,0.25049077890090865
