model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,fi,0,none,cosine,0.11712599706703997,1.6508732500005863
static,bert-base-multilingual-uncased,fi,0,none,cosine,0.24725731997875822,1.5270983750015148
static,EMBEDDIA/crosloengual-bert,fi,0,none,cosine,0.4370668293611797,1.4988344169978518
static,TurkuNLP/bert-base-finnish-cased-v1,fi,0,none,cosine,0.45223340727702377,1.1707642080000369
static,TurkuNLP/bert-base-finnish-uncased-v1,fi,0,none,cosine,0.564486163624809,1.2076379580030334
static,TurkuNLP/bert-large-finnish-cased-v1,fi,0,none,cosine,0.5003613243252019,2.8340766660039662
contextual,bert-base-multilingual-cased,fi,0,none,cosine,0.34238204065036537,6.900233584005036
contextual,bert-base-multilingual-uncased,fi,0,none,cosine,0.05966472198210149,6.623770541998965
contextual,EMBEDDIA/crosloengual-bert,fi,0,none,cosine,0.12858793059379037,7.6992559999998775
contextual,TurkuNLP/bert-base-finnish-cased-v1,fi,0,none,cosine,0.06139238813111325,5.867937958006223
contextual,TurkuNLP/bert-base-finnish-uncased-v1,fi,0,none,cosine,-0.1028225462893535,5.643473500000255
contextual,TurkuNLP/bert-large-finnish-cased-v1,fi,0,none,cosine,0.4056990277896749,14.237995708004746
