model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,en,0,sum,cosine,0.16099802290664367,2.9400771250002435
static,bert-base-multilingual-cased,en,1,sum,cosine,0.35201182929668695,2.5413161250035046
static,bert-base-multilingual-cased,en,2,sum,cosine,0.3662679496728031,2.5102161249960773
static,bert-base-multilingual-cased,en,3,sum,cosine,0.36165096111082184,2.493155541997112
static,bert-base-multilingual-cased,en,4,sum,cosine,0.3512813725043541,2.5013487079995684
static,bert-base-multilingual-cased,en,5,sum,cosine,0.3550862756179757,2.5091798749999725
static,bert-base-multilingual-cased,en,6,sum,cosine,0.3468508827021508,2.5248710829982883
static,bert-base-multilingual-cased,en,7,sum,cosine,0.3644282738374507,2.5064917499985313
static,bert-base-multilingual-cased,en,8,sum,cosine,0.3909738309366749,2.486633000000438
static,bert-base-multilingual-cased,en,9,sum,cosine,0.3869856099940059,2.485744875004457
static,bert-base-multilingual-cased,en,10,sum,cosine,0.4056125548582624,2.460486416995991
static,bert-base-multilingual-cased,fi,0,sum,cosine,0.16099802290664367,2.4649461660010274
static,bert-base-multilingual-cased,fi,1,sum,cosine,0.35201182929668695,2.9439609999972163
static,bert-base-multilingual-cased,fi,2,sum,cosine,0.3662679496728031,2.583831584001018
static,bert-base-multilingual-cased,fi,3,sum,cosine,0.36165096111082184,2.5031959999978426
static,bert-base-multilingual-cased,fi,4,sum,cosine,0.3512813725043541,2.4740352910012007
static,bert-base-multilingual-cased,fi,5,sum,cosine,0.3550862756179757,2.519837500003632
static,bert-base-multilingual-cased,fi,6,sum,cosine,0.3468508827021508,2.4316841250038124
static,bert-base-multilingual-cased,fi,7,sum,cosine,0.3644282738374507,2.4531373339996208
static,bert-base-multilingual-cased,fi,8,sum,cosine,0.3909738309366749,2.4519529579993105
static,bert-base-multilingual-cased,fi,9,sum,cosine,0.3869856099940059,2.4747568749953643
static,bert-base-multilingual-cased,fi,10,sum,cosine,0.4056125548582624,2.440159666002728
static,bert-base-multilingual-cased,hr,0,sum,cosine,0.16099802290664367,2.425511875000666
