model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,en,0,concat,cosine,0.16099802290664367,3.3331592910108157
static,bert-base-multilingual-cased,en,1,concat,cosine,0.37343685047024555,2.7404214999987744
static,bert-base-multilingual-cased,en,2,concat,cosine,0.3640144476080962,2.7165746670070803
static,bert-base-multilingual-cased,en,3,concat,cosine,0.35824565807397346,2.6706908750056755
static,bert-base-multilingual-cased,en,4,concat,cosine,0.335554023041456,2.625888082999154
static,bert-base-multilingual-cased,en,5,concat,cosine,0.3313208551599882,2.6299062500038417
static,bert-base-multilingual-cased,en,6,concat,cosine,0.29333609706812946,2.693262999993749
static,bert-base-multilingual-cased,en,7,concat,cosine,0.2953894891530948,2.7162261250050506
static,bert-base-multilingual-cased,en,8,concat,cosine,0.27132831384077927,2.674015208001947
static,bert-base-multilingual-cased,en,9,concat,cosine,0.2698257803011481,2.6891567919956287
static,bert-base-multilingual-cased,en,10,concat,cosine,0.23429834480468503,2.6768628749996424
static,bert-base-multilingual-cased,en,11,concat,cosine,0.21800262690387306,2.8527203330013435
static,bert-base-multilingual-cased,en,12,concat,cosine,0.1727459618136723,2.8016606659948593
static,bert-base-multilingual-cased,en,13,concat,cosine,0.1594445121724246,2.727724208001746
static,bert-base-multilingual-cased,en,14,concat,cosine,0.17025260248659846,2.676161208000849
static,bert-base-multilingual-cased,en,15,concat,cosine,0.16264152550318955,2.730230875007692
static,bert-base-multilingual-cased,en,16,concat,cosine,0.16335706233929903,2.746481459005736
static,bert-base-multilingual-cased,en,17,concat,cosine,0.16509602060270745,2.7877083330095047
static,bert-base-multilingual-cased,en,18,concat,cosine,0.1398446783059626,2.8087339170015184
static,bert-base-multilingual-cased,en,19,concat,cosine,0.14088768530383733,2.8190283750009257
static,bert-base-multilingual-cased,en,20,concat,cosine,0.11658985800976374,2.732474624994211
static,bert-base-multilingual-cased,en,21,concat,cosine,0.11247619527176755,2.7332408750080504
static,bert-base-multilingual-cased,en,22,concat,cosine,0.0984179973088608,2.6772774169949116
static,bert-base-multilingual-cased,en,23,concat,cosine,0.0995857107493151,2.687346083999728
static,bert-base-multilingual-cased,en,24,concat,cosine,0.09477759009771414,2.6926668749947567
static,bert-base-multilingual-cased,en,25,concat,cosine,0.08941771093218542,2.784395416994812
static,bert-base-multilingual-cased,en,26,concat,cosine,0.09130356621540214,2.7688598749955418
static,bert-base-multilingual-cased,en,27,concat,cosine,0.12355981321807796,2.778985582990572
static,bert-base-multilingual-cased,en,28,concat,cosine,0.10534995695259508,2.7686574999970617
static,bert-base-multilingual-cased,en,29,concat,cosine,0.07609717593829735,2.773851875012042
static,bert-base-multilingual-cased,en,30,concat,cosine,0.07577791727328309,2.7568416249996517
static,bert-base-multilingual-cased,en,31,concat,cosine,0.09241143478936686,2.7595257079956355
static,bert-base-multilingual-cased,en,32,concat,cosine,0.12997098575080945,2.7165484170109266
static,bert-base-multilingual-cased,en,33,concat,cosine,0.14087210477405865,2.6887792089983122
static,bert-base-multilingual-cased,en,34,concat,cosine,0.15980052792243027,2.7157747080054833
static,bert-base-multilingual-cased,en,35,concat,cosine,0.1752868588409151,2.745367333001923
static,bert-base-multilingual-cased,en,36,concat,cosine,0.18107710541709532,2.8059433339949464
static,bert-base-multilingual-cased,en,37,concat,cosine,0.18093691012724378,2.7642282909946516
static,bert-base-multilingual-cased,en,38,concat,cosine,0.17938984975961958,2.795397999987472
static,bert-base-multilingual-cased,en,39,concat,cosine,0.18641502991983705,2.8393679580040043
static,bert-base-multilingual-cased,en,40,concat,cosine,0.20877648476659894,2.9962186249904335
static,bert-base-multilingual-cased,en,41,concat,cosine,0.19439240064121854,2.7894481669936795
static,bert-base-multilingual-cased,en,42,concat,cosine,0.23730519619869017,2.7652718750032363
static,bert-base-multilingual-cased,en,43,concat,cosine,0.19327959271591588,2.7945767499913927
static,bert-base-multilingual-cased,en,44,concat,cosine,0.20408878289648058,2.880207791997236
static,bert-base-multilingual-cased,en,45,concat,cosine,0.1901076764574401,2.8280470829922706
static,bert-base-multilingual-cased,en,46,concat,cosine,0.19003658606246288,2.8268885830038926
static,bert-base-multilingual-cased,en,47,concat,cosine,0.19830488449275385,2.787871583001106
static,bert-base-multilingual-cased,en,48,concat,cosine,0.21465772695115615,2.8517440839932533
static,bert-base-multilingual-cased,en,49,concat,cosine,0.2042056723731931,2.7281514999922365
static,bert-base-multilingual-cased,en,50,concat,cosine,0.18988311865959018,2.9081497080042027
static,bert-base-multilingual-uncased,en,0,concat,cosine,0.16179043080939637,3.610743666999042
static,bert-base-multilingual-uncased,en,1,concat,cosine,0.3769320685580009,2.959538958995836
static,bert-base-multilingual-uncased,en,2,concat,cosine,0.36805507716134533,2.8661538750020554
static,bert-base-multilingual-uncased,en,3,concat,cosine,0.359200310403867,2.840843291996862
static,bert-base-multilingual-uncased,en,4,concat,cosine,0.3433922939347157,2.826848416996654
static,bert-base-multilingual-uncased,en,5,concat,cosine,0.3260679341021686,2.908591957995668
static,bert-base-multilingual-uncased,en,6,concat,cosine,0.2968648937985561,3.6603410829993663
static,bert-base-multilingual-uncased,en,7,concat,cosine,0.2914141080837839,3.0137230420077685
static,bert-base-multilingual-uncased,en,8,concat,cosine,0.2715563118672497,2.9936564170056954
static,bert-base-multilingual-uncased,en,9,concat,cosine,0.2783367554037235,2.8767195840046043
static,bert-base-multilingual-uncased,en,10,concat,cosine,0.22398866725434652,2.945618833997287
static,bert-base-multilingual-uncased,en,11,concat,cosine,0.2188763966471442,2.9205835000029765
static,bert-base-multilingual-uncased,en,12,concat,cosine,0.17949381726208458,2.8714811249956256
static,bert-base-multilingual-uncased,en,13,concat,cosine,0.1931764950416336,2.8701278750086203
static,bert-base-multilingual-uncased,en,14,concat,cosine,0.17207685459145383,2.879953875002684
static,bert-base-multilingual-uncased,en,15,concat,cosine,0.17693953464794843,2.9209239589981735
static,bert-base-multilingual-uncased,en,16,concat,cosine,0.18623967014664267,2.956597416996374
static,bert-base-multilingual-uncased,en,17,concat,cosine,0.16024698452896857,2.939855999997235
static,bert-base-multilingual-uncased,en,18,concat,cosine,0.14746130602915375,2.9668825000117067
static,bert-base-multilingual-uncased,en,19,concat,cosine,0.1373919314949391,2.933552916001645
static,bert-base-multilingual-uncased,en,20,concat,cosine,0.12051314345085717,2.8762881669972558
static,bert-base-multilingual-uncased,en,21,concat,cosine,0.1091782578004139,2.9457021669950336
static,bert-base-multilingual-uncased,en,22,concat,cosine,0.10455879041115823,3.0636012079921784
static,bert-base-multilingual-uncased,en,23,concat,cosine,0.10972176184385152,2.9043107500037877
static,bert-base-multilingual-uncased,en,24,concat,cosine,0.1004270246781217,2.9074588750081602
static,bert-base-multilingual-uncased,en,25,concat,cosine,0.07348108148685117,2.938225000005332
static,bert-base-multilingual-uncased,en,26,concat,cosine,0.09348537279159919,2.974469458000385
static,bert-base-multilingual-uncased,en,27,concat,cosine,0.0813605407573198,3.0676042910054093
static,bert-base-multilingual-uncased,en,28,concat,cosine,0.0809012306761262,3.103220582997892
static,bert-base-multilingual-uncased,en,29,concat,cosine,0.06591743204382206,2.965583416997106
static,bert-base-multilingual-uncased,en,30,concat,cosine,0.05441968015573251,2.8627606249938253
static,bert-base-multilingual-uncased,en,31,concat,cosine,0.09136521355468386,2.914739625004586
static,bert-base-multilingual-uncased,en,32,concat,cosine,0.10985374540232384,2.968866708004498
static,bert-base-multilingual-uncased,en,33,concat,cosine,0.15536969495245467,2.973507665999932
static,bert-base-multilingual-uncased,en,34,concat,cosine,0.17400658286417792,3.1118287079880247
static,bert-base-multilingual-uncased,en,35,concat,cosine,0.17379340926274045,3.0458742920018267
static,bert-base-multilingual-uncased,en,36,concat,cosine,0.18472827202887876,2.9879614999954356
static,bert-base-multilingual-uncased,en,37,concat,cosine,0.16821114072754118,3.2138100839947583
static,bert-base-multilingual-uncased,en,38,concat,cosine,0.17905232333638388,3.0163210419996176
static,bert-base-multilingual-uncased,en,39,concat,cosine,0.19753398204731598,2.9433509999944363
static,bert-base-multilingual-uncased,en,40,concat,cosine,0.18104280754974655,2.989778290997492
static,bert-base-multilingual-uncased,en,41,concat,cosine,0.22839650000505818,3.0404725410044193
static,bert-base-multilingual-uncased,en,42,concat,cosine,0.21780048050522627,2.9883737079944694
static,bert-base-multilingual-uncased,en,43,concat,cosine,0.19462831258367286,2.9911868749913992
static,bert-base-multilingual-uncased,en,44,concat,cosine,0.19493098808362763,2.9983002499939175
static,bert-base-multilingual-uncased,en,45,concat,cosine,0.17850928260715615,3.2390750409977045
static,bert-base-multilingual-uncased,en,46,concat,cosine,0.17924930823153506,2.96178699999291
static,bert-base-multilingual-uncased,en,47,concat,cosine,0.18384019332238877,2.9469896249938756
static,bert-base-multilingual-uncased,en,48,concat,cosine,0.20308395077206076,3.1029956660058815
static,bert-base-multilingual-uncased,en,49,concat,cosine,0.20803068467934482,3.2715987089904957
static,bert-base-multilingual-uncased,en,50,concat,cosine,0.22993838459411353,3.3252206669858424
static,EMBEDDIA/crosloengual-bert,en,0,concat,cosine,0.10194528728608376,2.5085645420040237
static,EMBEDDIA/crosloengual-bert,en,1,concat,cosine,0.3639286627186159,2.248440875002416
static,EMBEDDIA/crosloengual-bert,en,2,concat,cosine,0.36920418194272786,2.230852374996175
static,EMBEDDIA/crosloengual-bert,en,3,concat,cosine,0.34718638981587024,2.313165667001158
static,EMBEDDIA/crosloengual-bert,en,4,concat,cosine,0.32891796662833317,2.2714662499929545
static,EMBEDDIA/crosloengual-bert,en,5,concat,cosine,0.331249146500169,2.27309229200182
static,EMBEDDIA/crosloengual-bert,en,6,concat,cosine,0.2993861355194225,2.4288367080007447
static,EMBEDDIA/crosloengual-bert,en,7,concat,cosine,0.2951521016746521,2.415520374997868
static,EMBEDDIA/crosloengual-bert,en,8,concat,cosine,0.2614765354459303,2.3356295409903396
static,EMBEDDIA/crosloengual-bert,en,9,concat,cosine,0.27097621514751324,2.259184875001665
static,EMBEDDIA/crosloengual-bert,en,10,concat,cosine,0.2734690480529215,2.3043515830067918
static,EMBEDDIA/crosloengual-bert,en,11,concat,cosine,0.23451095488088214,2.3244919589924393
static,EMBEDDIA/crosloengual-bert,en,12,concat,cosine,0.24956746893793014,2.2974402090039803
static,EMBEDDIA/crosloengual-bert,en,13,concat,cosine,0.21830587201516116,2.36897420900641
static,EMBEDDIA/crosloengual-bert,en,14,concat,cosine,0.1969423510695787,2.6634360419993754
static,EMBEDDIA/crosloengual-bert,en,15,concat,cosine,0.1684330529653325,2.461881666997215
static,EMBEDDIA/crosloengual-bert,en,16,concat,cosine,0.15781469166903905,2.477921208002954
static,EMBEDDIA/crosloengual-bert,en,17,concat,cosine,0.15731413055330767,2.34655250000651
static,EMBEDDIA/crosloengual-bert,en,18,concat,cosine,0.1449205817269663,2.5590705840004375
static,EMBEDDIA/crosloengual-bert,en,19,concat,cosine,0.13120315520931214,2.487756167000043
