model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,en,15,sum,cosine,0.44467889977550623,2.8710221669998646
static,bert-base-multilingual-cased,en,16,sum,cosine,0.45363874888821043,2.5304877909993593
static,bert-base-multilingual-cased,en,17,sum,cosine,0.45137095040498887,2.453905667000072
static,bert-base-multilingual-cased,en,18,sum,cosine,0.45491825965214316,2.5155572499998016
static,bert-base-multilingual-cased,en,19,sum,cosine,0.45343334059907936,2.5229291670002567
static,bert-base-multilingual-cased,en,20,sum,cosine,0.44846400964363964,2.440334416999576
static,bert-base-multilingual-uncased,en,15,sum,cosine,0.4489111722318686,3.1334832080001433
static,bert-base-multilingual-uncased,en,16,sum,cosine,0.45018554570186653,2.575467332999324
static,bert-base-multilingual-uncased,en,17,sum,cosine,0.45415363607601167,2.5696496250002383
static,bert-base-multilingual-uncased,en,18,sum,cosine,0.4507513512264796,2.577218250000442
static,bert-base-multilingual-uncased,en,19,sum,cosine,0.45484378936557324,2.6161698339992654
static,bert-base-multilingual-uncased,en,20,sum,cosine,0.4427716566907789,2.617308958000649
static,EMBEDDIA/crosloengual-bert,en,15,sum,cosine,0.4318639243606339,2.594226749999507
static,EMBEDDIA/crosloengual-bert,en,16,sum,cosine,0.4380206376794009,2.02440495799965
static,EMBEDDIA/crosloengual-bert,en,17,sum,cosine,0.43871108136421144,2.376130583000304
static,EMBEDDIA/crosloengual-bert,en,18,sum,cosine,0.4326394669864566,2.0983344999995097
static,EMBEDDIA/crosloengual-bert,en,19,sum,cosine,0.43759902230452163,2.0505110839994813
static,EMBEDDIA/crosloengual-bert,en,20,sum,cosine,0.4308554172427863,2.1520657920000303
static,bert-base-cased,en,15,sum,cosine,0.4478198247144096,1.935040915999707
static,bert-base-cased,en,16,sum,cosine,0.4498649857446959,1.734254209000028
static,bert-base-cased,en,17,sum,cosine,0.453282979803344,1.8299335419997078
static,bert-base-cased,en,18,sum,cosine,0.45618041568312195,1.7311340409996774
static,bert-base-cased,en,19,sum,cosine,0.4493608303846981,1.73186991700004
static,bert-base-cased,en,20,sum,cosine,0.4441893024495861,1.7437673750000613
static,bert-base-uncased,en,15,sum,cosine,0.43890702720346586,2.3180991670005824
static,bert-base-uncased,en,16,sum,cosine,0.4396819304914028,2.032101750000038
static,bert-base-uncased,en,17,sum,cosine,0.4374467036704315,2.029675583000426
static,bert-base-uncased,en,18,sum,cosine,0.43665484551424494,2.0286096670006373
static,bert-base-uncased,en,19,sum,cosine,0.4289448463719443,2.0786937499997293
static,bert-base-uncased,en,20,sum,cosine,0.4318882971188637,2.063686708000205
static,bert-large-cased,en,15,sum,cosine,0.4272485880302266,3.6323022910000873
static,bert-large-cased,en,16,sum,cosine,0.42948016219974106,2.5176247079998575
static,bert-large-cased,en,17,sum,cosine,0.4385241615519542,2.4566233329996976
static,bert-large-cased,en,18,sum,cosine,0.4405069311765186,2.452591708
static,bert-large-cased,en,19,sum,cosine,0.430078155290325,2.445259415999317
static,bert-large-cased,en,20,sum,cosine,0.42250620128295147,2.545847749999666
static,bert-large-uncased,en,15,sum,cosine,0.4378574927109359,3.978799500000605
static,bert-large-uncased,en,16,sum,cosine,0.4403466583990696,2.848116832999949
static,bert-large-uncased,en,17,sum,cosine,0.43690441540062386,2.8379029589996208
static,bert-large-uncased,en,18,sum,cosine,0.4283080040608478,2.7127229170000646
static,bert-large-uncased,en,19,sum,cosine,0.4182671213564624,2.72780049999983
static,bert-large-uncased,en,20,sum,cosine,0.4202999566029161,2.755980749999253
static,bert-large-cased-whole-word-masking,en,15,sum,cosine,0.4522392738495108,3.3077445419994547
static,bert-large-cased-whole-word-masking,en,16,sum,cosine,0.4559041713462073,2.926390208999692
static,bert-large-cased-whole-word-masking,en,17,sum,cosine,0.4624123227092418,2.9333447919998434
static,bert-large-cased-whole-word-masking,en,18,sum,cosine,0.4650792143703648,2.9293129580000823
static,bert-large-cased-whole-word-masking,en,19,sum,cosine,0.461725302939587,2.954922834000172
static,bert-large-cased-whole-word-masking,en,20,sum,cosine,0.4570092159872121,2.990265625000575
static,bert-large-uncased-whole-word-masking,en,15,sum,cosine,0.46380010105454317,3.471518374999505
static,bert-large-uncased-whole-word-masking,en,16,sum,cosine,0.47067225668833035,2.803983750000043
static,bert-large-uncased-whole-word-masking,en,17,sum,cosine,0.46796710424855914,2.7367329160006193
static,bert-large-uncased-whole-word-masking,en,18,sum,cosine,0.4629189550138123,2.7594986670001163
static,bert-large-uncased-whole-word-masking,en,19,sum,cosine,0.4613119138844173,2.723476166999717
static,bert-large-uncased-whole-word-masking,en,20,sum,cosine,0.4531307099601132,2.7489226249999774
