model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,fi,0,concat,cosine,0.11712599706703997,3.1892915000062203
static,bert-base-multilingual-cased,fi,1,concat,cosine,0.15645380560975308,1.6768804579915013
static,bert-base-multilingual-cased,fi,2,concat,cosine,0.19630334900915458,1.6270356250024633
static,bert-base-multilingual-cased,fi,3,concat,cosine,0.27298928629057917,1.6368892500031507
static,bert-base-multilingual-cased,fi,4,concat,cosine,0.3530585998253821,1.6811894580023363
static,bert-base-multilingual-cased,fi,5,concat,cosine,0.41592301409213517,1.6703557089931564
static,bert-base-multilingual-cased,fi,6,concat,cosine,0.45936346029531383,1.646434207999846
static,bert-base-multilingual-cased,fi,7,concat,cosine,0.3450396140038252,1.6422282499988796
static,bert-base-multilingual-cased,fi,8,concat,cosine,0.26550396181807123,1.6588995000056457
static,bert-base-multilingual-cased,fi,9,concat,cosine,0.3642445094745491,1.8467775409953902
static,bert-base-multilingual-cased,fi,10,concat,cosine,0.4567224018571995,1.6384719170018798
static,bert-base-multilingual-cased,fi,11,concat,cosine,0.3066955305601524,1.6366782909899484
static,bert-base-multilingual-cased,fi,12,concat,cosine,0.3348155947874454,1.653480999986641
static,bert-base-multilingual-cased,fi,13,concat,cosine,0.34488891358643414,1.6590633330051787
static,bert-base-multilingual-cased,fi,14,concat,cosine,0.42264864680984104,1.653877165997983
static,bert-base-multilingual-cased,fi,15,concat,cosine,0.4549941170058823,1.6832358340034261
static,bert-base-multilingual-cased,fi,16,concat,cosine,0.24083619266604273,1.6368089169991435
static,bert-base-multilingual-cased,fi,17,concat,cosine,0.3989978001162586,1.6345522079936927
static,bert-base-multilingual-cased,fi,18,concat,cosine,0.27183678762577523,1.6298085410089698
static,bert-base-multilingual-cased,fi,19,concat,cosine,0.22920692493662997,2.01507604199287
static,bert-base-multilingual-cased,fi,20,concat,cosine,0.2519950748424453,1.675222208010382
static,bert-base-multilingual-cased,fi,21,concat,cosine,0.0850376068688028,1.6409793750062818
static,bert-base-multilingual-cased,fi,22,concat,cosine,0.07050931026158846,1.6830264999880455
static,bert-base-multilingual-cased,fi,23,concat,cosine,0.07836626200044872,1.6962037500052247
static,bert-base-multilingual-cased,fi,24,concat,cosine,0.05909006274222106,1.6538705420098267
static,bert-base-multilingual-cased,fi,25,concat,cosine,0.04982556357602963,1.6460546250018524
static,bert-base-multilingual-cased,fi,26,concat,cosine,-0.0463144838916143,1.6558918749942677
static,bert-base-multilingual-cased,fi,27,concat,cosine,-0.07261853746469238,1.6541922079923097
static,bert-base-multilingual-cased,fi,28,concat,cosine,-0.07833540833224673,1.6480677499930607
static,bert-base-multilingual-cased,fi,29,concat,cosine,0.04265669562279162,1.6815505830018083
static,bert-base-multilingual-cased,fi,30,concat,cosine,0.0445054140265887,1.6663462500000605
static,bert-base-multilingual-cased,fi,31,concat,cosine,0.03985074499278096,1.6551805830094963
static,bert-base-multilingual-cased,fi,32,concat,cosine,0.055125773521264354,1.6449297499930253
static,bert-base-multilingual-cased,fi,33,concat,cosine,0.09525500349487692,1.6633586250100052
static,bert-base-multilingual-cased,fi,34,concat,cosine,0.09511752360673309,1.6315905000083148
static,bert-base-multilingual-cased,fi,35,concat,cosine,0.08438519754417839,1.6513386250007898
static,bert-base-multilingual-cased,fi,36,concat,cosine,0.10510643690957888,1.6622811669949442
static,bert-base-multilingual-cased,fi,37,concat,cosine,0.10491855517820792,1.6279119160026312
static,bert-base-multilingual-cased,fi,38,concat,cosine,0.16708632394962897,1.6588570419989992
static,bert-base-multilingual-cased,fi,39,concat,cosine,0.13962905449742902,1.6571528330096044
static,bert-base-multilingual-cased,fi,40,concat,cosine,0.18937711394664858,1.6486211670126067
static,bert-base-multilingual-cased,fi,41,concat,cosine,0.22693817038354425,1.640036541997688
static,bert-base-multilingual-cased,fi,42,concat,cosine,0.2037427396964302,1.6381196250003995
static,bert-base-multilingual-cased,fi,43,concat,cosine,0.2244698863073068,1.6826692920003552
static,bert-base-multilingual-cased,fi,44,concat,cosine,0.3171568932151777,1.6560809999937192
static,bert-base-multilingual-cased,fi,45,concat,cosine,0.46131203950540633,1.6504326659924118
static,bert-base-multilingual-cased,fi,46,concat,cosine,0.4136489665361208,1.7084828750084853
static,bert-base-multilingual-cased,fi,47,concat,cosine,0.2652401778025091,1.6560711670026649
static,bert-base-multilingual-cased,fi,48,concat,cosine,0.2653133202322874,1.6682207090052543
static,bert-base-multilingual-cased,fi,49,concat,cosine,0.2695817594985124,1.6823814170056721
static,bert-base-multilingual-cased,fi,50,concat,cosine,0.26364217090256314,1.6839935000025434
static,bert-base-multilingual-uncased,fi,0,concat,cosine,0.24725731997875822,2.1668579999968642
static,bert-base-multilingual-uncased,fi,1,concat,cosine,0.2682824163335715,1.5375963339902228
static,bert-base-multilingual-uncased,fi,2,concat,cosine,0.001446740567848881,1.5703800000046613
static,bert-base-multilingual-uncased,fi,3,concat,cosine,0.2698093712851295,1.5679403340036515
static,bert-base-multilingual-uncased,fi,4,concat,cosine,0.3488004089702039,1.5448591250024037
static,bert-base-multilingual-uncased,fi,5,concat,cosine,0.26712509799322937,1.5569239169999491
static,bert-base-multilingual-uncased,fi,6,concat,cosine,0.23023295295135637,1.6886882079998031
static,bert-base-multilingual-uncased,fi,7,concat,cosine,0.12811369152071916,1.5411350000067614
static,bert-base-multilingual-uncased,fi,8,concat,cosine,0.1487857159267737,1.5676942080026492
static,bert-base-multilingual-uncased,fi,9,concat,cosine,0.18952848450697812,1.579934166991734
static,bert-base-multilingual-uncased,fi,10,concat,cosine,0.20243149546316386,1.6159837500017602
static,bert-base-multilingual-uncased,fi,11,concat,cosine,0.1403640207683453,1.582705041000736
static,bert-base-multilingual-uncased,fi,12,concat,cosine,0.1813546721689726,1.5629164160054643
static,bert-base-multilingual-uncased,fi,13,concat,cosine,0.033563635596734365,1.5727113750035642
static,bert-base-multilingual-uncased,fi,14,concat,cosine,0.132413962946218,1.5918681670009391
static,bert-base-multilingual-uncased,fi,15,concat,cosine,0.3297021247139196,1.5837998750066618
static,bert-base-multilingual-uncased,fi,16,concat,cosine,0.03663941382923874,1.5579726669966476
static,bert-base-multilingual-uncased,fi,17,concat,cosine,0.2016959093651245,1.5745551250001881
static,bert-base-multilingual-uncased,fi,18,concat,cosine,0.04797911935671084,1.529374124991591
static,bert-base-multilingual-uncased,fi,19,concat,cosine,0.060242674890980896,1.6340709580108523
static,bert-base-multilingual-uncased,fi,20,concat,cosine,0.038349171131651816,1.572579332991154
static,bert-base-multilingual-uncased,fi,21,concat,cosine,0.02357406550711183,1.6902897499967366
static,bert-base-multilingual-uncased,fi,22,concat,cosine,0.003435993543568938,1.5414539589983178
static,bert-base-multilingual-uncased,fi,23,concat,cosine,0.026608425281112957,2.012525624988484
static,bert-base-multilingual-uncased,fi,24,concat,cosine,0.01772859564723228,1.5539025000034599
static,bert-base-multilingual-uncased,fi,25,concat,cosine,-0.0985950483015221,1.55487258300127
static,bert-base-multilingual-uncased,fi,26,concat,cosine,-0.06044885112883658,1.5700694170081988
static,bert-base-multilingual-uncased,fi,27,concat,cosine,0.009337833317163646,1.5683581670018611
static,bert-base-multilingual-uncased,fi,28,concat,cosine,0.049094435268221326,1.5513702080061194
static,bert-base-multilingual-uncased,fi,29,concat,cosine,0.0712752611889913,1.584146333989338
static,bert-base-multilingual-uncased,fi,30,concat,cosine,0.07144468599172116,1.564411207989906
static,bert-base-multilingual-uncased,fi,31,concat,cosine,0.09152354704959453,1.6922791250108276
static,bert-base-multilingual-uncased,fi,32,concat,cosine,0.07671270827344823,1.5801299579907209
static,bert-base-multilingual-uncased,fi,33,concat,cosine,0.09602393951853094,1.572544457987533
static,bert-base-multilingual-uncased,fi,34,concat,cosine,0.08662118292696763,1.7489981670078123
static,bert-base-multilingual-uncased,fi,35,concat,cosine,0.15055135156571842,1.801627125008963
static,bert-base-multilingual-uncased,fi,36,concat,cosine,0.20882067742334054,1.5720937919977587
static,bert-base-multilingual-uncased,fi,37,concat,cosine,0.23181861888697863,1.5975838750018738
static,bert-base-multilingual-uncased,fi,38,concat,cosine,0.32482157980924986,1.567099749998306
static,bert-base-multilingual-uncased,fi,39,concat,cosine,0.32382651406046836,1.5419322090019705
static,bert-base-multilingual-uncased,fi,40,concat,cosine,0.3179301351403482,1.586726167006418
static,bert-base-multilingual-uncased,fi,41,concat,cosine,0.3219006126997148,1.5668455830018502
static,bert-base-multilingual-uncased,fi,42,concat,cosine,0.41202557908560156,1.6121012499934295
