model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,fi,0,concat,cosine,0.1171259970670399,0.1328871458335925
static,bert-base-multilingual-cased,fi,1,concat,cosine,0.156453805609753,0.06987001908297921
static,bert-base-multilingual-cased,fi,2,concat,cosine,0.1963033490091545,0.06779315104176929
static,bert-base-multilingual-cased,fi,3,concat,cosine,0.2729892862905791,0.06820371875013129
static,bert-base-multilingual-cased,fi,4,concat,cosine,0.3530585998253821,0.07004956075009734
static,bert-base-multilingual-cased,fi,5,concat,cosine,0.4159230140921351,0.06959815454138152
static,bert-base-multilingual-cased,fi,6,concat,cosine,0.4593634602953138,0.06860142533332692
static,bert-base-multilingual-cased,fi,7,concat,cosine,0.3450396140038252,0.06842617708328665
static,bert-base-multilingual-cased,fi,8,concat,cosine,0.2655039618180712,0.06912081250023523
static,bert-base-multilingual-cased,fi,9,concat,cosine,0.3642445094745491,0.07694906420814127
static,bert-base-multilingual-cased,fi,10,concat,cosine,0.4567224018571995,0.06826966320841166
static,bert-base-multilingual-cased,fi,11,concat,cosine,0.3066955305601524,0.06819492879124785
static,bert-base-multilingual-cased,fi,12,concat,cosine,0.3348155947874454,0.06889504166611005
static,bert-base-multilingual-cased,fi,13,concat,cosine,0.3448889135864341,0.06912763887521578
static,bert-base-multilingual-cased,fi,14,concat,cosine,0.422648646809841,0.06891154858324929
static,bert-base-multilingual-cased,fi,15,concat,cosine,0.4549941170058823,0.07013482641680942
static,bert-base-multilingual-cased,fi,16,concat,cosine,0.2408361926660427,0.06820037154163099
static,bert-base-multilingual-cased,fi,17,concat,cosine,0.3989978001162586,0.0681063419997372
static,bert-base-multilingual-cased,fi,18,concat,cosine,0.2718367876257752,0.06790868920870707
static,bert-base-multilingual-cased,fi,19,concat,cosine,0.2292069249366299,0.08396150174970292
static,bert-base-multilingual-cased,fi,20,concat,cosine,0.2519950748424453,0.06980092533376592
static,bert-base-multilingual-cased,fi,21,concat,cosine,0.0850376068688028,0.06837414062526175
static,bert-base-multilingual-cased,fi,22,concat,cosine,0.0705093102615884,0.07012610416616856
static,bert-base-multilingual-cased,fi,23,concat,cosine,0.0783662620004487,0.0706751562502177
static,bert-base-multilingual-cased,fi,24,concat,cosine,0.059090062742221,0.06891127258374279
static,bert-base-multilingual-cased,fi,25,concat,cosine,0.0498255635760296,0.06858560937507718
static,bert-base-multilingual-cased,fi,26,concat,cosine,-0.0463144838916143,0.06899549479142782
static,bert-base-multilingual-cased,fi,27,concat,cosine,-0.0726185374646923,0.0689246753330129
static,bert-base-multilingual-cased,fi,28,concat,cosine,-0.0783354083322467,0.0686694895830442
static,bert-base-multilingual-cased,fi,29,concat,cosine,0.0426566956227916,0.07006460762507535
static,bert-base-multilingual-cased,fi,30,concat,cosine,0.0445054140265887,0.06943109375000252
static,bert-base-multilingual-cased,fi,31,concat,cosine,0.0398507449927809,0.06896585762539569
static,bert-base-multilingual-cased,fi,32,concat,cosine,0.0551257735212643,0.06853873958304271
static,bert-base-multilingual-cased,fi,33,concat,cosine,0.0952550034948769,0.06930660937541688
static,bert-base-multilingual-cased,fi,34,concat,cosine,0.095117523606733,0.06798293750034645
static,bert-base-multilingual-cased,fi,35,concat,cosine,0.0843851975441783,0.06880577604169957
static,bert-base-multilingual-cased,fi,36,concat,cosine,0.1051064369095788,0.06926171529145601
static,bert-base-multilingual-cased,fi,37,concat,cosine,0.1049185551782079,0.0678296631667763
static,bert-base-multilingual-cased,fi,38,concat,cosine,0.1670863239496289,0.06911904341662496
static,bert-base-multilingual-cased,fi,39,concat,cosine,0.139629054497429,0.06904803470873351
static,bert-base-multilingual-cased,fi,40,concat,cosine,0.1893771139466485,0.06869254862552528
static,bert-base-multilingual-cased,fi,41,concat,cosine,0.2269381703835442,0.06833485591657033
static,bert-base-multilingual-cased,fi,42,concat,cosine,0.2037427396964302,0.06825498437501665
static,bert-base-multilingual-cased,fi,43,concat,cosine,0.2244698863073068,0.0701112205000148
static,bert-base-multilingual-cased,fi,44,concat,cosine,0.3171568932151777,0.0690033749997383
static,bert-base-multilingual-cased,fi,45,concat,cosine,0.4613120395054063,0.06876802774968382
static,bert-base-multilingual-cased,fi,46,concat,cosine,0.4136489665361208,0.07118678645868688
static,bert-base-multilingual-cased,fi,47,concat,cosine,0.2652401778025091,0.0690029652917777
static,bert-base-multilingual-cased,fi,48,concat,cosine,0.2653133202322874,0.06950919620855227
static,bert-base-multilingual-cased,fi,49,concat,cosine,0.2695817594985124,0.07009922570856966
static,bert-base-multilingual-cased,fi,50,concat,cosine,0.2636421709025631,0.07016639583343931
static,bert-base-multilingual-uncased,fi,0,concat,cosine,0.2472573199787582,0.09028574999986932
static,bert-base-multilingual-uncased,fi,1,concat,cosine,0.2682824163335715,0.06406651391625928
static,bert-base-multilingual-uncased,fi,2,concat,cosine,0.0014467405678488,0.06543250000019422
static,bert-base-multilingual-uncased,fi,3,concat,cosine,0.2698093712851295,0.06533084725015215
static,bert-base-multilingual-uncased,fi,4,concat,cosine,0.3488004089702039,0.06436913020843348
static,bert-base-multilingual-uncased,fi,5,concat,cosine,0.2671250979932293,0.06487182987499789
static,bert-base-multilingual-uncased,fi,6,concat,cosine,0.2302329529513563,0.07036200866665847
static,bert-base-multilingual-uncased,fi,7,concat,cosine,0.1281136915207191,0.06421395833361505
static,bert-base-multilingual-uncased,fi,8,concat,cosine,0.1487857159267737,0.06532059200011038
static,bert-base-multilingual-uncased,fi,9,concat,cosine,0.1895284845069781,0.06583059029132225
static,bert-base-multilingual-uncased,fi,10,concat,cosine,0.2024314954631638,0.06733265625007334
static,bert-base-multilingual-uncased,fi,11,concat,cosine,0.1403640207683453,0.06594604337503067
static,bert-base-multilingual-uncased,fi,12,concat,cosine,0.1813546721689726,0.06512151733356102
static,bert-base-multilingual-uncased,fi,13,concat,cosine,0.0335636355967343,0.0655296406251485
static,bert-base-multilingual-uncased,fi,14,concat,cosine,0.132413962946218,0.0663278402917058
static,bert-base-multilingual-uncased,fi,15,concat,cosine,0.3297021247139196,0.0659916614586109
static,bert-base-multilingual-uncased,fi,16,concat,cosine,0.0366394138292387,0.06491552779152698
static,bert-base-multilingual-uncased,fi,17,concat,cosine,0.2016959093651245,0.0656064635416745
static,bert-base-multilingual-uncased,fi,18,concat,cosine,0.0479791193567108,0.06372392187464963
static,bert-base-multilingual-uncased,fi,19,concat,cosine,0.0602426748909808,0.06808628991711885
static,bert-base-multilingual-uncased,fi,20,concat,cosine,0.0383491711316518,0.06552413887463142
static,bert-base-multilingual-uncased,fi,21,concat,cosine,0.0235740655071118,0.07042873958319736
static,bert-base-multilingual-uncased,fi,22,concat,cosine,0.0034359935435689,0.06422724829159658
static,bert-base-multilingual-uncased,fi,23,concat,cosine,0.0266084252811129,0.08385523437452018
static,bert-base-multilingual-uncased,fi,24,concat,cosine,0.0177285956472322,0.06474593750014417
static,bert-base-multilingual-uncased,fi,25,concat,cosine,-0.0985950483015221,0.06478635762505291
static,bert-base-multilingual-uncased,fi,26,concat,cosine,-0.0604488511288365,0.06541955904200829
static,bert-base-multilingual-uncased,fi,27,concat,cosine,0.0093378333171636,0.06534825695841089
static,bert-base-multilingual-uncased,fi,28,concat,cosine,0.0490944352682213,0.06464042533358831
static,bert-base-multilingual-uncased,fi,29,concat,cosine,0.0712752611889913,0.06600609724955575
static,bert-base-multilingual-uncased,fi,30,concat,cosine,0.0714446859917211,0.06518380033291275
static,bert-base-multilingual-uncased,fi,31,concat,cosine,0.0915235470495945,0.07051163020878448
static,bert-base-multilingual-uncased,fi,32,concat,cosine,0.0767127082734482,0.06583874824961337
static,bert-base-multilingual-uncased,fi,33,concat,cosine,0.0960239395185309,0.06552268574948054
static,bert-base-multilingual-uncased,fi,34,concat,cosine,0.0866211829269676,0.07287492362532551
static,bert-base-multilingual-uncased,fi,35,concat,cosine,0.1505513515657184,0.07506779687537346
static,bert-base-multilingual-uncased,fi,36,concat,cosine,0.2088206774233405,0.06550390799990662
static,bert-base-multilingual-uncased,fi,37,concat,cosine,0.2318186188869786,0.06656599479174474
static,bert-base-multilingual-uncased,fi,38,concat,cosine,0.3248215798092498,0.06529582291659608
static,bert-base-multilingual-uncased,fi,39,concat,cosine,0.3238265140604683,0.06424717537508211
static,bert-base-multilingual-uncased,fi,40,concat,cosine,0.3179301351403482,0.06611359029193409
static,bert-base-multilingual-uncased,fi,41,concat,cosine,0.3219006126997148,0.06528523262507709
static,bert-base-multilingual-uncased,fi,42,concat,cosine,0.4120255790856015,0.06717088541639289
static,bert-base-multilingual-uncased,fi,43,concat,cosine,0.2689305572855379,0.06570820312481374
static,bert-base-multilingual-uncased,fi,44,concat,cosine,0.2561636999905479,0.06567377083350341
static,bert-base-multilingual-uncased,fi,45,concat,cosine,0.248133376159917,0.06583419445875431
static,bert-base-multilingual-uncased,fi,46,concat,cosine,0.2587447706543007,0.06519276391676006
static,bert-base-multilingual-uncased,fi,47,concat,cosine,0.2656678710907316,0.06425661804132687
static,bert-base-multilingual-uncased,fi,48,concat,cosine,0.2641196745522809,0.06696031250006247
static,bert-base-multilingual-uncased,fi,49,concat,cosine,0.2752745086149373,0.06556459375012007
static,bert-base-multilingual-uncased,fi,50,concat,cosine,0.2894796902315242,0.06412495312482254
static,EMBEDDIA/crosloengual-bert,fi,0,concat,cosine,0.4370668293611797,0.05502820833316946
static,EMBEDDIA/crosloengual-bert,fi,1,concat,cosine,0.1138923283985702,0.04907863020829003
static,EMBEDDIA/crosloengual-bert,fi,2,concat,cosine,-0.0515964187999058,0.04957942362549753
static,EMBEDDIA/crosloengual-bert,fi,3,concat,cosine,0.2414528788383143,0.06211737674978698
static,EMBEDDIA/crosloengual-bert,fi,4,concat,cosine,0.4370148681179564,0.0509787412914496
static,EMBEDDIA/crosloengual-bert,fi,5,concat,cosine,0.5533688972542238,0.05109441320867821
static,EMBEDDIA/crosloengual-bert,fi,6,concat,cosine,0.5464428936838044,0.04836747220845913
static,EMBEDDIA/crosloengual-bert,fi,7,concat,cosine,0.5158569230084812,0.05083976737478224
static,EMBEDDIA/crosloengual-bert,fi,8,concat,cosine,0.4957958252865254,0.051133727458363865
static,EMBEDDIA/crosloengual-bert,fi,9,concat,cosine,0.5734679033191068,0.04901231075018587
static,EMBEDDIA/crosloengual-bert,fi,10,concat,cosine,0.6334540474242795,0.052241317707739654
static,EMBEDDIA/crosloengual-bert,fi,11,concat,cosine,0.5486367166705162,0.052190347208428044
static,EMBEDDIA/crosloengual-bert,fi,12,concat,cosine,0.6220760567846984,0.05081987329140247
static,EMBEDDIA/crosloengual-bert,fi,13,concat,cosine,0.478089632975281,0.05192345658300232
static,EMBEDDIA/crosloengual-bert,fi,14,concat,cosine,0.5174245088591795,0.05070528991624693
static,EMBEDDIA/crosloengual-bert,fi,15,concat,cosine,0.2204592909098106,0.04995318575007938
static,EMBEDDIA/crosloengual-bert,fi,16,concat,cosine,0.1669169479682717,0.050071692707812566
static,EMBEDDIA/crosloengual-bert,fi,17,concat,cosine,0.2469212214002306,0.051731498249864664
static,EMBEDDIA/crosloengual-bert,fi,18,concat,cosine,0.1340024401798102,0.050240185749620046
static,EMBEDDIA/crosloengual-bert,fi,19,concat,cosine,0.146657423076255,0.05015459375014567
static,EMBEDDIA/crosloengual-bert,fi,20,concat,cosine,0.0722446385937718,0.05189700870808641
static,EMBEDDIA/crosloengual-bert,fi,21,concat,cosine,0.1862766535606808,0.05056071179145268
static,EMBEDDIA/crosloengual-bert,fi,22,concat,cosine,0.0976381070434011,0.05190642879157773
static,EMBEDDIA/crosloengual-bert,fi,23,concat,cosine,0.1190967932654335,0.0482993333334889
static,EMBEDDIA/crosloengual-bert,fi,24,concat,cosine,0.0392248893130421,0.05013261633333362
static,EMBEDDIA/crosloengual-bert,fi,25,concat,cosine,0.0843108659975306,0.05353488541671444
static,EMBEDDIA/crosloengual-bert,fi,26,concat,cosine,0.1399020525934403,0.05131964233381343
static,EMBEDDIA/crosloengual-bert,fi,27,concat,cosine,0.1363689529226874,0.050026064249929426
static,EMBEDDIA/crosloengual-bert,fi,28,concat,cosine,0.1077128529896526,0.05023484375002834
static,EMBEDDIA/crosloengual-bert,fi,29,concat,cosine,0.1115851820214939,0.05153143574959055
static,EMBEDDIA/crosloengual-bert,fi,30,concat,cosine,0.0132449301018391,0.05160473266672246
static,EMBEDDIA/crosloengual-bert,fi,31,concat,cosine,0.3600461179427723,0.05128400695806098
static,EMBEDDIA/crosloengual-bert,fi,32,concat,cosine,0.3264459205146625,0.05164937329148719
static,EMBEDDIA/crosloengual-bert,fi,33,concat,cosine,0.3392795696964299,0.05320235937506368
static,EMBEDDIA/crosloengual-bert,fi,34,concat,cosine,0.3644485668890092,0.04975531595785771
static,EMBEDDIA/crosloengual-bert,fi,35,concat,cosine,0.312986866004258,0.051474383666572976
static,EMBEDDIA/crosloengual-bert,fi,36,concat,cosine,0.2420158133065683,0.050426006958635604
static,EMBEDDIA/crosloengual-bert,fi,37,concat,cosine,0.2615344992212259,0.0514042951247878
static,EMBEDDIA/crosloengual-bert,fi,38,concat,cosine,0.257452342277545,0.05208969441628142
static,EMBEDDIA/crosloengual-bert,fi,39,concat,cosine,0.2470549868840406,0.053818618041987065
static,EMBEDDIA/crosloengual-bert,fi,40,concat,cosine,0.2422329886523483,0.051675734374536354
static,EMBEDDIA/crosloengual-bert,fi,41,concat,cosine,0.3128121450866613,0.05074559549999929
static,EMBEDDIA/crosloengual-bert,fi,42,concat,cosine,0.3011156622896794,0.04893384895876807
static,EMBEDDIA/crosloengual-bert,fi,43,concat,cosine,0.2955175192183712,0.05242848612518477
static,EMBEDDIA/crosloengual-bert,fi,44,concat,cosine,0.3113711320081416,0.04987580033351454
