model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,fi,0,sum,cosine,0.11712599706703997,1.99484054200002
static,bert-base-multilingual-cased,fi,1,sum,cosine,0.1469981013928433,1.5797866670000076
static,bert-base-multilingual-cased,fi,2,sum,cosine,0.2991161184779507,1.6098569160003535
static,bert-base-multilingual-cased,fi,3,sum,cosine,0.39399638675773496,1.5326777500004027
static,bert-base-multilingual-cased,fi,4,sum,cosine,0.2162625287716502,1.5688102909998634
static,bert-base-multilingual-cased,fi,5,sum,cosine,0.24957151197016691,1.5571848330000648
static,bert-base-multilingual-cased,fi,6,sum,cosine,0.2643378536535943,1.522538459000316
static,bert-base-multilingual-cased,fi,7,sum,cosine,0.25082506964366136,1.5274037500003033
static,bert-base-multilingual-cased,fi,8,sum,cosine,0.3374558481787451,1.549818375000541
static,bert-base-multilingual-cased,fi,9,sum,cosine,0.370659479419416,1.5252600840003652
static,bert-base-multilingual-cased,fi,10,sum,cosine,0.2801515641242154,1.524574500000199
static,bert-base-multilingual-cased,fi,11,sum,cosine,0.2490218297661454,1.5681170420002672
static,bert-base-multilingual-cased,fi,12,sum,cosine,0.24984553862235137,1.7100427919995127
static,bert-base-multilingual-cased,fi,13,sum,cosine,0.24563069496698198,1.5506810000006226
static,bert-base-multilingual-cased,fi,14,sum,cosine,0.25267698801904415,1.547653249999712
static,bert-base-multilingual-cased,fi,15,sum,cosine,0.24609810655356834,1.5980855419993532
static,bert-base-multilingual-cased,fi,16,sum,cosine,0.24092389180765528,1.5544753750000382
static,bert-base-multilingual-cased,fi,17,sum,cosine,0.2387062722970087,1.5602280410003004
static,bert-base-multilingual-cased,fi,18,sum,cosine,0.24442404793959072,1.5548641249997672
static,bert-base-multilingual-cased,fi,19,sum,cosine,0.2388788676797241,1.5499258749996443
static,bert-base-multilingual-cased,fi,20,sum,cosine,0.22476214965618468,1.599807917000362
static,bert-base-multilingual-cased,fi,21,sum,cosine,0.21922775790457316,1.5804339580008673
static,bert-base-multilingual-cased,fi,22,sum,cosine,0.22043285288882464,1.5516068750002887
static,bert-base-multilingual-cased,fi,23,sum,cosine,0.22835234569341967,1.5558156249999229
static,bert-base-multilingual-cased,fi,24,sum,cosine,0.2248372585449867,1.6467124170003444
static,bert-base-multilingual-cased,fi,25,sum,cosine,0.22730307429676744,1.564116790999833
static,bert-base-multilingual-cased,fi,26,sum,cosine,0.24867843448057958,1.5459743329993216
static,bert-base-multilingual-cased,fi,27,sum,cosine,0.2689498776277197,1.5458314999996219
static,bert-base-multilingual-cased,fi,28,sum,cosine,0.2929009816045801,1.5637370829999782
static,bert-base-multilingual-cased,fi,29,sum,cosine,0.32499134351233594,1.6054744160001064
static,bert-base-multilingual-cased,fi,30,sum,cosine,0.34677585431097335,1.540507875000003
static,bert-base-multilingual-cased,fi,31,sum,cosine,0.34022432844709427,1.5214702499997657
static,bert-base-multilingual-cased,fi,32,sum,cosine,0.3623410541848331,1.542202915999951
static,bert-base-multilingual-cased,fi,33,sum,cosine,0.3690076651889016,1.5500947919999817
static,bert-base-multilingual-cased,fi,34,sum,cosine,0.3497990448964523,1.5466592920001858
static,bert-base-multilingual-cased,fi,35,sum,cosine,0.3369896977324881,1.5771177500000704
static,bert-base-multilingual-cased,fi,36,sum,cosine,0.3336939137598949,1.6681672079994314
static,bert-base-multilingual-cased,fi,37,sum,cosine,0.32305326377570676,1.5926204170000346
static,bert-base-multilingual-cased,fi,38,sum,cosine,0.3082558566466326,1.5397771250000005
static,bert-base-multilingual-cased,fi,39,sum,cosine,0.30668369084137925,1.5539317909997408
static,bert-base-multilingual-cased,fi,40,sum,cosine,0.30618434933889627,1.5401905829994575
static,bert-base-multilingual-cased,fi,41,sum,cosine,0.29162513095185016,1.5375955839999733
static,bert-base-multilingual-cased,fi,42,sum,cosine,0.2968924921656264,1.5646194999999352
static,bert-base-multilingual-cased,fi,43,sum,cosine,0.28902753011128457,1.6188501250007903
static,bert-base-multilingual-cased,fi,44,sum,cosine,0.3018014181365528,1.5550708330001726
static,bert-base-multilingual-cased,fi,45,sum,cosine,0.2900744397407462,1.608388874999946
static,bert-base-multilingual-cased,fi,46,sum,cosine,0.28656296439173845,1.5519908340002075
static,bert-base-multilingual-cased,fi,47,sum,cosine,0.2804437867999511,1.5278193329995702
static,bert-base-multilingual-cased,fi,48,sum,cosine,0.25583386453489554,1.5446208329994988
static,bert-base-multilingual-cased,fi,49,sum,cosine,0.24064515511249418,1.5313241249996281
static,bert-base-multilingual-cased,fi,50,sum,cosine,0.23526760937189395,1.6306625830002304
static,bert-base-multilingual-uncased,fi,0,sum,cosine,0.24725731997875822,2.075994000000719
static,bert-base-multilingual-uncased,fi,1,sum,cosine,-0.1587082729280771,1.459959708000497
static,bert-base-multilingual-uncased,fi,2,sum,cosine,-0.14671590059178063,1.467267917000754
static,bert-base-multilingual-uncased,fi,3,sum,cosine,0.11029895089317399,1.468187499999658
static,bert-base-multilingual-uncased,fi,4,sum,cosine,-0.028786921704057944,1.4776845839996895
static,bert-base-multilingual-uncased,fi,5,sum,cosine,0.059353611292791375,1.4635601669997413
static,bert-base-multilingual-uncased,fi,6,sum,cosine,0.13268155384958846,1.4775804589999098
static,bert-base-multilingual-uncased,fi,7,sum,cosine,0.1805893487538619,1.4419504999996207
static,bert-base-multilingual-uncased,fi,8,sum,cosine,0.2515838159299859,1.4574210000000676
static,bert-base-multilingual-uncased,fi,9,sum,cosine,0.24814151644939286,1.4649785419996988
static,bert-base-multilingual-uncased,fi,10,sum,cosine,0.1882454624805212,1.4640486250000322
static,bert-base-multilingual-uncased,fi,11,sum,cosine,0.19709595936754365,1.4750944170000366
static,bert-base-multilingual-uncased,fi,12,sum,cosine,0.18784481014424526,1.5227540420000878
static,bert-base-multilingual-uncased,fi,13,sum,cosine,0.18546392541753065,1.4627992499999891
static,bert-base-multilingual-uncased,fi,14,sum,cosine,0.16256497897530453,1.476732458000697
static,bert-base-multilingual-uncased,fi,15,sum,cosine,0.1623416892549161,1.494129083000189
static,bert-base-multilingual-uncased,fi,16,sum,cosine,0.14805069358095568,1.471504707999884
static,bert-base-multilingual-uncased,fi,17,sum,cosine,0.1578143559261137,1.450722874999883
static,bert-base-multilingual-uncased,fi,18,sum,cosine,0.1551051824950297,1.4802260839996961
static,bert-base-multilingual-uncased,fi,19,sum,cosine,0.16243149409695878,1.463697707999927
static,bert-base-multilingual-uncased,fi,20,sum,cosine,0.1757331438088332,1.5152950419997069
static,bert-base-multilingual-uncased,fi,21,sum,cosine,0.19685869896629615,1.4464560410006015
static,bert-base-multilingual-uncased,fi,22,sum,cosine,0.1985432475950899,1.4492462920006801
static,bert-base-multilingual-uncased,fi,23,sum,cosine,0.2065609397880639,1.4349203749998196
static,bert-base-multilingual-uncased,fi,24,sum,cosine,0.23854898397343682,1.461927082999864
static,bert-base-multilingual-uncased,fi,25,sum,cosine,0.25573778047128237,1.4812397079995208
static,bert-base-multilingual-uncased,fi,26,sum,cosine,0.31377580454672704,1.470148875000632
static,bert-base-multilingual-uncased,fi,27,sum,cosine,0.32890588130339093,1.4606948330001615
static,bert-base-multilingual-uncased,fi,28,sum,cosine,0.35423461565269043,1.4553182499994364
static,bert-base-multilingual-uncased,fi,29,sum,cosine,0.3693964274044256,1.4493852909999987
static,bert-base-multilingual-uncased,fi,30,sum,cosine,0.36683165267074513,1.9368510419999438
static,bert-base-multilingual-uncased,fi,31,sum,cosine,0.3675223552488861,1.4733113749998665
static,bert-base-multilingual-uncased,fi,32,sum,cosine,0.3633462950172377,1.4827583750002304
static,bert-base-multilingual-uncased,fi,33,sum,cosine,0.3637696300088502,1.443681708999975
static,bert-base-multilingual-uncased,fi,34,sum,cosine,0.32733307235469256,1.5169479160003903
static,bert-base-multilingual-uncased,fi,35,sum,cosine,0.34612042737501114,1.4732411670001966
static,bert-base-multilingual-uncased,fi,36,sum,cosine,0.33848950144937495,1.476364791999913
static,bert-base-multilingual-uncased,fi,37,sum,cosine,0.3446339910715164,1.4582769999997254
static,bert-base-multilingual-uncased,fi,38,sum,cosine,0.33987423284817553,1.4487422920001336
static,bert-base-multilingual-uncased,fi,39,sum,cosine,0.3361196917745286,1.4312770839997029
static,bert-base-multilingual-uncased,fi,40,sum,cosine,0.3479272938875877,1.4407705829999031
static,bert-base-multilingual-uncased,fi,41,sum,cosine,0.3513310051651527,1.4614952920001087
static,bert-base-multilingual-uncased,fi,42,sum,cosine,0.3284771991811457,1.493320333000156
static,bert-base-multilingual-uncased,fi,43,sum,cosine,0.31597103316382613,1.4851501660004942
static,bert-base-multilingual-uncased,fi,44,sum,cosine,0.31416634145826183,1.46233279199987
static,bert-base-multilingual-uncased,fi,45,sum,cosine,0.3135418928883402,1.4536413750001884
static,bert-base-multilingual-uncased,fi,46,sum,cosine,0.29917652271662676,1.4493506250000792
static,bert-base-multilingual-uncased,fi,47,sum,cosine,0.29033849212374774,1.4571712500001013
static,bert-base-multilingual-uncased,fi,48,sum,cosine,0.2684182704019611,1.4977209170001515
static,bert-base-multilingual-uncased,fi,49,sum,cosine,0.2706278352600703,1.504818040999453
static,bert-base-multilingual-uncased,fi,50,sum,cosine,0.2818725678168452,1.4334108329994706
static,EMBEDDIA/crosloengual-bert,fi,0,sum,cosine,0.4370668293611797,1.3121136250001655
static,EMBEDDIA/crosloengual-bert,fi,1,sum,cosine,-0.03990680218139442,1.154240667000522
static,EMBEDDIA/crosloengual-bert,fi,2,sum,cosine,-0.1673209198001604,1.1254095410004084
