model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,hr,0,concat,cosine,0.19757678737004947,2.415566541996668
static,bert-base-multilingual-cased,hr,1,concat,cosine,0.20431206227995868,1.9878949590056436
static,bert-base-multilingual-cased,hr,2,concat,cosine,0.1912973426507507,1.897283708996838
static,bert-base-multilingual-cased,hr,3,concat,cosine,0.1891475702102795,1.9769187920028344
static,bert-base-multilingual-cased,hr,4,concat,cosine,0.10984930069794885,1.9718294159974903
static,bert-base-multilingual-cased,hr,5,concat,cosine,0.10463213479294942,1.9946362909977324
static,bert-base-multilingual-cased,hr,6,concat,cosine,0.11266758233528329,1.9986554170027375
static,bert-base-multilingual-cased,hr,7,concat,cosine,0.1022254529895863,1.9340141249995213
static,bert-base-multilingual-cased,hr,8,concat,cosine,0.08931981572070646,1.9738873749884078
static,bert-base-multilingual-cased,hr,9,concat,cosine,0.09664663844419918,1.9742308750137454
static,bert-base-multilingual-cased,hr,10,concat,cosine,0.07469999798524296,2.0162187079986325
static,bert-base-multilingual-cased,hr,11,concat,cosine,0.09894520483272673,2.027122416999191
static,bert-base-multilingual-cased,hr,12,concat,cosine,0.08107459124412242,1.9471351669926662
static,bert-base-multilingual-cased,hr,13,concat,cosine,0.06257429247379309,2.1028797080070945
static,bert-base-multilingual-cased,hr,14,concat,cosine,0.07131669343412839,1.929984707996482
static,bert-base-multilingual-cased,hr,15,concat,cosine,0.09907426505577677,2.0278095829999074
static,bert-base-multilingual-cased,hr,16,concat,cosine,0.061298798960894074,1.9713546669954667
static,bert-base-multilingual-cased,hr,17,concat,cosine,0.06940807711604602,1.9744445410033222
static,bert-base-multilingual-cased,hr,18,concat,cosine,0.1734668026942402,2.013249209005153
static,bert-base-multilingual-cased,hr,19,concat,cosine,0.18628396278556814,1.9803647920052754
static,bert-base-multilingual-cased,hr,20,concat,cosine,0.19640527392256346,1.9983876250043977
static,bert-base-multilingual-cased,hr,21,concat,cosine,0.18158693281686622,2.004692457994679
static,bert-base-multilingual-cased,hr,22,concat,cosine,0.17403544009901617,1.9500875840021763
static,bert-base-multilingual-cased,hr,23,concat,cosine,0.18814468417947805,1.9968912089971127
static,bert-base-multilingual-cased,hr,24,concat,cosine,0.23609241268419823,2.019848625001032
static,bert-base-multilingual-cased,hr,25,concat,cosine,0.2641859061173879,1.9738775419973535
static,bert-base-multilingual-cased,hr,26,concat,cosine,0.27553662507125654,1.963161041989224
static,bert-base-multilingual-cased,hr,27,concat,cosine,0.2806274224886225,2.0044202499993844
static,bert-base-multilingual-cased,hr,28,concat,cosine,0.2775281002158123,1.9907960000127787
static,bert-base-multilingual-cased,hr,29,concat,cosine,0.26414964249350104,2.0485660830017878
static,bert-base-multilingual-cased,hr,30,concat,cosine,0.22554511415835954,1.9829420000023674
static,bert-base-multilingual-cased,hr,31,concat,cosine,0.2400109499571097,1.9899480410094839
static,bert-base-multilingual-cased,hr,32,concat,cosine,0.2364332788678316,2.0056872079876484
static,bert-base-multilingual-cased,hr,33,concat,cosine,0.22102587009796537,1.9895004159916425
static,bert-base-multilingual-cased,hr,34,concat,cosine,0.21884980053173908,1.9767108329979237
static,bert-base-multilingual-cased,hr,35,concat,cosine,0.1956846349659852,1.961668208008632
static,bert-base-multilingual-cased,hr,36,concat,cosine,0.21011081299014445,1.9765691669890657
static,bert-base-multilingual-cased,hr,37,concat,cosine,0.19055220231454428,1.9900819169997703
static,bert-base-multilingual-cased,hr,38,concat,cosine,0.19290238668220416,2.004830874997424
static,bert-base-multilingual-cased,hr,39,concat,cosine,0.19010509759720295,2.018044666998321
static,bert-base-multilingual-cased,hr,40,concat,cosine,0.17182143062641264,2.011077542003477
static,bert-base-multilingual-cased,hr,41,concat,cosine,0.1841403359914714,2.029227749997517
static,bert-base-multilingual-cased,hr,42,concat,cosine,0.19646287879689806,2.180791415987187
static,bert-base-multilingual-cased,hr,43,concat,cosine,0.19268174984078756,2.6487924169923645
static,bert-base-multilingual-cased,hr,44,concat,cosine,0.19349414167552026,2.031645249997382
static,bert-base-multilingual-cased,hr,45,concat,cosine,0.2345646266210596,2.0231295410048915
static,bert-base-multilingual-cased,hr,46,concat,cosine,0.23387488299190284,1.950963374998537
static,bert-base-multilingual-cased,hr,47,concat,cosine,0.24055151326889213,2.0475199169886764
static,bert-base-multilingual-cased,hr,48,concat,cosine,0.24123920182555603,2.0068482079950627
static,bert-base-multilingual-cased,hr,49,concat,cosine,0.24399839360718478,2.023916417005239
static,bert-base-multilingual-cased,hr,50,concat,cosine,0.26901294687347177,1.8965776249970077
static,bert-base-multilingual-uncased,hr,0,concat,cosine,0.0778098659378037,2.2687639590003528
static,bert-base-multilingual-uncased,hr,1,concat,cosine,0.24806758934099515,1.9633701250131708
static,bert-base-multilingual-uncased,hr,2,concat,cosine,0.2437655710949913,1.9969716249906924
static,bert-base-multilingual-uncased,hr,3,concat,cosine,0.20792593704305262,1.9115000419988064
static,bert-base-multilingual-uncased,hr,4,concat,cosine,0.17199341191344442,1.9346017909992952
static,bert-base-multilingual-uncased,hr,5,concat,cosine,0.14433739483962826,1.948446167007205
static,bert-base-multilingual-uncased,hr,6,concat,cosine,0.1460268764254542,2.0078433329908876
static,bert-base-multilingual-uncased,hr,7,concat,cosine,0.12404767408585604,1.9332492919929791
static,bert-base-multilingual-uncased,hr,8,concat,cosine,0.1368123541323718,1.957687125002849
static,bert-base-multilingual-uncased,hr,9,concat,cosine,0.11892249809941857,1.9241373330005445
static,bert-base-multilingual-uncased,hr,10,concat,cosine,0.11751052409738794,1.9622957079991465
static,bert-base-multilingual-uncased,hr,11,concat,cosine,0.1027619008366818,1.9357788330089534
static,bert-base-multilingual-uncased,hr,12,concat,cosine,0.08938612571387317,1.9515752500010421
static,bert-base-multilingual-uncased,hr,13,concat,cosine,0.12147845779779642,1.9533728749956936
static,bert-base-multilingual-uncased,hr,14,concat,cosine,0.06906436431421303,1.9580332499899669
static,bert-base-multilingual-uncased,hr,15,concat,cosine,0.07465176814040819,1.9444240419979906
static,bert-base-multilingual-uncased,hr,16,concat,cosine,0.06923071094473265,1.942141375009669
static,bert-base-multilingual-uncased,hr,17,concat,cosine,0.11909993226366444,1.9476295839995146
static,bert-base-multilingual-uncased,hr,18,concat,cosine,0.18093092386872178,1.9558841249963734
static,bert-base-multilingual-uncased,hr,19,concat,cosine,0.16554731373628684,1.9282331249996787
static,bert-base-multilingual-uncased,hr,20,concat,cosine,0.1745213161441279,2.193068749998929
static,bert-base-multilingual-uncased,hr,21,concat,cosine,0.1818949753041279,1.9326835829997435
static,bert-base-multilingual-uncased,hr,22,concat,cosine,0.19268798043343305,1.9521811250015162
static,bert-base-multilingual-uncased,hr,23,concat,cosine,0.2542113865507718,1.9490395419998094
static,bert-base-multilingual-uncased,hr,24,concat,cosine,0.26614327083890976,1.9297834580065683
static,bert-base-multilingual-uncased,hr,25,concat,cosine,0.268292561736851,1.9105454589880537
static,bert-base-multilingual-uncased,hr,26,concat,cosine,0.2512508299415963,1.9121753749932395
static,bert-base-multilingual-uncased,hr,27,concat,cosine,0.20788555296158973,1.9559198749921052
static,bert-base-multilingual-uncased,hr,28,concat,cosine,0.1942081655628951,1.9392361669888487
static,bert-base-multilingual-uncased,hr,29,concat,cosine,0.21236734494779763,1.9461157079931581
static,bert-base-multilingual-uncased,hr,30,concat,cosine,0.20595696081440573,1.9191116669971962
static,bert-base-multilingual-uncased,hr,31,concat,cosine,0.2157796129152797,2.0378650829952676
static,bert-base-multilingual-uncased,hr,32,concat,cosine,0.19412211882460795,1.9825080830050865
static,bert-base-multilingual-uncased,hr,33,concat,cosine,0.16753816634966323,1.9823021249903832
static,bert-base-multilingual-uncased,hr,34,concat,cosine,0.17114385930764064,1.987464124991675
static,bert-base-multilingual-uncased,hr,35,concat,cosine,0.15565071120739904,1.9735625419998541
static,bert-base-multilingual-uncased,hr,36,concat,cosine,0.16294568527406528,1.9576129999913974
static,bert-base-multilingual-uncased,hr,37,concat,cosine,0.18086372269285134,1.9554304170014802
static,bert-base-multilingual-uncased,hr,38,concat,cosine,0.16593070899919093,1.952730207995046
static,bert-base-multilingual-uncased,hr,39,concat,cosine,0.17410037020643443,1.9351474580034846
static,bert-base-multilingual-uncased,hr,40,concat,cosine,0.18099326424868645,1.9583067500061588
static,bert-base-multilingual-uncased,hr,41,concat,cosine,0.18243035470460223,1.9715609580016462
static,bert-base-multilingual-uncased,hr,42,concat,cosine,0.1681462356797504,1.9409769170015352
static,bert-base-multilingual-uncased,hr,43,concat,cosine,0.2058326819487013,1.9343400000070687
static,bert-base-multilingual-uncased,hr,44,concat,cosine,0.27884204154669456,1.9887878750014352
static,bert-base-multilingual-uncased,hr,45,concat,cosine,0.253140781348572,1.9860896250029327
static,bert-base-multilingual-uncased,hr,46,concat,cosine,0.26310237648490165,2.0054987500043353
static,bert-base-multilingual-uncased,hr,47,concat,cosine,0.25974812755175725,2.15008974999364
static,bert-base-multilingual-uncased,hr,48,concat,cosine,0.2613676498392099,2.0338654590013903
static,bert-base-multilingual-uncased,hr,49,concat,cosine,0.26634089864396526,2.345176333008567
static,bert-base-multilingual-uncased,hr,50,concat,cosine,0.2673846985408048,2.054986707997159
static,EMBEDDIA/crosloengual-bert,hr,0,concat,cosine,0.11580091341507259,1.7165699159959331
static,EMBEDDIA/crosloengual-bert,hr,1,concat,cosine,0.28752972350216544,1.517660249999608
static,EMBEDDIA/crosloengual-bert,hr,2,concat,cosine,0.2130622836060556,1.473806791997049
static,EMBEDDIA/crosloengual-bert,hr,3,concat,cosine,0.2391308698874619,1.500772458006395
static,EMBEDDIA/crosloengual-bert,hr,4,concat,cosine,0.21869556394973477,1.5563105000037467
static,EMBEDDIA/crosloengual-bert,hr,5,concat,cosine,0.2080246427473228,1.4836415000027046
static,EMBEDDIA/crosloengual-bert,hr,6,concat,cosine,0.2030835321840757,1.72514916700311
static,EMBEDDIA/crosloengual-bert,hr,7,concat,cosine,0.18715698253323199,1.7737540829984937
static,EMBEDDIA/crosloengual-bert,hr,8,concat,cosine,0.1833204839270275,1.5066831250005635
static,EMBEDDIA/crosloengual-bert,hr,9,concat,cosine,0.2066228588924257,1.5180551249941345
static,EMBEDDIA/crosloengual-bert,hr,10,concat,cosine,0.14123396483698447,1.489792958003818
static,EMBEDDIA/crosloengual-bert,hr,11,concat,cosine,0.15678260390013354,1.6875239170040004
static,EMBEDDIA/crosloengual-bert,hr,12,concat,cosine,0.172315546997454,1.481655999989016
static,EMBEDDIA/crosloengual-bert,hr,13,concat,cosine,0.2152593842451963,1.531968291994417
static,EMBEDDIA/crosloengual-bert,hr,14,concat,cosine,0.24783174896661198,1.447762290990795
static,EMBEDDIA/crosloengual-bert,hr,15,concat,cosine,0.24983391028031154,1.5112867079878924
static,EMBEDDIA/crosloengual-bert,hr,16,concat,cosine,0.1728327933730298,2.420156791995396
static,EMBEDDIA/crosloengual-bert,hr,17,concat,cosine,0.21795010338157095,1.4958712910010945
static,EMBEDDIA/crosloengual-bert,hr,18,concat,cosine,0.15474866281709,1.5118356659950223
static,EMBEDDIA/crosloengual-bert,hr,19,concat,cosine,0.19742499033943695,1.4768064170057187
static,EMBEDDIA/crosloengual-bert,hr,20,concat,cosine,0.26876077036206425,1.492678208000143
static,EMBEDDIA/crosloengual-bert,hr,21,concat,cosine,0.2584675553424358,1.4951447909988929
static,EMBEDDIA/crosloengual-bert,hr,22,concat,cosine,0.26900306094269055,1.5038888749986654
static,EMBEDDIA/crosloengual-bert,hr,23,concat,cosine,0.25841733132072253,1.47093104099622
static,EMBEDDIA/crosloengual-bert,hr,24,concat,cosine,0.26673882041449326,1.5146614580007736
static,EMBEDDIA/crosloengual-bert,hr,25,concat,cosine,0.23542823445351235,1.505728749994887
static,EMBEDDIA/crosloengual-bert,hr,26,concat,cosine,0.20298127092558949,1.6315173330076504
static,EMBEDDIA/crosloengual-bert,hr,27,concat,cosine,0.2172996903386838,1.558236416996806
