model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,hr,0,concat,cosine,0.1975767873700494,0.021567558410684536
static,bert-base-multilingual-cased,hr,1,concat,cosine,0.2043120622799586,0.01774906213397896
static,bert-base-multilingual-cased,hr,2,concat,cosine,0.1912973426507507,0.016940033116043196
static,bert-base-multilingual-cased,hr,3,concat,cosine,0.1891475702102795,0.01765106064288245
static,bert-base-multilingual-cased,hr,4,concat,cosine,0.1098493006979488,0.01760561978569188
static,bert-base-multilingual-cased,hr,5,concat,cosine,0.1046321347929494,0.01780925259819404
static,bert-base-multilingual-cased,hr,6,concat,cosine,0.1126675823352832,0.017845137651810155
static,bert-base-multilingual-cased,hr,7,concat,cosine,0.1022254529895863,0.017267983258924296
static,bert-base-multilingual-cased,hr,8,concat,cosine,0.0893198157207064,0.01762399441953936
static,bert-base-multilingual-cased,hr,9,concat,cosine,0.0966466384441991,0.0176270613840513
static,bert-base-multilingual-cased,hr,10,concat,cosine,0.0746999979852429,0.01800195274998779
static,bert-base-multilingual-cased,hr,11,concat,cosine,0.0989452048327267,0.018099307294635634
static,bert-base-multilingual-cased,hr,12,concat,cosine,0.0810745912441224,0.01738513541957738
static,bert-base-multilingual-cased,hr,13,concat,cosine,0.062574292473793,0.01877571167863477
static,bert-base-multilingual-cased,hr,14,concat,cosine,0.0713166934341283,0.01723200632139716
static,bert-base-multilingual-cased,hr,15,concat,cosine,0.0990742650557767,0.01810544270535631
static,bert-base-multilingual-cased,hr,16,concat,cosine,0.061298798960894,0.01760138095531667
static,bert-base-multilingual-cased,hr,17,concat,cosine,0.069408077116046,0.017628969116101092
static,bert-base-multilingual-cased,hr,18,concat,cosine,0.1734668026942402,0.017975439366117434
static,bert-base-multilingual-cased,hr,19,concat,cosine,0.1862839627855681,0.0176818285000471
static,bert-base-multilingual-cased,hr,20,concat,cosine,0.1964052739225634,0.01784274665182498
static,bert-base-multilingual-cased,hr,21,concat,cosine,0.1815869328168662,0.01789903980352392
static,bert-base-multilingual-cased,hr,22,concat,cosine,0.1740354400990161,0.017411496285733716
static,bert-base-multilingual-cased,hr,23,concat,cosine,0.188144684179478,0.017829385794617077
static,bert-base-multilingual-cased,hr,24,concat,cosine,0.2360924126841982,0.0180343627232235
static,bert-base-multilingual-cased,hr,25,concat,cosine,0.2641859061173879,0.01762390662497637
static,bert-base-multilingual-cased,hr,26,concat,cosine,0.2755366250712565,0.017528223589189502
static,bert-base-multilingual-cased,hr,27,concat,cosine,0.2806274224886225,0.017896609374994505
static,bert-base-multilingual-cased,hr,28,concat,cosine,0.2775281002158123,0.017774964285828383
static,bert-base-multilingual-cased,hr,29,concat,cosine,0.264149642493501,0.018290768598230252
static,bert-base-multilingual-cased,hr,30,concat,cosine,0.2255451141583595,0.01770483928573542
static,bert-base-multilingual-cased,hr,31,concat,cosine,0.2400109499571097,0.017767393223298966
static,bert-base-multilingual-cased,hr,32,concat,cosine,0.2364332788678316,0.017907921499889717
static,bert-base-multilingual-cased,hr,33,concat,cosine,0.2210258700979653,0.017763396571353948
static,bert-base-multilingual-cased,hr,34,concat,cosine,0.218849800531739,0.017649203866052888
static,bert-base-multilingual-cased,hr,35,concat,cosine,0.1956846349659852,0.017514894714362787
static,bert-base-multilingual-cased,hr,36,concat,cosine,0.2101108129901444,0.0176479389909738
static,bert-base-multilingual-cased,hr,37,concat,cosine,0.1905522023145442,0.017768588544640807
static,bert-base-multilingual-cased,hr,38,concat,cosine,0.1929023866822041,0.017900275669619856
static,bert-base-multilingual-cased,hr,39,concat,cosine,0.1901050975972029,0.018018255955342153
static,bert-base-multilingual-cased,hr,40,concat,cosine,0.1718214306264126,0.017956049482173903
static,bert-base-multilingual-cased,hr,41,concat,cosine,0.1841403359914714,0.01811810491069212
static,bert-base-multilingual-cased,hr,42,concat,cosine,0.196462878796898,0.019471351928457028
static,bert-base-multilingual-cased,hr,43,concat,cosine,0.1926817498407875,0.023649932294574683
static,bert-base-multilingual-cased,hr,44,concat,cosine,0.1934941416755202,0.018139689732119484
static,bert-base-multilingual-cased,hr,45,concat,cosine,0.2345646266210596,0.018063656616115104
static,bert-base-multilingual-cased,hr,46,concat,cosine,0.2338748829919028,0.017419315848201222
static,bert-base-multilingual-cased,hr,47,concat,cosine,0.2405515132688921,0.01828142783025604
static,bert-base-multilingual-cased,hr,48,concat,cosine,0.241239201825556,0.01791828757138449
static,bert-base-multilingual-cased,hr,49,concat,cosine,0.2439983936071847,0.018070682294689635
static,bert-base-multilingual-cased,hr,50,concat,cosine,0.2690129468734717,0.01693372879461614
static,bert-base-multilingual-uncased,hr,0,concat,cosine,0.0778098659378037,0.02025682106250315
static,bert-base-multilingual-uncased,hr,1,concat,cosine,0.2480675893409951,0.01753009040190331
