model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,hr,0,sum,cosine,0.19757678737004947,2.3958855409991884
static,bert-base-multilingual-cased,hr,1,sum,cosine,0.2204249923318755,1.8091439579993676
static,bert-base-multilingual-cased,hr,2,sum,cosine,0.18383907570624292,1.7729261249996853
static,bert-base-multilingual-cased,hr,3,sum,cosine,0.18241290382986164,1.7763679999998203
static,bert-base-multilingual-cased,hr,4,sum,cosine,0.15391751072435078,1.7860520000003817
static,bert-base-multilingual-cased,hr,5,sum,cosine,0.2441489529732669,1.773316791999605
static,bert-base-multilingual-cased,hr,6,sum,cosine,0.30144204176846623,2.1698901660001866
static,bert-base-multilingual-cased,hr,7,sum,cosine,0.34490835026433153,1.7939270420001776
static,bert-base-multilingual-cased,hr,8,sum,cosine,0.36529823888178126,1.800910083999952
static,bert-base-multilingual-cased,hr,9,sum,cosine,0.3591253273243007,1.7915947909996248
static,bert-base-multilingual-cased,hr,10,sum,cosine,0.38710462059566964,1.7734191250001459
static,bert-base-multilingual-cased,hr,11,sum,cosine,0.39898330235104973,1.7920398329997624
static,bert-base-multilingual-cased,hr,12,sum,cosine,0.3983333844742927,1.7921934579999288
static,bert-base-multilingual-cased,hr,13,sum,cosine,0.41198823246932936,2.104835959000411
static,bert-base-multilingual-cased,hr,14,sum,cosine,0.4082410503924121,1.8412206250004601
static,bert-base-multilingual-cased,hr,15,sum,cosine,0.4174768638563362,1.8778087500004403
static,bert-base-multilingual-cased,hr,16,sum,cosine,0.41414447367774654,1.837037125000279
static,bert-base-multilingual-cased,hr,17,sum,cosine,0.43189651102701343,1.8415819589999955
static,bert-base-multilingual-cased,hr,18,sum,cosine,0.4381433110135675,1.8179446670001198
static,bert-base-multilingual-cased,hr,19,sum,cosine,0.4613882369415865,1.857975875000193
static,bert-base-multilingual-cased,hr,20,sum,cosine,0.4767933649335321,1.8487548339999194
static,bert-base-multilingual-cased,hr,21,sum,cosine,0.46969875024284014,1.8312383330003286
static,bert-base-multilingual-cased,hr,22,sum,cosine,0.482494534282641,1.8454740409997612
static,bert-base-multilingual-cased,hr,23,sum,cosine,0.49392902004126926,1.831560375000663
static,bert-base-multilingual-cased,hr,24,sum,cosine,0.5050271972203638,1.8282077919993753
static,bert-base-multilingual-cased,hr,25,sum,cosine,0.5115509109953098,1.8423494999997274
static,bert-base-multilingual-cased,hr,26,sum,cosine,0.5207001862553258,1.8490638330004003
static,bert-base-multilingual-cased,hr,27,sum,cosine,0.5237140295121642,1.8427856660000543
static,bert-base-multilingual-cased,hr,28,sum,cosine,0.5233917808919876,1.864149959000315
static,bert-base-multilingual-cased,hr,29,sum,cosine,0.5236958822992195,1.884730750000017
static,bert-base-multilingual-cased,hr,30,sum,cosine,0.5290011164727525,1.825678665999476
static,bert-base-multilingual-cased,hr,31,sum,cosine,0.527765017921754,1.8483380409998063
static,bert-base-multilingual-cased,hr,32,sum,cosine,0.5351392283520078,1.8550688749992332
static,bert-base-multilingual-cased,hr,33,sum,cosine,0.530845569006483,1.8428897920002782
static,bert-base-multilingual-cased,hr,34,sum,cosine,0.5273814284465612,1.814768083000672
static,bert-base-multilingual-cased,hr,35,sum,cosine,0.526322576168219,1.8557858329995724
static,bert-base-multilingual-cased,hr,36,sum,cosine,0.5274430511562727,1.8115117079996708
