model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,sl,0,concat,cosine,0.21815141445560837,2.4275637500104494
static,bert-base-multilingual-cased,sl,1,concat,cosine,0.1319906303645585,2.0008547909965273
static,bert-base-multilingual-cased,sl,2,concat,cosine,0.18221954451607203,1.942083249989082
static,bert-base-multilingual-cased,sl,3,concat,cosine,0.2121141509605754,1.9571712500037393
static,bert-base-multilingual-cased,sl,4,concat,cosine,0.17277954602091006,1.9524480830004904
static,bert-base-multilingual-cased,sl,5,concat,cosine,0.1675152452165689,1.9452925410005264
static,bert-base-multilingual-cased,sl,6,concat,cosine,0.1483547743631004,1.976004958996782
static,bert-base-multilingual-cased,sl,7,concat,cosine,0.01889863826015925,1.9894108750013402
static,bert-base-multilingual-cased,sl,8,concat,cosine,0.01986284695678453,1.9424620830104686
static,bert-base-multilingual-cased,sl,9,concat,cosine,0.01630158391435166,1.9747386659873882
static,bert-base-multilingual-cased,sl,10,concat,cosine,0.0006788537997920452,1.9330600419925759
static,bert-base-multilingual-cased,sl,11,concat,cosine,-0.013684300029678909,1.9937007920088945
static,bert-base-multilingual-cased,sl,12,concat,cosine,-0.005814630789084063,1.9374257920135278
static,bert-base-multilingual-cased,sl,13,concat,cosine,-0.020388120755077566,1.9521377089986345
static,bert-base-multilingual-cased,sl,14,concat,cosine,-0.03765275209809116,1.9732575419911882
static,bert-base-multilingual-cased,sl,15,concat,cosine,-0.05587220787574387,2.01976879099675
static,bert-base-multilingual-cased,sl,16,concat,cosine,-0.0627694099845022,1.9788282500085188
static,bert-base-multilingual-cased,sl,17,concat,cosine,-0.045075145360711,1.9654796249960782
static,bert-base-multilingual-cased,sl,18,concat,cosine,-0.009453899233305751,1.9837527500058059
static,bert-base-multilingual-cased,sl,19,concat,cosine,-0.004731619377422058,1.9222250419988995
static,bert-base-multilingual-cased,sl,20,concat,cosine,-0.01564592440130519,1.9698112080077408
static,bert-base-multilingual-cased,sl,21,concat,cosine,0.028905503572725255,1.99617450000369
static,bert-base-multilingual-cased,sl,22,concat,cosine,0.025666121348669302,1.962371500005247
static,bert-base-multilingual-cased,sl,23,concat,cosine,0.02074156716033526,1.9823148750001565
static,bert-base-multilingual-cased,sl,24,concat,cosine,0.027321112874663656,2.0090533750044415
static,bert-base-multilingual-cased,sl,25,concat,cosine,0.008637250626968629,1.957869333011331
static,bert-base-multilingual-cased,sl,26,concat,cosine,0.035854748537879066,1.9803555409889668
static,bert-base-multilingual-cased,sl,27,concat,cosine,0.038714106834924045,1.9524387080018641
static,bert-base-multilingual-cased,sl,28,concat,cosine,0.0806887260383724,1.9893870419909945
static,bert-base-multilingual-cased,sl,29,concat,cosine,0.08088166822417941,2.0388940410048235
static,bert-base-multilingual-cased,sl,30,concat,cosine,0.07512522962304091,1.9560360409959685
static,bert-base-multilingual-cased,sl,31,concat,cosine,0.08673861873614652,1.969327582992264
static,bert-base-multilingual-cased,sl,32,concat,cosine,0.10634988261240674,2.021381583006587
static,bert-base-multilingual-cased,sl,33,concat,cosine,0.12009406235999998,1.9731283329892904
static,bert-base-multilingual-cased,sl,34,concat,cosine,0.11808375889290823,1.9390612919960404
static,bert-base-multilingual-cased,sl,35,concat,cosine,0.1168508574433611,1.9679106670082547
static,bert-base-multilingual-cased,sl,36,concat,cosine,0.1447006618813107,1.975887042004615
static,bert-base-multilingual-cased,sl,37,concat,cosine,0.14195471451408104,1.994479125001817
static,bert-base-multilingual-cased,sl,38,concat,cosine,0.14597156783343612,1.9813017090054927
static,bert-base-multilingual-cased,sl,39,concat,cosine,0.16560181090756254,1.9890428750077263
static,bert-base-multilingual-cased,sl,40,concat,cosine,0.13176080442043325,1.9842023340024753
static,bert-base-multilingual-cased,sl,41,concat,cosine,0.08390833918518559,1.990443332993891
static,bert-base-multilingual-cased,sl,42,concat,cosine,0.07375966050526472,1.983663916005753
static,bert-base-multilingual-cased,sl,43,concat,cosine,0.05338677509329226,2.0098204169917153
static,bert-base-multilingual-cased,sl,44,concat,cosine,0.060406709831474115,1.9847279589885147
static,bert-base-multilingual-cased,sl,45,concat,cosine,0.07033954478646176,2.014285250013927
static,bert-base-multilingual-cased,sl,46,concat,cosine,0.04528556605296652,1.9532340000005206
static,bert-base-multilingual-cased,sl,47,concat,cosine,0.050868470908301044,1.9324322090105852
static,bert-base-multilingual-cased,sl,48,concat,cosine,0.07522140464522831,1.9856827079929644
static,bert-base-multilingual-cased,sl,49,concat,cosine,0.07050873331391194,2.123032832998433
static,bert-base-multilingual-cased,sl,50,concat,cosine,0.05742903554803136,1.9592242920043645
static,bert-base-multilingual-uncased,sl,0,concat,cosine,0.06287521208803959,2.254221374998451
static,bert-base-multilingual-uncased,sl,1,concat,cosine,0.11030087609358363,1.9243559160095174
static,bert-base-multilingual-uncased,sl,2,concat,cosine,0.20010864661654915,1.9469404579867842
static,bert-base-multilingual-uncased,sl,3,concat,cosine,0.19914250361395713,1.8941443340008846
static,bert-base-multilingual-uncased,sl,4,concat,cosine,0.2671987568150802,1.8999967919953633
static,bert-base-multilingual-uncased,sl,5,concat,cosine,0.22238770452798073,1.8961125419882592
static,bert-base-multilingual-uncased,sl,6,concat,cosine,0.006726011579236801,1.9761962090124143
static,bert-base-multilingual-uncased,sl,7,concat,cosine,-0.0824782334576053,1.9049378329946194
static,bert-base-multilingual-uncased,sl,8,concat,cosine,-0.057455233471905176,1.9370763329934562
static,bert-base-multilingual-uncased,sl,9,concat,cosine,-0.03259935023790228,1.920397916008369
static,bert-base-multilingual-uncased,sl,10,concat,cosine,-0.05950200277606399,2.071082499998738
static,bert-base-multilingual-uncased,sl,11,concat,cosine,-0.10390319396334124,1.9366440000012517
static,bert-base-multilingual-uncased,sl,12,concat,cosine,-0.09358361643822533,1.9434641249972628
static,bert-base-multilingual-uncased,sl,13,concat,cosine,-0.10840169718260095,1.9102129170059925
static,bert-base-multilingual-uncased,sl,14,concat,cosine,-0.15094777502106194,1.9330824579956243
static,bert-base-multilingual-uncased,sl,15,concat,cosine,-0.10069002077531275,1.9512467919994378
static,bert-base-multilingual-uncased,sl,16,concat,cosine,-0.03214400357745273,1.9438119999977062
static,bert-base-multilingual-uncased,sl,17,concat,cosine,-0.022576072356849775,1.9410305420024088
static,bert-base-multilingual-uncased,sl,18,concat,cosine,0.019609362774552608,1.9143372500111582
static,bert-base-multilingual-uncased,sl,19,concat,cosine,-0.0036764843196268604,1.9153876670025056
static,bert-base-multilingual-uncased,sl,20,concat,cosine,0.018169212369626653,2.0008353750017704
static,bert-base-multilingual-uncased,sl,21,concat,cosine,0.03181813383863141,1.9631029589945683
static,bert-base-multilingual-uncased,sl,22,concat,cosine,0.012793066366525108,1.940649416996166
static,bert-base-multilingual-uncased,sl,23,concat,cosine,0.009272562624029868,1.9050415419915225
static,bert-base-multilingual-uncased,sl,24,concat,cosine,-0.00047129517340538385,1.913675375006278
static,bert-base-multilingual-uncased,sl,25,concat,cosine,0.00420428917950777,1.9091838750027819
static,bert-base-multilingual-uncased,sl,26,concat,cosine,0.02471458443580532,1.9253961249924032
static,bert-base-multilingual-uncased,sl,27,concat,cosine,0.015534120924299621,1.9464417080016574
static,bert-base-multilingual-uncased,sl,28,concat,cosine,0.04120114675785769,1.9137197079980979
static,bert-base-multilingual-uncased,sl,29,concat,cosine,0.043283064150359984,1.9128615840018028
static,bert-base-multilingual-uncased,sl,30,concat,cosine,0.07158035358994064,1.9136347080057021
static,bert-base-multilingual-uncased,sl,31,concat,cosine,0.0652137711415508,1.9266335419961251
static,bert-base-multilingual-uncased,sl,32,concat,cosine,0.07203865114131547,1.9246411250060191
static,bert-base-multilingual-uncased,sl,33,concat,cosine,0.06436762436764432,1.9024421670037555
static,bert-base-multilingual-uncased,sl,34,concat,cosine,0.08630510328494523,1.910029000006034
static,bert-base-multilingual-uncased,sl,35,concat,cosine,0.11486260104838864,1.9466009580064565
static,bert-base-multilingual-uncased,sl,36,concat,cosine,0.11700032990072906,1.8722149999957765
static,bert-base-multilingual-uncased,sl,37,concat,cosine,0.07522144656159657,1.920436417000019
static,bert-base-multilingual-uncased,sl,38,concat,cosine,0.041313793993792314,1.9657296660006978
static,bert-base-multilingual-uncased,sl,39,concat,cosine,0.015389523663134175,1.9458194170001661
static,bert-base-multilingual-uncased,sl,40,concat,cosine,0.02099834965917846,1.8934104579966515
static,bert-base-multilingual-uncased,sl,41,concat,cosine,0.02111237492299911,1.9607047500030603
static,bert-base-multilingual-uncased,sl,42,concat,cosine,0.010689335885424756,1.933364790995256
static,bert-base-multilingual-uncased,sl,43,concat,cosine,0.02717892061574345,1.9348208330047783
static,bert-base-multilingual-uncased,sl,44,concat,cosine,0.031108109270841622,1.9445247500116238
static,bert-base-multilingual-uncased,sl,45,concat,cosine,0.016289728916319524,2.0068572080053855
static,bert-base-multilingual-uncased,sl,46,concat,cosine,0.057565693020382724,1.9861986670002807
static,bert-base-multilingual-uncased,sl,47,concat,cosine,0.061767863032998416,1.9562606660038
static,bert-base-multilingual-uncased,sl,48,concat,cosine,0.05840309346237993,1.9621387090010103
static,bert-base-multilingual-uncased,sl,49,concat,cosine,0.018906408983429657,1.9721096249995753
static,bert-base-multilingual-uncased,sl,50,concat,cosine,0.03183415005411483,1.9669109170063166
static,EMBEDDIA/crosloengual-bert,sl,0,concat,cosine,0.2589806567857479,1.5666669579950394
static,EMBEDDIA/crosloengual-bert,sl,1,concat,cosine,0.3649555898308692,1.4434265829913784
static,EMBEDDIA/crosloengual-bert,sl,2,concat,cosine,0.28901075833750267,1.4034787919954397
static,EMBEDDIA/crosloengual-bert,sl,3,concat,cosine,0.16980723468078573,1.4767159580078442
static,EMBEDDIA/crosloengual-bert,sl,4,concat,cosine,0.16880529786998633,1.4893352090002736
static,EMBEDDIA/crosloengual-bert,sl,5,concat,cosine,0.1989000027214014,1.4702981250011362
static,EMBEDDIA/crosloengual-bert,sl,6,concat,cosine,0.16496009683925683,1.430505833006464
static,EMBEDDIA/crosloengual-bert,sl,7,concat,cosine,0.1395728180757534,1.6032437499961816
static,EMBEDDIA/crosloengual-bert,sl,8,concat,cosine,0.15223969738088827,1.4521167500060983
static,EMBEDDIA/crosloengual-bert,sl,9,concat,cosine,0.07158081033124197,1.4934660419967258
static,EMBEDDIA/crosloengual-bert,sl,10,concat,cosine,0.1008633492125971,1.465752333009732
static,EMBEDDIA/crosloengual-bert,sl,11,concat,cosine,0.16808024813427624,1.4791824169951724
static,EMBEDDIA/crosloengual-bert,sl,12,concat,cosine,0.11712480716817542,1.4880699580098735
static,EMBEDDIA/crosloengual-bert,sl,13,concat,cosine,0.13271078578893314,1.5360419589997036
static,EMBEDDIA/crosloengual-bert,sl,14,concat,cosine,0.08082386420221876,1.496620250007254
static,EMBEDDIA/crosloengual-bert,sl,15,concat,cosine,0.04550383502022726,1.4779325410054298
static,EMBEDDIA/crosloengual-bert,sl,16,concat,cosine,0.10636323548271742,1.5115831669972977
static,EMBEDDIA/crosloengual-bert,sl,17,concat,cosine,0.11008425550204559,1.5016349579964299
static,EMBEDDIA/crosloengual-bert,sl,18,concat,cosine,0.06789128747068451,1.4739841660048114
static,EMBEDDIA/crosloengual-bert,sl,19,concat,cosine,0.16366314182804798,1.491558833993622
static,EMBEDDIA/crosloengual-bert,sl,20,concat,cosine,0.11968491258180913,1.4556494999997085
static,EMBEDDIA/crosloengual-bert,sl,21,concat,cosine,0.11560208714588416,1.5200362089963164
static,EMBEDDIA/crosloengual-bert,sl,22,concat,cosine,0.09762775920946987,1.4359287499974016
static,EMBEDDIA/crosloengual-bert,sl,23,concat,cosine,0.10701316755000345,1.4919800420029787
static,EMBEDDIA/crosloengual-bert,sl,24,concat,cosine,0.1332518830406152,1.4907842500106199
static,EMBEDDIA/crosloengual-bert,sl,25,concat,cosine,0.16006338267409748,1.4341849999909755
static,EMBEDDIA/crosloengual-bert,sl,26,concat,cosine,0.152692018072893,1.5290797499910695
static,EMBEDDIA/crosloengual-bert,sl,27,concat,cosine,0.15235339468071585,1.672246834001271
static,EMBEDDIA/crosloengual-bert,sl,28,concat,cosine,0.1660790510897311,1.5131290830031503
static,EMBEDDIA/crosloengual-bert,sl,29,concat,cosine,0.14556872963736056,1.498004957989906
static,EMBEDDIA/crosloengual-bert,sl,30,concat,cosine,0.16070287604684896,1.4946197920071427
static,EMBEDDIA/crosloengual-bert,sl,31,concat,cosine,0.15364717290654273,1.5497416250000242
