model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,sl,0,concat,cosine,0.2181514144556083,0.021869943693787832
static,bert-base-multilingual-cased,sl,1,concat,cosine,0.1319906303645585,0.018025718837806553
static,bert-base-multilingual-cased,sl,2,concat,cosine,0.182219544516072,0.017496245495397137
static,bert-base-multilingual-cased,sl,3,concat,cosine,0.2121141509605754,0.01763217342345711
static,bert-base-multilingual-cased,sl,4,concat,cosine,0.17277954602091,0.017589622369373788
static,bert-base-multilingual-cased,sl,5,concat,cosine,0.1675152452165689,0.017525158027031768
static,bert-base-multilingual-cased,sl,6,concat,cosine,0.1483547743631004,0.017801846477448487
static,bert-base-multilingual-cased,sl,7,concat,cosine,0.0188986382601592,0.017922620495507566
static,bert-base-multilingual-cased,sl,8,concat,cosine,0.0198628469567845,0.01749965840549972
static,bert-base-multilingual-cased,sl,9,concat,cosine,0.0163015839143516,0.01779043843231881
static,bert-base-multilingual-cased,sl,10,concat,cosine,0.000678853799792,0.017414955333266452
static,bert-base-multilingual-cased,sl,11,concat,cosine,-0.0136843000296789,0.017961268396476528
static,bert-base-multilingual-cased,sl,12,concat,cosine,-0.005814630789084,0.01745428641453629
static,bert-base-multilingual-cased,sl,13,concat,cosine,-0.0203881207550775,0.017586826207194907
static,bert-base-multilingual-cased,sl,14,concat,cosine,-0.0376527520980911,0.017777094972893585
static,bert-base-multilingual-cased,sl,15,concat,cosine,-0.0558722078757438,0.018196115234204953
static,bert-base-multilingual-cased,sl,16,concat,cosine,-0.0627694099845022,0.01782728153160828
static,bert-base-multilingual-cased,sl,17,concat,cosine,-0.045075145360711,0.017707023648613318
static,bert-base-multilingual-cased,sl,18,concat,cosine,-0.0094538992333057,0.017871646396448705
static,bert-base-multilingual-cased,sl,19,concat,cosine,-0.004731619377422,0.017317342720710806
static,bert-base-multilingual-cased,sl,20,concat,cosine,-0.0156459244013051,0.017746046918988657
static,bert-base-multilingual-cased,sl,21,concat,cosine,0.0289055035727252,0.017983554054087296
static,bert-base-multilingual-cased,sl,22,concat,cosine,0.0256661213486693,0.017679022522569792
static,bert-base-multilingual-cased,sl,23,concat,cosine,0.0207415671603352,0.017858692567568977
static,bert-base-multilingual-cased,sl,24,concat,cosine,0.0273211128746636,0.01809957995499497
static,bert-base-multilingual-cased,sl,25,concat,cosine,0.0086372506269686,0.017638462459561542
static,bert-base-multilingual-cased,sl,26,concat,cosine,0.035854748537879,0.01784104090981051
static,bert-base-multilingual-cased,sl,27,concat,cosine,0.038714106834924,0.017589537909926702
static,bert-base-multilingual-cased,sl,28,concat,cosine,0.0806887260383724,0.017922405783702654
static,bert-base-multilingual-cased,sl,29,concat,cosine,0.0808816682241794,0.01836841478382724
static,bert-base-multilingual-cased,sl,30,concat,cosine,0.0751252296230409,0.017621946315278997
static,bert-base-multilingual-cased,sl,31,concat,cosine,0.0867386187361465,0.017741689936867245
static,bert-base-multilingual-cased,sl,32,concat,cosine,0.1063498826124067,0.018210644891951233
static,bert-base-multilingual-cased,sl,33,concat,cosine,0.1200940623599999,0.017775930927831446
static,bert-base-multilingual-cased,sl,34,concat,cosine,0.1180837588929082,0.017469020648612978
static,bert-base-multilingual-cased,sl,35,concat,cosine,0.1168508574433611,0.017728924928002297
static,bert-base-multilingual-cased,sl,36,concat,cosine,0.1447006618813107,0.01780078416220374
static,bert-base-multilingual-cased,sl,37,concat,cosine,0.141954714514081,0.017968280405421776
static,bert-base-multilingual-cased,sl,38,concat,cosine,0.1459715678334361,0.01784956494599543
static,bert-base-multilingual-cased,sl,39,concat,cosine,0.1656018109075625,0.017919305180249787
static,bert-base-multilingual-cased,sl,40,concat,cosine,0.1317608044204332,0.017875696702725003
static,bert-base-multilingual-cased,sl,41,concat,cosine,0.0839083391851855,0.017931921918863884
static,bert-base-multilingual-cased,sl,42,concat,cosine,0.0737596605052647,0.017870846090141917
static,bert-base-multilingual-cased,sl,43,concat,cosine,0.0533867750932922,0.018106490243168606
static,bert-base-multilingual-cased,sl,44,concat,cosine,0.0604067098314741,0.01788043206295959
static,bert-base-multilingual-cased,sl,45,concat,cosine,0.0703395447864617,0.01814671396408943
static,bert-base-multilingual-cased,sl,46,concat,cosine,0.0452855660529665,0.017596702702707395
static,bert-base-multilingual-cased,sl,47,concat,cosine,0.050868470908301,0.017409299180275544
static,bert-base-multilingual-cased,sl,48,concat,cosine,0.0752214046452283,0.017889033405342022
static,bert-base-multilingual-cased,sl,49,concat,cosine,0.0705087333139119,0.019126421918904804
static,bert-base-multilingual-cased,sl,50,concat,cosine,0.0574290355480313,0.017650669297336614
static,bert-base-multilingual-uncased,sl,0,concat,cosine,0.0628752120880395,0.020308300675661722
static,bert-base-multilingual-uncased,sl,1,concat,cosine,0.1103008760935836,0.017336539783869526
static,bert-base-multilingual-uncased,sl,2,concat,cosine,0.2001086466165491,0.017540004126007064
static,bert-base-multilingual-uncased,sl,3,concat,cosine,0.1991425036139571,0.01706436336937734
static,bert-base-multilingual-uncased,sl,4,concat,cosine,0.2671987568150802,0.017117088216174445
static,bert-base-multilingual-uncased,sl,5,concat,cosine,0.2223877045279807,0.0170820949728672
static,bert-base-multilingual-uncased,sl,6,concat,cosine,0.0067260115792368,0.01780356945056229
static,bert-base-multilingual-uncased,sl,7,concat,cosine,-0.0824782334576053,0.017161602099050623
static,bert-base-multilingual-uncased,sl,8,concat,cosine,-0.0574552334719051,0.01745113813507618
static,bert-base-multilingual-uncased,sl,9,concat,cosine,-0.0325993502379022,0.01730088212620152
static,bert-base-multilingual-uncased,sl,10,concat,cosine,-0.0595020027760639,0.01865840090088953
static,bert-base-multilingual-uncased,sl,11,concat,cosine,-0.1039031939633412,0.01744724324325452
static,bert-base-multilingual-uncased,sl,12,concat,cosine,-0.0935836164382253,0.017508685810786153
static,bert-base-multilingual-uncased,sl,13,concat,cosine,-0.1084016971826009,0.017209125378432364
static,bert-base-multilingual-uncased,sl,14,concat,cosine,-0.1509477750210619,0.01741515727923986
static,bert-base-multilingual-uncased,sl,15,concat,cosine,-0.1006900207753127,0.017578799927922863
static,bert-base-multilingual-uncased,sl,16,concat,cosine,-0.0321440035774527,0.017511819819799157
static,bert-base-multilingual-uncased,sl,17,concat,cosine,-0.0225760723568497,0.01748676163966134
static,bert-base-multilingual-uncased,sl,18,concat,cosine,0.0196093627745526,0.017246281531632057
static,bert-base-multilingual-uncased,sl,19,concat,cosine,-0.0036764843196268,0.01725574474777032
static,bert-base-multilingual-uncased,sl,20,concat,cosine,0.0181692123696266,0.018025543918934867
static,bert-base-multilingual-uncased,sl,21,concat,cosine,0.0318181338386314,0.01768561224319431
static,bert-base-multilingual-uncased,sl,22,concat,cosine,0.0127930663665251,0.01748332808104654
static,bert-base-multilingual-uncased,sl,23,concat,cosine,0.0092725626240298,0.01716253641433804
static,bert-base-multilingual-uncased,sl,24,concat,cosine,-0.0004712951734053,0.017240318693750253
static,bert-base-multilingual-uncased,sl,25,concat,cosine,0.0042042891795077,0.017199854729754792
static,bert-base-multilingual-uncased,sl,26,concat,cosine,0.0247145844358053,0.017345911035967596
static,bert-base-multilingual-uncased,sl,27,concat,cosine,0.0155341209242996,0.017535510882897818
static,bert-base-multilingual-uncased,sl,28,concat,cosine,0.0412011467578576,0.017240718090072955
static,bert-base-multilingual-uncased,sl,29,concat,cosine,0.0432830641503599,0.017232987243259484
static,bert-base-multilingual-uncased,sl,30,concat,cosine,0.0715803535899406,0.017239952324375692
static,bert-base-multilingual-uncased,sl,31,concat,cosine,0.0652137711415508,0.01735705893690203
static,bert-base-multilingual-uncased,sl,32,concat,cosine,0.0720386511413154,0.017339109234288462
static,bert-base-multilingual-uncased,sl,33,concat,cosine,0.0643676243676443,0.017139118621655458
static,bert-base-multilingual-uncased,sl,34,concat,cosine,0.0863051032849452,0.017207468468522828
static,bert-base-multilingual-uncased,sl,35,concat,cosine,0.1148626010483886,0.017536945567625733
static,bert-base-multilingual-uncased,sl,36,concat,cosine,0.117000329900729,0.016866801801763753
static,bert-base-multilingual-uncased,sl,37,concat,cosine,0.0752214465615965,0.017301228981982154
static,bert-base-multilingual-uncased,sl,38,concat,cosine,0.0413137939937923,0.017709276270276554
static,bert-base-multilingual-uncased,sl,39,concat,cosine,0.0153895236631341,0.017529904657659152
