model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,hr,0,prod,cosine,0.4247590151979505,2.739210790998186
contextual,bert-base-multilingual-cased,hr,1,prod,cosine,0.2429374386188078,2.733646792010404
contextual,bert-base-multilingual-cased,hr,2,prod,cosine,0.1231396191431751,3.149402958995779
contextual,bert-base-multilingual-cased,hr,3,prod,cosine,0.376722735316408,3.0488272499933373
contextual,bert-base-multilingual-cased,hr,4,prod,cosine,0.1098699791131303,2.896016917002271
contextual,bert-base-multilingual-cased,hr,5,prod,cosine,0.2834271117114715,2.9522464589972515
contextual,bert-base-multilingual-cased,hr,6,prod,cosine,0.2112516278883002,2.871938541997224
contextual,bert-base-multilingual-cased,hr,7,prod,cosine,0.3750279131573208,2.830193040994345
contextual,bert-base-multilingual-cased,hr,8,prod,cosine,0.3077606958834418,2.9045230420015287
contextual,bert-base-multilingual-cased,hr,9,prod,cosine,0.5911166885997958,2.883762375000515
contextual,bert-base-multilingual-cased,hr,10,prod,cosine,0.2147446195307445,3.0163552919984795
contextual,bert-base-multilingual-uncased,hr,0,prod,cosine,0.1600514365661456,3.4131763750046957
contextual,bert-base-multilingual-uncased,hr,1,prod,cosine,-0.163248945708597,2.7355074170045555
contextual,bert-base-multilingual-uncased,hr,2,prod,cosine,-0.7112170559621296,2.685175958002219
contextual,bert-base-multilingual-uncased,hr,3,prod,cosine,-0.8066693232608044,2.893637208995642
contextual,bert-base-multilingual-uncased,hr,4,prod,cosine,-0.8039153242116308,2.734811415997683
contextual,bert-base-multilingual-uncased,hr,5,prod,cosine,-0.6353386139760029,2.4719840840116376
contextual,bert-base-multilingual-uncased,hr,6,prod,cosine,-0.3546003083751707,2.6727853330085054
contextual,bert-base-multilingual-uncased,hr,7,prod,cosine,-0.2964547162221651,2.746726958008366
contextual,bert-base-multilingual-uncased,hr,8,prod,cosine,0.1792651750007566,2.6985355409997283
contextual,bert-base-multilingual-uncased,hr,9,prod,cosine,0.0136027945322101,2.7126300410018303
contextual,bert-base-multilingual-uncased,hr,10,prod,cosine,0.0685541992785402,2.855018875008682
contextual,EMBEDDIA/crosloengual-bert,hr,0,prod,cosine,0.7404316883819039,2.4014494590082904
contextual,EMBEDDIA/crosloengual-bert,hr,1,prod,cosine,0.5753458842234397,2.4656637079897337
contextual,EMBEDDIA/crosloengual-bert,hr,2,prod,cosine,0.4380273268447345,2.4859857090050355
contextual,EMBEDDIA/crosloengual-bert,hr,3,prod,cosine,0.5519831050731047,2.402500832991791
contextual,EMBEDDIA/crosloengual-bert,hr,4,prod,cosine,0.56571415351191,2.465974582999479
contextual,EMBEDDIA/crosloengual-bert,hr,5,prod,cosine,0.7494794874994953,2.4585722499905387
contextual,EMBEDDIA/crosloengual-bert,hr,6,prod,cosine,0.6695475080635932,2.5722722909995355
contextual,EMBEDDIA/crosloengual-bert,hr,7,prod,cosine,0.550572975295521,2.2761882500053616
contextual,EMBEDDIA/crosloengual-bert,hr,8,prod,cosine,0.2298715686638865,2.418506874993909
contextual,EMBEDDIA/crosloengual-bert,hr,9,prod,cosine,-0.3539768832486059,2.3556606250058394
contextual,EMBEDDIA/crosloengual-bert,hr,10,prod,cosine,0.2722892393661811,2.486037792012212
contextual,classla/bcms-bertic,hr,0,prod,cosine,-0.2840605719164453,2.0988939580129227
contextual,classla/bcms-bertic,hr,1,prod,cosine,0.6406631632379659,2.178760416005389
contextual,classla/bcms-bertic,hr,2,prod,cosine,0.7632096818276133,2.374607958001434
contextual,classla/bcms-bertic,hr,3,prod,cosine,0.6021516131377891,2.263961125005153
contextual,classla/bcms-bertic,hr,4,prod,cosine,0.0676581130232689,2.152007166005206
contextual,classla/bcms-bertic,hr,5,prod,cosine,0.0622641817916117,2.313975875003962
contextual,classla/bcms-bertic,hr,6,prod,cosine,-0.1672338317534176,2.2736648749996675
contextual,classla/bcms-bertic,hr,7,prod,cosine,0.0,2.274534083000617
contextual,classla/bcms-bertic,hr,8,prod,cosine,0.0,2.386143332987558
contextual,classla/bcms-bertic,hr,9,prod,cosine,0.0,2.24957312499464
contextual,classla/bcms-bertic,hr,10,prod,cosine,0.1672335761751751,2.29738112501218
