model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,hr,0,sum,cosine,0.4247590151979505,3.366345750007895
contextual,bert-base-multilingual-cased,hr,1,sum,cosine,0.4284736398021391,2.997419457999058
contextual,bert-base-multilingual-cased,hr,2,sum,cosine,0.425397340487936,3.2830887919990346
contextual,bert-base-multilingual-cased,hr,3,sum,cosine,0.4417393773018749,2.928762124996865
contextual,bert-base-multilingual-cased,hr,4,sum,cosine,0.6411979455897092,2.96872020799492
contextual,bert-base-multilingual-cased,hr,5,sum,cosine,0.7207218267490723,2.7552041669987375
contextual,bert-base-multilingual-cased,hr,6,sum,cosine,0.7259487658449018,2.787287458006176
contextual,bert-base-multilingual-cased,hr,7,sum,cosine,0.7684298476453794,2.8511184999952093
contextual,bert-base-multilingual-cased,hr,8,sum,cosine,0.7904116734007078,2.943326792010339
contextual,bert-base-multilingual-cased,hr,9,sum,cosine,0.7673083143054915,2.842738167004427
contextual,bert-base-multilingual-cased,hr,10,sum,cosine,0.7819706026454061,3.033470499998657
contextual,bert-base-multilingual-uncased,hr,0,sum,cosine,0.1600514365661456,3.479829208998126
contextual,bert-base-multilingual-uncased,hr,1,sum,cosine,0.2855132419924242,2.6583862920087995
contextual,bert-base-multilingual-uncased,hr,2,sum,cosine,0.3196577998272425,2.756875040999148
contextual,bert-base-multilingual-uncased,hr,3,sum,cosine,0.3697068067162876,2.878062959003728
contextual,bert-base-multilingual-uncased,hr,4,sum,cosine,0.5106964358708032,2.7411852079967503
contextual,bert-base-multilingual-uncased,hr,5,sum,cosine,0.5397571719912516,2.7258630839933176
contextual,bert-base-multilingual-uncased,hr,6,sum,cosine,0.6063696046632071,2.7559683339932235
contextual,bert-base-multilingual-uncased,hr,7,sum,cosine,0.564303204015214,2.746313583003939
contextual,bert-base-multilingual-uncased,hr,8,sum,cosine,0.5601118514146752,2.866498083996703
contextual,bert-base-multilingual-uncased,hr,9,sum,cosine,0.5818473977233101,2.6813185829960275
contextual,bert-base-multilingual-uncased,hr,10,sum,cosine,0.5817546148481397,2.6611123339971527
contextual,EMBEDDIA/crosloengual-bert,hr,0,sum,cosine,0.7404316883819039,2.373575665988028
contextual,EMBEDDIA/crosloengual-bert,hr,1,sum,cosine,0.6431479405749646,2.6443494999984978
contextual,EMBEDDIA/crosloengual-bert,hr,2,sum,cosine,0.5995228648280877,2.8563893329992425
contextual,EMBEDDIA/crosloengual-bert,hr,3,sum,cosine,0.6024422014261983,2.331354416994145
contextual,EMBEDDIA/crosloengual-bert,hr,4,sum,cosine,0.7092886960217112,2.3862899579980876
contextual,EMBEDDIA/crosloengual-bert,hr,5,sum,cosine,0.7175528151158428,2.44423520899727
contextual,EMBEDDIA/crosloengual-bert,hr,6,sum,cosine,0.7524024794172591,2.4197123750054743
contextual,EMBEDDIA/crosloengual-bert,hr,7,sum,cosine,0.7343933884413223,2.343780583003536
contextual,EMBEDDIA/crosloengual-bert,hr,8,sum,cosine,0.7050967040748565,2.2976423330110265
contextual,EMBEDDIA/crosloengual-bert,hr,9,sum,cosine,0.6984180786872305,2.3401349170017056
contextual,EMBEDDIA/crosloengual-bert,hr,10,sum,cosine,0.7143877716559819,2.3352272089978214
contextual,classla/bcms-bertic,hr,0,sum,cosine,-0.2840605719164453,2.1932990420027636
contextual,classla/bcms-bertic,hr,1,sum,cosine,-0.275883341438909,2.298932624995359
contextual,classla/bcms-bertic,hr,2,sum,cosine,-0.0434227764567476,2.261865417007357
contextual,classla/bcms-bertic,hr,3,sum,cosine,0.2913044354780709,2.29785470799834
contextual,classla/bcms-bertic,hr,4,sum,cosine,0.4055036317984307,2.329958999995142
contextual,classla/bcms-bertic,hr,5,sum,cosine,0.4093813863426501,2.121836874997826
contextual,classla/bcms-bertic,hr,6,sum,cosine,0.530081500367982,2.1873675840033684
contextual,classla/bcms-bertic,hr,7,sum,cosine,0.5858537691477339,2.2543837080011144
contextual,classla/bcms-bertic,hr,8,sum,cosine,0.5218747759524687,2.32902879199537
contextual,classla/bcms-bertic,hr,9,sum,cosine,0.5583897452683537,2.3707674579927698
contextual,classla/bcms-bertic,hr,10,sum,cosine,0.5818277740373085,2.2914026670041494
