model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,en,0,concat,cosine,0.649338276349136,3.382899791991804
pooled,bert-base-multilingual-cased,en,1,concat,cosine,0.6447973274915395,3.5594086660130415
pooled,bert-base-multilingual-cased,en,2,concat,cosine,0.6838930527767252,3.5093522499955725
pooled,bert-base-multilingual-cased,en,3,concat,cosine,0.6809787279131027,3.4703274159983266
pooled,bert-base-multilingual-cased,en,4,concat,cosine,0.6785123752157796,3.893234666000353
pooled,bert-base-multilingual-cased,en,5,concat,cosine,0.6774143224665122,3.653979208000237
pooled,bert-base-multilingual-cased,en,6,concat,cosine,0.7176159480997233,3.6222490000072862
pooled,bert-base-multilingual-cased,en,7,concat,cosine,0.7408247868027433,3.773773875000188
pooled,bert-base-multilingual-cased,en,8,concat,cosine,0.7613783123492183,3.616426666994812
pooled,bert-base-multilingual-cased,en,9,concat,cosine,0.7851811695819415,3.692796332994476
pooled,bert-base-multilingual-cased,en,10,concat,cosine,0.8159553712708791,3.7573193330026697
pooled,bert-base-multilingual-uncased,en,0,concat,cosine,0.2534656234033954,3.61952220799867
pooled,bert-base-multilingual-uncased,en,1,concat,cosine,0.3735485047241753,3.414049167011399
pooled,bert-base-multilingual-uncased,en,2,concat,cosine,0.4445678496643266,3.630990167002892
pooled,bert-base-multilingual-uncased,en,3,concat,cosine,0.4286514810497331,3.611098958004732
pooled,bert-base-multilingual-uncased,en,4,concat,cosine,0.4560581448040041,3.695547125011217
pooled,bert-base-multilingual-uncased,en,5,concat,cosine,0.4792976598527432,3.624004707991844
pooled,bert-base-multilingual-uncased,en,6,concat,cosine,0.5523125595913901,3.7588328330020886
pooled,bert-base-multilingual-uncased,en,7,concat,cosine,0.5808863655647724,3.712578124977881
pooled,bert-base-multilingual-uncased,en,8,concat,cosine,0.648413318191467,3.6473711669968902
pooled,bert-base-multilingual-uncased,en,9,concat,cosine,0.669356860815372,3.484744541987311
pooled,bert-base-multilingual-uncased,en,10,concat,cosine,0.6720717368440329,3.492144707997795
pooled,EMBEDDIA/crosloengual-bert,en,0,concat,cosine,0.4413981654728256,3.462713624991011
pooled,EMBEDDIA/crosloengual-bert,en,1,concat,cosine,0.5352971300083073,3.8332297500164714
pooled,EMBEDDIA/crosloengual-bert,en,2,concat,cosine,0.6194776196006828,3.5209752499940805
pooled,EMBEDDIA/crosloengual-bert,en,3,concat,cosine,0.6391222309875979,3.604048791981768
pooled,EMBEDDIA/crosloengual-bert,en,4,concat,cosine,0.6745141128407979,3.4297137079993263
pooled,EMBEDDIA/crosloengual-bert,en,5,concat,cosine,0.7196631593351785,3.4884532500000205
pooled,EMBEDDIA/crosloengual-bert,en,6,concat,cosine,0.7550571022525797,3.5139316669956315
pooled,EMBEDDIA/crosloengual-bert,en,7,concat,cosine,0.7644306430904649,3.6165041249769274
pooled,EMBEDDIA/crosloengual-bert,en,8,concat,cosine,0.7488290992684579,3.5393179589882493
pooled,EMBEDDIA/crosloengual-bert,en,9,concat,cosine,0.7771571149858221,3.5691444579861127
pooled,EMBEDDIA/crosloengual-bert,en,10,concat,cosine,0.7996726957084126,3.648224250006024
pooled,bert-base-cased,en,0,concat,cosine,-0.0062978010735104,2.9293119579961058
pooled,bert-base-cased,en,1,concat,cosine,0.1126893033976392,3.004759917006595
pooled,bert-base-cased,en,2,concat,cosine,0.2849049313241647,2.9495552919979673
pooled,bert-base-cased,en,3,concat,cosine,0.3739960241000535,3.049503125017509
pooled,bert-base-cased,en,4,concat,cosine,0.3945544871598292,3.1535232499882113
pooled,bert-base-cased,en,5,concat,cosine,0.4506216736878896,3.2103470839792863
pooled,bert-base-cased,en,6,concat,cosine,0.5286080289139663,3.085704415978398
pooled,bert-base-cased,en,7,concat,cosine,0.5394971291354822,3.0464446669793688
pooled,bert-base-cased,en,8,concat,cosine,0.607609756481885,3.054894750006497
pooled,bert-base-cased,en,9,concat,cosine,0.6118336772172523,3.296459208999295
pooled,bert-base-cased,en,10,concat,cosine,0.6216276249515736,3.0902035839972086
pooled,bert-base-uncased,en,0,concat,cosine,0.1378317983506229,3.1017295829951763
pooled,bert-base-uncased,en,1,concat,cosine,0.4214325195903761,3.0175687079899944
pooled,bert-base-uncased,en,2,concat,cosine,0.4693347818178636,3.3325762920139823
pooled,bert-base-uncased,en,3,concat,cosine,0.4414642346749191,3.1931237499811687
pooled,bert-base-uncased,en,4,concat,cosine,0.452645169228117,2.9739077079866547
pooled,bert-base-uncased,en,5,concat,cosine,0.5084190024957297,2.949585583002772
pooled,bert-base-uncased,en,6,concat,cosine,0.5999894576524375,3.0326048750139307
pooled,bert-base-uncased,en,7,concat,cosine,0.5982200365199707,2.8820430829946417
pooled,bert-base-uncased,en,8,concat,cosine,0.6903494658457039,3.0669314170081634
pooled,bert-base-uncased,en,9,concat,cosine,0.6662775756354378,2.9630135420011356
pooled,bert-base-uncased,en,10,concat,cosine,0.6733747110604799,3.0381467920087744
