model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,en,0,sum,cosine,0.649338276349136,5.073101125017274
pooled,bert-base-multilingual-cased,en,1,sum,cosine,0.763902649214217,3.4014697919774335
pooled,bert-base-multilingual-cased,en,2,sum,cosine,0.7429069525464016,3.5109630830120295
pooled,bert-base-multilingual-cased,en,3,sum,cosine,0.6896457436311072,3.658910875004949
pooled,bert-base-multilingual-cased,en,4,sum,cosine,0.7052111959190865,3.5635546250268817
pooled,bert-base-multilingual-cased,en,5,sum,cosine,0.692781547761781,3.899573542003054
pooled,bert-base-multilingual-cased,en,6,sum,cosine,0.7103052905650744,3.715846583014354
pooled,bert-base-multilingual-cased,en,7,sum,cosine,0.6931002229697982,3.6339809589844663
pooled,bert-base-multilingual-cased,en,8,sum,cosine,0.6712626610093246,3.706769042008091
pooled,bert-base-multilingual-cased,en,9,sum,cosine,0.6741114567721859,3.6912179999926593
pooled,bert-base-multilingual-cased,en,10,sum,cosine,0.6859541276080534,4.587565791007364
pooled,bert-base-multilingual-uncased,en,0,sum,cosine,0.2534656234033954,4.168069582985481
pooled,bert-base-multilingual-uncased,en,1,sum,cosine,0.7270270166860834,3.6646662910061423
pooled,bert-base-multilingual-uncased,en,2,sum,cosine,0.7289146976408735,3.714705749996938
pooled,bert-base-multilingual-uncased,en,3,sum,cosine,0.6891628822012984,3.9201039589825086
pooled,bert-base-multilingual-uncased,en,4,sum,cosine,0.684703223687507,3.5666689579957165
pooled,bert-base-multilingual-uncased,en,5,sum,cosine,0.6773250822681408,3.655214750004234
pooled,bert-base-multilingual-uncased,en,6,sum,cosine,0.6638529952563533,3.700943792006001
pooled,bert-base-multilingual-uncased,en,7,sum,cosine,0.6576452061056186,3.7009869999892544
pooled,bert-base-multilingual-uncased,en,8,sum,cosine,0.6514350494048605,3.488277583004674
pooled,bert-base-multilingual-uncased,en,9,sum,cosine,0.6606789802273894,3.5818826659815386
pooled,bert-base-multilingual-uncased,en,10,sum,cosine,0.6483041578679045,3.647443500027294
pooled,EMBEDDIA/crosloengual-bert,en,0,sum,cosine,0.4413981654728256,3.3077292920206673
pooled,EMBEDDIA/crosloengual-bert,en,1,sum,cosine,0.7599730515182146,3.756874958984554
pooled,EMBEDDIA/crosloengual-bert,en,2,sum,cosine,0.8311767701954341,3.344213167001726
pooled,EMBEDDIA/crosloengual-bert,en,3,sum,cosine,0.7686732661826838,3.4014642080001067
pooled,EMBEDDIA/crosloengual-bert,en,4,sum,cosine,0.7245890699881201,3.472139125020476
pooled,EMBEDDIA/crosloengual-bert,en,5,sum,cosine,0.7341468850347261,3.403660249983659
pooled,EMBEDDIA/crosloengual-bert,en,6,sum,cosine,0.7473560807829093,3.3545656659989618
pooled,EMBEDDIA/crosloengual-bert,en,7,sum,cosine,0.7112983520838011,3.7199712919828016
pooled,EMBEDDIA/crosloengual-bert,en,8,sum,cosine,0.6844095350518222,3.5208077919960488
pooled,EMBEDDIA/crosloengual-bert,en,9,sum,cosine,0.6700813492347972,3.705701041995781
pooled,EMBEDDIA/crosloengual-bert,en,10,sum,cosine,0.6705783467927325,3.591421999997692
pooled,bert-base-cased,en,0,sum,cosine,-0.0062978010735104,3.263447500008624
pooled,bert-base-cased,en,1,sum,cosine,0.7112443707898007,3.1100972090207506
pooled,bert-base-cased,en,2,sum,cosine,0.7759626464356578,3.048782499972731
pooled,bert-base-cased,en,3,sum,cosine,0.7590739717276703,3.0427626250020694
pooled,bert-base-cased,en,4,sum,cosine,0.7536204998147321,2.969987708987901
pooled,bert-base-cased,en,5,sum,cosine,0.7625489612386382,3.1071820000070147
pooled,bert-base-cased,en,6,sum,cosine,0.7240605533634176,3.137389165989589
pooled,bert-base-cased,en,7,sum,cosine,0.7244313598174312,3.135344124981202
pooled,bert-base-cased,en,8,sum,cosine,0.7307727762432379,3.2477496660139877
pooled,bert-base-cased,en,9,sum,cosine,0.7271094113072595,3.025929166993592
pooled,bert-base-cased,en,10,sum,cosine,0.7289253905890319,3.062530916999094
pooled,bert-base-uncased,en,0,sum,cosine,0.1378317983506229,3.3821370840014424
pooled,bert-base-uncased,en,1,sum,cosine,0.7434385963462756,2.943748624995351
pooled,bert-base-uncased,en,2,sum,cosine,0.7781133447568717,3.057793457992375
pooled,bert-base-uncased,en,3,sum,cosine,0.7516708730909742,3.469503917003749
pooled,bert-base-uncased,en,4,sum,cosine,0.7100527060247845,3.190240833995631
pooled,bert-base-uncased,en,5,sum,cosine,0.7265351127856035,3.052492374990834
pooled,bert-base-uncased,en,6,sum,cosine,0.7067802226374882,2.9344421249988955
pooled,bert-base-uncased,en,7,sum,cosine,0.6941832731560152,2.9934354170109145
pooled,bert-base-uncased,en,8,sum,cosine,0.6839223025395569,3.0068951249995735
pooled,bert-base-uncased,en,9,sum,cosine,0.6771680721321336,3.222190625005169
pooled,bert-base-uncased,en,10,sum,cosine,0.6851721700338099,2.9757988750061486
pooled,bert-large-cased,en,0,sum,cosine,0.2023462461442315,8.14241479098564
pooled,bert-large-cased,en,1,sum,cosine,0.824666656625082,7.315772709000157
pooled,bert-large-cased,en,2,sum,cosine,0.7864190786815545,7.169095457997173
pooled,bert-large-cased,en,3,sum,cosine,0.7857394514099333,7.188594334002119
pooled,bert-large-cased,en,4,sum,cosine,0.7433351742121378,7.278113416017732
pooled,bert-large-cased,en,5,sum,cosine,0.7489457716470617,7.540751624997938
pooled,bert-large-cased,en,6,sum,cosine,0.7277183889715623,7.363178708008491
pooled,bert-large-cased,en,7,sum,cosine,0.72318265861059,7.400446749990806
pooled,bert-large-cased,en,8,sum,cosine,0.7284958800419015,7.617560999991838
pooled,bert-large-cased,en,9,sum,cosine,0.723982199160073,7.4293492500146385
pooled,bert-large-cased,en,10,sum,cosine,0.724870704708493,7.123902666004142
pooled,bert-large-uncased,en,0,sum,cosine,-0.3677606316559849,8.18954062499688
pooled,bert-large-uncased,en,1,sum,cosine,0.836107481427207,7.041796458011959
pooled,bert-large-uncased,en,2,sum,cosine,0.6831749868781423,7.250006542017218
pooled,bert-large-uncased,en,3,sum,cosine,0.7449814199213295,7.232958540989784
pooled,bert-large-uncased,en,4,sum,cosine,0.655518254931249,8.363622957986081
pooled,bert-large-uncased,en,5,sum,cosine,0.695430884313999,6.848785375012085
pooled,bert-large-uncased,en,6,sum,cosine,0.6880380239065973,7.14121654201881
pooled,bert-large-uncased,en,7,sum,cosine,0.6961096899819718,7.13096979202237
pooled,bert-large-uncased,en,8,sum,cosine,0.661890925926164,7.161676917021396
pooled,bert-large-uncased,en,9,sum,cosine,0.6826380047310258,7.186930666997796
pooled,bert-large-uncased,en,10,sum,cosine,0.7126930345194042,7.630469750001794
pooled,bert-large-cased-whole-word-masking,en,0,sum,cosine,-0.3009193510872527,7.752759625000181
pooled,bert-large-cased-whole-word-masking,en,1,sum,cosine,0.550877836598403,7.632419292000122
pooled,bert-large-cased-whole-word-masking,en,2,sum,cosine,0.6415848502418215,7.387234457972227
pooled,bert-large-cased-whole-word-masking,en,3,sum,cosine,0.6704220877128758,7.504117625008803
pooled,bert-large-cased-whole-word-masking,en,4,sum,cosine,0.6844769173690309,7.678429041989148
pooled,bert-large-cased-whole-word-masking,en,5,sum,cosine,0.6913469075509906,7.779249499988509
pooled,bert-large-cased-whole-word-masking,en,6,sum,cosine,0.662507050897286,7.952211208001245
pooled,bert-large-cased-whole-word-masking,en,7,sum,cosine,0.6392708370218937,7.540110957983416
pooled,bert-large-cased-whole-word-masking,en,8,sum,cosine,0.6231403341295563,7.848532540985616
