model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,hr,0,concat,cosine,0.5078153692432515,2.494593250012258
pooled,bert-base-multilingual-cased,hr,1,concat,cosine,0.3688292948704388,2.5351531250053085
pooled,bert-base-multilingual-cased,hr,2,concat,cosine,0.436590083963607,2.981171416991856
pooled,bert-base-multilingual-cased,hr,3,concat,cosine,0.430941569405427,2.649858332995791
pooled,bert-base-multilingual-cased,hr,4,concat,cosine,0.4477018702817608,2.7485539589833934
pooled,bert-base-multilingual-cased,hr,5,concat,cosine,0.3913844312589769,2.6755897090188228
pooled,bert-base-multilingual-cased,hr,6,concat,cosine,0.4081519969948235,2.7954337499977555
pooled,bert-base-multilingual-cased,hr,7,concat,cosine,0.3772024456070797,2.840088749973802
pooled,bert-base-multilingual-cased,hr,8,concat,cosine,0.3944477936781375,2.7917266669974197
pooled,bert-base-multilingual-cased,hr,9,concat,cosine,0.3771802587296471,2.838923375005834
pooled,bert-base-multilingual-cased,hr,10,concat,cosine,0.372921218611721,2.694635833002394
pooled,bert-base-multilingual-uncased,hr,0,concat,cosine,0.5360078815949468,2.603418958984548
pooled,bert-base-multilingual-uncased,hr,1,concat,cosine,0.5958274216222137,2.6048658340005204
pooled,bert-base-multilingual-uncased,hr,2,concat,cosine,0.5491373543833065,2.8057732500019483
pooled,bert-base-multilingual-uncased,hr,3,concat,cosine,0.4625235277984305,2.613768166018417
pooled,bert-base-multilingual-uncased,hr,4,concat,cosine,0.4583969743615188,2.6139860000112094
pooled,bert-base-multilingual-uncased,hr,5,concat,cosine,0.4973933965884058,2.667634707991965
pooled,bert-base-multilingual-uncased,hr,6,concat,cosine,0.571478864911424,2.6169725830259267
pooled,bert-base-multilingual-uncased,hr,7,concat,cosine,0.5666687804245936,2.554405415983638
pooled,bert-base-multilingual-uncased,hr,8,concat,cosine,0.5824527360150654,2.662778124999022
pooled,bert-base-multilingual-uncased,hr,9,concat,cosine,0.5653434129635246,2.638836458005244
pooled,bert-base-multilingual-uncased,hr,10,concat,cosine,0.6757769305564232,2.5550257920112927
pooled,EMBEDDIA/crosloengual-bert,hr,0,concat,cosine,0.7417866351759317,2.359770082985051
pooled,EMBEDDIA/crosloengual-bert,hr,1,concat,cosine,0.642806245824683,2.9373822920024395
pooled,EMBEDDIA/crosloengual-bert,hr,2,concat,cosine,0.556431488770188,2.33961583400378
pooled,EMBEDDIA/crosloengual-bert,hr,3,concat,cosine,0.5385658618715592,2.26989191697794
pooled,EMBEDDIA/crosloengual-bert,hr,4,concat,cosine,0.5914815166493401,2.421421665989328
pooled,EMBEDDIA/crosloengual-bert,hr,5,concat,cosine,0.6082728642233157,2.363497499987716
pooled,EMBEDDIA/crosloengual-bert,hr,6,concat,cosine,0.5697806880931625,2.3446693340083584
pooled,EMBEDDIA/crosloengual-bert,hr,7,concat,cosine,0.4649601792944071,2.381944124994334
pooled,EMBEDDIA/crosloengual-bert,hr,8,concat,cosine,0.4325730885097609,2.276788250019308
pooled,EMBEDDIA/crosloengual-bert,hr,9,concat,cosine,0.4343803307367868,2.2710933340131305
pooled,EMBEDDIA/crosloengual-bert,hr,10,concat,cosine,0.4964820799286911,2.245868625002913
pooled,classla/bcms-bertic,hr,0,concat,cosine,0.1621811199870141,2.011999709007796
pooled,classla/bcms-bertic,hr,1,concat,cosine,0.2450068817778261,2.2183089159952942
pooled,classla/bcms-bertic,hr,2,concat,cosine,0.3769212117868556,2.239296416984871
pooled,classla/bcms-bertic,hr,3,concat,cosine,0.3524967183255711,2.2003871659981087
pooled,classla/bcms-bertic,hr,4,concat,cosine,0.4030894838891951,2.1918949999962933
pooled,classla/bcms-bertic,hr,5,concat,cosine,0.4544594215256939,2.2178747080033645
pooled,classla/bcms-bertic,hr,6,concat,cosine,0.3951254880464816,2.1053010000032373
pooled,classla/bcms-bertic,hr,7,concat,cosine,0.3347110765059404,2.203604082984384
pooled,classla/bcms-bertic,hr,8,concat,cosine,0.2462274577909003,2.480358291999437
pooled,classla/bcms-bertic,hr,9,concat,cosine,0.280133486337363,2.129522542003542
pooled,classla/bcms-bertic,hr,10,concat,cosine,0.284037048185265,2.211866458004806
