model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,hr,0,sum,cosine,0.5078153692432515,3.2505403330142144
pooled,bert-base-multilingual-cased,hr,1,sum,cosine,0.264415092897137,2.5789699589950033
pooled,bert-base-multilingual-cased,hr,2,sum,cosine,0.2646202049315823,2.6040207499754615
pooled,bert-base-multilingual-cased,hr,3,sum,cosine,0.3156954024725427,2.528392750013154
pooled,bert-base-multilingual-cased,hr,4,sum,cosine,0.5751816677316813,2.6264532079803757
pooled,bert-base-multilingual-cased,hr,5,sum,cosine,0.6818900899083571,2.788862916000653
pooled,bert-base-multilingual-cased,hr,6,sum,cosine,0.7352884940527243,2.6701119590143207
pooled,bert-base-multilingual-cased,hr,7,sum,cosine,0.7635804273192759,2.6854238329979125
pooled,bert-base-multilingual-cased,hr,8,sum,cosine,0.7925567976940776,2.745103207998909
pooled,bert-base-multilingual-cased,hr,9,sum,cosine,0.7877177106238198,2.709574167005485
pooled,bert-base-multilingual-cased,hr,10,sum,cosine,0.8233320359012561,3.031661916000303
pooled,bert-base-multilingual-uncased,hr,0,sum,cosine,0.5360078815949468,3.4629511670209467
pooled,bert-base-multilingual-uncased,hr,1,sum,cosine,0.7153226512403746,2.608048833004432
pooled,bert-base-multilingual-uncased,hr,2,sum,cosine,0.6958956032454393,2.6353474170027766
pooled,bert-base-multilingual-uncased,hr,3,sum,cosine,0.6429109269555023,2.786874750017887
pooled,bert-base-multilingual-uncased,hr,4,sum,cosine,0.7134989470583889,2.685005375009496
pooled,bert-base-multilingual-uncased,hr,5,sum,cosine,0.7412206238282434,2.5921616249834187
pooled,bert-base-multilingual-uncased,hr,6,sum,cosine,0.7551251785069236,2.62649591700756
pooled,bert-base-multilingual-uncased,hr,7,sum,cosine,0.7105501641008404,2.7268608339945786
pooled,bert-base-multilingual-uncased,hr,8,sum,cosine,0.6617796639764879,2.8494456250045914
pooled,bert-base-multilingual-uncased,hr,9,sum,cosine,0.6283850188767895,2.500369082990801
pooled,bert-base-multilingual-uncased,hr,10,sum,cosine,0.6549897366822487,2.7312360829964746
pooled,EMBEDDIA/crosloengual-bert,hr,0,sum,cosine,0.7417866351759317,2.278001333004795
pooled,EMBEDDIA/crosloengual-bert,hr,1,sum,cosine,0.7203522261671177,2.3811213329900056
pooled,EMBEDDIA/crosloengual-bert,hr,2,sum,cosine,0.6624828532520091,2.3095930000126828
pooled,EMBEDDIA/crosloengual-bert,hr,3,sum,cosine,0.6883998092046659,2.386952583008678
pooled,EMBEDDIA/crosloengual-bert,hr,4,sum,cosine,0.7553803354655195,2.2560856249765493
pooled,EMBEDDIA/crosloengual-bert,hr,5,sum,cosine,0.7496261095759251,2.3290316669736058
pooled,EMBEDDIA/crosloengual-bert,hr,6,sum,cosine,0.7646029704020451,2.278232582990313
pooled,EMBEDDIA/crosloengual-bert,hr,7,sum,cosine,0.7629107526383558,2.3061330000055023
pooled,EMBEDDIA/crosloengual-bert,hr,8,sum,cosine,0.7459561285903201,2.288427249994129
pooled,EMBEDDIA/crosloengual-bert,hr,9,sum,cosine,0.7187973118265706,2.316192874975968
pooled,EMBEDDIA/crosloengual-bert,hr,10,sum,cosine,0.715304755590928,2.2983282080094796
pooled,classla/bcms-bertic,hr,0,sum,cosine,0.1621811199870141,2.3426883749780245
pooled,classla/bcms-bertic,hr,1,sum,cosine,0.4947899954883156,2.0983761250099633
pooled,classla/bcms-bertic,hr,2,sum,cosine,0.6992355013431003,2.2750698340241797
pooled,classla/bcms-bertic,hr,3,sum,cosine,0.8519922181105432,2.2482104590162635
pooled,classla/bcms-bertic,hr,4,sum,cosine,0.914033724279974,2.068908040993847
pooled,classla/bcms-bertic,hr,5,sum,cosine,0.929196902835142,2.2008029999851715
pooled,classla/bcms-bertic,hr,6,sum,cosine,0.9515504814847198,2.1157321670034435
pooled,classla/bcms-bertic,hr,7,sum,cosine,0.9469053873336368,2.317919916997198
pooled,classla/bcms-bertic,hr,8,sum,cosine,0.923204610138634,2.3461789170105476
pooled,classla/bcms-bertic,hr,9,sum,cosine,0.90156968086084,2.2976132500043605
pooled,classla/bcms-bertic,hr,10,sum,cosine,0.8855917644210953,2.062379457987845
