model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,sl,0,concat,cosine,0.4442674900279325,2.54022591598914
pooled,bert-base-multilingual-cased,sl,1,concat,cosine,0.8102921885634934,2.6718122080201283
pooled,bert-base-multilingual-cased,sl,2,concat,cosine,0.8052414802123724,2.6576623329892755
pooled,bert-base-multilingual-cased,sl,3,concat,cosine,0.7450687050114162,2.6286000830004923
pooled,bert-base-multilingual-cased,sl,4,concat,cosine,0.6133351519541599,2.812002249993384
pooled,bert-base-multilingual-cased,sl,5,concat,cosine,0.5959633535808591,2.7759937079972588
pooled,bert-base-multilingual-cased,sl,6,concat,cosine,0.5819846643840652,2.7354915409814566
pooled,bert-base-multilingual-cased,sl,7,concat,cosine,0.5463034148471939,2.770790082984604
pooled,bert-base-multilingual-cased,sl,8,concat,cosine,0.59634408656294,2.7723173330014106
pooled,bert-base-multilingual-cased,sl,9,concat,cosine,0.5057808215450394,2.796069540985627
pooled,bert-base-multilingual-cased,sl,10,concat,cosine,0.3844266795108093,2.787947458011331
pooled,bert-base-multilingual-uncased,sl,0,concat,cosine,0.5088718008510243,2.4706228750001173
pooled,bert-base-multilingual-uncased,sl,1,concat,cosine,0.6577823571580439,2.634570583992172
pooled,bert-base-multilingual-uncased,sl,2,concat,cosine,0.6183043387517075,2.5676505000155885
pooled,bert-base-multilingual-uncased,sl,3,concat,cosine,0.582951537686049,2.5142921670048963
pooled,bert-base-multilingual-uncased,sl,4,concat,cosine,0.4381797959001834,2.5547226250055246
pooled,bert-base-multilingual-uncased,sl,5,concat,cosine,0.4229152768658579,2.6716731670021545
pooled,bert-base-multilingual-uncased,sl,6,concat,cosine,0.5111248028798461,2.8065346669754945
pooled,bert-base-multilingual-uncased,sl,7,concat,cosine,0.6948697824283533,2.58562745800009
pooled,bert-base-multilingual-uncased,sl,8,concat,cosine,0.5463447297570048,2.575269749999279
pooled,bert-base-multilingual-uncased,sl,9,concat,cosine,0.5969652687031843,2.575097207998624
pooled,bert-base-multilingual-uncased,sl,10,concat,cosine,0.4645506950591516,2.725134917011019
pooled,EMBEDDIA/crosloengual-bert,sl,0,concat,cosine,0.8734077174118968,2.286732500011567
pooled,EMBEDDIA/crosloengual-bert,sl,1,concat,cosine,0.8922811043832404,2.5512330420024227
pooled,EMBEDDIA/crosloengual-bert,sl,2,concat,cosine,0.8682285025436146,2.3704343330173288
pooled,EMBEDDIA/crosloengual-bert,sl,3,concat,cosine,0.9021939306102376,2.2970558749802876
pooled,EMBEDDIA/crosloengual-bert,sl,4,concat,cosine,0.8443744837466945,2.239170750021003
pooled,EMBEDDIA/crosloengual-bert,sl,5,concat,cosine,0.8396684195220719,2.368737583019538
pooled,EMBEDDIA/crosloengual-bert,sl,6,concat,cosine,0.6769946182748584,2.276688665995607
pooled,EMBEDDIA/crosloengual-bert,sl,7,concat,cosine,0.6332362607717827,2.3212530000018887
pooled,EMBEDDIA/crosloengual-bert,sl,8,concat,cosine,0.7679873952059674,2.415200791991083
pooled,EMBEDDIA/crosloengual-bert,sl,9,concat,cosine,0.5341099100875133,2.377509290992748
pooled,EMBEDDIA/crosloengual-bert,sl,10,concat,cosine,0.3593907420146012,2.386431332997745
