model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,sl,0,sum,cosine,0.4442674900279325,3.2437656669935677
pooled,bert-base-multilingual-cased,sl,1,sum,cosine,0.5350304879916958,2.5681144169939216
pooled,bert-base-multilingual-cased,sl,2,sum,cosine,0.66403015785267,2.6999311669787858
pooled,bert-base-multilingual-cased,sl,3,sum,cosine,0.67029579672999,2.7019462499883957
pooled,bert-base-multilingual-cased,sl,4,sum,cosine,0.5946871464319823,2.7199544580071233
pooled,bert-base-multilingual-cased,sl,5,sum,cosine,0.5420209236151418,2.8194800830096938
pooled,bert-base-multilingual-cased,sl,6,sum,cosine,0.5091267812333462,2.762694625009317
pooled,bert-base-multilingual-cased,sl,7,sum,cosine,0.5475869983780033,2.996072457986884
pooled,bert-base-multilingual-cased,sl,8,sum,cosine,0.6207629822312948,2.780054791015573
pooled,bert-base-multilingual-cased,sl,9,sum,cosine,0.5995757562375962,2.7487237919995096
pooled,bert-base-multilingual-cased,sl,10,sum,cosine,0.5656129735281383,2.723127957986435
pooled,bert-base-multilingual-uncased,sl,0,sum,cosine,0.5088718008510243,3.11818587500602
pooled,bert-base-multilingual-uncased,sl,1,sum,cosine,0.6894338861272518,2.6130413339997176
pooled,bert-base-multilingual-uncased,sl,2,sum,cosine,0.6705986844830877,2.592587166989688
pooled,bert-base-multilingual-uncased,sl,3,sum,cosine,0.7253025500539516,2.6034903340041637
pooled,bert-base-multilingual-uncased,sl,4,sum,cosine,0.7326414502160801,2.4893479169986676
pooled,bert-base-multilingual-uncased,sl,5,sum,cosine,0.6681051982969398,2.6380235420074314
pooled,bert-base-multilingual-uncased,sl,6,sum,cosine,0.6106339576995939,2.8740173330006655
pooled,bert-base-multilingual-uncased,sl,7,sum,cosine,0.6491889007089712,2.684253624989651
pooled,bert-base-multilingual-uncased,sl,8,sum,cosine,0.7184825985312127,2.610173749999376
pooled,bert-base-multilingual-uncased,sl,9,sum,cosine,0.7074082571398091,2.6352150419843383
pooled,bert-base-multilingual-uncased,sl,10,sum,cosine,0.7058716132104776,2.6695197919907514
pooled,EMBEDDIA/crosloengual-bert,sl,0,sum,cosine,0.8734077174118968,2.308822166000027
pooled,EMBEDDIA/crosloengual-bert,sl,1,sum,cosine,0.9450976952858792,2.310393416992156
pooled,EMBEDDIA/crosloengual-bert,sl,2,sum,cosine,0.8230313225879371,2.298233082983643
pooled,EMBEDDIA/crosloengual-bert,sl,3,sum,cosine,0.7029300754430007,2.35330212500412
pooled,EMBEDDIA/crosloengual-bert,sl,4,sum,cosine,0.5719129501841934,3.290684167004656
pooled,EMBEDDIA/crosloengual-bert,sl,5,sum,cosine,0.506810354707222,2.384887958993204
pooled,EMBEDDIA/crosloengual-bert,sl,6,sum,cosine,0.4886716214318927,2.203956332989037
pooled,EMBEDDIA/crosloengual-bert,sl,7,sum,cosine,0.515146797040576,2.246310375019675
pooled,EMBEDDIA/crosloengual-bert,sl,8,sum,cosine,0.5737119753877921,2.308148916985374
pooled,EMBEDDIA/crosloengual-bert,sl,9,sum,cosine,0.6214252534175383,2.4029408339993097
pooled,EMBEDDIA/crosloengual-bert,sl,10,sum,cosine,0.6574074935298498,2.2694769999943674
