model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,en,0,sum,cosine,-0.6264637299711084,2.11008212500019
static,bert-base-multilingual-cased,en,0,prod,cosine,-0.6264637299711084,1.542620917010936
static,bert-base-multilingual-cased,en,0,concat,cosine,-0.6264637299711084,1.4734092919970863
static,bert-base-multilingual-cased,en,1,sum,cosine,0.7853794292032575,1.4917995830037398
static,bert-base-multilingual-cased,en,1,prod,cosine,-0.16590985813211412,1.503833000009763
static,bert-base-multilingual-cased,en,1,concat,cosine,0.26865460607183567,1.5858138330077054
static,bert-base-multilingual-cased,en,2,sum,cosine,0.6949329423787608,1.7337860419938806
static,bert-base-multilingual-cased,en,2,prod,cosine,-0.15814921455580921,1.5036533749953378
static,bert-base-multilingual-cased,en,2,concat,cosine,0.36773381587243126,1.4745537920098286
static,bert-base-multilingual-cased,en,3,sum,cosine,0.5147106930694975,1.4771272920042975
static,bert-base-multilingual-cased,en,3,prod,cosine,0.3766415310042619,1.4848506249982165
static,bert-base-multilingual-cased,en,3,concat,cosine,0.3209083505406216,1.4999342920054914
static,bert-base-multilingual-cased,en,4,sum,cosine,0.5101460908899906,1.4759142919938313
static,bert-base-multilingual-cased,en,4,prod,cosine,0.5783077919463925,1.4804982090136036
static,bert-base-multilingual-cased,en,4,concat,cosine,0.2786867833705282,1.5191423329961253
static,bert-base-multilingual-cased,en,5,sum,cosine,0.5654115806895696,1.4984752080054022
static,bert-base-multilingual-cased,en,5,prod,cosine,-0.34232197904084183,1.4997419999999693
static,bert-base-multilingual-cased,en,5,concat,cosine,0.3366580140728348,1.4709927919902839
static,bert-base-multilingual-cased,en,6,sum,cosine,0.5715443041585038,1.4870832500018878
static,bert-base-multilingual-cased,en,6,prod,cosine,-0.34172640492136486,1.4834717920020921
static,bert-base-multilingual-cased,en,6,concat,cosine,0.29208154845797785,1.4794600839959458
static,bert-base-multilingual-cased,en,7,sum,cosine,0.6032852260906812,1.4658469580026576
static,bert-base-multilingual-cased,en,7,prod,cosine,-0.1673270150203332,1.4849022090056678
static,bert-base-multilingual-cased,en,7,concat,cosine,0.42216472830445906,1.4871227080002427
static,bert-base-multilingual-cased,en,8,sum,cosine,0.6300555245467232,1.4982608330028597
static,bert-base-multilingual-cased,en,8,prod,cosine,0.0,1.5309325410053134
static,bert-base-multilingual-cased,en,8,concat,cosine,0.36637485518753454,1.4903099590010243
static,bert-base-multilingual-cased,en,9,sum,cosine,0.6598902394697352,1.4757703340001171
static,bert-base-multilingual-cased,en,9,prod,cosine,0.09583344678736849,1.5051931250054622
static,bert-base-multilingual-cased,en,9,concat,cosine,0.21782607514063135,1.5085627079970436
static,bert-base-multilingual-cased,en,10,sum,cosine,0.7184429380622992,1.4756959170044865
static,bert-base-multilingual-cased,en,10,prod,cosine,-0.5287533674642528,1.4948832919908455
static,bert-base-multilingual-cased,en,10,concat,cosine,0.33219572234802963,1.4931552920024842
static,bert-base-multilingual-cased,en,11,sum,cosine,0.6876071769513347,1.4840647499950137
static,bert-base-multilingual-cased,en,11,prod,cosine,0.275907584702343,1.4939520829939283
static,bert-base-multilingual-cased,en,11,concat,cosine,0.40517367867467224,1.468812708000769
static,bert-base-multilingual-cased,en,12,sum,cosine,0.6875880599533162,1.769065166998189
static,bert-base-multilingual-cased,en,12,prod,cosine,0.275907584702343,1.4671426249988144
static,bert-base-multilingual-cased,en,12,concat,cosine,0.15829588261169603,1.4862199579947628
static,bert-base-multilingual-cased,en,13,sum,cosine,0.711786201871281,1.491700166996452
static,bert-base-multilingual-cased,en,13,prod,cosine,0.3871367152128127,1.512046250005369
static,bert-base-multilingual-cased,en,13,concat,cosine,0.28732374406867534,1.477356375005911
static,bert-base-multilingual-cased,en,14,sum,cosine,0.6633741349071747,1.5123992909939261
static,bert-base-multilingual-cased,en,14,prod,cosine,0.1673270150203332,1.481135499998345
static,bert-base-multilingual-cased,en,14,concat,cosine,0.3433887737052108,1.4766130409989273
static,bert-base-multilingual-cased,en,15,sum,cosine,0.6451480888032094,1.4675709169969196
static,bert-base-multilingual-cased,en,15,prod,cosine,0.1673270150203332,1.4771222919953289
static,bert-base-multilingual-cased,en,15,concat,cosine,0.23474898328568106,1.4723440000088885
static,bert-base-multilingual-cased,en,16,sum,cosine,0.6141609268589324,1.515164166004979
static,bert-base-multilingual-cased,en,16,prod,cosine,0.1673270150203332,1.7489297909924062
static,bert-base-multilingual-cased,en,16,concat,cosine,0.19857345244337476,1.4942151669965824
static,bert-base-multilingual-cased,en,17,sum,cosine,0.576788727566434,1.4890862500033109
static,bert-base-multilingual-cased,en,17,prod,cosine,0.0,1.8129922499938402
static,bert-base-multilingual-cased,en,17,concat,cosine,0.24299301769182868,1.4858552499936195
static,bert-base-multilingual-cased,en,18,sum,cosine,0.5590423222216225,1.4854752920073224
static,bert-base-multilingual-cased,en,18,prod,cosine,0.0,1.4953742080106167
static,bert-base-multilingual-cased,en,18,concat,cosine,0.07426650703386861,1.5241283749928698
static,bert-base-multilingual-cased,en,19,sum,cosine,0.5530766259562943,1.4746701249969192
static,bert-base-multilingual-cased,en,19,prod,cosine,0.0,1.4854315830016276
static,bert-base-multilingual-cased,en,19,concat,cosine,0.26411185571123585,1.4841662499966333
static,bert-base-multilingual-cased,en,20,sum,cosine,0.5495034563256327,1.4730701249936828
static,bert-base-multilingual-cased,en,20,prod,cosine,0.0,1.4680006249982398
static,bert-base-multilingual-cased,en,20,concat,cosine,0.14914301090644622,1.4821608750062296
static,bert-base-multilingual-cased,en,21,sum,cosine,0.5747968303627147,1.4768180829996709
static,bert-base-multilingual-cased,en,21,prod,cosine,0.0,1.4658646659954684
static,bert-base-multilingual-cased,en,21,concat,cosine,0.3654534745215706,1.4875569169962546
static,bert-base-multilingual-cased,en,22,sum,cosine,0.5655817303028982,1.4650981669983594
static,bert-base-multilingual-cased,en,22,prod,cosine,0.0,1.4876875000045402
static,bert-base-multilingual-cased,en,22,concat,cosine,0.08677409513732015,1.6925349160010228
static,bert-base-multilingual-cased,en,23,sum,cosine,0.5670553050744074,1.5008972919895314
static,bert-base-multilingual-cased,en,23,prod,cosine,0.0,1.5176949160086224
static,bert-base-multilingual-cased,en,23,concat,cosine,0.07176575806309005,1.4840786669956287
static,bert-base-multilingual-cased,en,24,sum,cosine,0.572232581311561,1.5255567080021137
static,bert-base-multilingual-cased,en,24,prod,cosine,0.0,1.478401832995587
static,bert-base-multilingual-cased,en,24,concat,cosine,0.35425517074437884,1.4940131250041304
static,bert-base-multilingual-cased,en,25,sum,cosine,0.5557662275160142,1.4757656659930944
static,bert-base-multilingual-cased,en,25,prod,cosine,0.0,1.4799399170005927
static,bert-base-multilingual-cased,en,25,concat,cosine,0.05410194493811904,1.490151040998171
static,bert-base-multilingual-cased,en,26,sum,cosine,0.5398020709854191,1.4730019170092419
static,bert-base-multilingual-cased,en,26,prod,cosine,0.0,1.4944126249902183
static,bert-base-multilingual-cased,en,26,concat,cosine,-0.048224033648756714,1.4900290420046076
static,bert-base-multilingual-cased,en,27,sum,cosine,0.538793540002333,1.4672988329984946
static,bert-base-multilingual-cased,en,27,prod,cosine,0.0,1.470024124995689
static,bert-base-multilingual-cased,en,27,concat,cosine,0.519043486660113,1.485446167003829
static,bert-base-multilingual-cased,en,28,sum,cosine,0.5091439309049481,1.523214958011522
static,bert-base-multilingual-cased,en,28,prod,cosine,0.0,1.4944222920021275
static,bert-base-multilingual-cased,en,28,concat,cosine,0.5253003188964657,1.4806852500041714
static,bert-base-multilingual-cased,en,29,sum,cosine,0.49682935320174737,1.4822036249970552
static,bert-base-multilingual-cased,en,29,prod,cosine,0.0,1.492251582996687
static,bert-base-multilingual-cased,en,29,concat,cosine,-0.14964709884592242,1.4656710420094896
static,bert-base-multilingual-cased,en,30,sum,cosine,0.46263307818609833,1.490883542006486
static,bert-base-multilingual-cased,en,30,prod,cosine,0.0,1.5085304579988588
static,bert-base-multilingual-cased,en,30,concat,cosine,-0.16923872546622776,1.541440707995207
static,bert-base-multilingual-cased,en,31,sum,cosine,0.4434332946359345,1.4916460840031505
static,bert-base-multilingual-cased,en,31,prod,cosine,0.0,1.4830944999994244
static,bert-base-multilingual-cased,en,31,concat,cosine,-0.15675982590567594,1.4778821249929024
static,bert-base-multilingual-cased,en,32,sum,cosine,0.4498434978008845,1.494087707993458
static,bert-base-multilingual-cased,en,32,prod,cosine,0.0,1.4977645839971956
static,bert-base-multilingual-cased,en,32,concat,cosine,-0.15551644390559205,1.5437630839878693
static,bert-base-multilingual-cased,en,33,sum,cosine,0.44893618358841725,1.4949514170002658
static,bert-base-multilingual-cased,en,33,prod,cosine,0.0,1.4868122080079047
static,bert-base-multilingual-cased,en,33,concat,cosine,-0.17082786149841755,1.489391583003453
static,bert-base-multilingual-cased,en,34,sum,cosine,0.42957543761707384,1.6167338749946794
static,bert-base-multilingual-cased,en,34,prod,cosine,0.0,1.4676074580056593
static,bert-base-multilingual-cased,en,34,concat,cosine,-0.17745124000425516,1.5172112500004005
static,bert-base-multilingual-cased,en,35,sum,cosine,0.4201656469330406,1.470753749992582
static,bert-base-multilingual-cased,en,35,prod,cosine,0.0,1.4838278329989407
static,bert-base-multilingual-cased,en,35,concat,cosine,-0.18460109290129445,1.4833096250076778
static,bert-base-multilingual-cased,en,36,sum,cosine,0.43013277529553084,1.4733704999962356
static,bert-base-multilingual-cased,en,36,prod,cosine,0.0,1.578224124998087
static,bert-base-multilingual-cased,en,36,concat,cosine,-0.17672773627161997,1.4753157499944791
static,bert-base-multilingual-cased,en,37,sum,cosine,0.42039167635463026,1.469964167001308
static,bert-base-multilingual-cased,en,37,prod,cosine,0.0,1.5129893340053968
static,bert-base-multilingual-cased,en,37,concat,cosine,-0.1775743758588475,1.5301019170001382
static,bert-base-multilingual-cased,en,38,sum,cosine,0.42506244181470654,1.48577962499985
static,bert-base-multilingual-cased,en,38,prod,cosine,0.0,1.5282338749966584
static,bert-base-multilingual-cased,en,38,concat,cosine,-0.17786143943726196,1.4991430419904646
static,bert-base-multilingual-cased,en,39,sum,cosine,0.41864583637977826,1.4829049999971176
static,bert-base-multilingual-cased,en,39,prod,cosine,0.0,1.4851398330065422
static,bert-base-multilingual-cased,en,39,concat,cosine,-0.1811713067733025,1.4873735000001034
static,bert-base-multilingual-cased,en,40,sum,cosine,0.4258391203973311,1.4838682910049101
