model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,en,0,concat,cosine,-0.6264637299711084,1.4734092919970865
static,bert-base-multilingual-cased,en,1,concat,cosine,0.2686546060718356,1.5858138330077054
static,bert-base-multilingual-cased,en,2,concat,cosine,0.3677338158724312,1.4745537920098286
static,bert-base-multilingual-cased,en,3,concat,cosine,0.3209083505406216,1.4999342920054914
static,bert-base-multilingual-cased,en,4,concat,cosine,0.2786867833705282,1.519142332996125
static,bert-base-multilingual-cased,en,5,concat,cosine,0.3366580140728348,1.470992791990284
static,bert-base-multilingual-cased,en,6,concat,cosine,0.2920815484579778,1.4794600839959458
static,bert-base-multilingual-cased,en,7,concat,cosine,0.422164728304459,1.4871227080002427
static,bert-base-multilingual-cased,en,8,concat,cosine,0.3663748551875345,1.4903099590010245
static,bert-base-multilingual-cased,en,9,concat,cosine,0.2178260751406313,1.5085627079970436
static,bert-base-multilingual-cased,en,10,concat,cosine,0.3321957223480296,1.4931552920024842
static,bert-base-multilingual-cased,en,11,concat,cosine,0.4051736786746722,1.468812708000769
static,bert-base-multilingual-cased,en,12,concat,cosine,0.158295882611696,1.4862199579947628
static,bert-base-multilingual-cased,en,13,concat,cosine,0.2873237440686753,1.477356375005911
static,bert-base-multilingual-cased,en,14,concat,cosine,0.3433887737052108,1.476613040998927
static,bert-base-multilingual-cased,en,15,concat,cosine,0.234748983285681,1.4723440000088883
static,bert-base-multilingual-cased,en,16,concat,cosine,0.1985734524433747,1.4942151669965824
static,bert-base-multilingual-cased,en,17,concat,cosine,0.2429930176918286,1.4858552499936195
static,bert-base-multilingual-cased,en,18,concat,cosine,0.0742665070338686,1.5241283749928698
static,bert-base-multilingual-cased,en,19,concat,cosine,0.2641118557112358,1.4841662499966333
static,bert-base-multilingual-cased,en,20,concat,cosine,0.1491430109064462,1.4821608750062296
static,bert-base-multilingual-cased,en,21,concat,cosine,0.3654534745215706,1.4875569169962546
static,bert-base-multilingual-cased,en,22,concat,cosine,0.0867740951373201,1.6925349160010228
static,bert-base-multilingual-cased,en,23,concat,cosine,0.07176575806309,1.4840786669956287
static,bert-base-multilingual-cased,en,24,concat,cosine,0.3542551707443788,1.4940131250041304
static,bert-base-multilingual-cased,en,25,concat,cosine,0.054101944938119,1.490151040998171
static,bert-base-multilingual-cased,en,26,concat,cosine,-0.0482240336487567,1.4900290420046076
static,bert-base-multilingual-cased,en,27,concat,cosine,0.519043486660113,1.485446167003829
static,bert-base-multilingual-cased,en,28,concat,cosine,0.5253003188964657,1.4806852500041714
static,bert-base-multilingual-cased,en,29,concat,cosine,-0.1496470988459224,1.4656710420094896
static,bert-base-multilingual-cased,en,30,concat,cosine,-0.1692387254662277,1.541440707995207
static,bert-base-multilingual-cased,en,31,concat,cosine,-0.1567598259056759,1.4778821249929024
static,bert-base-multilingual-cased,en,32,concat,cosine,-0.155516443905592,1.543763083987869
static,bert-base-multilingual-cased,en,33,concat,cosine,-0.1708278614984175,1.489391583003453
static,bert-base-multilingual-cased,en,34,concat,cosine,-0.1774512400042551,1.5172112500004005
static,bert-base-multilingual-cased,en,35,concat,cosine,-0.1846010929012944,1.4833096250076778
static,bert-base-multilingual-cased,en,36,concat,cosine,-0.1767277362716199,1.4753157499944791
static,bert-base-multilingual-cased,en,37,concat,cosine,-0.1775743758588475,1.5301019170001382
static,bert-base-multilingual-cased,en,38,concat,cosine,-0.1778614394372619,1.4991430419904646
static,bert-base-multilingual-cased,en,39,concat,cosine,-0.1811713067733025,1.4873735000001034
static,bert-base-multilingual-cased,en,40,concat,cosine,-0.1853648427665299,1.5121896659984486
static,bert-base-multilingual-cased,en,41,concat,cosine,0.0757259645861078,1.8006106670072768
static,bert-base-multilingual-cased,en,42,concat,cosine,0.0772009063593597,1.5191903749946505
static,bert-base-multilingual-cased,en,43,concat,cosine,0.0579202027364537,1.4721901250013616
static,bert-base-multilingual-cased,en,44,concat,cosine,0.0647288914014511,1.5860157090064604
static,bert-base-multilingual-cased,en,45,concat,cosine,0.0623416749626315,1.500061334008933
static,bert-base-multilingual-cased,en,46,concat,cosine,0.0521341926181483,1.5305550419870997
static,bert-base-multilingual-cased,en,47,concat,cosine,0.0439158268857347,1.4971464580012253
static,bert-base-multilingual-cased,en,48,concat,cosine,0.0387390461064225,1.5042829579906538
static,bert-base-multilingual-cased,en,49,concat,cosine,0.0391595474768818,1.565311375001329
static,bert-base-multilingual-cased,en,50,concat,cosine,0.0121554762083521,1.5248720419913298
static,bert-base-multilingual-uncased,en,0,concat,cosine,0.174077844810234,1.4220784589997493
static,bert-base-multilingual-uncased,en,1,concat,cosine,0.2034206508054014,1.3946006250043863
static,bert-base-multilingual-uncased,en,2,concat,cosine,0.1976645565944019,1.3861051249987213
static,bert-base-multilingual-uncased,en,3,concat,cosine,0.1819711408561993,1.4005135420011356
static,bert-base-multilingual-uncased,en,4,concat,cosine,0.1145158629005445,1.3909172910061898
static,bert-base-multilingual-uncased,en,5,concat,cosine,0.0638082299073194,1.4144843749963911
static,bert-base-multilingual-uncased,en,6,concat,cosine,0.0317530774499008,1.406756416996359
static,bert-base-multilingual-uncased,en,7,concat,cosine,0.1115948428873501,1.4142775840009565
static,bert-base-multilingual-uncased,en,8,concat,cosine,0.1349225173242741,1.433899665993522
static,bert-base-multilingual-uncased,en,9,concat,cosine,0.0441868079932133,1.4003414589969907
static,bert-base-multilingual-uncased,en,10,concat,cosine,0.101225101074679,1.417020541994134
static,bert-base-multilingual-uncased,en,11,concat,cosine,0.3117737780841645,1.4026637919887437
static,bert-base-multilingual-uncased,en,12,concat,cosine,0.2463104815786622,1.4102385410078568
static,bert-base-multilingual-uncased,en,13,concat,cosine,0.3364142721284396,1.4010815000074217
static,bert-base-multilingual-uncased,en,14,concat,cosine,0.3899164006696326,1.405555417004507
static,bert-base-multilingual-uncased,en,15,concat,cosine,0.3163557395228897,1.4074468339968007
static,bert-base-multilingual-uncased,en,16,concat,cosine,0.2356427474312351,1.4031568339996738
static,bert-base-multilingual-uncased,en,17,concat,cosine,0.2535496887753827,1.4412193750031292
static,bert-base-multilingual-uncased,en,18,concat,cosine,0.1420968168778498,1.4272029169951566
static,bert-base-multilingual-uncased,en,19,concat,cosine,0.2306408467550864,1.4085810420074267
static,bert-base-multilingual-uncased,en,20,concat,cosine,0.1209862536855894,1.3992794999940088
static,bert-base-multilingual-uncased,en,21,concat,cosine,0.2543664050151014,1.387145208005677
static,bert-base-multilingual-uncased,en,22,concat,cosine,0.2103792469227861,1.4232507500128122
static,bert-base-multilingual-uncased,en,23,concat,cosine,0.130725649435653,1.412293208995834
static,bert-base-multilingual-uncased,en,24,concat,cosine,0.1387124614225605,1.4375499579909956
static,bert-base-multilingual-uncased,en,25,concat,cosine,0.1378614541707014,1.3888317910023034
static,bert-base-multilingual-uncased,en,26,concat,cosine,0.2352637656797541,1.4077034579968313
static,bert-base-multilingual-uncased,en,27,concat,cosine,-0.1481544213266339,1.4228346250019968
static,bert-base-multilingual-uncased,en,28,concat,cosine,-0.1425088528374902,1.3978438329941127
static,bert-base-multilingual-uncased,en,29,concat,cosine,-0.1426204137167377,1.3834795410075458
static,bert-base-multilingual-uncased,en,30,concat,cosine,-0.1440697695588435,1.3805167090031318
static,bert-base-multilingual-uncased,en,31,concat,cosine,-0.1475930896984447,1.432481291994918
static,bert-base-multilingual-uncased,en,32,concat,cosine,-0.1459980882377904,1.390689540989115
static,bert-base-multilingual-uncased,en,33,concat,cosine,-0.1639967884666153,1.422818457998801
static,bert-base-multilingual-uncased,en,34,concat,cosine,-0.1766104712750464,1.421154249997926
static,bert-base-multilingual-uncased,en,35,concat,cosine,-0.1568958847086428,1.429254375005257
static,bert-base-multilingual-uncased,en,36,concat,cosine,-0.1746232607147242,1.4079289170040283
static,bert-base-multilingual-uncased,en,37,concat,cosine,-0.1811384732673171,1.392408500003512
static,bert-base-multilingual-uncased,en,38,concat,cosine,-0.1894131276391921,1.4467906249919906
static,bert-base-multilingual-uncased,en,39,concat,cosine,-0.1826816722592661,1.3917928749870043
static,bert-base-multilingual-uncased,en,40,concat,cosine,-0.1678152524148879,1.3998426670004849
static,bert-base-multilingual-uncased,en,41,concat,cosine,0.0606661926407366,1.3860200839990284
static,bert-base-multilingual-uncased,en,42,concat,cosine,0.0471189983734121,1.409850500000175
static,bert-base-multilingual-uncased,en,43,concat,cosine,0.0616625469436343,1.4182651250011986
static,bert-base-multilingual-uncased,en,44,concat,cosine,0.0664059313073285,1.460532333003357
static,bert-base-multilingual-uncased,en,45,concat,cosine,0.0336084913128723,1.39306224999018
static,bert-base-multilingual-uncased,en,46,concat,cosine,0.0465817469583831,1.462723165997886
static,bert-base-multilingual-uncased,en,47,concat,cosine,0.0354074272378927,1.3980161249928642
static,bert-base-multilingual-uncased,en,48,concat,cosine,0.0331455691703018,1.3876939160109032
static,bert-base-multilingual-uncased,en,49,concat,cosine,0.0531419327679087,1.4169279170018854
static,bert-base-multilingual-uncased,en,50,concat,cosine,0.4923155743386775,1.4048470000125235
static,EMBEDDIA/crosloengual-bert,en,0,concat,cosine,-0.3888158342570054,1.0906107079936191
static,EMBEDDIA/crosloengual-bert,en,1,concat,cosine,0.1161732709773522,1.1129749589890707
static,EMBEDDIA/crosloengual-bert,en,2,concat,cosine,0.3316879500778806,1.104490916986833
static,EMBEDDIA/crosloengual-bert,en,3,concat,cosine,0.3522821142858187,1.3229500000015832
static,EMBEDDIA/crosloengual-bert,en,4,concat,cosine,0.3677187591925767,1.1206340420030756
static,EMBEDDIA/crosloengual-bert,en,5,concat,cosine,0.394776105189548,1.1038118750002468
static,EMBEDDIA/crosloengual-bert,en,6,concat,cosine,0.2259892596166919,1.102228332994855
static,EMBEDDIA/crosloengual-bert,en,7,concat,cosine,0.4929050418529865,1.0875138339906698
static,EMBEDDIA/crosloengual-bert,en,8,concat,cosine,0.4454049122679444,1.0988538329984294
static,EMBEDDIA/crosloengual-bert,en,9,concat,cosine,0.4474842596235832,1.3182860829983838
static,EMBEDDIA/crosloengual-bert,en,10,concat,cosine,0.4612077209330691,1.0802077910047956
static,EMBEDDIA/crosloengual-bert,en,11,concat,cosine,0.5264811164236712,1.0886056669987738
static,EMBEDDIA/crosloengual-bert,en,12,concat,cosine,0.3976081837753298,1.3116713749914195
static,EMBEDDIA/crosloengual-bert,en,13,concat,cosine,0.5124023091094054,1.0911100419907598
static,EMBEDDIA/crosloengual-bert,en,14,concat,cosine,0.5563891826701202,1.1376831669913372
static,EMBEDDIA/crosloengual-bert,en,15,concat,cosine,0.397942620364562,1.1583656669972695
static,EMBEDDIA/crosloengual-bert,en,16,concat,cosine,0.3069897726429493,1.0711632090096828
static,EMBEDDIA/crosloengual-bert,en,17,concat,cosine,0.6018012150909414,1.0914755420089932
static,EMBEDDIA/crosloengual-bert,en,18,concat,cosine,0.3807244066707304,1.0750103339960333
static,EMBEDDIA/crosloengual-bert,en,19,concat,cosine,0.110660155741206,1.087233958998695
static,EMBEDDIA/crosloengual-bert,en,20,concat,cosine,0.3599887749007445,1.0943204579962185
static,EMBEDDIA/crosloengual-bert,en,21,concat,cosine,0.3482500268706605,1.1184613749937853
static,EMBEDDIA/crosloengual-bert,en,22,concat,cosine,0.3887159214750406,1.0885236250032904
static,EMBEDDIA/crosloengual-bert,en,23,concat,cosine,0.1203234819597601,1.0922861250001006
static,EMBEDDIA/crosloengual-bert,en,24,concat,cosine,0.6243149287061891,1.086400207990664
static,EMBEDDIA/crosloengual-bert,en,25,concat,cosine,0.3042385255402619,1.0682563330046833
static,EMBEDDIA/crosloengual-bert,en,26,concat,cosine,0.2536876371598822,1.1281186249980235
static,EMBEDDIA/crosloengual-bert,en,27,concat,cosine,0.5165706729563706,1.1355725829926089
static,EMBEDDIA/crosloengual-bert,en,28,concat,cosine,0.500811204964236,1.1353896670043468
static,EMBEDDIA/crosloengual-bert,en,29,concat,cosine,0.5072402513322237,1.1570512920006877
static,EMBEDDIA/crosloengual-bert,en,30,concat,cosine,0.5148496146909678,1.079383707998204
static,EMBEDDIA/crosloengual-bert,en,31,concat,cosine,-0.0969769946185394,1.100683500000741
static,EMBEDDIA/crosloengual-bert,en,32,concat,cosine,-0.0925525144807644,1.082054792001145
static,EMBEDDIA/crosloengual-bert,en,33,concat,cosine,-0.1026184005885513,1.1687129579950124
static,EMBEDDIA/crosloengual-bert,en,34,concat,cosine,-0.1091637916654963,1.0744812079938129
static,EMBEDDIA/crosloengual-bert,en,35,concat,cosine,-0.1387048317960661,1.0886096659960458
static,EMBEDDIA/crosloengual-bert,en,36,concat,cosine,-0.0996192438737881,1.095332665994647
static,EMBEDDIA/crosloengual-bert,en,37,concat,cosine,-0.1384772909179537,1.0876666670083068
static,EMBEDDIA/crosloengual-bert,en,38,concat,cosine,-0.1264465358603623,1.1021964590036075
static,EMBEDDIA/crosloengual-bert,en,39,concat,cosine,-0.1457582611486252,1.0871875000011642
static,EMBEDDIA/crosloengual-bert,en,40,concat,cosine,-0.1498455337970636,1.0962454580003396
static,EMBEDDIA/crosloengual-bert,en,41,concat,cosine,-0.1258995322230434,1.083638083000551
static,EMBEDDIA/crosloengual-bert,en,42,concat,cosine,-0.1321471050969089,1.0767056670010788
static,EMBEDDIA/crosloengual-bert,en,43,concat,cosine,-0.1597985982687868,1.1248317919962574
static,EMBEDDIA/crosloengual-bert,en,44,concat,cosine,-0.2106352095384207,1.087329125002725
static,EMBEDDIA/crosloengual-bert,en,45,concat,cosine,-0.1448005502481357,1.1290638750069777
static,EMBEDDIA/crosloengual-bert,en,46,concat,cosine,0.0914539633763419,1.0842125000053784
static,EMBEDDIA/crosloengual-bert,en,47,concat,cosine,0.12258877203574,1.128423209011089
static,EMBEDDIA/crosloengual-bert,en,48,concat,cosine,0.0850310489023096,1.0818874999968102
static,EMBEDDIA/crosloengual-bert,en,49,concat,cosine,0.074372631241023,1.1062489579926478
static,EMBEDDIA/crosloengual-bert,en,50,concat,cosine,0.0744817922272829,1.0938112079893472
