model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,en,0,prod,cosine,-0.6264637299711084,1.542620917010936
static,bert-base-multilingual-cased,en,1,prod,cosine,-0.1659098581321141,1.503833000009763
static,bert-base-multilingual-cased,en,2,prod,cosine,-0.1581492145558092,1.5036533749953378
static,bert-base-multilingual-cased,en,3,prod,cosine,0.3766415310042619,1.4848506249982163
static,bert-base-multilingual-cased,en,4,prod,cosine,0.5783077919463925,1.4804982090136036
static,bert-base-multilingual-cased,en,5,prod,cosine,-0.3423219790408418,1.4997419999999693
static,bert-base-multilingual-cased,en,6,prod,cosine,-0.3417264049213648,1.483471792002092
static,bert-base-multilingual-cased,en,7,prod,cosine,-0.1673270150203332,1.4849022090056678
static,bert-base-multilingual-cased,en,8,prod,cosine,0.0,1.5309325410053134
static,bert-base-multilingual-cased,en,9,prod,cosine,0.0958334467873684,1.5051931250054622
static,bert-base-multilingual-cased,en,10,prod,cosine,-0.5287533674642528,1.4948832919908457
static,bert-base-multilingual-cased,en,11,prod,cosine,0.275907584702343,1.4939520829939283
static,bert-base-multilingual-cased,en,12,prod,cosine,0.275907584702343,1.4671426249988144
static,bert-base-multilingual-cased,en,13,prod,cosine,0.3871367152128127,1.512046250005369
static,bert-base-multilingual-cased,en,14,prod,cosine,0.1673270150203332,1.481135499998345
static,bert-base-multilingual-cased,en,15,prod,cosine,0.1673270150203332,1.4771222919953289
static,bert-base-multilingual-cased,en,16,prod,cosine,0.1673270150203332,1.7489297909924062
static,bert-base-multilingual-cased,en,17,prod,cosine,0.0,1.81299224999384
static,bert-base-multilingual-cased,en,18,prod,cosine,0.0,1.4953742080106167
static,bert-base-multilingual-cased,en,19,prod,cosine,0.0,1.4854315830016276
static,bert-base-multilingual-cased,en,20,prod,cosine,0.0,1.4680006249982398
static,bert-base-multilingual-cased,en,21,prod,cosine,0.0,1.4658646659954684
static,bert-base-multilingual-cased,en,22,prod,cosine,0.0,1.4876875000045402
static,bert-base-multilingual-cased,en,23,prod,cosine,0.0,1.5176949160086224
static,bert-base-multilingual-cased,en,24,prod,cosine,0.0,1.478401832995587
static,bert-base-multilingual-cased,en,25,prod,cosine,0.0,1.479939917000593
static,bert-base-multilingual-cased,en,26,prod,cosine,0.0,1.4944126249902183
static,bert-base-multilingual-cased,en,27,prod,cosine,0.0,1.470024124995689
static,bert-base-multilingual-cased,en,28,prod,cosine,0.0,1.4944222920021275
static,bert-base-multilingual-cased,en,29,prod,cosine,0.0,1.492251582996687
static,bert-base-multilingual-cased,en,30,prod,cosine,0.0,1.5085304579988588
static,bert-base-multilingual-cased,en,31,prod,cosine,0.0,1.4830944999994244
static,bert-base-multilingual-cased,en,32,prod,cosine,0.0,1.4977645839971956
static,bert-base-multilingual-cased,en,33,prod,cosine,0.0,1.4868122080079047
static,bert-base-multilingual-cased,en,34,prod,cosine,0.0,1.4676074580056593
static,bert-base-multilingual-cased,en,35,prod,cosine,0.0,1.4838278329989407
static,bert-base-multilingual-cased,en,36,prod,cosine,0.0,1.578224124998087
static,bert-base-multilingual-cased,en,37,prod,cosine,0.0,1.5129893340053968
static,bert-base-multilingual-cased,en,38,prod,cosine,0.0,1.5282338749966584
static,bert-base-multilingual-cased,en,39,prod,cosine,0.0,1.4851398330065422
static,bert-base-multilingual-cased,en,40,prod,cosine,0.0,1.4941668329993265
static,bert-base-multilingual-cased,en,41,prod,cosine,0.0,1.4844665840064408
static,bert-base-multilingual-cased,en,42,prod,cosine,0.0,1.497290958999656
static,bert-base-multilingual-cased,en,43,prod,cosine,0.0,1.5172346670005936
static,bert-base-multilingual-cased,en,44,prod,cosine,0.0,1.49052620799921
static,bert-base-multilingual-cased,en,45,prod,cosine,0.0,1.500673040995025
static,bert-base-multilingual-cased,en,46,prod,cosine,0.0,1.5128561669989722
static,bert-base-multilingual-cased,en,47,prod,cosine,0.0,1.5048934590013232
static,bert-base-multilingual-cased,en,48,prod,cosine,0.0,1.4884002089966089
