model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,en,0,sum,cosine,-0.6264637299711084,2.11008212500019
static,bert-base-multilingual-cased,en,1,sum,cosine,0.7853794292032575,1.4917995830037398
static,bert-base-multilingual-cased,en,2,sum,cosine,0.6949329423787608,1.7337860419938806
static,bert-base-multilingual-cased,en,3,sum,cosine,0.5147106930694975,1.4771272920042977
static,bert-base-multilingual-cased,en,4,sum,cosine,0.5101460908899906,1.4759142919938313
static,bert-base-multilingual-cased,en,5,sum,cosine,0.5654115806895696,1.4984752080054022
static,bert-base-multilingual-cased,en,6,sum,cosine,0.5715443041585038,1.4870832500018878
static,bert-base-multilingual-cased,en,7,sum,cosine,0.6032852260906812,1.4658469580026576
static,bert-base-multilingual-cased,en,8,sum,cosine,0.6300555245467232,1.4982608330028595
static,bert-base-multilingual-cased,en,9,sum,cosine,0.6598902394697352,1.4757703340001171
static,bert-base-multilingual-cased,en,10,sum,cosine,0.7184429380622992,1.4756959170044863
static,bert-base-multilingual-cased,en,11,sum,cosine,0.6876071769513347,1.4840647499950137
static,bert-base-multilingual-cased,en,12,sum,cosine,0.6875880599533162,1.769065166998189
static,bert-base-multilingual-cased,en,13,sum,cosine,0.711786201871281,1.491700166996452
static,bert-base-multilingual-cased,en,14,sum,cosine,0.6633741349071747,1.512399290993926
static,bert-base-multilingual-cased,en,15,sum,cosine,0.6451480888032094,1.4675709169969196
static,bert-base-multilingual-cased,en,16,sum,cosine,0.6141609268589324,1.515164166004979
static,bert-base-multilingual-cased,en,17,sum,cosine,0.576788727566434,1.4890862500033109
static,bert-base-multilingual-cased,en,18,sum,cosine,0.5590423222216225,1.4854752920073224
static,bert-base-multilingual-cased,en,19,sum,cosine,0.5530766259562943,1.4746701249969192
static,bert-base-multilingual-cased,en,20,sum,cosine,0.5495034563256327,1.4730701249936828
static,bert-base-multilingual-cased,en,21,sum,cosine,0.5747968303627147,1.4768180829996709
static,bert-base-multilingual-cased,en,22,sum,cosine,0.5655817303028982,1.4650981669983594
static,bert-base-multilingual-cased,en,23,sum,cosine,0.5670553050744074,1.5008972919895314
static,bert-base-multilingual-cased,en,24,sum,cosine,0.572232581311561,1.5255567080021135
static,bert-base-multilingual-cased,en,25,sum,cosine,0.5557662275160142,1.4757656659930944
static,bert-base-multilingual-cased,en,26,sum,cosine,0.5398020709854191,1.473001917009242
static,bert-base-multilingual-cased,en,27,sum,cosine,0.538793540002333,1.4672988329984946
static,bert-base-multilingual-cased,en,28,sum,cosine,0.5091439309049481,1.523214958011522
static,bert-base-multilingual-cased,en,29,sum,cosine,0.4968293532017473,1.4822036249970552
static,bert-base-multilingual-cased,en,30,sum,cosine,0.4626330781860983,1.490883542006486
static,bert-base-multilingual-cased,en,31,sum,cosine,0.4434332946359345,1.4916460840031505
static,bert-base-multilingual-cased,en,32,sum,cosine,0.4498434978008845,1.494087707993458
static,bert-base-multilingual-cased,en,33,sum,cosine,0.4489361835884172,1.4949514170002658
static,bert-base-multilingual-cased,en,34,sum,cosine,0.4295754376170738,1.6167338749946794
static,bert-base-multilingual-cased,en,35,sum,cosine,0.4201656469330406,1.470753749992582
