model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,hr,0,concat,cosine,0.4177936112443869,1.465024082994205
static,bert-base-multilingual-cased,hr,1,concat,cosine,-0.0685436214096972,1.5014494159986498
static,bert-base-multilingual-cased,hr,2,concat,cosine,-0.2267148078915764,1.472479417003342
static,bert-base-multilingual-cased,hr,3,concat,cosine,-0.2289883341867407,1.4986597079987405
static,bert-base-multilingual-cased,hr,4,concat,cosine,-0.426906849139518,1.4814621670084307
static,bert-base-multilingual-cased,hr,5,concat,cosine,-0.3985288189549365,1.4703126670065103
static,bert-base-multilingual-cased,hr,6,concat,cosine,-0.5186387687242853,1.4739312080055242
static,bert-base-multilingual-cased,hr,7,concat,cosine,-0.4243288510280207,1.470988416011096
static,bert-base-multilingual-cased,hr,8,concat,cosine,-0.381839887257418,1.472978083009366
static,bert-base-multilingual-cased,hr,9,concat,cosine,-0.4599515240011618,1.4965289999963716
static,bert-base-multilingual-cased,hr,10,concat,cosine,-0.5100370827372949,1.4801575000019511
static,bert-base-multilingual-cased,hr,11,concat,cosine,-0.5883630283138381,1.4778581250138814
static,bert-base-multilingual-cased,hr,12,concat,cosine,-0.320968237266412,1.4898355420009466
static,bert-base-multilingual-cased,hr,13,concat,cosine,-0.1435673668672497,1.4694585830002325
static,bert-base-multilingual-cased,hr,14,concat,cosine,-0.6707105803846354,1.4913412910100303
static,bert-base-multilingual-cased,hr,15,concat,cosine,-0.4866229114272782,1.511794791003922
static,bert-base-multilingual-cased,hr,16,concat,cosine,0.348757122026456,1.4788336669880664
static,bert-base-multilingual-cased,hr,17,concat,cosine,0.4324051941775158,1.4769183330063242
static,bert-base-multilingual-cased,hr,18,concat,cosine,-0.4246957465356225,1.490514749995782
static,bert-base-multilingual-cased,hr,19,concat,cosine,0.2615617530577475,1.480423000000883
static,bert-base-multilingual-cased,hr,20,concat,cosine,0.0697591049951159,1.4764198330085492
static,bert-base-multilingual-cased,hr,21,concat,cosine,0.722909818152113,1.49393733299803
static,bert-base-multilingual-cased,hr,22,concat,cosine,-0.6436074094528399,1.4781749169924296
static,bert-base-multilingual-cased,hr,23,concat,cosine,0.3630117738448531,1.4632584159990074
static,bert-base-multilingual-cased,hr,24,concat,cosine,-0.2539557170782238,1.5126448340015486
static,bert-base-multilingual-cased,hr,25,concat,cosine,0.663470211137347,1.5657376250019297
static,bert-base-multilingual-cased,hr,26,concat,cosine,0.697435248957874,1.4604257500031963
static,bert-base-multilingual-cased,hr,27,concat,cosine,0.6975318633385967,1.5998356250056531
static,bert-base-multilingual-cased,hr,28,concat,cosine,0.6719048303296953,1.5835329159890534
static,bert-base-multilingual-cased,hr,29,concat,cosine,0.6879980297723868,1.511664416990243
static,bert-base-multilingual-cased,hr,30,concat,cosine,0.2547379111972654,1.4650225829973351
static,bert-base-multilingual-cased,hr,31,concat,cosine,0.2678816205706529,1.4896842500020284
static,bert-base-multilingual-cased,hr,32,concat,cosine,0.2624605259082975,1.4867766670067797
static,bert-base-multilingual-cased,hr,33,concat,cosine,0.2233905501622699,1.4799154579959577
static,bert-base-multilingual-cased,hr,34,concat,cosine,0.1964550799251684,1.4603147909947438
