model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,hr,0,sum,cosine,0.4177936112443869,2.0745140829967568
static,bert-base-multilingual-cased,hr,1,sum,cosine,-0.0619404516962083,1.46459383299225
static,bert-base-multilingual-cased,hr,2,sum,cosine,-0.1877263190779583,1.46395062499505
static,bert-base-multilingual-cased,hr,3,sum,cosine,0.1312941155133145,1.4707885419920783
static,bert-base-multilingual-cased,hr,4,sum,cosine,-0.1154786216261303,1.4966455410030903
static,bert-base-multilingual-cased,hr,5,sum,cosine,0.1278569602888408,1.473701541995979
static,bert-base-multilingual-cased,hr,6,sum,cosine,0.3310912470709883,1.4767513749975478
static,bert-base-multilingual-cased,hr,7,sum,cosine,0.3040850728672561,1.4583580829930725
static,bert-base-multilingual-cased,hr,8,sum,cosine,0.4427510150217204,1.4651449590019183
static,bert-base-multilingual-cased,hr,9,sum,cosine,0.4524501953685467,1.547076125003514
static,bert-base-multilingual-cased,hr,10,sum,cosine,0.593152663793061,1.5103283329954138
static,bert-base-multilingual-cased,hr,11,sum,cosine,0.6126663609536798,1.512543457996799
static,bert-base-multilingual-cased,hr,12,sum,cosine,0.6667804417168234,1.4546928339987062
static,bert-base-multilingual-cased,hr,13,sum,cosine,0.6843115881511928,1.4965874170011375
static,bert-base-multilingual-cased,hr,14,sum,cosine,0.6990500116327691,1.463477833996876
static,bert-base-multilingual-cased,hr,15,sum,cosine,0.6866030656658917,1.5350237500097137
static,bert-base-multilingual-cased,hr,16,sum,cosine,0.7232947115985432,1.4635161659971343
static,bert-base-multilingual-cased,hr,17,sum,cosine,0.7333212678103197,1.4661072089947993
static,bert-base-multilingual-cased,hr,18,sum,cosine,0.7530328579561439,1.471966249999241
static,bert-base-multilingual-cased,hr,19,sum,cosine,0.7836448553681327,1.4836909999867205
static,bert-base-multilingual-cased,hr,20,sum,cosine,0.791175710882985,1.4648187499988126
static,bert-base-multilingual-cased,hr,21,sum,cosine,0.7608858017363466,1.491968749993248
static,bert-base-multilingual-cased,hr,22,sum,cosine,0.7632566854200079,1.4779785410064503
static,bert-base-multilingual-cased,hr,23,sum,cosine,0.8019575109083847,1.4984848750027595
static,bert-base-multilingual-cased,hr,24,sum,cosine,0.8162520261063166,1.4745497919939226
static,bert-base-multilingual-cased,hr,25,sum,cosine,0.8164446289285826,4.595105125001282
static,bert-base-multilingual-cased,hr,26,sum,cosine,0.8286337768124131,1.4700336669920944
static,bert-base-multilingual-cased,hr,27,sum,cosine,0.8363534632147535,1.5236887499922886
static,bert-base-multilingual-cased,hr,28,sum,cosine,0.8393850528519895,1.5336457079974934
static,bert-base-multilingual-cased,hr,29,sum,cosine,0.8394367983947076,1.4727730419981526
static,bert-base-multilingual-cased,hr,30,sum,cosine,0.8426574985640443,1.567693250006414
static,bert-base-multilingual-cased,hr,31,sum,cosine,0.8460248243353904,1.4893636250053532
static,bert-base-multilingual-cased,hr,32,sum,cosine,0.8427046858556346,1.472372791991802
static,bert-base-multilingual-cased,hr,33,sum,cosine,0.838168728782585,1.468527125005494
static,bert-base-multilingual-cased,hr,34,sum,cosine,0.843550631637791,1.4692285419878317
static,bert-base-multilingual-cased,hr,35,sum,cosine,0.836060505537957,1.48965083299845
static,bert-base-multilingual-cased,hr,36,sum,cosine,0.8283401460155789,1.485997083989787
static,bert-base-multilingual-cased,hr,37,sum,cosine,0.8277104788246649,1.7277371250092983
static,bert-base-multilingual-cased,hr,38,sum,cosine,0.8309820439388218,1.480567708000308
static,bert-base-multilingual-cased,hr,39,sum,cosine,0.83483311008732,1.5194996249920223
static,bert-base-multilingual-cased,hr,40,sum,cosine,0.8313768496089958,1.5581587920023594
static,bert-base-multilingual-cased,hr,41,sum,cosine,0.8367888089469953,1.4567944159934996
static,bert-base-multilingual-cased,hr,42,sum,cosine,0.8448328493479781,1.5923569170117844
static,bert-base-multilingual-cased,hr,43,sum,cosine,0.8503924168941699,1.462866458998178
static,bert-base-multilingual-cased,hr,44,sum,cosine,0.8525084353316522,1.459153875010088
static,bert-base-multilingual-cased,hr,45,sum,cosine,0.8614957562533235,1.5978995420009596
static,bert-base-multilingual-cased,hr,46,sum,cosine,0.8660964885757735,1.514637624990428
static,bert-base-multilingual-cased,hr,47,sum,cosine,0.8698097332143716,1.4746781669964548
static,bert-base-multilingual-cased,hr,48,sum,cosine,0.8729382426252685,1.483172000007471
static,bert-base-multilingual-cased,hr,49,sum,cosine,0.8707551360147987,1.4744472919992404
static,bert-base-multilingual-cased,hr,50,sum,cosine,0.8711770674973448,1.59039270899666
static,bert-base-multilingual-uncased,hr,0,sum,cosine,-0.0498954033720924,2.030503415997373
static,bert-base-multilingual-uncased,hr,1,sum,cosine,-0.2347784228646798,1.3620040840032743
static,bert-base-multilingual-uncased,hr,2,sum,cosine,-0.5271749704504631,1.4107317919988418
static,bert-base-multilingual-uncased,hr,3,sum,cosine,-0.0256718974220528,1.3868431249866262
static,bert-base-multilingual-uncased,hr,4,sum,cosine,-0.2558436998659625,1.426927666994743
static,bert-base-multilingual-uncased,hr,5,sum,cosine,0.2578318887187683,1.4392245829949388
static,bert-base-multilingual-uncased,hr,6,sum,cosine,0.1197738438331753,1.4313054170052055
static,bert-base-multilingual-uncased,hr,7,sum,cosine,-0.0851292014283988,1.368890249999822
static,bert-base-multilingual-uncased,hr,8,sum,cosine,-0.3303512669779067,1.7109074579930166
static,bert-base-multilingual-uncased,hr,9,sum,cosine,-0.1003114829549094,1.59027737499855
static,bert-base-multilingual-uncased,hr,10,sum,cosine,0.0711580183957618,1.3618772909976542
static,bert-base-multilingual-uncased,hr,11,sum,cosine,0.1724525209078765,1.481534125006874
static,bert-base-multilingual-uncased,hr,12,sum,cosine,0.3344811758940218,1.359981500005233
static,bert-base-multilingual-uncased,hr,13,sum,cosine,0.5182515581017273,1.434594417005428
static,bert-base-multilingual-uncased,hr,14,sum,cosine,0.5373686453506391,1.366438625002047
static,bert-base-multilingual-uncased,hr,15,sum,cosine,0.5812062281815993,1.4611255420022644
static,bert-base-multilingual-uncased,hr,16,sum,cosine,0.6121987077347123,1.46699008300493
static,bert-base-multilingual-uncased,hr,17,sum,cosine,0.716552573753415,1.3772537089971593
static,bert-base-multilingual-uncased,hr,18,sum,cosine,0.7358029656210245,1.4492137920024106
static,bert-base-multilingual-uncased,hr,19,sum,cosine,0.7963993001843903,1.3632534579955973
static,bert-base-multilingual-uncased,hr,20,sum,cosine,0.7916335482191167,1.3733560830005445
static,bert-base-multilingual-uncased,hr,21,sum,cosine,0.8130597752119593,1.3551236250059446
static,bert-base-multilingual-uncased,hr,22,sum,cosine,0.8069206212750278,1.3582878329907544
static,bert-base-multilingual-uncased,hr,23,sum,cosine,0.7984909440115197,1.4419976250064792
static,bert-base-multilingual-uncased,hr,24,sum,cosine,0.8125701611442957,1.3725865000014892
static,bert-base-multilingual-uncased,hr,25,sum,cosine,0.7949747730154685,1.4067059999943012
static,bert-base-multilingual-uncased,hr,26,sum,cosine,0.7874494999470649,1.4725520419888198
static,bert-base-multilingual-uncased,hr,27,sum,cosine,0.780714970528015,1.3726035419967957
static,bert-base-multilingual-uncased,hr,28,sum,cosine,0.7806778956223953,1.3822206670010928
static,bert-base-multilingual-uncased,hr,29,sum,cosine,0.7773382461073095,1.3687027500127442
static,bert-base-multilingual-uncased,hr,30,sum,cosine,0.7667391510412148,1.348308249987895
static,bert-base-multilingual-uncased,hr,31,sum,cosine,0.7600988346260669,1.360424458005582
static,bert-base-multilingual-uncased,hr,32,sum,cosine,0.7501784766591356,1.3741268749872688
static,bert-base-multilingual-uncased,hr,33,sum,cosine,0.7638077974087661,1.3526053329987917
static,bert-base-multilingual-uncased,hr,34,sum,cosine,0.7594062717768869,1.3644755000132136
static,bert-base-multilingual-uncased,hr,35,sum,cosine,0.7504757511491813,1.3598063749959692
static,bert-base-multilingual-uncased,hr,36,sum,cosine,0.7552187125796558,1.3586079169908771
static,bert-base-multilingual-uncased,hr,37,sum,cosine,0.7525292048138154,1.3725013329967624
static,bert-base-multilingual-uncased,hr,38,sum,cosine,0.7590818617021959,1.4510773749934742
static,bert-base-multilingual-uncased,hr,39,sum,cosine,0.788335762207866,1.4801930410030764
static,bert-base-multilingual-uncased,hr,40,sum,cosine,0.8031100283345064,1.4653277500037802
