model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,sl,0,concat,cosine,0.6044682654831222,1.5449302500055635
static,bert-base-multilingual-cased,sl,1,concat,cosine,0.7849488478857863,1.7207109589944594
static,bert-base-multilingual-cased,sl,2,concat,cosine,0.7750958773715425,1.481491583006573
static,bert-base-multilingual-cased,sl,3,concat,cosine,0.6697981079940069,1.565150916998391
static,bert-base-multilingual-cased,sl,4,concat,cosine,0.3388678523795116,1.4702050000050804
static,bert-base-multilingual-cased,sl,5,concat,cosine,0.1319254464915211,1.471954167005606
static,bert-base-multilingual-cased,sl,6,concat,cosine,0.4308713180010923,1.4590219170058845
static,bert-base-multilingual-cased,sl,7,concat,cosine,0.6515897299505725,1.4850906659994507
static,bert-base-multilingual-cased,sl,8,concat,cosine,0.8460902279300051,1.4742713750019902
static,bert-base-multilingual-cased,sl,9,concat,cosine,0.8810932368802371,1.550101457993151
static,bert-base-multilingual-cased,sl,10,concat,cosine,0.0101944426033037,1.4785153749980964
static,bert-base-multilingual-cased,sl,11,concat,cosine,0.7208137400751484,1.5180662500060862
static,bert-base-multilingual-cased,sl,12,concat,cosine,0.7309151812805353,1.4744188750046303
static,bert-base-multilingual-cased,sl,13,concat,cosine,-0.0350284242472038,1.606554291996872
static,bert-base-multilingual-cased,sl,14,concat,cosine,0.3055925056106493,1.5211751669994555
static,bert-base-multilingual-cased,sl,15,concat,cosine,0.0100286017354861,1.4653695829911155
static,bert-base-multilingual-cased,sl,16,concat,cosine,-0.7955535320140315,1.5056308330094907
static,bert-base-multilingual-cased,sl,17,concat,cosine,-0.2906738464042486,1.4684570420067755
static,bert-base-multilingual-cased,sl,18,concat,cosine,-0.6183087753500778,1.4747267499915324
static,bert-base-multilingual-cased,sl,19,concat,cosine,0.0190737481325862,1.489402124992921
static,bert-base-multilingual-cased,sl,20,concat,cosine,-0.2422001498082251,1.4780038750031963
static,bert-base-multilingual-cased,sl,21,concat,cosine,0.8049253238066391,1.4708049590117298
static,bert-base-multilingual-cased,sl,22,concat,cosine,0.336875525312324,1.4774695829983102
