model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,sl,0,prod,cosine,0.6044682654831222,1.5112556660023984
static,bert-base-multilingual-cased,sl,1,prod,cosine,0.155992365890075,1.581793083998491
static,bert-base-multilingual-cased,sl,2,prod,cosine,0.3287907463077394,1.522923416006961
static,bert-base-multilingual-cased,sl,3,prod,cosine,-0.3979281593524475,1.5002515410014894
static,bert-base-multilingual-cased,sl,4,prod,cosine,0.3667563375140281,1.481495708998409
static,bert-base-multilingual-cased,sl,5,prod,cosine,-0.86958720435156,1.5456847079913132
static,bert-base-multilingual-cased,sl,6,prod,cosine,0.0,1.4942692920012632
static,bert-base-multilingual-cased,sl,7,prod,cosine,0.0,1.5240428329998394
static,bert-base-multilingual-cased,sl,8,prod,cosine,0.0,1.514934083999833
static,bert-base-multilingual-cased,sl,9,prod,cosine,0.3369406062655105,1.4647603339981288
static,bert-base-multilingual-cased,sl,10,prod,cosine,0.3369406062655105,1.561209166990011
static,bert-base-multilingual-cased,sl,11,prod,cosine,0.2894316919143498,1.5421847910038196
static,bert-base-multilingual-cased,sl,12,prod,cosine,0.2894316919143498,1.460127166006714
static,bert-base-multilingual-cased,sl,13,prod,cosine,-0.8698012261824628,1.48830004199408
static,bert-base-multilingual-cased,sl,14,prod,cosine,0.0,1.506256499997107
static,bert-base-multilingual-cased,sl,15,prod,cosine,0.0,1.543300208999426
static,bert-base-multilingual-cased,sl,16,prod,cosine,0.0,1.4725614589988254
static,bert-base-multilingual-cased,sl,17,prod,cosine,0.0,1.4607156669953838
static,bert-base-multilingual-cased,sl,18,prod,cosine,0.0,1.4745994159893598
static,bert-base-multilingual-cased,sl,19,prod,cosine,0.0,1.4677231250097975
static,bert-base-multilingual-cased,sl,20,prod,cosine,0.0,1.5026223750028294
static,bert-base-multilingual-cased,sl,21,prod,cosine,0.0,1.528403292002622
static,bert-base-multilingual-cased,sl,22,prod,cosine,0.0,1.4916381669900147
static,bert-base-multilingual-cased,sl,23,prod,cosine,0.0,1.5484854590031318
static,bert-base-multilingual-cased,sl,24,prod,cosine,0.0,1.464482625000528
static,bert-base-multilingual-cased,sl,25,prod,cosine,0.0,1.483382292004535
static,bert-base-multilingual-cased,sl,26,prod,cosine,0.0,1.660904832999222
static,bert-base-multilingual-cased,sl,27,prod,cosine,0.0,1.4754406249994645
static,bert-base-multilingual-cased,sl,28,prod,cosine,0.0,1.5783660409942968
static,bert-base-multilingual-cased,sl,29,prod,cosine,0.0,1.4515951249923091
static,bert-base-multilingual-cased,sl,30,prod,cosine,0.0,1.4874828750034794
static,bert-base-multilingual-cased,sl,31,prod,cosine,0.0,1.480148000002373
static,bert-base-multilingual-cased,sl,32,prod,cosine,0.0,1.4946609159960644
static,bert-base-multilingual-cased,sl,33,prod,cosine,0.0,1.5519097500073258
static,bert-base-multilingual-cased,sl,34,prod,cosine,0.0,1.4614761249977164
static,bert-base-multilingual-cased,sl,35,prod,cosine,0.0,1.5823857500072336
static,bert-base-multilingual-cased,sl,36,prod,cosine,0.0,1.6934130000008736
static,bert-base-multilingual-cased,sl,37,prod,cosine,0.0,1.4461607080011163
static,bert-base-multilingual-cased,sl,38,prod,cosine,0.0,1.5407596660079437
static,bert-base-multilingual-cased,sl,39,prod,cosine,0.0,1.4635630830016453
static,bert-base-multilingual-cased,sl,40,prod,cosine,0.0,1.452483792003477
static,bert-base-multilingual-cased,sl,41,prod,cosine,0.0,1.4848393340071198
static,bert-base-multilingual-cased,sl,42,prod,cosine,0.0,1.626285624995944
static,bert-base-multilingual-cased,sl,43,prod,cosine,0.0,1.4508099999948172
static,bert-base-multilingual-cased,sl,44,prod,cosine,0.0,1.4771160000091186
static,bert-base-multilingual-cased,sl,45,prod,cosine,0.0,1.458906540996395
static,bert-base-multilingual-cased,sl,46,prod,cosine,0.0,1.530376915994566
static,bert-base-multilingual-cased,sl,47,prod,cosine,0.0,1.4553573330049403
static,bert-base-multilingual-cased,sl,48,prod,cosine,0.0,1.4875682499987306
static,bert-base-multilingual-cased,sl,49,prod,cosine,0.0,1.5103322499926437
static,bert-base-multilingual-cased,sl,50,prod,cosine,0.0,1.453123790997779
static,bert-base-multilingual-uncased,sl,0,prod,cosine,0.1405153145721031,1.5511585830099648
static,bert-base-multilingual-uncased,sl,1,prod,cosine,0.4731062918996993,1.464028334012255
static,bert-base-multilingual-uncased,sl,2,prod,cosine,0.6066068621054792,1.3516881249961443
static,bert-base-multilingual-uncased,sl,3,prod,cosine,-0.6672693158100214,1.3690096670034109
static,bert-base-multilingual-uncased,sl,4,prod,cosine,0.0080076478587181,1.4258081250009127
