model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,sl,0,sum,cosine,0.6044682654831222,2.050580625000294
static,bert-base-multilingual-cased,sl,1,sum,cosine,0.3749201514510902,1.4881046660011634
static,bert-base-multilingual-cased,sl,2,sum,cosine,-0.139557052105584,1.5059221249975965
static,bert-base-multilingual-cased,sl,3,sum,cosine,0.0294407373060099,1.4614230830047743
static,bert-base-multilingual-cased,sl,4,sum,cosine,0.1468805349057337,1.4898568329954287
static,bert-base-multilingual-cased,sl,5,sum,cosine,0.1191070825375754,1.4751963750022696
static,bert-base-multilingual-cased,sl,6,sum,cosine,0.1304188653807934,1.5067790829925798
static,bert-base-multilingual-cased,sl,7,sum,cosine,0.181628511222109,1.542280124995159
static,bert-base-multilingual-cased,sl,8,sum,cosine,0.309079204998104,1.479069459004677
static,bert-base-multilingual-cased,sl,9,sum,cosine,0.3175388334817797,1.494426792007289
static,bert-base-multilingual-cased,sl,10,sum,cosine,0.2959014133304436,1.5634681250085125
static,bert-base-multilingual-cased,sl,11,sum,cosine,0.3745964860125663,1.547249582989025
static,bert-base-multilingual-cased,sl,12,sum,cosine,0.3121087236639396,1.6069708750001157
static,bert-base-multilingual-cased,sl,13,sum,cosine,0.4374653306005351,1.600386999998591
static,bert-base-multilingual-cased,sl,14,sum,cosine,0.4572614597525619,1.5175437500001865
static,bert-base-multilingual-cased,sl,15,sum,cosine,0.38987579431599,1.46820299999672
static,bert-base-multilingual-cased,sl,16,sum,cosine,0.4413285372547004,1.4684374170028605
static,bert-base-multilingual-cased,sl,17,sum,cosine,0.5496816543100723,3.4364332079858286
static,bert-base-multilingual-cased,sl,18,sum,cosine,0.6558433325289555,1.4804229579895036
static,bert-base-multilingual-cased,sl,19,sum,cosine,0.7609396890204403,1.5453979589947269
static,bert-base-multilingual-cased,sl,20,sum,cosine,0.8053405167813938,1.459384833011427
static,bert-base-multilingual-cased,sl,21,sum,cosine,0.8416212436664248,1.4976569170103176
static,bert-base-multilingual-cased,sl,22,sum,cosine,0.8568811310931177,1.4650647500093328
static,bert-base-multilingual-cased,sl,23,sum,cosine,0.8292215579271199,1.4719831669935957
static,bert-base-multilingual-cased,sl,24,sum,cosine,0.8373365182737782,1.461148583010072
static,bert-base-multilingual-cased,sl,25,sum,cosine,0.8042472160969613,1.4919188329949975
static,bert-base-multilingual-cased,sl,26,sum,cosine,0.8213476582235522,1.5033928749908227
static,bert-base-multilingual-cased,sl,27,sum,cosine,0.8267563485644948,1.5237473330053035
static,bert-base-multilingual-cased,sl,28,sum,cosine,0.81251560568512,1.4687653330038302
static,bert-base-multilingual-cased,sl,29,sum,cosine,0.8027605901108201,1.4552066670003114
static,bert-base-multilingual-cased,sl,30,sum,cosine,0.8134009478642774,1.5078835830063326
static,bert-base-multilingual-cased,sl,31,sum,cosine,0.8054041222958774,1.6965976250066888
static,bert-base-multilingual-cased,sl,32,sum,cosine,0.718771053744434,1.4785392079938902
static,bert-base-multilingual-cased,sl,33,sum,cosine,0.7233983101022252,1.4820952500012936
static,bert-base-multilingual-cased,sl,34,sum,cosine,0.6463889536000615,1.47498091700254
static,bert-base-multilingual-cased,sl,35,sum,cosine,0.5787811879715105,1.4674125839956105
static,bert-base-multilingual-cased,sl,36,sum,cosine,0.5428649528115689,1.452596167000593
static,bert-base-multilingual-cased,sl,37,sum,cosine,0.491172889861198,1.5382613750116434
static,bert-base-multilingual-cased,sl,38,sum,cosine,0.4552318496450629,1.462436333997175
static,bert-base-multilingual-cased,sl,39,sum,cosine,0.4272702819330087,1.468352292009513
static,bert-base-multilingual-cased,sl,40,sum,cosine,0.4183299462751075,1.6882337910064962
static,bert-base-multilingual-cased,sl,41,sum,cosine,0.4037500170656078,1.5012201250065118
static,bert-base-multilingual-cased,sl,42,sum,cosine,0.3652545068851766,1.660530084001948
static,bert-base-multilingual-cased,sl,43,sum,cosine,0.3744717505667707,1.5290320000058273
static,bert-base-multilingual-cased,sl,44,sum,cosine,0.3179808479325834,1.45054354101012
static,bert-base-multilingual-cased,sl,45,sum,cosine,0.2860469297559407,1.7335079999902518
static,bert-base-multilingual-cased,sl,46,sum,cosine,0.2228151887770337,1.508218124989071
static,bert-base-multilingual-cased,sl,47,sum,cosine,0.1716662124382934,1.44974754100258
static,bert-base-multilingual-cased,sl,48,sum,cosine,0.1169853209763506,1.478703333006706
static,bert-base-multilingual-cased,sl,49,sum,cosine,0.1373324425237005,1.4654411660012556
static,bert-base-multilingual-cased,sl,50,sum,cosine,0.1148878016062231,1.4487540409900248
static,bert-base-multilingual-uncased,sl,0,sum,cosine,0.1405153145721031,2.0039095409883885
static,bert-base-multilingual-uncased,sl,1,sum,cosine,-0.0273489246418179,1.3680468749953434
static,bert-base-multilingual-uncased,sl,2,sum,cosine,-0.1048556946568539,1.3632509999879403
static,bert-base-multilingual-uncased,sl,3,sum,cosine,0.3953385586619047,1.4064199999993434
static,bert-base-multilingual-uncased,sl,4,sum,cosine,0.5470853992707256,1.537469292001333
static,bert-base-multilingual-uncased,sl,5,sum,cosine,0.3549401845522195,1.3606086670042714
static,bert-base-multilingual-uncased,sl,6,sum,cosine,0.1474269789762138,1.3949762499978533
static,bert-base-multilingual-uncased,sl,7,sum,cosine,-0.0661458216711465,1.4084808339976007
static,bert-base-multilingual-uncased,sl,8,sum,cosine,-0.0874895425461772,1.3563907079951605
