model_name,context_window_operation,context_window_size,similarity_measure,score,time,time_per
EMBEDDIA/crosloengual-bert,sum,20,cosine,0.566528104666586,1.2478902080001717,0.051995425333340485
TurkuNLP/bert-base-finnish-uncased-v1,none,0,cosine,0.564486163624809,1.261591167000006,0.05256629862500025
TurkuNLP/bert-large-finnish-cased-v1,none,0,cosine,0.5003613243252019,2.471585209001205,0.10298271704171687
EMBEDDIA/crosloengual-bert,sum,50,cosine,0.4827757374281779,1.1358517499975278,0.047327156249896994
EMBEDDIA/crosloengual-bert,sum,10,cosine,0.47682564976720665,1.1347777920018416,0.047282408000076735
TurkuNLP/bert-base-finnish-cased-v1,none,0,cosine,0.45223340727702377,1.4164275830007682,0.05901781595836534
TurkuNLP/bert-base-finnish-uncased-v1,sum,1,cosine,0.44946547149239835,1.1416554580027878,0.04756897741678282
EMBEDDIA/crosloengual-bert,none,0,cosine,0.4370668293611797,1.2083193750004284,0.05034664062501785
EMBEDDIA/crosloengual-bert,sum,5,cosine,0.38169017391196536,1.28608945799715,0.05358706074988125
TurkuNLP/bert-large-finnish-cased-v1,sum,1,cosine,0.35901867841701574,2.1858799590008857,0.09107833162503691
TurkuNLP/bert-base-finnish-uncased-v1,sum,20,cosine,0.34364134131983093,1.476400832998479,0.06151670137493662
TurkuNLP/bert-base-finnish-cased-v1,sum,1,cosine,0.3132101691265441,1.1365055419992132,0.047354397583300546
bert-base-multilingual-cased,sum,2,cosine,0.2991161184779507,1.5932300830027089,0.06638458679177954
bert-base-multilingual-cased,sum,100,cosine,0.2851535014920792,1.574443749999773,0.06560182291665721
bert-base-multilingual-uncased,sum,50,cosine,0.2818725678168452,1.5207999579979514,0.06336666491658131
bert-base-multilingual-cased,sum,10,cosine,0.2801515641242154,1.6044817500005593,0.0668534062500233
TurkuNLP/bert-base-finnish-cased-v1,sum,20,cosine,0.2648511048193427,1.112264374998631,0.04634434895827629
bert-base-multilingual-uncased,sum,100,cosine,0.25679849082148654,1.480918750003184,0.061704947916799334
bert-base-multilingual-cased,sum,5,cosine,0.24957151197016691,1.5659781670001394,0.06524909029167247
TurkuNLP/bert-large-finnish-cased-v1,sum,20,cosine,0.2486730600599053,2.1872335840016603,0.09113473266673584
bert-base-multilingual-uncased,none,0,cosine,0.24725731997875822,2.024107041001116,0.0843377933750465
EMBEDDIA/crosloengual-bert,sum,100,cosine,0.24166439642473891,1.1413648330017168,0.0475568680417382
bert-base-multilingual-cased,sum,50,cosine,0.23526760937189395,1.574992709000071,0.06562469620833629
bert-base-multilingual-cased,sum,20,cosine,0.22476214965618468,1.6415069160029816,0.06839612150012424
bert-base-multilingual-uncased,sum,10,cosine,0.1882454624805212,1.4719352089996391,0.061330633708318295
TurkuNLP/bert-base-finnish-uncased-v1,sum,10,cosine,0.17896389357280795,1.1467825830004585,0.047782607625019104
bert-base-multilingual-uncased,sum,20,cosine,0.1757331438088332,1.4636742080001568,0.060986425333339866
TurkuNLP/bert-base-finnish-uncased-v1,sum,2,cosine,0.1699304697725038,1.136404125001718,0.04735017187507159
TurkuNLP/bert-base-finnish-cased-v1,sum,2,cosine,0.1635924258686008,1.108774500000436,0.04619893750001817
TurkuNLP/bert-base-finnish-uncased-v1,sum,50,cosine,0.15241811669700767,1.138214374997915,0.04742559895824646
TurkuNLP/bert-large-finnish-cased-v1,sum,2,cosine,0.15035862416547752,2.179883124998014,0.09082846354158391
bert-base-multilingual-cased,sum,1,cosine,0.1469981013928433,1.5716436670008989,0.06548515279170412
TurkuNLP/bert-large-finnish-cased-v1,sum,50,cosine,0.1330161602369826,2.201015541999368,0.09170898091664033
bert-base-multilingual-cased,none,0,cosine,0.11712599706703997,2.100510000000213,0.08752125000000888
TurkuNLP/bert-base-finnish-cased-v1,sum,50,cosine,0.11196925222594345,1.330166540999926,0.055423605874996916
TurkuNLP/bert-base-finnish-uncased-v1,sum,5,cosine,0.06411228894324195,1.1388430000006338,0.047451791666693076
bert-base-multilingual-uncased,sum,5,cosine,0.059353611292791375,1.5284929580011521,0.06368720658338134
TurkuNLP/bert-base-finnish-cased-v1,sum,100,cosine,0.029168292411825503,1.1157930000008491,0.04649137500003538
TurkuNLP/bert-base-finnish-uncased-v1,sum,100,cosine,0.029168292411825503,1.1815353330021026,0.04923063887508761
TurkuNLP/bert-large-finnish-cased-v1,sum,100,cosine,0.029168292411825503,2.187502790999133,0.09114594962496388
TurkuNLP/bert-base-finnish-cased-v1,sum,10,cosine,-0.013196420082615345,1.1204368750004505,0.046684869791685436
TurkuNLP/bert-large-finnish-cased-v1,sum,10,cosine,-0.03903705234642496,2.2441717090005113,0.09350715454168797
EMBEDDIA/crosloengual-bert,sum,1,cosine,-0.03990680218139442,1.1272190419986146,0.046967460083275604
TurkuNLP/bert-base-finnish-cased-v1,sum,5,cosine,-0.07222596744006848,1.1296350000011444,0.04706812500004768
TurkuNLP/bert-large-finnish-cased-v1,sum,5,cosine,-0.08377553069280386,2.231200333000743,0.09296668054169761
bert-base-multilingual-uncased,sum,2,cosine,-0.14671590059178063,1.4896649580005032,0.062069373250020966
bert-base-multilingual-uncased,sum,1,cosine,-0.1587082729280771,1.460558292001224,0.06085659550005099
EMBEDDIA/crosloengual-bert,sum,2,cosine,-0.1673209198001604,1.1210676250011602,0.046711151041715006
