score,time,context_window_size,context_window_operation,similarity_measure,model_name
0.6926327131405697,29.661154124998575,5,mean,cosine,EMBEDDIA/crosloengual-bert
0.692632696822082,29.86619179199988,5,sum,cosine,EMBEDDIA/crosloengual-bert
0.6856553122894548,43.346023375001096,2,sum,cosine,EMBEDDIA/crosloengual-bert
0.6856552650225396,30.779313625000214,2,mean,cosine,EMBEDDIA/crosloengual-bert
0.6513681547057277,30.062478042000293,1,sum,cosine,EMBEDDIA/crosloengual-bert
0.6513681425525195,31.012395749999996,1,mean,cosine,EMBEDDIA/crosloengual-bert
0.6140850424041199,30.25178729199979,5,mean,cosine,bert-base-multilingual-cased
0.6140850298099814,33.273500582999986,5,sum,cosine,bert-base-multilingual-cased
0.596758014623111,32.87765083399972,5,sum,cosine,bert-base-multilingual-uncased
0.5967580082716087,33.59149279200028,5,mean,cosine,bert-base-multilingual-uncased
0.594189506472811,36.96617920799963,2,sum,cosine,bert-base-multilingual-cased
0.5941894767458353,34.86478325000007,2,mean,cosine,bert-base-multilingual-cased
0.5906069618541694,30.23913787499987,10,mean,cosine,EMBEDDIA/crosloengual-bert
0.5906069397825068,30.383177832998626,10,sum,cosine,EMBEDDIA/crosloengual-bert
0.5734408097360622,31.94358720799937,20,mean,cosine,EMBEDDIA/crosloengual-bert
0.5734407737589797,40.552727124999365,20,sum,cosine,EMBEDDIA/crosloengual-bert
0.5683938590194316,31.929887375000362,1,sum,cosine,bert-base-multilingual-cased
0.5683938520000054,32.19743516699964,1,mean,cosine,bert-base-multilingual-cased
0.5659826698067205,33.1013263750001,10,sum,cosine,bert-base-multilingual-cased
0.565982655316429,31.742158459000166,10,mean,cosine,bert-base-multilingual-cased
0.5646235477608113,33.373174542000015,10,mean,cosine,bert-base-multilingual-uncased
0.5646235022640786,33.480363333999776,10,sum,cosine,bert-base-multilingual-uncased
0.5465473012923945,32.83319804199982,20,sum,cosine,bert-base-multilingual-cased
0.5465471221004624,31.40769512499992,20,mean,cosine,bert-base-multilingual-cased
0.5379796444909736,32.816272166999624,20,mean,cosine,bert-base-multilingual-uncased
0.537979641323155,31.25896350000039,20,sum,cosine,bert-base-multilingual-uncased
0.48693420454958014,29.67039354100052,20,sum,cosine,classla/bcms-bertic
