score,time,context_window_size,context_window_operation,similarity_measure,model_name
0.4570092159872121,3.0083980419999534,20,sum,cosine,bert-large-cased-whole-word-masking
0.4570092110185552,3.0643286670001544,20,mean,cosine,bert-large-cased-whole-word-masking
0.4531307099601132,2.8096018330002153,20,sum,cosine,bert-large-uncased-whole-word-masking
0.4531306828819883,2.819650249999995,20,mean,cosine,bert-large-uncased-whole-word-masking
0.44846400964363964,2.5133316249998643,20,sum,cosine,bert-base-multilingual-cased
0.4484639820882046,2.5097814999999173,20,mean,cosine,bert-base-multilingual-cased
0.4441893024495861,1.7594549579998784,20,sum,cosine,bert-base-cased
0.44418928883555675,1.7999716670001362,20,mean,cosine,bert-base-cased
0.44277170312613734,2.7030317919998197,20,mean,cosine,bert-base-multilingual-uncased
0.4427716566907789,2.6816812080001,20,sum,cosine,bert-base-multilingual-uncased
0.4318884170643764,2.1704010420003215,20,mean,cosine,bert-base-uncased
0.4318882971188637,2.092530291999992,20,sum,cosine,bert-base-uncased
0.4308554172427863,2.095638415999929,20,sum,cosine,EMBEDDIA/crosloengual-bert
0.43085536474723374,2.1390594590002365,20,mean,cosine,EMBEDDIA/crosloengual-bert
0.42250622205882604,2.5508736250003494,20,mean,cosine,bert-large-cased
0.42250620128295147,2.5815171250001185,20,sum,cosine,bert-large-cased
0.4202999566029161,2.8254507920000833,20,sum,cosine,bert-large-uncased
0.42029991920636456,2.8257271249999576,20,mean,cosine,bert-large-uncased
0.41564382725111493,2.7423454580002726,2,sum,cosine,bert-large-uncased-whole-word-masking
0.4156438218376818,2.800346959000308,2,mean,cosine,bert-large-uncased-whole-word-masking
0.41293125516116114,2.664261040999918,10,mean,cosine,bert-base-multilingual-uncased
0.4129312256391846,2.6831865000003745,10,sum,cosine,bert-base-multilingual-uncased
0.408577779975837,2.336704749999626,5,sum,cosine,bert-base-uncased
0.40857769206541095,2.133995374999813,5,mean,cosine,bert-base-uncased
0.4072413192423123,1.782486166000126,10,sum,cosine,bert-base-cased
0.4072413012260998,1.827495916999851,10,mean,cosine,bert-base-cased
0.40655965783471837,3.0414476250002735,10,mean,cosine,bert-large-cased-whole-word-masking
0.4065596534943037,2.9885519580002438,10,sum,cosine,bert-large-cased-whole-word-masking
0.40563863014327883,2.7986127499998474,10,mean,cosine,bert-large-uncased-whole-word-masking
0.4056386094465547,2.8275568750000275,10,sum,cosine,bert-large-uncased-whole-word-masking
0.4056125548582624,2.479472041000008,10,sum,cosine,bert-base-multilingual-cased
0.4056125449041179,2.4669790420002755,10,mean,cosine,bert-base-multilingual-cased
0.3901330307997184,2.7528372910001053,1,sum,cosine,bert-large-uncased-whole-word-masking
0.39013302632005087,2.850558957999965,1,mean,cosine,bert-large-uncased-whole-word-masking
0.3897471174106686,1.7642422919998353,5,sum,cosine,bert-base-cased
0.3897471046801677,1.7431391669997538,5,mean,cosine,bert-base-cased
0.3896506931200334,2.11390720899999,10,mean,cosine,bert-base-uncased
0.3896506907523396,2.052734083999894,10,sum,cosine,bert-base-uncased
0.3853192112684962,2.0641512500001227,2,mean,cosine,bert-base-uncased
0.3853191877531179,2.1374024169999757,2,sum,cosine,bert-base-uncased
0.3807685202299844,2.577863291000085,2,sum,cosine,bert-base-multilingual-uncased
0.38076851462435957,2.5970243750002737,2,mean,cosine,bert-base-multilingual-uncased
0.3750988127218564,1.7127074170002743,2,mean,cosine,bert-base-cased
0.3750987966509094,1.7491259999997055,2,sum,cosine,bert-base-cased
0.3741906439052276,2.1073538750001717,10,mean,cosine,EMBEDDIA/crosloengual-bert
0.37419061019913413,2.0728726249999454,10,sum,cosine,EMBEDDIA/crosloengual-bert
0.3735067347784804,2.9170458749999852,2,sum,cosine,bert-large-cased-whole-word-masking
0.373506729531339,2.9969691249998505,2,mean,cosine,bert-large-cased-whole-word-masking
0.3712376643525881,2.963342417000149,5,sum,cosine,bert-large-cased-whole-word-masking
0.3712376545693744,3.008923291999963,5,mean,cosine,bert-large-cased-whole-word-masking
0.37015332850110694,2.5606916249998903,10,mean,cosine,bert-large-cased
0.37015325259782705,3.05631937499993,10,sum,cosine,bert-large-cased
0.36836691526063825,2.846570165999765,10,mean,cosine,bert-large-uncased
0.36836681903099655,2.8852907499999674,10,sum,cosine,bert-large-uncased
0.36626795384680677,2.5030176249997567,2,mean,cosine,bert-base-multilingual-cased
0.3662679496728031,2.4489874169998984,2,sum,cosine,bert-base-multilingual-cased
0.3660247639734433,2.1819813329998397,50,mean,cosine,EMBEDDIA/crosloengual-bert
0.3660244642224115,2.097112499999639,50,sum,cosine,EMBEDDIA/crosloengual-bert
0.36358235178164244,2.7483227910001915,5,mean,cosine,bert-large-uncased-whole-word-masking
0.3635823460555353,2.775229708000097,5,sum,cosine,bert-large-uncased-whole-word-masking
0.36147734924426334,2.1013682079997125,5,sum,cosine,EMBEDDIA/crosloengual-bert
0.3614772786629388,2.145954209000138,5,mean,cosine,EMBEDDIA/crosloengual-bert
0.361295182971761,2.9963064170001417,1,mean,cosine,bert-large-cased-whole-word-masking
0.36129517976909,2.9762164170001597,1,sum,cosine,bert-large-cased-whole-word-masking
0.3550863008978571,2.5059753329996965,5,mean,cosine,bert-base-multilingual-cased
0.3550862756179757,2.469701584000177,5,sum,cosine,bert-base-multilingual-cased
0.3538755735416823,2.8711417089998577,5,sum,cosine,bert-large-uncased
0.35387555286095673,2.773075874999904,5,mean,cosine,bert-large-uncased
0.353826339478882,2.508335707999777,50,mean,cosine,bert-base-multilingual-cased
0.35382632700905725,2.583492041000227,50,sum,cosine,bert-base-multilingual-cased
0.3529207367275755,2.673061833000247,1,mean,cosine,bert-base-multilingual-uncased
0.35292073556735026,2.5616896669998823,1,sum,cosine,bert-base-multilingual-uncased
0.35201182929668695,2.4380027500001233,1,sum,cosine,bert-base-multilingual-cased
0.35201181911751167,2.451855292000346,1,mean,cosine,bert-base-multilingual-cased
0.35139659741779905,1.7152999589998217,1,mean,cosine,bert-base-cased
0.3513965891604607,1.7604722910000419,1,sum,cosine,bert-base-cased
0.3510045228902694,1.7584747079999943,50,mean,cosine,bert-base-cased
0.35100446434125576,1.7802314579998892,50,sum,cosine,bert-base-cased
0.3484773541784779,2.632627666999724,5,mean,cosine,bert-base-multilingual-uncased
0.34847731101229074,2.5821153749998302,5,sum,cosine,bert-base-multilingual-uncased
0.3483723481491581,2.643445083000188,50,sum,cosine,bert-base-multilingual-uncased
