score,time,context_window_size,context_window_operation,similarity_measure,model_name
0.5665284577232235,1.212661042000036,20,mean,cosine,EMBEDDIA/crosloengual-bert
0.566528104666586,1.2259778749998986,20,sum,cosine,EMBEDDIA/crosloengual-bert
0.564486163624809,1.283869500000037,0,none,cosine,TurkuNLP/bert-base-finnish-uncased-v1
0.5021825881620892,2.207321416999548,2,prod,cosine,TurkuNLP/bert-large-finnish-cased-v1
0.5003613243252019,2.4702605829997992,0,none,cosine,TurkuNLP/bert-large-finnish-cased-v1
0.49502059833273715,1.6080761659995915,50,mean,cosine,bert-large-uncased-whole-word-masking
0.4950203255630712,1.641944792000686,50,sum,cosine,bert-large-uncased-whole-word-masking
0.4950088768955725,1.6190885830001207,50,sum,cosine,bert-large-uncased
0.49500785133805647,1.686991499999749,50,mean,cosine,bert-large-uncased
0.4884295002830197,0.8734379170000466,50,sum,cosine,bert-base-uncased
0.48842929164446014,0.8770032499996887,50,mean,cosine,bert-base-uncased
0.4827789258801576,1.2069957080002496,50,mean,cosine,EMBEDDIA/crosloengual-bert
0.4827757374281779,1.1544255000003432,50,sum,cosine,EMBEDDIA/crosloengual-bert
0.47682564976720665,1.1476637499999924,10,sum,cosine,EMBEDDIA/crosloengual-bert
0.4768256484171639,1.6600904580000133,10,mean,cosine,EMBEDDIA/crosloengual-bert
0.45223340727702377,1.2445499579998796,0,none,cosine,TurkuNLP/bert-base-finnish-cased-v1
0.44946547149239835,1.144300375000057,1,sum,cosine,TurkuNLP/bert-base-finnish-uncased-v1
0.449465412020179,1.1617067499992118,1,mean,cosine,TurkuNLP/bert-base-finnish-uncased-v1
0.4370668293611797,1.2306527499999902,0,none,cosine,EMBEDDIA/crosloengual-bert
0.42360644064942776,0.8658926660000361,50,sum,cosine,bert-base-cased
0.42360643663962616,0.8638080410000839,50,mean,cosine,bert-base-cased
0.417589040037317,1.9999133330002223,50,mean,cosine,bert-large-cased-whole-word-masking
0.4175887802100622,2.0516465419996166,50,sum,cosine,bert-large-cased-whole-word-masking
0.41432380766173593,1.5915018749997216,2,prod,cosine,bert-base-multilingual-cased
0.4032577644011295,1.6167096250001123,50,mean,cosine,bert-large-cased
0.4032571271385027,1.6469539159998021,50,sum,cosine,bert-large-cased
0.38169017391196536,1.1731366660001186,5,sum,cosine,EMBEDDIA/crosloengual-bert
0.38168974652020105,1.1594453749999047,5,mean,cosine,EMBEDDIA/crosloengual-bert
0.3590187075439968,2.22815804199945,1,mean,cosine,TurkuNLP/bert-large-finnish-cased-v1
0.35901867841701574,2.228808083000331,1,sum,cosine,TurkuNLP/bert-large-finnish-cased-v1
0.3451741637098653,1.6442597909999677,1,prod,cosine,bert-large-uncased
0.3436414474804086,1.1386005829999704,20,mean,cosine,TurkuNLP/bert-base-finnish-uncased-v1
0.34364134131983093,1.1482002500006274,20,sum,cosine,TurkuNLP/bert-base-finnish-uncased-v1
0.31321017467353096,1.1581389999992098,1,mean,cosine,TurkuNLP/bert-base-finnish-cased-v1
0.3132101691265441,1.3072344160000284,1,sum,cosine,TurkuNLP/bert-base-finnish-cased-v1
0.3115306348354262,1.640138165999815,20,sum,cosine,bert-large-uncased
0.3115304961695562,1.593045458999768,20,mean,cosine,bert-large-uncased
0.30456437228330846,1.6087917080003535,20,sum,cosine,bert-large-uncased-whole-word-masking
0.3045642827578461,1.5981796250007392,20,mean,cosine,bert-large-uncased-whole-word-masking
0.3020855996179781,0.8541472500000964,1,sum,cosine,bert-base-uncased
0.30208546494480315,0.8589449589999276,1,mean,cosine,bert-base-uncased
0.2991161598536247,1.5469581659999676,2,mean,cosine,bert-base-multilingual-cased
0.2991161184779507,1.5387867919998826,2,sum,cosine,bert-base-multilingual-cased
0.2919697792997944,0.825966666000113,20,mean,cosine,bert-base-cased
0.2919693112167424,0.8308626250000088,20,sum,cosine,bert-base-cased
0.28187267498293556,1.6780184579997695,50,mean,cosine,bert-base-multilingual-uncased
0.2818725678168452,1.5377022920001764,50,sum,cosine,bert-base-multilingual-uncased
0.2801515641242154,1.670116957999653,10,sum,cosine,bert-base-multilingual-cased
0.2801515328525608,1.5438622920000853,10,mean,cosine,bert-base-multilingual-cased
0.27475084966009167,1.66788195800018,20,mean,cosine,bert-large-cased
0.27475060089670245,1.6543278750000354,20,sum,cosine,bert-large-cased
0.26568950806396907,1.6140427919999638,5,sum,cosine,bert-large-uncased
0.2656893076054172,1.681497790999856,5,mean,cosine,bert-large-uncased
0.2648511048193427,1.1487693330000184,20,sum,cosine,TurkuNLP/bert-base-finnish-cased-v1
0.2648509729350108,1.1476628750006057,20,mean,cosine,TurkuNLP/bert-base-finnish-cased-v1
0.25297895692360695,1.577134874999956,10,mean,cosine,bert-large-uncased
0.2529786286019732,1.639398791999156,10,sum,cosine,bert-large-uncased
0.24957151197016691,1.5622629169997708,5,sum,cosine,bert-base-multilingual-cased
0.24957150212196377,1.5246487920003347,5,mean,cosine,bert-base-multilingual-cased
0.24929226293280693,0.8623775000000933,20,sum,cosine,bert-base-uncased
0.24929098057679688,0.915763459000118,20,mean,cosine,bert-base-uncased
0.2486730600599053,2.202626291999877,20,sum,cosine,TurkuNLP/bert-large-finnish-cased-v1
0.2486729464456363,2.201239875000283,20,mean,cosine,TurkuNLP/bert-large-finnish-cased-v1
