score,time,context_window_size,context_window_operation,similarity_measure,model_name
0.53696063386683,1.250641416999315,20,mean,cosine,classla/bcms-bertic
0.5369605932207028,1.5573363749999771,20,sum,cosine,classla/bcms-bertic
0.5291476185861274,1.3550462920002246,20,sum,cosine,EMBEDDIA/crosloengual-bert
0.5291470927000304,1.4106339170002684,20,mean,cosine,EMBEDDIA/crosloengual-bert
0.516778571887221,1.2424194169998373,5,sum,cosine,classla/bcms-bertic
0.5167785480885564,1.2442244160001792,5,mean,cosine,classla/bcms-bertic
0.5094029851167056,1.8418828750000102,20,sum,cosine,bert-base-multilingual-uncased
0.5094029449913976,1.7977675419997468,20,mean,cosine,bert-base-multilingual-uncased
0.5000137932783694,1.783641957999862,50,sum,cosine,bert-base-multilingual-uncased
0.5000136815552376,1.792597000000569,50,mean,cosine,bert-base-multilingual-uncased
0.4844769049567301,1.83686624999973,50,mean,cosine,bert-base-multilingual-cased
0.4844767849918683,1.8320148339998923,50,sum,cosine,bert-base-multilingual-cased
0.4838444007117091,1.2448051250003118,10,mean,cosine,classla/bcms-bertic
0.48384439664373824,1.237973334000344,10,sum,cosine,classla/bcms-bertic
0.4767933878081878,1.8916532089997418,20,mean,cosine,bert-base-multilingual-cased
0.4767933649335321,1.821929208000256,20,sum,cosine,bert-base-multilingual-cased
0.4539621487986504,1.776101583000127,10,mean,cosine,bert-base-multilingual-uncased
0.45396213227581017,1.8136283329995422,10,sum,cosine,bert-base-multilingual-uncased
0.4522839071765784,1.2647594170002776,50,mean,cosine,classla/bcms-bertic
0.4522838017871813,1.2888902079994295,50,sum,cosine,classla/bcms-bertic
0.44619845314791773,1.3828289160001077,50,mean,cosine,EMBEDDIA/crosloengual-bert
0.4461970956170208,1.4139698750004754,50,sum,cosine,EMBEDDIA/crosloengual-bert
0.4211246385795375,1.3726482909996776,10,mean,cosine,EMBEDDIA/crosloengual-bert
0.4211245688338874,1.5203348329996516,10,sum,cosine,EMBEDDIA/crosloengual-bert
0.41717335272169875,1.5398652080002648,50,mean,cosine,TurkuNLP/bert-base-finnish-uncased-v1
0.4171732993106694,1.9214867500004402,50,sum,cosine,TurkuNLP/bert-base-finnish-uncased-v1
0.40686871598444985,1.393394083000203,0,none,cosine,classla/bcms-bertic
0.39422167321096224,1.2123618329997043,10,sum,cosine,bert-base-uncased
0.39422111957887784,1.2408470410000518,10,mean,cosine,bert-base-uncased
0.3926896484976523,2.3864963749992967,50,sum,cosine,bert-large-cased-whole-word-masking
0.3926896365321173,2.4383847090002746,50,mean,cosine,bert-large-cased-whole-word-masking
0.38710469335281905,1.8125990000007732,10,mean,cosine,bert-base-multilingual-cased
0.38710462059566964,1.812575707999713,10,sum,cosine,bert-base-multilingual-cased
0.3858406067798378,2.0019447909999144,50,mean,cosine,bert-large-uncased-whole-word-masking
0.3858405903322275,2.040494292000403,50,sum,cosine,bert-large-uncased-whole-word-masking
0.38531270938371187,1.2448117499998261,1,sum,cosine,classla/bcms-bertic
0.38531270461814393,1.287406166999972,1,mean,cosine,classla/bcms-bertic
0.38109765685336483,1.4225447079998048,5,sum,cosine,EMBEDDIA/crosloengual-bert
0.3810975571084192,1.3900625420001234,5,mean,cosine,EMBEDDIA/crosloengual-bert
0.37023738338595136,1.3536175409999487,50,mean,cosine,bert-base-uncased
0.3702364381080552,1.2108535420002227,50,sum,cosine,bert-base-uncased
0.3694084641534656,1.214035208000496,50,mean,cosine,bert-base-cased
0.36940844561529906,1.2000978340001893,50,sum,cosine,bert-base-cased
0.36923399393221434,2.0477405840001666,10,sum,cosine,bert-large-uncased
0.36923388015112746,1.95334129100047,10,mean,cosine,bert-large-uncased
0.366921841835399,1.2370149160005894,5,mean,cosine,bert-base-uncased
0.3669217311337274,1.2210282080004617,5,sum,cosine,bert-base-uncased
0.36681300440834685,1.9198664579998876,50,mean,cosine,bert-large-cased
0.36681264366645194,1.9620732909997969,50,sum,cosine,bert-large-cased
0.36169196200780485,2.0281820000000153,50,mean,cosine,bert-large-uncased
0.36169163071536126,2.040321832999325,50,sum,cosine,bert-large-uncased
0.36076251377614665,1.5355714159995841,20,sum,cosine,TurkuNLP/bert-base-finnish-uncased-v1
0.3607624963846765,1.5257289589999345,20,mean,cosine,TurkuNLP/bert-base-finnish-uncased-v1
0.36057902028650823,2.0674070830000346,5,mean,cosine,bert-large-uncased
0.3605790155389822,2.040772874999675,5,sum,cosine,bert-large-uncased
0.3570197540954896,1.1573384579996855,5,sum,cosine,bert-base-cased
0.3570196798137599,1.3460504590002529,5,mean,cosine,bert-base-cased
0.35330483652600475,1.2455297080005039,2,mean,cosine,classla/bcms-bertic
0.35330482678049224,1.2408777079999709,2,sum,cosine,classla/bcms-bertic
0.3518756599739563,2.3541377910005394,5,sum,cosine,bert-large-cased-whole-word-masking
0.3518756215890658,2.3575100830003066,5,mean,cosine,bert-large-cased-whole-word-masking
0.34688824238602867,1.9321343330002492,10,sum,cosine,bert-large-uncased-whole-word-masking
0.34688823465922525,2.007792624999638,10,mean,cosine,bert-large-uncased-whole-word-masking
0.3410032574944153,1.2113174169999184,20,sum,cosine,bert-base-uncased
0.3410023762953738,1.2680674590001217,20,mean,cosine,bert-base-uncased
0.3345787149062419,1.9936312500003623,5,sum,cosine,bert-large-cased
0.33457848986947847,1.9274924999999712,5,mean,cosine,bert-large-cased
0.324257105445956,1.932211833999645,5,sum,cosine,bert-large-uncased-whole-word-masking
0.3242570917749037,2.0432218339992687,5,mean,cosine,bert-large-uncased-whole-word-masking
0.32198325670960903,1.9801854999996067,20,mean,cosine,bert-large-uncased-whole-word-masking
0.32198321837102406,1.9840754580000066,20,sum,cosine,bert-large-uncased-whole-word-masking
0.3190080627923484,2.043836416999511,20,sum,cosine,bert-large-uncased
0.31900806182814745,2.0167507920004937,20,mean,cosine,bert-large-uncased
0.31748158698499185,2.6248241250004867,1,mean,cosine,TurkuNLP/bert-large-finnish-cased-v1
0.317481583944218,2.512755875000039,1,sum,cosine,TurkuNLP/bert-large-finnish-cased-v1
0.31493057140132086,1.4518211250006061,1,sum,cosine,TurkuNLP/bert-base-finnish-cased-v1
0.31493056701857336,1.4615032920000885,1,mean,cosine,TurkuNLP/bert-base-finnish-cased-v1
0.3118389235344734,2.405497708000439,20,sum,cosine,bert-large-cased-whole-word-masking
0.3118389034680531,2.4409084170001734,20,mean,cosine,bert-large-cased-whole-word-masking
0.31117300128390624,1.5439088339999216,10,mean,cosine,TurkuNLP/bert-base-finnish-uncased-v1
0.3111729827159304,1.5409498750004786,10,sum,cosine,TurkuNLP/bert-base-finnish-uncased-v1
0.3054218547966827,1.8175041249996866,5,sum,cosine,bert-base-multilingual-uncased
0.3054218105295805,1.810244624999541,5,mean,cosine,bert-base-multilingual-uncased
0.3028975116608714,1.2412607090000165,2,sum,cosine,bert-base-uncased
0.3028974560557438,1.2363257080005496,2,mean,cosine,bert-base-uncased
0.3014884849297079,2.0116704580004807,2,sum,cosine,bert-large-uncased
0.3014884822962528,2.0160728330001803,2,mean,cosine,bert-large-uncased
0.29996482291059523,2.4296752500004004,10,sum,cosine,bert-large-cased-whole-word-masking
0.2999648035148106,2.351309291999314,10,mean,cosine,bert-large-cased-whole-word-masking
0.2994958885963279,1.1486519170002794,2,sum,cosine,bert-base-cased
0.2994958773314642,1.1440178749999177,2,mean,cosine,bert-base-cased
0.2983372787946601,1.4703738329999396,2,mean,cosine,TurkuNLP/bert-base-finnish-cased-v1
0.2983372760402335,1.673305457999959,2,sum,cosine,TurkuNLP/bert-base-finnish-cased-v1
0.28863197365085713,1.163395667000259,20,mean,cosine,bert-base-cased
0.2886317079978138,1.1972057080001832,20,sum,cosine,bert-base-cased
0.28849104765697575,1.9601586670005418,20,mean,cosine,bert-large-cased
0.28849082433491624,1.9700110840003617,20,sum,cosine,bert-large-cased
0.28392066352141343,1.9894833750004182,2,sum,cosine,bert-large-cased
0.28392066317982567,1.9710970840005757,2,mean,cosine,bert-large-cased
0.28236216050438734,2.4420764160004182,2,sum,cosine,bert-large-cased-whole-word-masking
0.28236214481973887,2.4021823330003826,2,mean,cosine,bert-large-cased-whole-word-masking
0.2817301205891316,1.944315749999987,2,mean,cosine,bert-large-uncased-whole-word-masking
0.28173011353339117,1.9445032079993325,2,sum,cosine,bert-large-uncased-whole-word-masking
0.2807918973587945,1.1565179590006665,10,mean,cosine,bert-base-cased
0.28079184485413433,1.2490390829998432,10,sum,cosine,bert-base-cased
0.27710685402163027,2.535447084000225,2,sum,cosine,TurkuNLP/bert-large-finnish-cased-v1
0.27710683772273537,2.5214393750002273,2,mean,cosine,TurkuNLP/bert-large-finnish-cased-v1
0.2769521869672116,1.5954444999997577,50,mean,cosine,TurkuNLP/bert-base-finnish-cased-v1
0.2769520379432553,1.4526939170000333,50,sum,cosine,TurkuNLP/bert-base-finnish-cased-v1
0.27270088183810604,2.019667832999403,10,sum,cosine,bert-large-cased
0.2727008610740844,1.9577256659995328,10,mean,cosine,bert-large-cased
0.27050040693425914,2.5333304590003536,50,sum,cosine,TurkuNLP/bert-large-finnish-cased-v1
0.27050031749392134,2.585488124999756,50,mean,cosine,TurkuNLP/bert-large-finnish-cased-v1
0.26133166879326497,1.3866810829995302,2,sum,cosine,EMBEDDIA/crosloengual-bert
0.2613316517801705,1.4305394579996573,2,mean,cosine,EMBEDDIA/crosloengual-bert
0.25982144294983045,1.3825062500000058,1,sum,cosine,EMBEDDIA/crosloengual-bert
0.2598214390008744,1.400042124999345,1,mean,cosine,EMBEDDIA/crosloengual-bert
0.24414897039903227,1.7926677080004083,5,mean,cosine,bert-base-multilingual-cased
0.2441489529732669,1.896901957999944,5,sum,cosine,bert-base-multilingual-cased
0.23822732161972993,1.9641980839996904,1,mean,cosine,bert-large-uncased-whole-word-masking
0.2382273161097388,2.0886320420004267,1,sum,cosine,bert-large-uncased-whole-word-masking
0.23668972633982577,1.9981160420002197,1,sum,cosine,bert-large-uncased
0.23668971831423935,2.0885482920002687,1,mean,cosine,bert-large-uncased
0.23349569880914123,1.1381412500004444,1,mean,cosine,bert-base-cased
0.23349568033419565,1.152656625000418,1,sum,cosine,bert-base-cased
