score,time,context_window_size,context_window_operation,similarity_measure,model_name
0.37910314402949274,1.3630957499999568,10,mean,cosine,EMBEDDIA/crosloengual-bert
0.37910311750246906,1.3888472500002536,10,sum,cosine,EMBEDDIA/crosloengual-bert
0.3436492587329193,1.3685876669997015,1,mean,cosine,EMBEDDIA/crosloengual-bert
0.34364920811353494,1.4009357089998957,1,sum,cosine,EMBEDDIA/crosloengual-bert
0.2985908167181942,1.791570583000066,10,sum,cosine,bert-base-multilingual-cased
0.29859078978215825,1.7749467920002644,10,mean,cosine,bert-base-multilingual-cased
0.29445876588730124,1.3749934170000415,1,prod,cosine,EMBEDDIA/crosloengual-bert
0.2907930216597504,1.750821624999844,10,sum,cosine,bert-base-multilingual-uncased
0.29079287738636883,1.743920750000143,10,mean,cosine,bert-base-multilingual-uncased
0.27188356674366854,1.7588960409993888,5,sum,cosine,bert-base-multilingual-cased
0.2718835404569002,1.7796768750004048,5,mean,cosine,bert-base-multilingual-cased
0.26744027654217206,1.7810249169997405,20,mean,cosine,bert-base-multilingual-cased
0.267440227627741,1.7868679170005635,20,sum,cosine,bert-base-multilingual-cased
0.2668157057952302,1.3872112500002913,20,sum,cosine,EMBEDDIA/crosloengual-bert
0.26681540028460404,1.402254083999651,20,mean,cosine,EMBEDDIA/crosloengual-bert
0.2589806567857479,1.366585750000013,0,none,cosine,EMBEDDIA/crosloengual-bert
0.24985162658740334,1.7519773340000029,20,mean,cosine,bert-base-multilingual-uncased
0.24985159414029767,1.7412850840000829,20,sum,cosine,bert-base-multilingual-uncased
0.22970941932589684,1.3574940840007912,2,prod,cosine,EMBEDDIA/crosloengual-bert
0.22261632707399803,1.3469657910000024,5,sum,cosine,EMBEDDIA/crosloengual-bert
0.2226162658961619,1.3702695000001768,5,mean,cosine,EMBEDDIA/crosloengual-bert
0.22024505999264965,1.7236197910006013,5,sum,cosine,bert-base-multilingual-uncased
0.22024504949282075,1.7582750000001397,5,mean,cosine,bert-base-multilingual-uncased
0.21815141445560837,2.3345953749994806,0,none,cosine,bert-base-multilingual-cased
0.20787035055923153,1.8462432079995779,2,sum,cosine,bert-base-multilingual-cased
0.20787034485747813,1.7771432499994262,2,mean,cosine,bert-base-multilingual-cased
0.14906364538513162,1.755776416000117,1,sum,cosine,bert-base-multilingual-cased
0.14906362074584179,1.8287860829996134,1,mean,cosine,bert-base-multilingual-cased
0.12365049783957249,1.3785039580006924,2,mean,cosine,EMBEDDIA/crosloengual-bert
0.123650473706018,1.3606074999997873,2,sum,cosine,EMBEDDIA/crosloengual-bert
0.12186194280247253,1.7235706250003204,2,mean,cosine,bert-base-multilingual-uncased
0.12186194041810383,1.7368609170007403,2,sum,cosine,bert-base-multilingual-uncased
0.09754063242637867,1.8917407910003021,1,prod,cosine,bert-base-multilingual-cased
0.09573298491273452,1.7330974579999747,1,sum,cosine,bert-base-multilingual-uncased
0.09573298439484068,1.776727999999821,1,mean,cosine,bert-base-multilingual-uncased
0.06287521208803959,1.7262622919997739,0,none,cosine,bert-base-multilingual-uncased
0.05503961256608325,1.78118325000014,2,prod,cosine,bert-base-multilingual-cased
0.048269872886934184,1.7479085409995605,1,prod,cosine,bert-base-multilingual-uncased
0.04667130053421409,1.7850993330002893,50,mean,cosine,bert-base-multilingual-cased
0.04667077367569061,1.8150372499994774,50,sum,cosine,bert-base-multilingual-cased
0.040920645718390936,1.3964735409999776,50,sum,cosine,EMBEDDIA/crosloengual-bert
0.04091904968648852,1.9338518330005172,50,mean,cosine,EMBEDDIA/crosloengual-bert
0.02460531213051742,1.5279567910001788,5,prod,cosine,EMBEDDIA/crosloengual-bert
0.023571395223869085,1.7665092079996612,50,sum,cosine,bert-base-multilingual-uncased
0.023571273883395305,1.731012374999409,50,mean,cosine,bert-base-multilingual-uncased
0.0,0.0,0,none,cosine,gerulata/slovakbert
0.0,0.0,1,mean,cosine,gerulata/slovakbert
0.0,0.0,2,mean,cosine,gerulata/slovakbert
0.0,0.0,5,mean,cosine,gerulata/slovakbert
0.0,0.0,10,mean,cosine,gerulata/slovakbert
0.0,0.0,20,mean,cosine,gerulata/slovakbert
0.0,0.0,50,mean,cosine,gerulata/slovakbert
0.0,0.0,1,prod,cosine,gerulata/slovakbert
0.0,0.0,2,prod,cosine,gerulata/slovakbert
0.0,0.0,5,prod,cosine,gerulata/slovakbert
0.0,0.0,1,sum,cosine,gerulata/slovakbert
0.0,0.0,2,sum,cosine,gerulata/slovakbert
0.0,0.0,5,sum,cosine,gerulata/slovakbert
0.0,0.0,10,sum,cosine,gerulata/slovakbert
0.0,0.0,20,sum,cosine,gerulata/slovakbert
0.0,0.0,50,sum,cosine,gerulata/slovakbert
-0.028716002778618632,1.8248775000001842,5,prod,cosine,bert-base-multilingual-cased
-0.1401983206697639,1.7413892089998626,5,prod,cosine,bert-base-multilingual-uncased
-0.1565207061945344,1.7190542079997613,2,prod,cosine,bert-base-multilingual-uncased
