score,time,context_window_size,context_window_operation,similarity_measure,model_name
,1.1480996249999862,20,prod,cosine,bert-base-cased
,1.1583049999999844,50,prod,cosine,bert-base-cased
0.4844769049567301,2.054795875000025,50,mean,cosine,bert-base-multilingual-cased
0.4767933878081878,1.8003014999999891,20,mean,cosine,bert-base-multilingual-cased
0.38710469335281905,1.8338497920000236,10,mean,cosine,bert-base-multilingual-cased
0.3694084641534656,1.1588681249999695,50,mean,cosine,bert-base-cased
0.36940844561529906,1.2096941670000092,50,sum,cosine,bert-base-cased
0.36681300440834685,2.0560943749999865,50,mean,cosine,bert-large-cased
0.3570197540954896,1.1423335000000066,5,sum,cosine,bert-base-cased
0.2994958885963279,1.1507724999999596,2,sum,cosine,bert-base-cased
,1.84555229099999,20,prod,cosine,bert-base-multilingual-cased
,1.8260479999999575,50,prod,cosine,bert-base-multilingual-cased
0.4844767849918683,1.8477449580000211,50,sum,cosine,bert-base-multilingual-cased
0.4767933649335321,1.827314417000025,20,sum,cosine,bert-base-multilingual-cased
0.38710462059566964,1.8960327500000176,10,sum,cosine,bert-base-multilingual-cased
0.3570196798137599,1.1440330830000107,5,mean,cosine,bert-base-cased
0.2994958773314642,1.1500470000000291,2,mean,cosine,bert-base-cased
0.2964993051327405,1.798483707999992,10,prod,cosine,bert-base-multilingual-cased
0.28863197365085713,1.1510872079999785,20,mean,cosine,bert-base-cased
0.2886317079978138,1.157751625000003,20,sum,cosine,bert-base-cased
0.2807918973587945,1.1301657089999821,10,mean,cosine,bert-base-cased
0.28079184485413433,1.134665874999996,10,sum,cosine,bert-base-cased
0.24414897039903227,1.8486357499999713,5,mean,cosine,bert-base-multilingual-cased
0.2441489529732669,1.8354997079999862,5,sum,cosine,bert-base-multilingual-cased
0.23349569880914123,1.152475666999976,1,mean,cosine,bert-base-cased
0.23349568033419565,1.1409952920000137,1,sum,cosine,bert-base-cased
0.22042500344944016,1.8156144590000167,1,mean,cosine,bert-base-multilingual-cased
0.2204249923318755,1.8060939579999626,1,sum,cosine,bert-base-multilingual-cased
0.19757678737004947,2.3091392090000227,0,none,cosine,bert-base-multilingual-cased
0.18383908105841174,1.8869764589999818,2,mean,cosine,bert-base-multilingual-cased
0.18383907570624292,1.817895832999966,2,sum,cosine,bert-base-multilingual-cased
0.1478926433749792,1.3291257500000029,0,none,cosine,bert-base-cased
0.12669698695796738,1.802560165999978,1,prod,cosine,bert-base-multilingual-cased
0.11131049784958669,1.180802583000002,1,prod,cosine,bert-base-cased
0.051391674754441286,1.1454404170000316,2,prod,cosine,bert-base-cased
-0.024967609953651992,1.1884599169999888,10,prod,cosine,bert-base-cased
-0.04918186922470613,1.151405332999957,5,prod,cosine,bert-base-cased
-0.0645173987564176,1.80172595800002,2,prod,cosine,bert-base-multilingual-cased
-0.09116378945177939,1.8285645830000021,5,prod,cosine,bert-base-multilingual-cased
,1.9356476660000226,20,prod,cosine,bert-large-cased
,2.0098999580000054,50,prod,cosine,bert-large-cased
0.36681264366645194,1.9409175000000687,50,sum,cosine,bert-large-cased
,2.3725682079999615,20,prod,cosine,bert-large-cased-whole-word-masking
,2.3426270410000143,50,prod,cosine,bert-large-cased-whole-word-masking
0.3926896484976523,2.4005118750000065,50,sum,cosine,bert-large-cased-whole-word-masking
0.3926896365321173,2.3371039160000464,50,mean,cosine,bert-large-cased-whole-word-masking
0.3518756599739563,2.3570120829999723,5,sum,cosine,bert-large-cased-whole-word-masking
0.3518756215890658,2.3563797499999737,5,mean,cosine,bert-large-cased-whole-word-masking
0.3345787149062419,1.895654334000028,5,sum,cosine,bert-large-cased
0.33457848986947847,1.9067969999999832,5,mean,cosine,bert-large-cased
0.3118389235344734,2.367623457999912,20,sum,cosine,bert-large-cased-whole-word-masking
0.3118389034680531,2.3454758750000337,20,mean,cosine,bert-large-cased-whole-word-masking
0.29996482291059523,2.372687125000084,10,sum,cosine,bert-large-cased-whole-word-masking
0.2999648035148106,2.311817875000088,10,mean,cosine,bert-large-cased-whole-word-masking
0.28849104765697575,1.9537022079999815,20,mean,cosine,bert-large-cased
0.28849082433491624,2.1016554170000745,20,sum,cosine,bert-large-cased
0.28392066352141343,1.9274464580000767,2,sum,cosine,bert-large-cased
0.28392066317982567,1.9174161660000095,2,mean,cosine,bert-large-cased
0.28236216050438734,2.400139000000081,2,sum,cosine,bert-large-cased-whole-word-masking
0.28236214481973887,2.332012875000032,2,mean,cosine,bert-large-cased-whole-word-masking
0.27270088183810604,1.8965071670000953,10,sum,cosine,bert-large-cased
0.2727008610740844,1.9380507079999916,10,mean,cosine,bert-large-cased
0.2229081017456781,2.324569290999989,1,sum,cosine,bert-large-cased-whole-word-masking
0.22290808346618718,2.405376832999991,1,mean,cosine,bert-large-cased-whole-word-masking
0.20315936451635241,1.906497542000011,1,sum,cosine,bert-large-cased
0.2031593448718071,1.9031390419999639,1,mean,cosine,bert-large-cased
0.1952083332007153,2.056439874999967,1,prod,cosine,bert-large-cased
0.14604589922076983,1.912357707999945,10,prod,cosine,bert-large-cased
0.136560587819751,2.536218374999976,0,none,cosine,bert-large-cased-whole-word-masking
0.1274254764650148,2.4066665000000285,0,none,cosine,bert-large-cased
0.12536624981609978,2.34746579199998,10,prod,cosine,bert-large-cased-whole-word-masking
0.11129402844161662,1.8846623329999943,2,prod,cosine,bert-large-cased
0.06995230102773609,2.376745916999994,1,prod,cosine,bert-large-cased-whole-word-masking
0.05878911488616667,2.6127589999999827,2,prod,cosine,bert-large-cased-whole-word-masking
-0.0361656491725495,2.3454431659999955,5,prod,cosine,bert-large-cased-whole-word-masking
-0.07350978602327629,1.8995921250000265,5,prod,cosine,bert-large-cased
