score,time,context_window_size,context_window_operation,similarity_measure,model_name
,1.131716417000007,20,prod,cosine,bert-base-cased
,1.1407706659999803,50,prod,cosine,bert-base-cased
,1.9183111249999456,20,prod,cosine,bert-base-multilingual-cased
,1.872119624999982,50,prod,cosine,bert-base-multilingual-cased
0.2985908167181942,1.821762165999985,10,sum,cosine,bert-base-multilingual-cased
0.29859078978215825,1.8209378330000163,10,mean,cosine,bert-base-multilingual-cased
0.27188356674366854,1.9643202500000143,5,sum,cosine,bert-base-multilingual-cased
0.2718835404569002,1.8129279580000457,5,mean,cosine,bert-base-multilingual-cased
0.26744027654217206,1.8396702080000296,20,mean,cosine,bert-base-multilingual-cased
0.267440227627741,1.836008750000019,20,sum,cosine,bert-base-multilingual-cased
0.21815141445560837,2.115681084000016,0,none,cosine,bert-base-multilingual-cased
0.20787035055923153,1.8180396660000042,2,sum,cosine,bert-base-multilingual-cased
0.20787034485747813,1.8482774999999947,2,mean,cosine,bert-base-multilingual-cased
0.19957646138508034,1.9832744999999932,20,mean,cosine,bert-large-cased
0.18666436679386977,1.1281602919999614,20,sum,cosine,bert-base-cased
0.1866643184192499,1.136959958000034,20,mean,cosine,bert-base-cased
0.17625049137742488,1.8070319169999038,10,prod,cosine,bert-base-multilingual-cased
0.16872308267785074,1.1752508330000637,10,sum,cosine,bert-base-cased
0.16872305533842835,1.1474650420000216,10,mean,cosine,bert-base-cased
0.14906364538513162,1.8027440409999826,1,sum,cosine,bert-base-multilingual-cased
0.14906362074584179,1.827854417000026,1,mean,cosine,bert-base-multilingual-cased
0.10206435103603273,1.1608351669999593,5,prod,cosine,bert-base-cased
0.09754063242637867,1.8201709170000413,1,prod,cosine,bert-base-multilingual-cased
0.07231930475504145,1.1296223329999293,5,sum,cosine,bert-base-cased
0.07231928416395328,1.2005573750000167,5,mean,cosine,bert-base-cased
0.07146658787242222,1.3234737080000514,0,none,cosine,bert-base-cased
0.05503961256608325,1.8154655409999805,2,prod,cosine,bert-base-multilingual-cased
0.051368591875239566,1.1462953330000119,2,prod,cosine,bert-base-cased
0.04667130053421409,2.017325417000052,50,mean,cosine,bert-base-multilingual-cased
0.04667077367569061,1.8552749589999848,50,sum,cosine,bert-base-multilingual-cased
0.021804224841905695,1.1318890420000116,10,prod,cosine,bert-base-cased
0.018815277279744413,1.2020595000000185,50,sum,cosine,bert-base-cased
0.01881519917157659,1.6052302089999557,50,mean,cosine,bert-base-cased
-0.028716002778618632,1.816483790999996,5,prod,cosine,bert-base-multilingual-cased
-0.04096975233416189,1.1283844580000277,2,mean,cosine,bert-base-cased
-0.04096979535576062,1.1332284590000654,2,sum,cosine,bert-base-cased
-0.06830688985323619,1.1153277079999953,1,prod,cosine,bert-base-cased
-0.10549800535561826,1.1476260829999774,1,mean,cosine,bert-base-cased
-0.10549801986615392,1.1154087090000075,1,sum,cosine,bert-base-cased
,1.8927438750000647,20,prod,cosine,bert-large-cased
,1.873741750000022,50,prod,cosine,bert-large-cased
0.1995763305045093,1.897372750000045,20,sum,cosine,bert-large-cased
0.1879726123163249,2.127599416999942,10,mean,cosine,bert-large-cased
0.18797259195300553,2.0409205409999913,10,sum,cosine,bert-large-cased
0.10431273211632441,2.0514987500000643,0,none,cosine,bert-large-cased
0.09212666732313801,1.9287474579999753,5,mean,cosine,bert-large-cased
,2.327790499999992,20,prod,cosine,bert-large-cased-whole-word-masking
,2.3460846670000137,50,prod,cosine,bert-large-cased-whole-word-masking
0.18673727045215882,2.2764518750000207,20,sum,cosine,bert-large-cased-whole-word-masking
0.18673719101643182,2.384913499999925,20,mean,cosine,bert-large-cased-whole-word-masking
0.17357140490729672,2.2816928750000898,10,mean,cosine,bert-large-cased-whole-word-masking
0.17357138373446346,2.280037041000014,10,sum,cosine,bert-large-cased-whole-word-masking
0.17172211769575196,1.9565794579999647,10,prod,cosine,bert-large-cased
0.09214819283348341,2.284146249999935,5,sum,cosine,bert-large-cased-whole-word-masking
0.09214816345223065,2.28810216699992,5,mean,cosine,bert-large-cased-whole-word-masking
0.09212654632823658,1.872790082999927,5,sum,cosine,bert-large-cased
0.03842789086141485,2.275728416999982,50,mean,cosine,bert-large-cased-whole-word-masking
0.03842787711588502,2.399204749999967,50,sum,cosine,bert-large-cased-whole-word-masking
0.03454791502767085,2.423811624999985,0,none,cosine,bert-large-cased-whole-word-masking
0.029586768514395123,1.907371583999975,50,mean,cosine,bert-large-cased
0.02958619371571236,1.8564956249999796,50,sum,cosine,bert-large-cased
-0.037063939717617345,2.3036154169999463,5,prod,cosine,bert-large-cased-whole-word-masking
-0.05181549419130116,2.5017650409999987,2,sum,cosine,bert-large-cased-whole-word-masking
-0.05181550906429,2.321709040999963,2,mean,cosine,bert-large-cased-whole-word-masking
-0.055614163301179076,2.2932547919999706,2,prod,cosine,bert-large-cased-whole-word-masking
-0.0557767674464591,1.8834964579999678,2,mean,cosine,bert-large-cased
-0.05577687304294643,1.8730549169999904,2,sum,cosine,bert-large-cased
-0.060056660307843845,1.921921209000061,2,prod,cosine,bert-large-cased
-0.06669135772612744,1.8847638329999654,1,sum,cosine,bert-large-cased
-0.06669144968442198,1.9037682499999846,1,mean,cosine,bert-large-cased
-0.06708340103986088,2.285810584000046,1,prod,cosine,bert-large-cased-whole-word-masking
-0.07873175553533374,1.8688341250000349,1,prod,cosine,bert-large-cased
-0.08369214086384935,1.8883819999999787,5,prod,cosine,bert-large-cased
