model_name,context_window_operation,context_window_size,similarity_measure,score,time,time_per
bert-base-uncased,sum,1,cosine,0.6601911780637532,81.8563801249984,0.24075405919117174
bert-base-uncased,sum,2,cosine,0.6499858164401888,86.74088745900008,0.25512025723235315
EMBEDDIA/crosloengual-bert,sum,1,cosine,0.6046004024609157,89.20719333300076,0.2623740980382375
EMBEDDIA/crosloengual-bert,sum,2,cosine,0.6023424331491857,89.1025109580005,0.26206620870000147
bert-large-uncased-whole-word-masking,sum,1,cosine,0.5937191095483499,201.85290429100132,0.5936850126205921
bert-large-uncased-whole-word-masking,sum,2,cosine,0.5812193377196563,219.04388008300157,0.6442467061264752
bert-base-uncased,sum,5,cosine,0.5791974789685264,79.11623012500058,0.23269479448529584
bert-base-multilingual-cased,sum,1,cosine,0.57358553232272,66.76106441699812,0.19635607181470036
bert-base-multilingual-cased,sum,2,cosine,0.5708872084146817,66.99932287500269,0.19705683198530202
bert-base-multilingual-uncased,sum,2,cosine,0.5659214841942803,83.5559398330006,0.24575276421470763
bert-large-cased-whole-word-masking,sum,2,cosine,0.556645075556079,210.33565462499973,0.6186342783088228
bert-base-cased,sum,1,cosine,0.5559957621979599,84.22210220799752,0.24771206531763978
EMBEDDIA/crosloengual-bert,sum,5,cosine,0.5553916799891702,87.22294204100035,0.2565380648264716
bert-base-cased,sum,2,cosine,0.551254105764567,84.83758408399808,0.24952230612940612
bert-base-multilingual-uncased,sum,1,cosine,0.5502020527982542,81.2728847920007,0.23903789644706086
bert-large-cased-whole-word-masking,sum,1,cosine,0.5494736852193354,201.9853951250043,0.5940746915441303
bert-large-cased,sum,1,cosine,0.5370151672033427,199.48134591699636,0.5867098409323422
bert-base-multilingual-uncased,sum,5,cosine,0.5356588500313527,86.16153974999906,0.25341629338235017
bert-large-cased,sum,2,cosine,0.5329743557795795,206.36300329200458,0.6069500096823665
bert-base-multilingual-cased,none,0,cosine,0.5262751443287728,63.915534834002756,0.18798686715883164
bert-large-uncased-whole-word-masking,sum,5,cosine,0.5253644102433568,205.19227887500165,0.6035067025735342
bert-large-cased-whole-word-masking,sum,5,cosine,0.5246495602544422,210.43990649999614,0.6189409014705769
bert-base-cased,sum,5,cosine,0.5238791677769622,83.25320216699765,0.244862359314699
bert-large-uncased,sum,1,cosine,0.5207023463519905,215.62018112499936,0.6341770033088217
bert-base-uncased,sum,10,cosine,0.5192112168763364,84.62329537500045,0.24889204522058955
bert-base-multilingual-cased,sum,5,cosine,0.516738177285097,80.25141274999987,0.23603356691176433
